,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:44.0,0,2,NOP,UTA,16,away,JS,assist,14,make2,2,E. Freedom,D. Favors
1,1,11:23.0,3,2,NOP,UTA,21,home,JS,assist,25,make3,3,E. Gordon,T. Evans
2,1,11:05.0,3,4,NOP,UTA,18,away,JS,assist,14,make2,2,D. Favors,G. Hayward
3,1,10:47.0,3,4,NOP,UTA,18,home,JS,,25,miss3,0,E. Gordon,
4,1,10:46.0,3,4,NOP,UTA,1,away,DefReb,,,DefReb,,E. Freedom,
5,1,10:29.0,3,6,NOP,UTA,17,away,JS,,4,make2,2,G. Hayward,
6,1,10:11.0,3,6,NOP,UTA,18,home,JS,,19,miss2,0,T. Evans,
7,1,10:10.0,3,6,NOP,UTA,1,away,DefReb,,,DefReb,,E. Freedom,
8,1,10:02.0,3,6,NOP,UTA,8,away,PersonalFoul,DrawnBy,,PersonalFoul,,A. Ajinça,D. Favors
9,1,9:49.0,3,6,NOP,UTA,13,away,JS,,27,miss3,0,G. Hayward,
10,1,9:47.0,3,6,NOP,UTA,2,home,DefReb,,,DefReb,,Ö. Aşık,
11,1,9:41.0,5,6,NOP,UTA,6,home,LU,assist,1,make2,2,A. Ajinça,T. Evans
12,1,9:18.0,5,6,NOP,UTA,23,away,BadPass,steal,,turnover,,D. Exum,E. Gordon
13,1,9:13.0,5,6,NOP,UTA,5,home,LU,block,2,miss2,0,E. Gordon,E. Millsap
14,1,9:12.0,5,6,NOP,UTA,1,away,DefReb,,,DefReb,,G. Hayward,
15,1,9:07.0,5,6,NOP,UTA,5,away,JS,block,6,miss2,0,G. Hayward,D. Cunningham
16,1,9:06.0,5,6,NOP,UTA,1,away,OffReb,,,OffReb,,E. Freedom,
17,1,9:05.0,5,8,NOP,UTA,1,away,LU,,2,make2,2,E. Freedom,
18,1,8:45.0,7,8,NOP,UTA,20,home,LU,,1,make2,2,T. Evans,
19,1,8:21.0,7,10,NOP,UTA,24,away,JS,assist,5,make2,2,D. Favors,D. Exum
20,1,7:58.0,7,10,NOP,UTA,23,home,LU,block,1,miss2,0,Ö. Aşık,D. Exum
21,1,7:56.0,7,10,NOP,UTA,2,away,DefReb,,,DefReb,,E. Freedom,
22,1,7:53.0,7,10,NOP,UTA,3,away,LU,block,1,miss2,0,G. Hayward,D. Cunningham
23,1,7:52.0,7,10,NOP,UTA,1,away,OffReb,,,OffReb,,E. Freedom,
24,1,7:52.0,7,10,NOP,UTA,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,A. Ajinça,E. Freedom
25,1,7:52.0,7,11,NOP,UTA,0,away,FreeThrow,,,make1,1,E. Freedom,
26,1,7:52.0,7,11,NOP,UTA,0,home,Sub,,,,,J. Withey,A. Ajinça
27,1,7:52.0,7,11,NOP,UTA,0,away,Sub,,,,,T. Burke,D. Exum
28,1,7:52.0,7,12,NOP,UTA,0,away,FreeThrow,,,make1,1,E. Freedom,
29,1,7:39.0,7,12,NOP,UTA,13,away,KickBallViolation,,,KickBallViolation,,E. Freedom,
30,1,7:31.0,9,12,NOP,UTA,8,home,LU,,2,make2,2,T. Evans,
31,1,7:17.0,9,12,NOP,UTA,14,away,LU,block,3,miss2,0,E. Millsap,T. Evans
32,1,7:17.0,9,12,NOP,UTA,0,away,OffReb,,,OffReb,,Team,
33,1,7:12.0,9,12,NOP,UTA,5,away,ShootingFoul,DrawnBy,,ShootingFoul,,J. Withey,G. Hayward
34,1,7:12.0,9,13,NOP,UTA,0,away,FreeThrow,,,make1,1,G. Hayward,
35,1,7:12.0,9,14,NOP,UTA,0,away,FreeThrow,,,make1,1,G. Hayward,
36,1,6:49.0,9,14,NOP,UTA,23,home,JS,,11,miss2,0,E. Gordon,
37,1,6:48.0,9,14,NOP,UTA,1,away,DefReb,,,DefReb,,T. Burke,
38,1,6:43.0,9,14,NOP,UTA,5,away,LU,,1,miss2,0,T. Burke,
39,1,6:41.0,9,14,NOP,UTA,2,away,OffReb,,,OffReb,,E. Freedom,
40,1,6:40.0,9,14,NOP,UTA,1,away,LU,,3,miss2,0,E. Freedom,
41,1,6:40.0,9,14,NOP,UTA,0,away,OffReb,,,OffReb,,Team,
42,1,6:39.0,9,14,NOP,UTA,1,away,PersonalFoul,DrawnBy,,PersonalFoul,,T. Evans,T. Burke
43,1,6:28.0,9,14,NOP,UTA,11,away,JS,,24,miss3,0,T. Burke,
44,1,6:26.0,9,14,NOP,UTA,2,away,OffReb,,,OffReb,,D. Favors,
45,1,6:26.0,9,14,NOP,UTA,0,away,LostBall,,,turnover,,D. Favors,
46,1,6:02.0,12,14,NOP,UTA,24,home,JS,assist,24,make3,3,T. Evans,D. Cunningham
47,1,5:38.0,12,16,NOP,UTA,24,away,HS,,7,make2,2,D. Favors,
48,1,5:22.0,15,16,NOP,UTA,16,home,JS,,24,make3,3,T. Evans,
49,1,5:01.0,15,16,NOP,UTA,21,away,JS,,15,miss2,0,D. Favors,
50,1,4:59.0,15,16,NOP,UTA,2,home,DefReb,,,DefReb,,Ö. Aşık,
51,1,4:49.0,17,16,NOP,UTA,10,home,LU,assist,1,make2,2,J. Withey,T. Evans
52,1,4:49.0,17,16,NOP,UTA,0,away,Timeout,,,,,,
53,1,4:49.0,17,16,NOP,UTA,0,home,Sub,,,,,Q. Pondexter,D. Cunningham
54,1,4:49.0,17,16,NOP,UTA,0,away,Sub,,,,,R. Gobert,E. Freedom
55,1,4:32.0,17,16,NOP,UTA,17,away,JS,block,3,miss2,0,E. Millsap,Ö. Aşık
56,1,4:28.0,17,16,NOP,UTA,4,away,OffReb,,,OffReb,,E. Millsap,
57,1,4:24.0,17,16,NOP,UTA,4,away,JS,,24,miss3,0,T. Burke,
58,1,4:23.0,17,16,NOP,UTA,1,home,DefReb,,,DefReb,,Ö. Aşık,
59,1,4:11.0,17,16,NOP,UTA,12,home,ShootingFoul,DrawnBy,,ShootingFoul,,D. Favors,J. Withey
