,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:41.0,0,0,BRK,MIL,19,home,JS,,24,miss3,0,D. Williams,
1,1,11:40.0,0,0,BRK,MIL,1,away,DefReb,,,DefReb,,G. Antetokounmpo,
2,1,11:18.0,0,0,BRK,MIL,22,away,JS,,6,miss2,0,E. İlyasova,
3,1,11:17.0,0,0,BRK,MIL,1,away,OffReb,,,OffReb,,Z. Pachulia,
4,1,11:16.0,0,0,BRK,MIL,1,away,TI,,1,miss2,0,Z. Pachulia,
5,1,11:15.0,0,0,BRK,MIL,1,home,DefReb,,,DefReb,,B. Lopez,
6,1,11:11.0,0,0,BRK,MIL,4,home,LU,,2,miss2,0,T. Young,
7,1,11:10.0,0,0,BRK,MIL,1,away,DefReb,,,DefReb,,E. İlyasova,
8,1,10:56.0,0,0,BRK,MIL,14,away,JS,,10,miss2,0,Z. Pachulia,
9,1,10:55.0,0,0,BRK,MIL,1,home,DefReb,,,DefReb,,J. Johnson,
10,1,10:44.0,0,0,BRK,MIL,11,home,JS,,5,miss2,0,J. Johnson,
11,1,10:43.0,0,0,BRK,MIL,1,home,OffReb,,,OffReb,,J. Johnson,
12,1,10:33.0,2,0,BRK,MIL,10,home,HS,,8,make2,2,T. Young,
13,1,10:20.0,2,0,BRK,MIL,13,away,BadPass,steal,,turnover,,M. Carter-Williams,J. Johnson
14,1,10:15.0,4,0,BRK,MIL,5,home,LU,,1,make2,2,D. Williams,
15,1,9:59.0,4,2,BRK,MIL,16,away,JS,assist,15,make2,2,E. İlyasova,K. Middleton
16,1,9:43.0,6,2,BRK,MIL,16,home,JS,assist,6,make2,2,B. Lopez,J. Johnson
17,1,9:30.0,6,2,BRK,MIL,13,away,ShootingFoul,DrawnBy,,ShootingFoul,,M. Brown,Z. Pachulia
18,1,9:30.0,6,3,BRK,MIL,0,away,FreeThrow,,,make1,1,Z. Pachulia,
19,1,9:30.0,6,4,BRK,MIL,0,away,FreeThrow,,,make1,1,Z. Pachulia,
20,1,9:21.0,6,4,BRK,MIL,9,home,PersonalFoul,DrawnBy,,PersonalFoul,,E. İlyasova,T. Young
21,1,9:13.0,6,4,BRK,MIL,8,home,HS,,5,miss2,0,B. Lopez,
22,1,9:11.0,6,4,BRK,MIL,2,away,DefReb,,,DefReb,,E. İlyasova,
23,1,9:01.0,6,6,BRK,MIL,10,away,JS,assist,13,make2,2,Z. Pachulia,M. Carter-Williams
24,1,8:48.0,6,6,BRK,MIL,13,home,JS,,22,miss3,0,M. Brown,
25,1,8:46.0,6,6,BRK,MIL,2,home,OffReb,,,OffReb,,D. Williams,
26,1,8:39.0,9,6,BRK,MIL,7,home,JS,assist,23,make3,3,T. Young,D. Williams
27,1,8:21.0,9,9,BRK,MIL,18,away,JS,assist,24,make3,3,E. İlyasova,Z. Pachulia
28,1,8:10.0,11,9,BRK,MIL,11,home,JS,assist,4,make2,2,B. Lopez,D. Williams
29,1,8:05.0,11,9,BRK,MIL,5,away,ShootingFoul,DrawnBy,,ShootingFoul,,M. Brown,K. Middleton
30,1,8:05.0,11,10,BRK,MIL,0,away,FreeThrow,,,make1,1,K. Middleton,
31,1,8:05.0,11,10,BRK,MIL,0,home,Sub,,,,,B. Bogdanović,M. Brown
32,1,8:05.0,11,11,BRK,MIL,0,away,FreeThrow,,,make1,1,K. Middleton,
