,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:42.0,3,0,CHO,SAC,18,home,JS,assist,27,make3,3,P. Hairston,K. Walker
1,1,11:28.0,3,0,CHO,SAC,14,away,BadPass,steal,,turnover,,B. McLemore,A. Jefferson
2,1,11:21.0,3,0,CHO,SAC,7,home,JS,,28,miss3,0,P. Hairston,
3,1,11:20.0,3,0,CHO,SAC,1,away,DefReb,,,DefReb,,R. Rondo,
4,1,11:12.0,3,0,CHO,SAC,8,away,JS,,25,miss3,0,D. Cousins,
5,1,11:12.0,3,0,CHO,SAC,0,away,OffReb,,,OffReb,,R. Rondo,
6,1,11:09.0,3,0,CHO,SAC,3,away,ShootingFoul,DrawnBy,,ShootingFoul,,A. Jefferson,B. McLemore
7,1,11:09.0,3,1,CHO,SAC,0,away,FreeThrow,,,make1,1,B. McLemore,
8,1,11:09.0,3,2,CHO,SAC,0,away,FreeThrow,,,make1,1,B. McLemore,
9,1,10:55.0,3,2,CHO,SAC,14,home,JS,,10,miss2,0,A. Jefferson,
10,1,10:54.0,3,2,CHO,SAC,1,away,DefReb,,,DefReb,,R. Gay,
11,1,10:49.0,3,2,CHO,SAC,5,away,ShootingFoul,DrawnBy,,ShootingFoul,,P. Hairston,R. Rondo
12,1,10:49.0,3,3,CHO,SAC,0,away,FreeThrow,,,make1,1,R. Rondo,
13,1,10:49.0,3,3,CHO,SAC,0,away,FreeThrow,,,make1,0,R. Rondo,
14,1,10:46.0,3,3,CHO,SAC,3,home,DefReb,,,DefReb,,N. Batum,
15,1,10:30.0,3,3,CHO,SAC,16,home,BadPass,steal,,turnover,,A. Jefferson,B. McLemore
16,1,10:28.0,3,3,CHO,SAC,2,away,OffensiveFoul,,,turnover,,B. McLemore,
17,1,10:28.0,3,3,CHO,SAC,0,home,ChargeFoul,DrawnBy,,ChargeFoul,,B. McLemore,K. Walker
18,1,10:14.0,6,3,CHO,SAC,14,home,JS,assist,25,make3,3,M. Williams,N. Batum
19,1,9:58.0,6,5,CHO,SAC,16,away,LU,assist,1,make2,2,B. McLemore,R. Rondo
20,1,9:35.0,6,5,CHO,SAC,23,home,JS,,25,miss3,0,N. Batum,
21,1,9:34.0,6,5,CHO,SAC,1,away,DefReb,,,DefReb,,R. Rondo,
22,1,9:29.0,6,5,CHO,SAC,5,away,JS,,24,miss3,0,B. McLemore,
23,1,9:27.0,6,5,CHO,SAC,2,home,DefReb,,,DefReb,,K. Walker,
24,1,9:21.0,8,5,CHO,SAC,6,home,JS,assist,8,make2,2,A. Jefferson,N. Batum
25,1,9:06.0,8,7,CHO,SAC,15,away,LU,,1,make2,2,R. Gay,
26,1,8:47.0,8,7,CHO,SAC,19,home,JS,,25,miss3,0,M. Williams,
27,1,8:46.0,8,7,CHO,SAC,1,away,DefReb,,,DefReb,,D. Cousins,
28,1,8:39.0,8,7,CHO,SAC,7,away,JS,,25,miss3,0,D. Cousins,
29,1,8:38.0,8,7,CHO,SAC,1,home,DefReb,,,DefReb,,P. Hairston,
30,1,8:27.0,10,7,CHO,SAC,11,home,JS,,20,make2,2,K. Walker,
31,1,8:02.0,10,7,CHO,SAC,25,away,JS,,17,miss2,0,R. Gay,
32,1,8:01.0,10,7,CHO,SAC,1,home,DefReb,,,DefReb,,N. Batum,
33,1,7:52.0,12,7,CHO,SAC,9,home,LU,,1,make2,2,K. Walker,
34,1,7:37.0,12,9,CHO,SAC,15,away,JS,,14,make2,2,B. McLemore,
35,1,7:17.0,12,9,CHO,SAC,20,home,PersonalFoul,DrawnBy,,PersonalFoul,,B. McLemore,P. Hairston
36,1,7:17.0,12,9,CHO,SAC,0,away,Sub,,,,,D. Collison,W. Cauley-Stein
37,1,7:17.0,12,9,CHO,SAC,0,away,Sub,,,,,M. Belinelli,B. McLemore
38,1,7:04.0,14,9,CHO,SAC,13,home,JS,assist,15,make2,2,A. Jefferson,P. Hairston
39,1,6:59.0,14,9,CHO,SAC,5,home,ChargeFoul,DrawnBy,,ChargeFoul,,D. Collison,K. Walker
40,1,6:59.0,14,9,CHO,SAC,0,away,OffensiveFoul,,,turnover,,D. Collison,
41,1,6:38.0,14,9,CHO,SAC,21,home,JS,block,7,miss2,0,A. Jefferson,D. Cousins
42,1,6:36.0,14,9,CHO,SAC,2,away,DefReb,,,DefReb,,D. Collison,
43,1,6:34.0,14,9,CHO,SAC,2,away,LU,block,1,miss2,0,D. Collison,K. Walker
44,1,6:34.0,14,9,CHO,SAC,0,away,OffReb,,,OffReb,,Team,
45,1,6:31.0,14,9,CHO,SAC,3,away,JS,,21,miss2,0,M. Belinelli,
46,1,6:29.0,14,9,CHO,SAC,2,home,DefReb,,,DefReb,,N. Batum,
47,1,6:19.0,17,9,CHO,SAC,10,home,JS,,25,make3,3,K. Walker,
48,1,6:17.0,17,9,CHO,SAC,2,away,Timeout,,,,,,
49,1,6:03.0,17,11,CHO,SAC,14,away,JS,assist,16,make2,2,D. Cousins,R. Rondo
50,1,5:44.0,19,11,CHO,SAC,19,home,JS,,12,make2,2,N. Batum,
51,1,5:28.0,19,13,CHO,SAC,16,away,JS,assist,17,make2,2,D. Cousins,R. Rondo
52,1,5:10.0,19,13,CHO,SAC,18,home,JS,,23,miss3,0,P. Hairston,
53,1,5:09.0,19,13,CHO,SAC,1,away,DefReb,,,DefReb,,R. Gay,
54,1,5:03.0,19,13,CHO,SAC,6,away,JS,,24,miss3,0,D. Collison,
55,1,5:00.0,19,13,CHO,SAC,3,home,DefReb,,,DefReb,,P. Hairston,
