,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:42.0,0,0,SAC,POR,18,home,JS,,18,miss2,0,D. Cousins,
1,1,11:42.0,0,0,SAC,POR,0,away,DefReb,,,DefReb,,A. Aminu,
2,1,11:30.0,0,2,SAC,POR,12,away,LU,,4,make2,2,C. McCollum,
3,1,11:11.0,3,2,SAC,POR,19,home,JS,assist,25,make3,3,O. Casspi,D. Cousins
4,1,10:54.0,3,2,SAC,POR,17,away,BadPass,steal,,turnover,,A. Aminu,O. Casspi
5,1,10:39.0,3,2,SAC,POR,15,home,LostBall,steal,,turnover,,O. Casspi,M. Plumlee
6,1,10:32.0,3,5,SAC,POR,7,away,JS,assist,24,make3,3,A. Crabbe,M. Plumlee
7,1,10:24.0,3,5,SAC,POR,8,home,LostBall,steal,,turnover,,B. McLemore,A. Aminu
8,1,10:16.0,3,5,SAC,POR,8,away,JS,,26,miss3,0,N. Vonleh,
9,1,10:15.0,3,5,SAC,POR,1,away,OffReb,,,OffReb,,M. Plumlee,
10,1,10:06.0,3,8,SAC,POR,9,away,JS,,24,make3,3,C. McCollum,
11,1,10:03.0,3,8,SAC,POR,3,home,LostBall,steal,,turnover,,D. Cousins,N. Vonleh
12,1,9:53.0,3,11,SAC,POR,10,away,JS,,24,make3,3,C. McCollum,
13,1,9:36.0,5,11,SAC,POR,17,home,LU,assist,2,make2,2,D. Cousins,R. Rondo
14,1,9:18.0,5,11,SAC,POR,18,away,JS,,20,miss2,0,A. Crabbe,
15,1,9:17.0,5,11,SAC,POR,1,home,DefReb,,,DefReb,,B. McLemore,
16,1,9:12.0,5,11,SAC,POR,5,home,BadPass,,,turnover,,R. Gay,
17,1,8:54.0,5,11,SAC,POR,18,away,JS,block,5,miss2,0,N. Vonleh,D. Cousins
18,1,8:54.0,5,11,SAC,POR,0,home,DefReb,,,DefReb,,R. Rondo,
19,1,8:51.0,5,11,SAC,POR,3,home,ShootingFoul,DrawnBy,,ShootingFoul,,C. McCollum,R. Rondo
20,1,8:51.0,6,11,SAC,POR,0,home,FreeThrow,,,make1,1,R. Rondo,
21,1,8:51.0,6,11,SAC,POR,0,home,FreeThrow,,,make1,0,R. Rondo,
22,1,8:51.0,6,11,SAC,POR,0,away,DefReb,,,DefReb,,A. Crabbe,
23,1,8:35.0,6,11,SAC,POR,16,away,JS,,17,miss2,0,M. Plumlee,
24,1,8:35.0,6,11,SAC,POR,0,home,DefReb,,,DefReb,,R. Rondo,
25,1,8:27.0,6,11,SAC,POR,8,home,HS,,5,miss2,0,O. Casspi,
26,1,8:27.0,6,11,SAC,POR,0,away,DefReb,,,DefReb,,M. Plumlee,
27,1,8:10.0,6,11,SAC,POR,17,away,JS,,12,miss2,0,N. Vonleh,
28,1,8:10.0,6,11,SAC,POR,0,home,DefReb,,,DefReb,,R. Gay,
29,1,8:00.0,8,11,SAC,POR,10,home,JS,assist,6,make2,2,O. Casspi,R. Rondo
30,1,7:37.0,8,11,SAC,POR,23,away,JS,,6,miss2,0,N. Vonleh,
31,1,7:36.0,8,11,SAC,POR,1,home,DefReb,,,DefReb,,D. Cousins,
32,1,7:26.0,10,11,SAC,POR,10,home,LU,assist,2,make2,2,D. Cousins,R. Rondo
33,1,7:14.0,10,11,SAC,POR,12,away,JS,,17,miss2,0,C. McCollum,
34,1,7:13.0,10,11,SAC,POR,1,home,DefReb,,,DefReb,,O. Casspi,
35,1,7:04.0,13,11,SAC,POR,9,home,JS,assist,25,make3,3,D. Cousins,R. Rondo
36,1,6:48.0,13,11,SAC,POR,16,away,JS,,24,miss3,0,A. Crabbe,
37,1,6:47.0,13,11,SAC,POR,1,home,DefReb,,,DefReb,,D. Cousins,
38,1,6:44.0,15,11,SAC,POR,3,home,DK,assist,0,make2,2,R. Gay,R. Rondo
39,1,6:44.0,15,11,SAC,POR,0,away,Timeout,,,,,,
40,1,6:22.0,15,11,SAC,POR,22,away,JS,,21,miss2,0,A. Aminu,
41,1,6:21.0,15,11,SAC,POR,1,home,DefReb,,,DefReb,,R. Gay,
42,1,6:13.0,15,11,SAC,POR,8,home,LostBall,steal,,turnover,,R. Rondo,N. Vonleh
43,1,5:55.0,15,13,SAC,POR,18,away,JS,,20,make2,2,A. Crabbe,
44,1,5:47.0,17,13,SAC,POR,8,home,LU,assist,2,make2,2,D. Cousins,R. Rondo
45,1,5:35.0,17,13,SAC,POR,12,home,KickBallViolation,,,KickBallViolation,,R. Rondo,
46,1,5:35.0,17,13,SAC,POR,0,home,Sub,,,,,M. Belinelli,B. McLemore
47,1,5:24.0,17,13,SAC,POR,11,away,JS,block,7,miss2,0,A. Aminu,R. Gay
48,1,5:22.0,17,13,SAC,POR,2,home,DefReb,,,DefReb,,R. Gay,
49,1,5:13.0,19,13,SAC,POR,9,home,JS,,19,make2,2,D. Cousins,
50,1,4:55.0,19,13,SAC,POR,18,away,JS,,3,miss2,0,A. Aminu,
51,1,4:54.0,19,13,SAC,POR,1,home,DefReb,,,DefReb,,D. Cousins,
52,1,4:51.0,21,13,SAC,POR,3,home,DK,assist,0,make2,2,O. Casspi,R. Gay
53,1,4:32.0,21,13,SAC,POR,19,away,PersonalFoul,DrawnBy,,PersonalFoul,,R. Gay,M. Plumlee
54,1,4:32.0,21,13,SAC,POR,0,away,Sub,,,,,M. Leonard,N. Vonleh
55,1,4:32.0,21,13,SAC,POR,0,home,Sub,,,,,K. Koufos,O. Casspi
56,1,4:28.0,21,13,SAC,POR,4,away,JS,,3,miss2,0,C. McCollum,
57,1,4:27.0,21,13,SAC,POR,1,away,OffReb,,,OffReb,,M. Leonard,
58,1,4:27.0,21,13,SAC,POR,0,away,LU,,3,miss2,0,M. Leonard,
59,1,4:26.0,21,13,SAC,POR,1,home,DefReb,,,DefReb,,R. Rondo,
60,1,4:21.0,23,13,SAC,POR,5,home,LU,,2,make2,2,R. Rondo,
61,1,4:03.0,23,15,SAC,POR,18,away,JS,,8,make2,2,C. McCollum,
62,1,3:41.0,23,15,SAC,POR,22,home,JS,,5,miss2,0,K. Koufos,
63,1,3:41.0,23,15,SAC,POR,0,away,DefReb,,,DefReb,,M. Plumlee,
64,1,3:29.0,23,18,SAC,POR,12,away,JS,assist,25,make3,3,M. Leonard,M. Plumlee
65,1,3:23.0,23,18,SAC,POR,6,away,ChargeFoul,DrawnBy,,ChargeFoul,,D. Cousins,M. Plumlee
66,1,3:23.0,23,18,SAC,POR,0,home,OffensiveFoul,,,turnover,,D. Cousins,
67,1,3:23.0,23,18,SAC,POR,0,away,Sub,,,,,M. Harkless,A. Aminu
68,1,3:23.0,23,18,SAC,POR,0,away,Sub,,,,,G. Henderson,A. Crabbe
69,1,2:58.0,23,21,SAC,POR,25,away,JS,assist,24,make3,3,G. Henderson,M. Harkless
70,1,2:45.0,25,21,SAC,POR,13,home,LU,assist,4,make2,2,K. Koufos,R. Rondo
71,1,2:31.0,25,21,SAC,POR,14,away,JS,,18,miss2,0,G. Henderson,
72,1,2:31.0,25,21,SAC,POR,0,away,OffReb,,,OffReb,,C. McCollum,
73,1,2:25.0,25,21,SAC,POR,6,away,JS,,23,miss3,0,C. McCollum,
