,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:41.0,0,0,TOR,CHO,19,home,JS,block,4,miss2,0,L. Scola,C. Zeller
1,1,11:39.0,0,0,TOR,CHO,2,home,OffReb,,,OffReb,,J. Valančiūnas,
2,1,11:35.0,2,0,TOR,CHO,4,home,DK,,0,make2,2,J. Valančiūnas,
3,1,11:25.0,2,2,TOR,CHO,10,away,LU,assist,0,make2,2,C. Zeller,N. Batum
4,1,11:06.0,2,2,TOR,CHO,19,home,JS,,16,miss2,0,K. Lowry,
5,1,11:06.0,2,2,TOR,CHO,0,away,DefReb,,,DefReb,,M. Williams,
6,1,10:59.0,2,4,TOR,CHO,7,away,JS,,16,make2,2,N. Batum,
7,1,10:33.0,2,4,TOR,CHO,26,home,ShootingFoul,DrawnBy,,ShootingFoul,,C. Zeller,J. Valančiūnas
8,1,10:33.0,3,4,TOR,CHO,0,home,FreeThrow,,,make1,1,J. Valančiūnas,
9,1,10:33.0,4,4,TOR,CHO,0,home,FreeThrow,,,make1,1,J. Valančiūnas,
10,1,10:20.0,4,4,TOR,CHO,13,away,JS,,17,miss2,0,N. Batum,
11,1,10:18.0,4,4,TOR,CHO,2,home,DefReb,,,DefReb,,L. Scola,
12,1,9:56.0,4,4,TOR,CHO,22,home,JS,,4,miss2,0,D. DeRozan,
13,1,9:55.0,4,4,TOR,CHO,1,home,OffReb,,,OffReb,,L. Scola,
14,1,9:53.0,4,4,TOR,CHO,2,home,LU,,1,miss2,0,L. Scola,
15,1,9:52.0,4,4,TOR,CHO,1,home,OffReb,,,OffReb,,L. Scola,
16,1,9:50.0,4,4,TOR,CHO,2,home,LU,block,1,miss2,0,L. Scola,M. Williams
17,1,9:49.0,4,4,TOR,CHO,1,away,DefReb,,,DefReb,,C. Zeller,
18,1,9:45.0,4,6,TOR,CHO,4,away,LU,assist,0,make2,2,C. Zeller,K. Walker
19,1,9:33.0,4,6,TOR,CHO,12,home,BadPass,steal,,turnover,,D. DeRozan,K. Walker
20,1,9:27.0,4,6,TOR,CHO,6,away,LU,,1,miss2,0,C. Zeller,
21,1,9:26.0,4,6,TOR,CHO,1,home,DefReb,,,DefReb,,D. Carroll,
22,1,9:13.0,7,6,TOR,CHO,13,home,JS,assist,23,make3,3,D. DeRozan,K. Lowry
23,1,8:54.0,7,8,TOR,CHO,19,away,JS,,19,make2,2,P. Hairston,
24,1,8:34.0,9,8,TOR,CHO,20,home,LU,assist,0,make2,2,K. Lowry,J. Valančiūnas
25,1,8:22.0,9,8,TOR,CHO,12,away,JS,,24,miss3,0,M. Williams,
