,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:42.0,0,2,ATL,BRK,18,away,JS,,19,make2,2,W. Ellington,
1,1,11:19.0,3,2,ATL,BRK,23,home,JS,assist,23,make3,3,K. Bazemore,A. Horford
2,1,11:00.0,3,2,ATL,BRK,19,away,LU,,1,miss2,0,T. Young,
3,1,10:59.0,3,2,ATL,BRK,1,home,DefReb,,,DefReb,,P. Millsap,
4,1,10:46.0,6,2,ATL,BRK,13,home,JS,assist,25,make3,3,J. Teague,P. Millsap
5,1,10:25.0,6,4,ATL,BRK,21,away,LU,assist,2,make2,2,B. Lopez,D. Sloan
6,1,10:09.0,6,4,ATL,BRK,16,home,BadPass,steal,,turnover,,J. Teague,T. Young
7,1,10:05.0,6,4,ATL,BRK,4,away,BadPass,steal,,turnover,,T. Young,K. Korver
8,1,9:50.0,8,4,ATL,BRK,15,home,JS,assist,20,make2,2,A. Horford,J. Teague
9,1,9:33.0,8,4,ATL,BRK,17,away,D3SecTech,,,,,,
10,1,9:33.0,8,5,ATL,BRK,0,away,FreeThrow,,,make1,1,J. Johnson makes technical free throw,
11,1,9:24.0,8,5,ATL,BRK,9,away,JS,,20,miss2,0,W. Ellington,
12,1,9:23.0,8,5,ATL,BRK,1,home,DefReb,,,DefReb,,K. Bazemore,
13,1,9:12.0,8,5,ATL,BRK,11,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Young,P. Millsap
14,1,9:12.0,9,5,ATL,BRK,0,home,FreeThrow,,,make1,1,P. Millsap,
15,1,9:12.0,10,5,ATL,BRK,0,home,FreeThrow,,,make1,1,P. Millsap,
16,1,8:59.0,10,7,ATL,BRK,13,away,JS,assist,18,make2,2,T. Young,D. Sloan
17,1,8:49.0,10,7,ATL,BRK,10,home,JS,,24,miss3,0,A. Horford,
18,1,8:48.0,10,7,ATL,BRK,1,away,DefReb,,,DefReb,,T. Young,
19,1,8:41.0,10,7,ATL,BRK,7,away,ShootingFoul,DrawnBy,,ShootingFoul,,K. Korver,T. Young
20,1,8:41.0,10,8,ATL,BRK,0,away,FreeThrow,,,make1,1,T. Young,
21,1,8:41.0,10,9,ATL,BRK,0,away,FreeThrow,,,make1,1,T. Young,
22,1,8:32.0,12,9,ATL,BRK,9,home,LU,,1,make2,2,J. Teague,
23,1,8:19.0,12,11,ATL,BRK,13,away,JS,assist,17,make2,2,T. Young,D. Sloan
24,1,8:02.0,12,11,ATL,BRK,17,home,JS,,24,miss3,0,K. Bazemore,
25,1,8:00.0,12,11,ATL,BRK,2,home,OffReb,,,OffReb,,P. Millsap,
26,1,7:56.0,14,11,ATL,BRK,4,home,JS,assist,21,make2,2,K. Korver,P. Millsap
27,1,7:41.0,14,13,ATL,BRK,15,away,LU,assist,3,make2,2,T. Young,D. Sloan
28,1,7:30.0,16,13,ATL,BRK,11,home,LU,assist,1,make2,2,A. Horford,J. Teague
29,1,7:14.0,16,16,ATL,BRK,16,away,JS,assist,24,make3,3,W. Ellington,D. Sloan
30,1,6:45.0,16,16,ATL,BRK,29,home,JS,,24,miss3,0,P. Millsap,
31,1,6:44.0,16,16,ATL,BRK,1,away,DefReb,,,DefReb,,T. Young,
32,1,6:31.0,16,16,ATL,BRK,13,away,LU,block,1,miss2,0,B. Lopez,P. Millsap
33,1,6:29.0,16,16,ATL,BRK,2,home,DefReb,,,DefReb,,K. Bazemore,
34,1,6:26.0,16,16,ATL,BRK,3,home,Timeout,,,,,,
35,1,6:26.0,16,16,ATL,BRK,0,home,Sub,,,,,T. Sefolosha,K. Bazemore
36,1,6:26.0,16,16,ATL,BRK,0,home,Sub,,,,,T. Splitter,A. Horford
37,1,6:20.0,16,16,ATL,BRK,6,home,PersonalFoul,DrawnBy,,PersonalFoul,,J. Johnson,T. Splitter
38,1,6:12.0,16,16,ATL,BRK,8,home,LU,block,1,miss2,0,P. Millsap,T. Young
39,1,6:09.0,16,16,ATL,BRK,3,home,OffReb,,,OffReb,,T. Splitter,
40,1,6:05.0,16,16,ATL,BRK,4,home,JS,,25,miss3,0,T. Sefolosha,
41,1,6:04.0,16,16,ATL,BRK,1,away,DefReb,,,DefReb,,D. Sloan,
42,1,5:49.0,16,16,ATL,BRK,15,away,JS,,9,miss2,0,T. Young,
43,1,5:47.0,16,16,ATL,BRK,2,home,DefReb,,,DefReb,,T. Sefolosha,
44,1,5:40.0,18,16,ATL,BRK,7,home,LU,assist,1,make2,2,T. Splitter,T. Sefolosha
45,1,5:32.0,18,16,ATL,BRK,8,away,PersonalFoul,DrawnBy,,PersonalFoul,,T. Splitter,B. Lopez
46,1,5:32.0,18,16,ATL,BRK,0,away,Sub,,,,,S. Larkin,B. Lopez
47,1,5:32.0,18,16,ATL,BRK,0,away,Sub,,,,,T. Robinson,D. Sloan
48,1,5:23.0,18,16,ATL,BRK,9,away,JS,,17,miss2,0,T. Young,
49,1,5:21.0,18,16,ATL,BRK,2,home,DefReb,,,DefReb,,J. Teague,
50,1,5:06.0,18,16,ATL,BRK,15,home,JS,,21,miss2,0,K. Korver,
51,1,5:05.0,18,16,ATL,BRK,1,away,DefReb,,,DefReb,,J. Johnson,
52,1,4:44.0,18,16,ATL,BRK,21,away,JS,,4,miss2,0,T. Robinson,
53,1,4:42.0,18,16,ATL,BRK,2,home,DefReb,,,DefReb,,T. Splitter,
54,1,4:34.0,18,16,ATL,BRK,8,home,JS,,24,miss3,0,J. Teague,
55,1,4:33.0,18,16,ATL,BRK,1,away,DefReb,,,DefReb,,J. Johnson,
56,1,4:21.0,18,16,ATL,BRK,12,away,JS,,19,miss2,0,T. Young,
57,1,4:19.0,18,16,ATL,BRK,2,home,DefReb,,,DefReb,,T. Sefolosha,
58,1,4:12.0,20,16,ATL,BRK,7,home,LU,assist,1,make2,2,T. Sefolosha,P. Millsap
59,1,3:54.0,20,18,ATL,BRK,18,away,JS,,15,make2,2,S. Larkin,
60,1,3:38.0,20,18,ATL,BRK,16,home,LU,block,2,miss2,0,T. Splitter,T. Robinson
61,1,3:38.0,20,18,ATL,BRK,0,home,OffReb,,,OffReb,,Team,
62,1,3:38.0,20,18,ATL,BRK,0,home,Sub,,,,,D. Schröder,J. Teague
63,1,3:38.0,20,18,ATL,BRK,0,home,Sub,,,,,K. Bazemore,K. Korver
64,1,3:38.0,20,18,ATL,BRK,0,away,Sub,,,,,B. Bogdanović,J. Johnson
65,1,3:34.0,20,18,ATL,BRK,4,away,ChargeFoul,DrawnBy,,ChargeFoul,,P. Millsap,T. Young
66,1,3:34.0,20,18,ATL,BRK,0,home,OffensiveFoul,,,turnover,,P. Millsap,
67,1,3:22.0,20,20,ATL,BRK,12,away,JS,,17,make2,2,W. Ellington,
68,1,3:10.0,20,20,ATL,BRK,12,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Robinson,T. Sefolosha
69,1,3:10.0,20,20,ATL,BRK,0,home,FreeThrow,,,make1,0,T. Sefolosha,
70,1,3:10.0,20,20,ATL,BRK,0,home,OffReb,,,OffReb,,Team,
71,1,3:10.0,20,20,ATL,BRK,0,home,Sub,,,,,M. Scott,P. Millsap
72,1,3:10.0,21,20,ATL,BRK,0,home,FreeThrow,,,make1,1,T. Sefolosha,
73,1,2:51.0,21,20,ATL,BRK,19,away,JS,block,8,miss2,0,S. Larkin,T. Sefolosha
74,1,2:49.0,21,20,ATL,BRK,2,home,DefReb,,,DefReb,,T. Sefolosha,
75,1,2:47.0,23,20,ATL,BRK,2,home,LU,assist,0,make2,2,K. Bazemore,T. Sefolosha
76,1,2:47.0,23,20,ATL,BRK,0,away,Timeout,,,,,,
77,1,2:47.0,23,20,ATL,BRK,0,away,Sub,,,,,B. Lopez,T. Young
78,1,2:47.0,23,20,ATL,BRK,0,away,Sub,,,,,S. Karasev,W. Ellington
79,1,2:22.0,23,20,ATL,BRK,25,away,JS,,26,miss3,0,B. Bogdanović,
80,1,2:22.0,23,20,ATL,BRK,0,away,OffReb,,,OffReb,,Team,
81,1,2:22.0,23,20,ATL,BRK,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,M. Scott,T. Robinson
82,1,2:09.0,23,20,ATL,BRK,13,away,JS,,9,miss2,0,S. Larkin,
83,1,2:06.0,23,20,ATL,BRK,3,home,DefReb,,,DefReb,,T. Sefolosha,
84,1,1:52.0,23,20,ATL,BRK,14,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Robinson,T. Sefolosha
85,1,1:52.0,24,20,ATL,BRK,0,home,FreeThrow,,,make1,1,T. Sefolosha,
86,1,1:52.0,24,20,ATL,BRK,0,home,Sub,,,,,A. Horford,T. Splitter
87,1,1:52.0,25,20,ATL,BRK,0,home,FreeThrow,,,make1,1,T. Sefolosha,
88,1,1:41.0,25,20,ATL,BRK,11,away,JS,block,3,miss2,0,B. Lopez,A. Horford
89,1,1:38.0,25,20,ATL,BRK,3,home,DefReb,,,DefReb,,D. Schröder,
90,1,1:31.0,25,20,ATL,BRK,7,home,JS,,6,miss2,0,M. Scott,
91,1,1:30.0,25,20,ATL,BRK,1,away,DefReb,,,DefReb,,S. Karasev,
92,1,1:20.0,25,20,ATL,BRK,10,away,PersonalFoul,DrawnBy,,PersonalFoul,,A. Horford,B. Lopez
93,1,1:12.0,25,20,ATL,BRK,8,away,BadPass,steal,,turnover,,B. Bogdanović,T. Sefolosha
94,1,1:09.0,25,20,ATL,BRK,3,home,LostBall,steal,,turnover,,M. Scott,S. Larkin
95,1,1:06.0,25,20,ATL,BRK,3,home,ChargeFoul,DrawnBy,,ChargeFoul,,T. Robinson,K. Bazemore
96,1,1:06.0,25,20,ATL,BRK,0,away,OffensiveFoul,,,turnover,,T. Robinson,
