,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:40.0,0,0,LAL,SAS,20,away,JS,,3,miss2,0,T. Duncan,
1,1,11:37.0,0,0,LAL,SAS,3,home,DefReb,,,DefReb,,R. Hibbert,
2,1,11:24.0,2,0,LAL,SAS,13,home,JS,assist,14,make2,2,R. Hibbert,K. Bryant
3,1,11:03.0,2,0,LAL,SAS,21,away,JS,block,5,miss2,0,T. Duncan,K. Bryant
4,1,11:01.0,2,0,LAL,SAS,2,home,DefReb,,,DefReb,,J. Clarkson,
5,1,10:58.0,2,0,LAL,SAS,3,home,LU,block,2,miss2,0,J. Clarkson,D. Green
6,1,10:58.0,2,0,LAL,SAS,0,away,OffReb,,,OffReb,,D. Green,
7,1,10:43.0,2,3,LAL,SAS,15,away,JS,assist,25,make3,3,D. Green,D. West
8,1,10:27.0,4,3,LAL,SAS,16,home,JS,assist,19,make2,2,R. Hibbert,K. Bryant
9,1,10:14.0,4,3,LAL,SAS,13,away,JS,,22,miss3,0,K. Leonard,
10,1,10:12.0,4,3,LAL,SAS,2,home,DefReb,,,DefReb,,L. Williams,
11,1,9:59.0,4,3,LAL,SAS,13,home,HS,,10,miss2,0,R. Hibbert,
12,1,9:56.0,4,3,LAL,SAS,3,away,DefReb,,,DefReb,,D. West,
13,1,9:50.0,4,3,LAL,SAS,6,away,ShootingFoul,DrawnBy,,ShootingFoul,,R. Hibbert,T. Duncan
14,1,9:50.0,4,4,LAL,SAS,0,away,FreeThrow,,,make1,1,T. Duncan,
15,1,9:50.0,4,5,LAL,SAS,0,away,FreeThrow,,,make1,1,T. Duncan,
16,1,9:31.0,4,5,LAL,SAS,19,home,LU,block,3,miss2,0,K. Bryant,K. Leonard
17,1,9:28.0,4,5,LAL,SAS,3,away,DefReb,,,DefReb,,D. West,
18,1,9:20.0,4,5,LAL,SAS,8,away,JS,,15,miss2,0,D. West,
19,1,9:19.0,4,5,LAL,SAS,1,home,DefReb,,,DefReb,,J. Randle,
20,1,9:05.0,6,5,LAL,SAS,14,home,JS,assist,8,make2,2,J. Randle,R. Hibbert
21,1,8:41.0,6,5,LAL,SAS,24,away,JS,,2,miss2,0,T. Parker,
22,1,8:38.0,6,5,LAL,SAS,3,home,DefReb,,,DefReb,,J. Randle,
23,1,8:25.0,8,5,LAL,SAS,13,home,HS,,7,make2,2,J. Randle,
24,1,8:08.0,8,5,LAL,SAS,17,away,JS,,24,miss3,0,D. Green,
25,1,8:07.0,8,5,LAL,SAS,1,away,OffReb,,,OffReb,,T. Duncan,
26,1,8:03.0,8,5,LAL,SAS,4,away,JS,,27,miss3,0,D. Green,
27,1,8:02.0,8,5,LAL,SAS,1,home,DefReb,,,DefReb,,J. Randle,
28,1,7:49.0,8,5,LAL,SAS,13,home,PersonalFoul,DrawnBy,,PersonalFoul,,D. West,J. Randle
29,1,7:42.0,8,5,LAL,SAS,7,home,JS,,16,miss2,0,R. Hibbert,
30,1,7:40.0,8,5,LAL,SAS,2,away,DefReb,,,DefReb,,D. West,
31,1,7:34.0,8,8,LAL,SAS,6,away,JS,,25,make3,3,D. Green,
32,1,7:16.0,10,8,LAL,SAS,18,home,JS,,14,make2,2,L. Williams,
33,1,7:04.0,10,8,LAL,SAS,12,away,JS,,3,miss2,0,T. Parker,
34,1,7:01.0,10,8,LAL,SAS,3,home,DefReb,,,DefReb,,J. Randle,
35,1,6:44.0,10,8,LAL,SAS,17,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Parker,J. Clarkson
36,1,6:44.0,11,8,LAL,SAS,0,home,FreeThrow,,,make1,1,J. Clarkson,
37,1,6:44.0,12,8,LAL,SAS,0,home,FreeThrow,,,make1,1,J. Clarkson,
38,1,6:26.0,12,10,LAL,SAS,18,away,DK,assist,0,make2,2,K. Leonard,T. Duncan
39,1,6:26.0,12,10,LAL,SAS,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,L. Williams,K. Leonard
40,1,6:26.0,12,11,LAL,SAS,0,away,FreeThrow,,,make1,1,K. Leonard,
41,1,6:06.0,12,11,LAL,SAS,20,home,JS,,12,miss2,0,J. Randle,
42,1,6:01.0,12,11,LAL,SAS,5,away,DefReb,,,DefReb,,D. West,
43,1,5:56.0,12,14,LAL,SAS,5,away,JS,assist,25,make3,3,K. Leonard,D. Green
44,1,5:38.0,12,14,LAL,SAS,18,home,JS,,24,miss3,0,K. Bryant,
45,1,5:34.0,12,14,LAL,SAS,4,away,DefReb,,,DefReb,,D. Green,
46,1,5:28.0,12,14,LAL,SAS,6,away,ShootingFoul,DrawnBy,,ShootingFoul,,K. Bryant,K. Leonard
47,1,5:28.0,12,14,LAL,SAS,0,home,Timeout,,,,,,
