,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:44.0,2,0,IND,CHO,16,home,LU,assist,0,make2,2,M. Turner,P. George
1,1,11:27.0,2,0,IND,CHO,17,away,JS,,25,miss3,0,M. Williams,
2,1,11:26.0,2,0,IND,CHO,1,home,DefReb,,,DefReb,,I. Mahinmi,
3,1,11:18.0,4,0,IND,CHO,8,home,JS,assist,12,make2,2,M. Turner,P. George
4,1,10:58.0,4,0,IND,CHO,20,away,ShootingFoul,DrawnBy,,ShootingFoul,,G. Hill,K. Walker
5,1,10:58.0,4,1,IND,CHO,0,away,FreeThrow,,,make1,1,K. Walker,
6,1,10:58.0,4,2,IND,CHO,0,away,FreeThrow,,,make1,1,K. Walker,
7,1,10:42.0,4,2,IND,CHO,16,home,JS,,19,miss2,0,I. Mahinmi,
8,1,10:41.0,4,2,IND,CHO,1,home,OffReb,,,OffReb,,M. Turner,
9,1,10:39.0,4,2,IND,CHO,2,home,LostBall,steal,,turnover,,M. Turner,M. Kidd-Gilchrist
10,1,10:29.0,4,5,IND,CHO,10,away,JS,assist,25,make3,3,N. Batum,M. Kidd-Gilchrist
11,1,10:22.0,4,5,IND,CHO,7,home,PersonalFoul,DrawnBy,,PersonalFoul,,M. Williams,M. Turner
12,1,10:18.0,4,5,IND,CHO,4,home,JS,,22,miss2,0,P. George,
13,1,10:17.0,4,5,IND,CHO,1,away,DefReb,,,DefReb,,C. Zeller,
14,1,10:03.0,4,8,IND,CHO,14,away,JS,assist,25,make3,3,N. Batum,M. Kidd-Gilchrist
15,1,9:53.0,4,8,IND,CHO,10,home,LU,,1,miss2,0,G. Hill,
16,1,9:52.0,4,8,IND,CHO,1,home,OffReb,,,OffReb,,M. Turner,
17,1,9:49.0,6,8,IND,CHO,3,home,LU,,3,make2,2,M. Turner,
18,1,9:35.0,6,8,IND,CHO,14,away,ShootingFoul,DrawnBy,,ShootingFoul,,M. Ellis,C. Zeller
19,1,9:35.0,6,9,IND,CHO,0,away,FreeThrow,,,make1,1,C. Zeller,
20,1,9:35.0,6,10,IND,CHO,0,away,FreeThrow,,,make1,1,C. Zeller,
21,1,9:22.0,8,10,IND,CHO,13,home,JS,,19,make2,2,M. Ellis,
22,1,9:01.0,8,10,IND,CHO,21,away,JS,,7,miss2,0,M. Kidd-Gilchrist,
