,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:39.0,0,2,DAL,IND,21,away,JS,,17,make2,2,M. Ellis,
1,1,11:20.0,0,2,DAL,IND,19,home,PersonalFoul,,,,,M. Turner,
2,1,11:13.0,2,2,DAL,IND,7,home,JS,assist,19,make2,2,D. Nowitzki,W. Matthews
3,1,10:58.0,2,4,DAL,IND,15,away,LU,assist,2,make2,2,M. Turner,I. Mahinmi
4,1,10:38.0,2,4,DAL,IND,20,home,JS,,10,miss2,0,Z. Pachulia,
5,1,10:37.0,2,4,DAL,IND,1,away,DefReb,,,DefReb,,P. George,
6,1,10:18.0,2,6,DAL,IND,19,away,JS,,6,make2,2,M. Ellis,
7,1,10:04.0,2,6,DAL,IND,14,home,JS,,7,miss2,0,W. Matthews,
8,1,10:03.0,2,6,DAL,IND,1,away,DefReb,,,DefReb,,P. George,
9,1,9:54.0,2,6,DAL,IND,9,away,JS,,18,miss2,0,M. Turner,
10,1,9:53.0,2,6,DAL,IND,1,home,DefReb,,,DefReb,,Z. Pachulia,
11,1,9:39.0,2,6,DAL,IND,14,home,HS,,2,miss2,0,Z. Pachulia,
12,1,9:38.0,2,6,DAL,IND,1,away,DefReb,,,DefReb,,M. Ellis,
13,1,9:27.0,2,6,DAL,IND,11,away,ShootingFoul,DrawnBy,,ShootingFoul,,C. Parsons,M. Turner
14,1,9:27.0,2,7,DAL,IND,0,away,FreeThrow,,,make1,1,M. Turner,
15,1,9:27.0,2,8,DAL,IND,0,away,FreeThrow,,,make1,1,M. Turner,
16,1,9:17.0,2,8,DAL,IND,10,home,Timeout,,,,,,
17,1,9:08.0,2,8,DAL,IND,9,home,JS,block,4,miss2,0,C. Parsons,I. Mahinmi
18,1,9:06.0,2,8,DAL,IND,2,away,DefReb,,,DefReb,,P. George,
19,1,8:55.0,2,10,DAL,IND,11,away,JS,assist,16,make2,2,M. Turner,P. George
20,1,8:44.0,4,10,DAL,IND,11,home,JS,assist,18,make2,2,D. Williams,W. Matthews
21,1,8:30.0,4,10,DAL,IND,14,away,JS,,20,miss2,0,P. George,
22,1,8:29.0,4,10,DAL,IND,1,home,DefReb,,,DefReb,,W. Matthews,
23,1,8:18.0,4,10,DAL,IND,11,home,JS,,18,miss2,0,D. Williams,
24,1,8:16.0,4,10,DAL,IND,2,away,DefReb,,,DefReb,,M. Turner,
