,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:49.0,0,0,NYK,MEM,11,home,PersonalFoul,DrawnBy,,PersonalFoul,,J. Ennis,C. Anthony
1,1,11:45.0,2,0,NYK,MEM,4,home,LU,assist,1,make2,2,K. Porziņģis,J. Noah
2,1,11:22.0,2,2,NYK,MEM,23,away,JS,,21,make2,2,M. Conley,
3,1,11:04.0,4,2,NYK,MEM,18,home,JS,assist,5,make2,2,C. Lee,D. Rose
4,1,10:47.0,4,2,NYK,MEM,17,away,LU,block,2,miss2,0,M. Conley,D. Rose
5,1,10:45.0,4,2,NYK,MEM,2,home,DefReb,,,DefReb,,C. Anthony,
6,1,10:35.0,4,2,NYK,MEM,10,home,ShootingFoul,DrawnBy,,ShootingFoul,,J. Ennis,K. Porziņģis
7,1,10:35.0,5,2,NYK,MEM,0,home,FreeThrow,,,make1,1,K. Porziņģis,
8,1,10:35.0,5,2,NYK,MEM,0,away,Sub,,,,,V. Carter,J. Ennis
9,1,10:35.0,6,2,NYK,MEM,0,home,FreeThrow,,,make1,1,K. Porziņģis,
10,1,10:14.0,6,2,NYK,MEM,21,away,JS,,13,miss2,0,M. Gasol,
11,1,10:12.0,6,2,NYK,MEM,2,away,OffReb,,,OffReb,,M. Conley,
12,1,10:05.0,6,2,NYK,MEM,7,away,JS,,25,miss3,0,J. Green,
13,1,10:03.0,6,2,NYK,MEM,2,home,DefReb,,,DefReb,,J. Noah,
14,1,9:56.0,9,2,NYK,MEM,7,home,JS,assist,24,make3,3,C. Anthony,J. Noah
15,1,9:48.0,9,2,NYK,MEM,8,away,JS,,24,miss3,0,V. Carter,
16,1,9:46.0,9,2,NYK,MEM,2,home,DefReb,,,DefReb,,C. Anthony,
17,1,9:40.0,9,2,NYK,MEM,6,home,LostBall,,,turnover,,C. Anthony,
18,1,9:27.0,9,2,NYK,MEM,13,away,JS,,23,miss3,0,A. Harrison,
19,1,9:25.0,9,2,NYK,MEM,2,home,DefReb,,,DefReb,,K. Porziņģis,
20,1,9:20.0,11,2,NYK,MEM,5,home,JS,,14,make2,2,C. Lee,
21,1,9:13.0,11,2,NYK,MEM,7,away,Timeout,,,,,,
22,1,8:59.0,11,4,NYK,MEM,14,away,LU,,2,make2,2,M. Conley,
23,1,8:40.0,11,4,NYK,MEM,19,home,JS,,23,miss3,0,C. Anthony,
24,1,8:38.0,11,4,NYK,MEM,2,away,DefReb,,,DefReb,,J. Green,
25,1,8:30.0,11,6,NYK,MEM,8,away,JS,assist,18,make2,2,J. Green,A. Harrison
26,1,8:13.0,14,6,NYK,MEM,17,home,JS,assist,25,make3,3,C. Lee,D. Rose
27,1,7:50.0,14,6,NYK,MEM,23,away,Traveling,,,turnover,,M. Conley,
28,1,7:34.0,16,6,NYK,MEM,16,home,DK,assist,0,make2,2,J. Noah,C. Anthony
29,1,7:21.0,16,6,NYK,MEM,13,away,PersonalFoul,DrawnBy,,PersonalFoul,,J. Noah,M. Gasol
30,1,7:14.0,16,6,NYK,MEM,7,away,JS,,16,miss2,0,M. Gasol,
31,1,7:12.0,16,6,NYK,MEM,2,home,DefReb,,,DefReb,,C. Anthony,
32,1,7:04.0,16,6,NYK,MEM,8,home,JS,,13,miss2,0,D. Rose,
33,1,7:02.0,16,6,NYK,MEM,2,away,DefReb,,,DefReb,,M. Conley,
34,1,6:54.0,16,6,NYK,MEM,8,away,JS,,23,miss3,0,J. Green,
35,1,6:52.0,16,6,NYK,MEM,2,away,OffReb,,,OffReb,,Team,
36,1,6:52.0,16,6,NYK,MEM,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,D. Rose,M. Gasol
37,1,6:45.0,16,6,NYK,MEM,7,away,JS,,24,miss3,0,M. Conley,
38,1,6:43.0,16,6,NYK,MEM,2,home,DefReb,,,DefReb,,K. Porziņģis,
