,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:41.0,0,0,WAS,DET,19,away,LU,,9,miss2,0,A. Bradley,
1,1,11:40.0,0,0,WAS,DET,1,away,OffReb,,,OffReb,,Team,
2,1,11:38.0,0,0,WAS,DET,2,away,bad pass,steal,,turnover,,R. Jackson,K. Oubre
3,1,11:33.0,2,0,WAS,DET,5,home,DK,,1,make2,2,K. Oubre,
4,1,11:18.0,2,3,WAS,DET,15,away,JS,assist,25,make3,3,S. Johnson,A. Bradley
5,1,10:49.0,4,3,WAS,DET,29,home,LU,assist,4,make2,2,B. Beal,O. Porter
6,1,10:49.0,4,3,WAS,DET,0,away,DefGoaltending,,,DefGoaltending,,A. Drummond,
7,1,10:45.0,4,3,WAS,DET,4,away,JS,,21,miss2,0,A. Bradley,
8,1,10:38.0,4,3,WAS,DET,7,home,DefReb,,,DefReb,,O. Porter,
9,1,10:35.0,6,3,WAS,DET,3,home,LU,,1,make2,2,J. Wall,
10,1,10:19.0,6,3,WAS,DET,16,away,LU,,0,miss2,0,R. Jackson,
11,1,10:19.0,6,3,WAS,DET,0,away,OffReb,,,OffReb,,A. Drummond,
12,1,10:15.0,6,5,WAS,DET,4,away,DK,,0,make2,2,A. Drummond,
13,1,10:12.0,6,5,WAS,DET,3,home,JS,,26,miss3,0,O. Porter,
14,1,10:12.0,6,5,WAS,DET,0,away,DefReb,,,DefReb,,R. Jackson,
15,1,10:06.0,6,5,WAS,DET,6,away,JS,,16,miss2,0,R. Jackson,
16,1,10:01.0,6,5,WAS,DET,5,away,OffReb,,,OffReb,,A. Drummond,
17,1,9:57.0,6,7,WAS,DET,4,away,DK,assist,1,make2,2,T. Harris,S. Johnson
18,1,9:38.0,8,7,WAS,DET,19,home,JS,assist,13,make2,2,M. Gortat,B. Beal
19,1,9:23.0,8,10,WAS,DET,15,away,JS,,26,make3,3,T. Harris,
20,1,9:08.0,10,10,WAS,DET,15,home,JS,assist,12,make2,2,B. Beal,J. Wall
21,1,9:08.0,10,10,WAS,DET,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,S. Johnson,B. Beal
22,1,9:08.0,10,10,WAS,DET,0,home,FreeThrow,,,make1,0,B. Beal,
23,1,9:05.0,10,10,WAS,DET,3,away,DefReb,,,DefReb,,A. Drummond,
