,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:45.0,0,2,MEM,DAL,15,away,JS,assist,16,make2,2,H. Barnes,D. Smith
1,1,11:21.0,0,2,MEM,DAL,24,home,HS,,4,miss2,0,M. Gasol,
2,1,11:17.0,0,2,MEM,DAL,4,home,OffReb,,,OffReb,,J. Martin,
3,1,11:14.0,3,2,MEM,DAL,3,home,JS,assist,25,make3,3,M. Gasol,J. Martin
4,1,11:01.0,3,2,MEM,DAL,13,away,JS,,20,miss2,0,D. Nowitzki,
5,1,10:59.0,3,2,MEM,DAL,2,home,DefReb,,,DefReb,,J. Ennis,
6,1,10:52.0,3,2,MEM,DAL,7,home,JS,,25,miss3,0,M. Conley,
7,1,10:48.0,3,2,MEM,DAL,4,away,DefReb,,,DefReb,,D. Nowitzki,
8,1,10:37.0,3,2,MEM,DAL,11,away,ShootingFoul,DrawnBy,,ShootingFoul,,A. Harrison,W. Matthews
9,1,10:37.0,3,3,MEM,DAL,0,away,FreeThrow,,,make1,1,W. Matthews,
10,1,10:37.0,3,4,MEM,DAL,0,away,FreeThrow,,,make1,1,W. Matthews,
11,1,10:26.0,3,4,MEM,DAL,11,home,Turnover,,,turnover,,M. Gasol,
12,1,10:26.0,3,4,MEM,DAL,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,M. Gasol,N. Noel
13,1,10:09.0,3,4,MEM,DAL,17,away,BadPass,,,turnover,,D. Nowitzki,
14,1,10:00.0,3,4,MEM,DAL,9,home,JS,,15,miss2,0,M. Conley,
15,1,9:56.0,3,4,MEM,DAL,4,away,DefReb,,,DefReb,,H. Barnes,
16,1,9:50.0,3,6,MEM,DAL,6,away,JS,,21,make2,2,H. Barnes,
17,1,9:28.0,3,6,MEM,DAL,22,home,JS,,23,miss3,0,J. Ennis,
18,1,9:26.0,3,6,MEM,DAL,2,away,DefReb,,,DefReb,,N. Noel,
19,1,9:12.0,3,6,MEM,DAL,14,away,JS,,21,miss2,0,D. Nowitzki,
20,1,9:09.0,3,6,MEM,DAL,3,home,DefReb,,,DefReb,,M. Gasol,
21,1,9:03.0,6,6,MEM,DAL,6,home,JS,assist,25,make3,3,J. Martin,M. Conley
22,1,8:51.0,6,8,MEM,DAL,12,away,JS,,17,make2,2,D. Smith,
23,1,8:36.0,6,8,MEM,DAL,15,home,PersonalFoul,DrawnBy,,PersonalFoul,,N. Noel,M. Conley
24,1,8:21.0,6,8,MEM,DAL,15,home,JS,,15,miss2,0,A. Harrison,
25,1,8:19.0,6,8,MEM,DAL,2,away,DefReb,,,DefReb,,D. Nowitzki,
26,1,8:13.0,6,8,MEM,DAL,6,away,JS,,25,miss3,0,D. Smith,
27,1,8:08.0,6,8,MEM,DAL,5,home,DefReb,,,DefReb,,J. Martin,
28,1,8:04.0,6,8,MEM,DAL,4,home,PersonalFoul,DrawnBy,,PersonalFoul,,N. Noel,M. Gasol
29,1,8:04.0,6,8,MEM,DAL,0,away,Sub,,,,,D. Powell,N. Noel
30,1,7:56.0,6,8,MEM,DAL,8,home,LU,block,1,miss2,0,M. Conley,D. Smith
31,1,7:53.0,6,8,MEM,DAL,3,away,DefReb,,,DefReb,,D. Powell,
32,1,7:42.0,6,8,MEM,DAL,11,away,JS,,25,miss3,0,W. Matthews,
33,1,7:39.0,6,8,MEM,DAL,3,home,DefReb,,,DefReb,,J. Ennis,
34,1,7:32.0,8,8,MEM,DAL,7,home,LU,assist,1,make2,2,M. Gasol,M. Conley
35,1,7:26.0,8,8,MEM,DAL,6,away,BadPass,,,turnover,,D. Smith,
36,1,7:10.0,11,8,MEM,DAL,16,home,JS,assist,24,make3,3,J. Martin,M. Conley
37,1,6:55.0,11,8,MEM,DAL,15,away,JS,,20,miss2,0,H. Barnes,
38,1,6:52.0,11,8,MEM,DAL,3,home,DefReb,,,DefReb,,M. Gasol,
39,1,6:44.0,11,8,MEM,DAL,8,home,PersonalFoul,DrawnBy,,PersonalFoul,,D. Powell,A. Harrison
40,1,6:44.0,11,8,MEM,DAL,0,home,Timeout,,,,,,
41,1,6:44.0,11,8,MEM,DAL,0,away,Sub,,,,,Y. Ferrell,W. Matthews
42,1,6:44.0,11,8,MEM,DAL,0,away,Sub,,,,,M. Kleber,D. Nowitzki
43,1,6:41.0,11,8,MEM,DAL,3,home,Traveling,,,turnover,,A. Harrison,
44,1,6:24.0,11,8,MEM,DAL,17,away,LU,,1,miss2,0,D. Powell,
45,1,6:21.0,11,8,MEM,DAL,3,home,DefReb,,,DefReb,,Team,
46,1,6:16.0,11,8,MEM,DAL,5,home,JS,,26,miss3,0,M. Gasol,
47,1,6:13.0,11,8,MEM,DAL,3,away,DefReb,,,DefReb,,H. Barnes,
48,1,5:58.0,11,8,MEM,DAL,15,away,LU,,0,miss2,0,D. Smith,
49,1,5:53.0,11,8,MEM,DAL,5,home,DefReb,,,DefReb,,J. Martin,
50,1,5:47.0,13,8,MEM,DAL,6,home,LU,,0,make2,2,M. Conley,
51,1,5:25.0,13,8,MEM,DAL,22,away,JS,,18,miss2,0,D. Smith,
52,1,5:22.0,13,8,MEM,DAL,3,home,DefReb,,,DefReb,,M. Gasol,
53,1,5:16.0,13,8,MEM,DAL,6,home,JS,,22,miss3,0,J. Ennis,
54,1,5:13.0,13,8,MEM,DAL,3,away,DefReb,,,DefReb,,D. Powell,
55,1,5:02.0,13,10,MEM,DAL,11,away,LU,assist,1,make2,2,H. Barnes,D. Smith
56,1,4:48.0,15,10,MEM,DAL,14,home,LU,assist,0,make2,2,M. Gasol,A. Harrison
57,1,4:48.0,15,10,MEM,DAL,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,D. Powell,M. Gasol
58,1,4:48.0,15,10,MEM,DAL,0,home,Sub,,,,,M. Chalmers,A. Harrison
59,1,4:48.0,15,10,MEM,DAL,0,home,Sub,,,,,T. Evans,M. Conley
60,1,4:48.0,15,10,MEM,DAL,0,away,Sub,,,,,J. Barea,D. Smith
61,1,4:48.0,15,10,MEM,DAL,0,away,Sub,,,,,S. Mejri,D. Powell
62,1,4:48.0,16,10,MEM,DAL,0,home,FreeThrow,,,make1,1,M. Gasol,
63,1,4:27.0,16,10,MEM,DAL,21,away,bad pass,steal,,turnover,,Y. Ferrell,M. Chalmers
64,1,4:23.0,18,10,MEM,DAL,4,home,LU,assist,1,make2,2,J. Ennis,M. Chalmers
65,1,4:21.0,18,10,MEM,DAL,2,away,Timeout,,,,,,
66,1,4:10.0,18,10,MEM,DAL,11,away,JS,,27,miss3,0,M. Kleber,
67,1,4:07.0,18,10,MEM,DAL,3,away,OffReb,,,OffReb,,S. Mejri,
68,1,4:03.0,18,10,MEM,DAL,4,away,JS,,25,miss3,0,Y. Ferrell,
69,1,4:03.0,18,10,MEM,DAL,0,home,DefReb,,,DefReb,,Team,
70,1,3:44.0,20,10,MEM,DAL,19,home,HS,,0,make2,2,M. Gasol,
71,1,3:40.0,20,10,MEM,DAL,4,home,TechnicalFoul,,,TechnicalFoul,,Team,
72,1,3:40.0,21,10,MEM,DAL,0,home,FreeThrow,,,make1,1,M. Gasol makes technical free throw,
73,1,3:40.0,21,10,MEM,DAL,0,home,Sub,,,,,D. Brooks,J. Martin
74,1,3:40.0,21,10,MEM,DAL,0,home,Sub,,,,,C. Parsons,J. Ennis
75,1,3:26.0,21,10,MEM,DAL,14,away,JS,,23,miss3,0,H. Barnes,
76,1,3:26.0,21,10,MEM,DAL,0,away,LU,,0,miss2,0,S. Mejri,
77,1,3:26.0,21,10,MEM,DAL,0,home,DefReb,,,DefReb,,M. Gasol,
78,1,3:23.0,21,10,MEM,DAL,3,away,DefReb,,,DefReb,,S. Mejri,
79,1,3:13.0,21,10,MEM,DAL,10,home,HS,,6,miss2,0,M. Gasol,
80,1,3:10.0,21,10,MEM,DAL,3,away,DefReb,,,DefReb,,M. Kleber,
81,1,3:04.0,21,10,MEM,DAL,6,away,JS,,25,miss3,0,J. Barea,
82,1,3:02.0,21,10,MEM,DAL,2,home,DefReb,,,DefReb,,M. Gasol,
83,1,2:42.0,23,10,MEM,DAL,20,home,JS,assist,17,make2,2,D. Brooks,C. Parsons
84,1,2:28.0,23,10,MEM,DAL,14,away,BadPass,,,turnover,,J. Barea,
85,1,2:28.0,23,10,MEM,DAL,0,home,Sub,,,,,B. Wright,M. Gasol
86,1,2:28.0,23,10,MEM,DAL,0,away,Sub,,,,,D. Nowitzki,H. Barnes
87,1,2:28.0,23,10,MEM,DAL,0,away,Sub,,,,,W. Matthews,M. Kleber
88,1,2:19.0,23,10,MEM,DAL,9,home,JS,,25,miss3,0,C. Parsons,
89,1,2:15.0,23,10,MEM,DAL,4,home,OffReb,,,OffReb,,B. Wright,
90,1,2:15.0,23,10,MEM,DAL,0,home,LU,,0,miss2,0,B. Wright,
91,1,2:15.0,23,10,MEM,DAL,0,home,OffReb,,,OffReb,,T. Evans,
92,1,2:12.0,23,10,MEM,DAL,3,home,LU,block,0,miss2,0,T. Evans,S. Mejri
93,1,2:12.0,23,10,MEM,DAL,0,away,DefReb,,,DefReb,,S. Mejri,
94,1,2:05.0,23,12,MEM,DAL,7,away,JS,assist,12,make2,2,D. Nowitzki,Y. Ferrell
95,1,1:44.0,23,12,MEM,DAL,21,home,JS,,26,miss3,0,M. Chalmers,
96,1,1:41.0,23,12,MEM,DAL,3,away,DefReb,,,DefReb,,D. Nowitzki,
97,1,1:22.0,23,12,MEM,DAL,19,away,JS,,12,miss2,0,J. Barea,
98,1,1:19.0,23,12,MEM,DAL,3,away,OffReb,,,OffReb,,S. Mejri,
