,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:37.0,0,0,HOU,SAS,23,away,JS,,11,miss2,0,P. Gasol,
1,1,11:33.0,0,0,HOU,SAS,4,home,DefReb,,,DefReb,,C. Capela,
2,1,11:23.0,0,0,HOU,SAS,10,home,JS,,23,miss3,0,P. Tucker,
3,1,11:19.0,0,0,HOU,SAS,4,away,DefReb,,,DefReb,,P. Gasol,
4,1,11:11.0,0,2,HOU,SAS,8,away,JS,assist,16,make2,2,R. Gay,K. Anderson
5,1,10:45.0,2,2,HOU,SAS,26,home,JS,,14,make2,2,C. Paul,
6,1,10:25.0,2,2,HOU,SAS,20,away,JS,,25,miss3,0,P. Mills,
7,1,10:25.0,2,2,HOU,SAS,0,home,DefReb,,,DefReb,,P. Tucker,
8,1,10:12.0,4,2,HOU,SAS,13,home,DK,assist,0,make2,2,C. Capela,J. Harden
9,1,9:54.0,4,2,HOU,SAS,18,away,PersonalFoul,DrawnBy,,PersonalFoul,,C. Paul,D. Murray
10,1,9:42.0,4,2,HOU,SAS,12,away,JS,,8,miss2,0,P. Gasol,
11,1,9:39.0,4,2,HOU,SAS,3,home,DefReb,,,DefReb,,P. Tucker,
12,1,9:35.0,4,2,HOU,SAS,4,home,ShootingFoul,DrawnBy,,ShootingFoul,,P. Gasol,C. Capela
13,1,9:35.0,5,2,HOU,SAS,0,home,FreeThrow,,,make1,1,C. Capela,
14,1,9:35.0,5,2,HOU,SAS,0,home,FreeThrow,,,make1,0,C. Capela,
15,1,9:35.0,5,2,HOU,SAS,0,away,DefReb,,,DefReb,,Team,
16,1,9:20.0,5,2,HOU,SAS,15,away,JS,,3,miss2,0,R. Gay,
17,1,9:18.0,5,2,HOU,SAS,2,home,DefReb,,,DefReb,,C. Capela,
18,1,9:13.0,5,2,HOU,SAS,5,home,OutOfBoundsLB,,,turnover,,J. Harden,
19,1,8:57.0,5,2,HOU,SAS,16,away,JS,,8,miss2,0,R. Gay,
20,1,8:55.0,5,2,HOU,SAS,2,home,DefReb,,,DefReb,,C. Capela,
21,1,8:44.0,8,2,HOU,SAS,11,home,JS,assist,26,make3,3,T. Ariza,C. Paul
22,1,8:34.0,8,2,HOU,SAS,10,away,JS,,12,miss2,0,D. Murray,
23,1,8:31.0,8,2,HOU,SAS,3,home,DefReb,,,DefReb,,T. Ariza,
24,1,8:24.0,8,2,HOU,SAS,7,home,bad pass,steal,,turnover,,T. Ariza,D. Murray
25,1,8:20.0,8,2,HOU,SAS,4,away,LU,,0,miss2,0,R. Gay,
