,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:37.0,0,2,BOS,MIA,23,away,LU,,5,make2,2,J. Richardson,
1,1,11:37.0,0,2,BOS,MIA,0,home,DefGoaltending,,,DefGoaltending,,Team,
2,1,11:25.0,3,2,BOS,MIA,12,home,JS,assist,26,make3,3,M. Morris,M. Smart
3,1,11:03.0,3,2,BOS,MIA,22,away,JS,,17,miss2,0,J. Winslow,
4,1,11:00.0,3,2,BOS,MIA,3,home,DefReb,,,DefReb,,K. Irving,
5,1,10:54.0,3,2,BOS,MIA,6,home,JS,,11,miss2,0,K. Irving,
6,1,10:52.0,3,2,BOS,MIA,2,home,OffReb,,,OffReb,,A. Horford,
7,1,10:51.0,5,2,BOS,MIA,1,home,LU,,2,make2,2,A. Horford,
8,1,10:38.0,5,2,BOS,MIA,13,away,JS,,24,miss3,0,J. Richardson,
9,1,10:35.0,5,2,BOS,MIA,3,home,DefReb,,,DefReb,,A. Horford,
10,1,10:33.0,5,2,BOS,MIA,2,home,PersonalFoul,DrawnBy,,PersonalFoul,,J. Richardson,M. Morris
11,1,10:16.0,7,2,BOS,MIA,17,home,JS,,8,make2,2,M. Morris,
12,1,9:48.0,7,2,BOS,MIA,28,away,ShotClockViolation,,,turnover,,Team,
13,1,9:34.0,7,2,BOS,MIA,14,home,JS,,22,miss2,0,K. Irving,
14,1,9:32.0,7,2,BOS,MIA,2,away,DefReb,,,DefReb,,H. Whiteside,
15,1,9:28.0,7,2,BOS,MIA,4,away,JS,,26,miss3,0,R. McGruder,
16,1,9:24.0,7,2,BOS,MIA,4,home,DefReb,,,DefReb,,J. Tatum,
17,1,9:12.0,7,2,BOS,MIA,12,home,JS,,15,miss2,0,J. Tatum,
18,1,9:09.0,7,2,BOS,MIA,3,away,DefReb,,,DefReb,,H. Whiteside,
19,1,9:04.0,7,2,BOS,MIA,5,away,Traveling,,,turnover,,H. Whiteside,
20,1,8:55.0,9,2,BOS,MIA,9,home,JS,,18,make2,2,K. Irving,
21,1,8:39.0,9,2,BOS,MIA,16,away,JS,,23,miss3,0,R. McGruder,
22,1,8:37.0,9,2,BOS,MIA,2,home,DefReb,,,DefReb,,M. Morris,
23,1,8:30.0,9,2,BOS,MIA,7,home,JS,,25,miss3,0,M. Morris,
24,1,8:26.0,9,2,BOS,MIA,4,home,OffReb,,,OffReb,,A. Horford,
25,1,8:25.0,12,2,BOS,MIA,1,home,JS,assist,25,make3,3,J. Tatum,A. Horford
26,1,8:23.0,12,2,BOS,MIA,2,away,Timeout,,,,,,
