,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:45.0,2,0,CHI,MEM,15,home,LU,assist,1,make2,2,R. Lopez,Z. LaVine
1,1,11:29.0,2,0,CHI,MEM,16,away,Traveling,,,turnover,,A. Bradley,
2,1,11:08.0,2,0,CHI,MEM,21,home,3sec,,,turnover,,L. Markkanen,
3,1,10:49.0,2,2,CHI,MEM,19,away,LU,assist,2,make2,2,J. Jackson,A. Bradley
4,1,10:29.0,4,2,CHI,MEM,20,home,LU,,1,make2,2,R. Lopez,
5,1,10:17.0,4,2,CHI,MEM,12,away,LU,,0,miss2,0,J. Jackson,
6,1,10:10.0,4,2,CHI,MEM,7,away,OffReb,,,OffReb,,I. Rabb,
7,1,10:10.0,4,4,CHI,MEM,0,away,LU,,1,make2,2,I. Rabb,
8,1,10:01.0,4,4,CHI,MEM,9,home,bad pass,steal,,turnover,,Z. LaVine,I. Rabb
9,1,9:57.0,4,4,CHI,MEM,4,away,JS,,25,miss3,0,J. Holiday,
10,1,9:55.0,4,4,CHI,MEM,2,home,DefReb,,,DefReb,,L. Markkanen,
11,1,9:52.0,7,4,CHI,MEM,3,home,JS,assist,26,make3,3,Z. LaVine,L. Markkanen
12,1,9:30.0,7,4,CHI,MEM,22,away,JS,,25,miss3,0,J. Holiday,
13,1,9:30.0,7,4,CHI,MEM,0,home,DefReb,,,DefReb,,R. Arcidiacono,
14,1,9:18.0,10,4,CHI,MEM,12,home,JS,assist,26,make3,3,O. Porter,L. Markkanen
15,1,8:57.0,10,4,CHI,MEM,21,away,bad pass,steal,,turnover,,J. Jackson,R. Arcidiacono
16,1,8:54.0,12,4,CHI,MEM,3,home,DK,assist,1,make2,2,O. Porter,R. Lopez
17,1,8:54.0,12,4,CHI,MEM,0,away,Timeout,,,,,,
18,1,8:54.0,12,4,CHI,MEM,0,away,Sub,,,,,J. Valančiūnas,I. Rabb
19,1,8:38.0,12,6,CHI,MEM,16,away,DK,assist,1,make2,2,J. Valančiūnas,M. Conley
20,1,8:19.0,14,6,CHI,MEM,19,home,HS,assist,6,make2,2,R. Lopez,Z. LaVine
21,1,8:05.0,14,8,CHI,MEM,14,away,LU,assist,0,make2,2,J. Jackson,M. Conley
22,1,7:54.0,16,8,CHI,MEM,11,home,DK,assist,1,make2,2,L. Markkanen,R. Arcidiacono
23,1,7:41.0,16,8,CHI,MEM,13,away,bad pass,steal,,turnover,,J. Valančiūnas,L. Markkanen
24,1,7:36.0,18,8,CHI,MEM,5,home,LU,assist,1,make2,2,R. Arcidiacono,L. Markkanen
25,1,7:26.0,18,10,CHI,MEM,10,away,JS,assist,16,make2,2,A. Bradley,J. Holiday
