,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:39.0,0,0,SAS,DEN,21,away,JS,,25,miss3,0,J. Murray,
1,1,11:35.0,0,0,SAS,DEN,4,home,DefReb,,,DefReb,,J. Poeltl,
2,1,11:17.0,0,0,SAS,DEN,18,home,JS,,17,miss2,0,L. Aldridge,
3,1,11:13.0,0,0,SAS,DEN,4,home,OffReb,,,OffReb,,D. White,
4,1,11:06.0,3,0,SAS,DEN,7,home,JS,assist,28,make3,3,L. Aldridge,D. White
5,1,10:51.0,3,0,SAS,DEN,15,away,JS,,27,miss3,0,P. Millsap,
6,1,10:48.0,3,0,SAS,DEN,3,home,DefReb,,,DefReb,,D. DeRozan,
7,1,10:42.0,5,0,SAS,DEN,6,home,LU,,3,make2,2,D. DeRozan,
8,1,10:26.0,5,0,SAS,DEN,16,away,bad pass,steal,,turnover,,W. Barton,D. White
9,1,10:18.0,7,0,SAS,DEN,8,home,LU,,4,make2,2,D. DeRozan,
10,1,10:06.0,7,0,SAS,DEN,12,away,LU,,4,miss2,0,N. Jokić,
11,1,10:03.0,7,0,SAS,DEN,3,home,DefReb,,,DefReb,,L. Aldridge,
12,1,9:56.0,7,0,SAS,DEN,7,home,JS,,18,miss2,0,L. Aldridge,
13,1,9:50.0,7,0,SAS,DEN,6,away,DefReb,,,DefReb,,P. Millsap,
14,1,9:47.0,7,0,SAS,DEN,3,away,JS,,26,miss3,0,W. Barton,
15,1,9:44.0,7,0,SAS,DEN,3,home,DefReb,,,DefReb,,B. Forbes,
16,1,9:36.0,7,0,SAS,DEN,8,home,lost ball,steal,,turnover,,B. Forbes,P. Millsap
17,1,9:33.0,7,2,SAS,DEN,3,away,DK,assist,3,make2,2,W. Barton,G. Harris
18,1,9:10.0,9,2,SAS,DEN,23,home,JS,assist,19,make2,2,D. White,J. Poeltl
19,1,8:53.0,9,4,SAS,DEN,17,away,JS,assist,7,make2,2,N. Jokić,J. Murray
20,1,8:31.0,9,4,SAS,DEN,22,home,JS,,25,miss3,0,D. White,
21,1,8:29.0,9,4,SAS,DEN,2,away,DefReb,,,DefReb,,W. Barton,
22,1,8:20.0,9,7,SAS,DEN,9,away,JS,assist,26,make3,3,J. Murray,N. Jokić
23,1,8:00.0,11,7,SAS,DEN,20,home,JS,assist,13,make2,2,B. Forbes,D. DeRozan
24,1,7:47.0,11,7,SAS,DEN,13,away,bad pass,steal,,turnover,,J. Murray,D. DeRozan
25,1,7:42.0,13,7,SAS,DEN,5,home,LU,,4,make2,2,D. DeRozan,
26,1,7:42.0,13,7,SAS,DEN,0,away,Timeout,,,,,,
27,1,7:30.0,13,9,SAS,DEN,12,away,JS,assist,6,make2,2,N. Jokić,J. Murray
28,1,7:12.0,15,9,SAS,DEN,18,home,LU,assist,5,make2,2,D. White,D. DeRozan
29,1,6:59.0,15,9,SAS,DEN,13,away,PersonalFoul,DrawnBy,,PersonalFoul,,J. Poeltl,N. Jokić
30,1,6:50.0,15,9,SAS,DEN,9,away,LU,,5,miss2,0,G. Harris,
31,1,6:48.0,15,9,SAS,DEN,2,home,DefReb,,,DefReb,,D. White,
32,1,6:42.0,15,9,SAS,DEN,6,home,ShootingFoul,DrawnBy,,ShootingFoul,,J. Murray,D. White
33,1,6:42.0,16,9,SAS,DEN,0,home,FreeThrow,,,make1,1,D. White,
34,1,6:42.0,17,9,SAS,DEN,0,home,FreeThrow,,,make1,1,D. White,
35,1,6:32.0,17,9,SAS,DEN,10,away,ShootingFoul,DrawnBy,,ShootingFoul,,J. Poeltl,J. Murray
36,1,6:32.0,17,10,SAS,DEN,0,away,FreeThrow,,,make1,1,J. Murray,
37,1,6:32.0,17,10,SAS,DEN,0,home,Sub,,,,,R. Gay,J. Poeltl
38,1,6:32.0,17,11,SAS,DEN,0,away,FreeThrow,,,make1,1,J. Murray,
39,1,6:15.0,19,11,SAS,DEN,17,home,JS,assist,8,make2,2,L. Aldridge,R. Gay
40,1,5:57.0,19,11,SAS,DEN,18,away,JS,,25,miss3,0,J. Murray,
41,1,5:54.0,19,11,SAS,DEN,3,home,DefReb,,,DefReb,,R. Gay,
42,1,5:50.0,21,11,SAS,DEN,4,home,LU,assist,3,make2,2,L. Aldridge,D. DeRozan
43,1,5:38.0,21,11,SAS,DEN,12,away,BadPass,,,turnover,,J. Murray,
44,1,5:38.0,21,11,SAS,DEN,0,away,Sub,,,,,M. Beasley,G. Harris
45,1,5:38.0,21,11,SAS,DEN,0,away,Sub,,,,,M. Plumlee,P. Millsap
46,1,5:26.0,23,11,SAS,DEN,12,home,DK,,2,make2,2,L. Aldridge,
47,1,5:11.0,23,11,SAS,DEN,15,away,LU,,4,miss2,0,J. Murray,
48,1,5:08.0,23,11,SAS,DEN,3,home,DefReb,,,DefReb,,R. Gay,
49,1,4:53.0,23,11,SAS,DEN,15,home,JS,,25,miss3,0,R. Gay,
50,1,4:50.0,23,11,SAS,DEN,3,away,DefReb,,,DefReb,,N. Jokić,
51,1,4:38.0,23,13,SAS,DEN,12,away,JS,assist,7,make2,2,W. Barton,M. Plumlee
52,1,4:38.0,23,13,SAS,DEN,0,home,Timeout,,,,,,
53,1,4:38.0,23,13,SAS,DEN,0,away,Sub,,,,,M. Morris,J. Murray
54,1,4:38.0,23,13,SAS,DEN,0,home,Sub,,,,,M. Belinelli,B. Forbes
55,1,4:38.0,23,13,SAS,DEN,0,home,Sub,,,,,P. Mills,D. White
56,1,4:16.0,23,13,SAS,DEN,22,home,JS,,23,miss3,0,R. Gay,
57,1,4:12.0,23,13,SAS,DEN,4,away,DefReb,,,DefReb,,N. Jokić,
58,1,4:07.0,23,13,SAS,DEN,5,away,LU,,6,miss2,0,W. Barton,
59,1,4:05.0,23,13,SAS,DEN,2,home,DefReb,,,DefReb,,R. Gay,
60,1,3:56.0,23,13,SAS,DEN,9,home,LU,,3,miss2,0,L. Aldridge,
61,1,3:54.0,23,13,SAS,DEN,2,away,DefReb,,,DefReb,,N. Jokić,
62,1,3:41.0,23,13,SAS,DEN,13,away,JS,,8,miss2,0,M. Morris,
63,1,3:37.0,23,13,SAS,DEN,4,away,OffReb,,,OffReb,,M. Plumlee,
64,1,3:35.0,23,13,SAS,DEN,2,away,JS,,26,miss3,0,W. Barton,
