,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:45.0,0,3,OKC,GSW,15,away,JS,assist,24,make3,3,S. Curry,A. Iguodala
1,1,11:21.0,0,3,OKC,GSW,24,home,ShootingFoul,DrawnBy,,ShootingFoul,,D. Cousins,S. Adams
2,1,11:21.0,1,3,OKC,GSW,0,home,FreeThrow,,,make1,1,S. Adams,
3,1,11:21.0,1,3,OKC,GSW,0,home,FreeThrow,,,make1,0,S. Adams,
4,1,11:18.0,1,3,OKC,GSW,3,home,OffReb,,,OffReb,,P. George,
5,1,11:17.0,3,3,OKC,GSW,1,home,DK,,1,make2,2,P. George,
6,1,11:03.0,3,3,OKC,GSW,14,away,OutOfBoundsLB,,,turnover,,S. Curry,
7,1,10:58.0,3,3,OKC,GSW,5,home,LU,,2,miss2,0,S. Adams,
8,1,10:57.0,3,3,OKC,GSW,1,away,DefReb,,,DefReb,,D. Green,
9,1,10:52.0,3,3,OKC,GSW,5,away,JS,,23,miss3,0,K. Thompson,
10,1,10:46.0,3,3,OKC,GSW,6,home,DefReb,,,DefReb,,P. George,
11,1,10:38.0,3,3,OKC,GSW,8,home,JS,,23,miss3,0,T. Ferguson,
12,1,10:35.0,3,3,OKC,GSW,3,away,DefReb,,,DefReb,,D. Cousins,
13,1,10:27.0,3,6,OKC,GSW,8,away,JS,assist,24,make3,3,K. Thompson,D. Cousins
14,1,10:09.0,3,6,OKC,GSW,18,home,JS,block,6,miss2,0,J. Grant,A. Iguodala
15,1,10:07.0,3,6,OKC,GSW,2,away,DefReb,,,DefReb,,A. Iguodala,
16,1,9:49.0,3,8,OKC,GSW,18,away,DK,assist,1,make2,2,A. Iguodala,S. Curry
17,1,9:36.0,3,8,OKC,GSW,13,home,JS,,13,miss2,0,J. Grant,
18,1,9:32.0,3,8,OKC,GSW,4,home,OffReb,,,OffReb,,S. Adams,
19,1,9:31.0,5,8,OKC,GSW,1,home,LU,,1,make2,2,S. Adams,
20,1,9:22.0,5,8,OKC,GSW,9,away,ShootingFoul,DrawnBy,,ShootingFoul,,R. Westbrook,K. Thompson
21,1,9:22.0,5,9,OKC,GSW,0,away,FreeThrow,,,make1,1,K. Thompson,
22,1,9:22.0,5,10,OKC,GSW,0,away,FreeThrow,,,make1,1,K. Thompson,
23,1,9:10.0,5,10,OKC,GSW,12,home,JS,,25,miss3,0,R. Westbrook,
24,1,9:08.0,5,10,OKC,GSW,2,away,DefReb,,,DefReb,,S. Curry,
25,1,9:00.0,5,13,OKC,GSW,8,away,JS,assist,26,make3,3,D. Cousins,D. Green
26,1,8:49.0,5,13,OKC,GSW,11,home,JS,,25,miss3,0,P. George,
27,1,8:46.0,5,13,OKC,GSW,3,away,DefReb,,,DefReb,,K. Thompson,
28,1,8:38.0,5,13,OKC,GSW,8,home,KickBallViolation,,,KickBallViolation,,Team,
29,1,8:29.0,5,13,OKC,GSW,9,away,JS,,26,miss3,0,D. Cousins,
30,1,8:27.0,5,13,OKC,GSW,2,home,DefReb,,,DefReb,,P. George,
31,1,8:10.0,5,13,OKC,GSW,17,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,J. Grant,D. Green
32,1,8:10.0,5,13,OKC,GSW,0,home,OffensiveFoul,,,turnover,,J. Grant,
33,1,7:51.0,5,15,OKC,GSW,19,away,JS,assist,14,make2,2,K. Thompson,D. Cousins
34,1,7:31.0,5,15,OKC,GSW,20,home,JS,,18,miss2,0,R. Westbrook,
35,1,7:29.0,5,15,OKC,GSW,2,away,DefReb,,,DefReb,,K. Thompson,
36,1,7:24.0,5,15,OKC,GSW,5,away,LU,,1,miss2,0,D. Green,
37,1,7:24.0,5,15,OKC,GSW,0,away,OffReb,,,OffReb,,S. Curry,
38,1,7:20.0,5,15,OKC,GSW,4,away,DK,,1,miss2,0,S. Curry,
39,1,7:18.0,5,15,OKC,GSW,2,home,DefReb,,,DefReb,,T. Ferguson,
40,1,7:16.0,5,15,OKC,GSW,2,home,JS,,1,miss2,0,P. George,
41,1,7:16.0,5,15,OKC,GSW,0,home,OffReb,,,OffReb,,S. Adams,
42,1,7:11.0,7,15,OKC,GSW,5,home,DK,,0,make2,2,S. Adams,
43,1,7:01.0,7,15,OKC,GSW,10,away,JS,,14,miss2,0,K. Thompson,
44,1,6:58.0,7,15,OKC,GSW,3,home,DefReb,,,DefReb,,P. George,
45,1,6:52.0,7,15,OKC,GSW,6,home,JS,,26,miss3,0,P. George,
46,1,6:52.0,7,15,OKC,GSW,0,away,DefReb,,,DefReb,,D. Cousins,
47,1,6:43.0,7,17,OKC,GSW,9,away,LU,,2,make2,2,D. Cousins,
48,1,6:26.0,7,17,OKC,GSW,17,home,Timeout,,,,,,
49,1,6:22.0,7,17,OKC,GSW,4,home,ShootingFoul,DrawnBy,,ShootingFoul,,D. Cousins,R. Westbrook
50,1,6:22.0,7,17,OKC,GSW,0,home,FreeThrow,,,make1,0,R. Westbrook,
51,1,6:22.0,7,17,OKC,GSW,0,home,OffReb,,,OffReb,,Team,
52,1,6:22.0,7,17,OKC,GSW,0,away,Sub,,,,,K. Looney,D. Cousins
53,1,6:22.0,8,17,OKC,GSW,0,home,FreeThrow,,,make1,1,R. Westbrook,
54,1,6:07.0,8,20,OKC,GSW,15,away,JS,assist,23,make3,3,K. Thompson,D. Green
