,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:41.0,0,0,DET,IND,19,home,bad pass,steal,,turnover,,L. Kennard,M. Brogdon
1,1,11:38.0,0,0,DET,IND,3,away,LU,block,2,miss2,0,M. Brogdon,B. Brown
2,1,11:35.0,0,0,DET,IND,3,home,DefReb,,,DefReb,,B. Griffin,
3,1,11:28.0,2,0,DET,IND,7,home,LU,assist,3,make2,2,A. Drummond,B. Brown
4,1,11:09.0,2,0,DET,IND,19,away,lost ball,steal,,turnover,,D. Sabonis,B. Griffin
5,1,11:00.0,2,0,DET,IND,9,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Warren,B. Griffin
6,1,11:00.0,3,0,DET,IND,0,home,FreeThrow,,,make1,1,B. Griffin,
7,1,11:00.0,4,0,DET,IND,0,home,FreeThrow,,,make1,1,B. Griffin,
8,1,10:54.0,4,0,DET,IND,6,away,OutOfBoundsLB,,,turnover,,M. Brogdon,
9,1,10:35.0,7,0,DET,IND,19,home,JS,,27,make3,3,B. Griffin,
10,1,10:22.0,7,0,DET,IND,13,away,JS,,17,miss2,0,M. Turner,
11,1,10:20.0,7,0,DET,IND,2,home,DefReb,,,DefReb,,A. Drummond,
12,1,10:07.0,7,0,DET,IND,13,home,JS,,17,miss2,0,B. Griffin,
13,1,10:04.0,7,0,DET,IND,3,away,DefReb,,,DefReb,,J. Lamb,
14,1,9:58.0,7,2,DET,IND,6,away,LU,,1,make2,2,M. Brogdon,
15,1,9:39.0,7,2,DET,IND,19,home,LU,,4,miss2,0,A. Drummond,
16,1,9:36.0,7,2,DET,IND,3,away,DefReb,,,DefReb,,J. Lamb,
17,1,9:29.0,7,2,DET,IND,7,away,JS,,18,miss2,0,J. Lamb,
18,1,9:26.0,7,2,DET,IND,3,home,DefReb,,,DefReb,,A. Drummond,
19,1,9:09.0,7,2,DET,IND,17,home,JS,,19,miss2,0,L. Kennard,
20,1,9:07.0,7,2,DET,IND,2,away,DefReb,,,DefReb,,D. Sabonis,
21,1,9:00.0,7,2,DET,IND,7,away,JS,,17,miss2,0,M. Brogdon,
22,1,8:57.0,7,2,DET,IND,3,home,DefReb,,,DefReb,,A. Drummond,
23,1,8:39.0,10,2,DET,IND,18,home,JS,assist,27,make3,3,T. Snell,B. Griffin
24,1,8:22.0,10,2,DET,IND,17,away,JS,,10,miss2,0,T. Warren,
25,1,8:19.0,10,2,DET,IND,3,home,DefReb,,,DefReb,,B. Griffin,
26,1,8:08.0,10,2,DET,IND,11,home,HS,,8,miss2,0,B. Griffin,
27,1,8:07.0,10,2,DET,IND,1,away,DefReb,,,DefReb,,D. Sabonis,
