,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:42.0,0,0,UTA,NYK,18,away,JS,,19,miss2,0,T. Gibson,
1,1,11:39.0,0,0,UTA,NYK,3,home,DefReb,,,DefReb,,B. Bogdanović,
2,1,11:26.0,0,0,UTA,NYK,13,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Gibson,R. Gobert
3,1,11:26.0,1,0,UTA,NYK,0,home,FreeThrow,,,make1,1,R. Gobert,
4,1,11:26.0,2,0,UTA,NYK,0,home,FreeThrow,,,make1,1,R. Gobert,
5,1,11:09.0,2,2,UTA,NYK,17,away,JS,,10,make2,2,R. Barrett,
6,1,10:53.0,2,2,UTA,NYK,16,home,LU,,3,miss2,0,R. O'Neale,
7,1,10:49.0,2,2,UTA,NYK,4,away,DefReb,,,DefReb,,B. Portis,
8,1,10:44.0,2,4,UTA,NYK,5,away,JS,,19,make2,2,R. Bullock,
9,1,10:32.0,5,4,UTA,NYK,12,home,JS,assist,26,make3,3,D. Mitchell,J. Ingles
10,1,10:14.0,5,4,UTA,NYK,18,away,bad pass,steal,,turnover,,T. Gibson,D. Mitchell
11,1,10:10.0,7,4,UTA,NYK,4,home,LU,,2,make2,2,D. Mitchell,
12,1,9:51.0,7,6,UTA,NYK,19,away,JS,assist,11,make2,2,T. Gibson,B. Portis
13,1,9:40.0,10,6,UTA,NYK,11,home,JS,assist,23,make3,3,B. Bogdanović,R. Gobert
14,1,9:17.0,10,9,UTA,NYK,23,away,JS,assist,25,make3,3,R. Bullock,T. Gibson
15,1,9:17.0,10,9,UTA,NYK,0,away,InstantReplay,,,RulingStands,,Team,
16,1,9:03.0,10,9,UTA,NYK,14,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Gibson,R. Gobert
17,1,9:03.0,11,9,UTA,NYK,0,home,FreeThrow,,,make1,1,R. Gobert,
18,1,9:03.0,11,9,UTA,NYK,0,away,Sub,,,,,M. Robinson,T. Gibson
19,1,9:03.0,12,9,UTA,NYK,0,home,FreeThrow,,,make1,1,R. Gobert,
20,1,8:47.0,12,11,UTA,NYK,16,away,JS,,8,make2,2,E. Payton,
21,1,8:33.0,15,11,UTA,NYK,14,home,JS,assist,25,make3,3,B. Bogdanović,D. Mitchell
22,1,8:16.0,15,11,UTA,NYK,17,away,HS,,6,miss2,0,B. Portis,
23,1,8:14.0,15,11,UTA,NYK,2,home,DefReb,,,DefReb,,R. Gobert,
24,1,8:03.0,15,11,UTA,NYK,11,home,JS,,25,miss3,0,J. Ingles,
25,1,7:59.0,15,11,UTA,NYK,4,away,DefReb,,,DefReb,,R. Bullock,
26,1,7:51.0,15,11,UTA,NYK,8,away,LU,block,4,miss2,0,E. Payton,B. Bogdanović
27,1,7:49.0,15,11,UTA,NYK,2,away,OffReb,,,OffReb,,E. Payton,
28,1,7:48.0,15,13,UTA,NYK,1,away,LU,,3,make2,2,E. Payton,
29,1,7:26.0,17,13,UTA,NYK,22,home,LU,assist,3,make2,2,R. O'Neale,B. Bogdanović
30,1,7:19.0,17,13,UTA,NYK,7,away,Timeout,,,,,,
31,1,7:08.0,17,13,UTA,NYK,11,away,LU,,9,miss2,0,B. Portis,
32,1,7:05.0,17,13,UTA,NYK,3,home,DefReb,,,DefReb,,R. O'Neale,
33,1,6:55.0,19,13,UTA,NYK,10,home,JS,,10,make2,2,B. Bogdanović,
34,1,6:35.0,19,16,UTA,NYK,20,away,JS,assist,24,make3,3,E. Payton,B. Portis
35,1,6:17.0,19,16,UTA,NYK,18,home,JS,,25,miss3,0,J. Ingles,
36,1,6:15.0,19,16,UTA,NYK,2,away,DefReb,,,DefReb,,E. Payton,
37,1,6:10.0,19,16,UTA,NYK,5,away,LU,,3,miss2,0,E. Payton,
38,1,6:08.0,19,16,UTA,NYK,2,home,DefReb,,,DefReb,,R. O'Neale,
39,1,6:01.0,21,16,UTA,NYK,7,home,DK,assist,1,make2,2,R. Gobert,R. O'Neale
40,1,5:39.0,21,16,UTA,NYK,22,away,JS,,25,miss3,0,R. Bullock,
41,1,5:36.0,21,16,UTA,NYK,3,home,DefReb,,,DefReb,,R. Gobert,
42,1,5:31.0,21,16,UTA,NYK,5,home,JS,,28,miss3,0,B. Bogdanović,
43,1,5:26.0,21,16,UTA,NYK,5,away,DefReb,,,DefReb,,M. Robinson,
44,1,5:22.0,21,16,UTA,NYK,4,away,OffensiveFoul,DrawnBy,,OffensiveFoul,,M. Robinson,J. Ingles
45,1,5:22.0,21,16,UTA,NYK,0,away,OffensiveFoul,,,turnover,,M. Robinson,
46,1,5:22.0,21,16,UTA,NYK,0,away,Sub,,,,,K. Knox,B. Portis
47,1,5:22.0,21,16,UTA,NYK,0,home,Sub,,,,,J. Clarkson,D. Mitchell
48,1,5:07.0,23,16,UTA,NYK,15,home,LU,,4,make2,2,J. Ingles,
49,1,4:50.0,23,16,UTA,NYK,17,away,JS,,20,miss2,0,E. Payton,
50,1,4:48.0,23,16,UTA,NYK,2,home,DefReb,,,DefReb,,R. Gobert,
51,1,4:40.0,25,16,UTA,NYK,8,home,DK,assist,3,make2,2,R. Gobert,J. Ingles
52,1,4:31.0,25,16,UTA,NYK,9,away,Timeout,,,,,,
53,1,4:31.0,25,16,UTA,NYK,0,home,Sub,,,,,E. Mudiay,J. Ingles
54,1,4:17.0,25,16,UTA,NYK,14,away,LU,,3,miss2,0,M. Robinson,
55,1,4:15.0,25,16,UTA,NYK,2,home,DefReb,,,DefReb,,R. O'Neale,
56,1,3:53.0,28,16,UTA,NYK,22,home,JS,assist,25,make3,3,B. Bogdanović,E. Mudiay
57,1,3:36.0,28,16,UTA,NYK,17,away,lost ball,steal,,turnover,,K. Knox,J. Clarkson
58,1,3:31.0,30,16,UTA,NYK,5,home,LU,,2,make2,2,J. Clarkson,
59,1,3:13.0,30,18,UTA,NYK,18,away,JS,assist,8,make2,2,E. Payton,M. Robinson
60,1,2:53.0,30,18,UTA,NYK,20,home,ShootingFoul,DrawnBy,,ShootingFoul,,E. Payton,E. Mudiay
61,1,2:53.0,30,18,UTA,NYK,0,home,FreeThrow,,,make1,0,E. Mudiay,
62,1,2:53.0,30,18,UTA,NYK,0,home,OffReb,,,OffReb,,Team,
63,1,2:53.0,30,18,UTA,NYK,0,away,Sub,,,,,F. Ntilikina,E. Payton
64,1,2:53.0,30,18,UTA,NYK,0,home,Sub,,,,,T. Bradley,B. Bogdanović
65,1,2:53.0,30,18,UTA,NYK,0,home,Sub,,,,,D. Mitchell,R. Gobert
66,1,2:53.0,30,18,UTA,NYK,0,home,Sub,,,,,G. Niang,R. O'Neale
67,1,2:53.0,31,18,UTA,NYK,0,home,FreeThrow,,,make1,1,E. Mudiay,
68,1,2:45.0,31,18,UTA,NYK,8,away,ShootingFoul,DrawnBy,,ShootingFoul,,D. Mitchell,R. Barrett
69,1,2:45.0,31,19,UTA,NYK,0,away,FreeThrow,,,make1,1,R. Barrett,
70,1,2:45.0,31,19,UTA,NYK,0,away,Sub,,,,,W. Ellington,R. Bullock
71,1,2:45.0,31,20,UTA,NYK,0,away,FreeThrow,,,make1,1,R. Barrett,
72,1,2:35.0,31,20,UTA,NYK,10,home,bad pass,steal,,turnover,,G. Niang,R. Barrett
73,1,2:32.0,31,22,UTA,NYK,3,away,LU,,2,make2,2,F. Ntilikina,
74,1,2:32.0,31,22,UTA,NYK,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,T. Bradley,F. Ntilikina
75,1,2:32.0,31,23,UTA,NYK,0,away,FreeThrow,,,make1,1,F. Ntilikina,
76,1,2:19.0,31,23,UTA,NYK,13,home,JS,,20,miss2,0,J. Clarkson,
77,1,2:15.0,31,23,UTA,NYK,4,home,OffReb,,,OffReb,,T. Bradley,
78,1,2:11.0,33,23,UTA,NYK,4,home,DK,assist,2,make2,2,T. Bradley,E. Mudiay
79,1,1:59.0,33,25,UTA,NYK,12,away,JS,,18,make2,2,F. Ntilikina,
80,1,1:48.0,33,25,UTA,NYK,11,home,OutOfBoundsLB,,,turnover,,E. Mudiay,
81,1,1:39.0,33,27,UTA,NYK,9,away,JS,assist,18,make2,2,R. Barrett,W. Ellington
82,1,1:24.0,33,27,UTA,NYK,15,home,ShootingFoul,DrawnBy,,ShootingFoul,,F. Ntilikina,D. Mitchell
83,1,1:24.0,34,27,UTA,NYK,0,home,FreeThrow,,,make1,1,D. Mitchell,
84,1,1:24.0,35,27,UTA,NYK,0,home,FreeThrow,,,make1,1,D. Mitchell,
85,1,1:12.0,35,29,UTA,NYK,12,away,JS,,19,make2,2,F. Ntilikina,
86,1,0:56.0,35,29,UTA,NYK,16,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,T. Bradley,F. Ntilikina
87,1,0:56.0,35,29,UTA,NYK,0,home,OffensiveFoul,,,turnover,,T. Bradley,
88,1,0:40.0,35,29,UTA,NYK,16,away,JS,,24,miss3,0,W. Ellington,
89,1,0:38.0,35,29,UTA,NYK,2,home,DefReb,,,DefReb,,D. Mitchell,
90,1,0:32.0,37,29,UTA,NYK,6,home,JS,assist,3,make2,2,E. Mudiay,D. Mitchell
91,1,0:22.0,37,29,UTA,NYK,10,away,JS,block,9,miss2,0,F. Ntilikina,J. Clarkson
92,1,0:18.0,37,29,UTA,NYK,4,home,DefReb,,,DefReb,,E. Mudiay,
93,1,0:17.0,37,29,UTA,NYK,1,home,JS,,25,miss3,0,D. Mitchell,
94,1,0:14.0,37,29,UTA,NYK,3,home,OffReb,,,OffReb,,D. Mitchell,
95,1,0:00.0,39,29,UTA,NYK,14,home,LU,assist,1,make2,2,T. Bradley,D. Mitchell
96,1,0:00.0,39,29,UTA,NYK,0,home,InstantReplay,,,RulingStands,,Team,
97,2,11:39.0,39,29,UTA,NYK,21,home,JS,,25,miss3,0,G. Niang,
98,2,11:35.0,39,29,UTA,NYK,4,away,DefReb,,,DefReb,,F. Ntilikina,
99,2,11:28.0,39,29,UTA,NYK,7,away,JS,,25,miss3,0,B. Portis,
100,2,11:25.0,39,29,UTA,NYK,3,away,OffReb,,,OffReb,,F. Ntilikina,
101,2,11:23.0,39,29,UTA,NYK,2,away,JS,,25,miss3,0,D. Dotson,
102,2,11:22.0,39,29,UTA,NYK,1,away,OffReb,,,OffReb,,Team,
103,2,11:22.0,39,29,UTA,NYK,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,D. Mitchell,B. Portis
104,2,11:17.0,39,31,UTA,NYK,5,away,LU,assist,4,make2,2,B. Portis,F. Ntilikina
105,2,11:17.0,39,31,UTA,NYK,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,T. Bradley,B. Portis
106,2,11:17.0,39,32,UTA,NYK,0,away,FreeThrow,,,make1,1,B. Portis,
107,2,11:07.0,39,32,UTA,NYK,10,home,JS,,26,miss3,0,J. Clarkson,
108,2,11:02.0,39,32,UTA,NYK,5,away,DefReb,,,DefReb,,D. Dotson,
109,2,10:58.0,39,32,UTA,NYK,4,away,PersonalFoul,DrawnBy,,PersonalFoul,,R. Tucker,B. Portis
110,2,10:54.0,39,32,UTA,NYK,4,away,JS,,12,miss2,0,F. Ntilikina,
111,2,10:51.0,39,32,UTA,NYK,3,home,DefReb,,,DefReb,,G. Niang,
112,2,10:42.0,42,32,UTA,NYK,9,home,JS,,28,make3,3,D. Mitchell,
113,2,10:22.0,42,34,UTA,NYK,20,away,JS,assist,19,make2,2,D. Dotson,B. Portis
114,2,9:54.0,42,34,UTA,NYK,28,home,JS,,23,miss3,0,J. Clarkson,
115,2,9:52.0,42,34,UTA,NYK,2,away,DefReb,,,DefReb,,F. Ntilikina,
116,2,9:48.0,42,34,UTA,NYK,4,away,LU,block,4,miss2,0,K. Knox,G. Niang
117,2,9:45.0,42,34,UTA,NYK,3,home,DefReb,,,DefReb,,T. Bradley,
118,2,9:38.0,42,34,UTA,NYK,7,home,JS,,24,miss3,0,D. Mitchell,
119,2,9:36.0,42,34,UTA,NYK,2,away,DefReb,,,DefReb,,K. Knox,
120,2,9:28.0,42,36,UTA,NYK,8,away,HS,,6,make2,2,K. Knox,
121,2,9:04.0,44,36,UTA,NYK,24,home,JS,,9,make2,2,J. Clarkson,
122,2,8:52.0,44,36,UTA,NYK,12,away,LU,,4,miss2,0,B. Portis,
123,2,8:48.0,44,36,UTA,NYK,4,away,OffReb,,,OffReb,,B. Portis,
124,2,8:47.0,44,38,UTA,NYK,1,away,LU,,3,make2,2,B. Portis,
125,2,8:40.0,44,38,UTA,NYK,7,home,JS,,11,miss2,0,G. Niang,
126,2,8:40.0,44,38,UTA,NYK,0,away,DefReb,,,DefReb,,D. Dotson,
127,2,8:27.0,44,38,UTA,NYK,13,away,JS,,24,miss3,0,B. Portis,
128,2,8:25.0,44,38,UTA,NYK,2,home,DefReb,,,DefReb,,R. Tucker,
129,2,8:16.0,46,38,UTA,NYK,9,home,JS,,11,make2,2,D. Mitchell,
130,2,7:53.0,46,38,UTA,NYK,23,away,LU,,4,miss2,0,D. Dotson,
131,2,7:50.0,46,38,UTA,NYK,3,away,OffReb,,,OffReb,,D. Dotson,
132,2,7:50.0,46,40,UTA,NYK,0,away,LU,,3,make2,2,D. Dotson,
133,2,7:50.0,46,40,UTA,NYK,0,home,Timeout,,,,,,
134,2,7:50.0,46,40,UTA,NYK,0,away,Sub,,,,,E. Payton,F. Ntilikina
135,2,7:50.0,46,40,UTA,NYK,0,home,Sub,,,,,B. Bogdanović,T. Bradley
136,2,7:50.0,46,40,UTA,NYK,0,home,Sub,,,,,R. Gobert,D. Mitchell
137,2,7:50.0,46,40,UTA,NYK,0,home,Sub,,,,,E. Mudiay,G. Niang
138,2,7:50.0,46,40,UTA,NYK,0,home,Sub,,,,,R. O'Neale,R. Tucker
139,2,7:38.0,46,40,UTA,NYK,12,home,JS,,8,miss2,0,B. Bogdanović,
140,2,7:35.0,46,40,UTA,NYK,3,away,DefReb,,,DefReb,,K. Knox,
141,2,7:27.0,46,40,UTA,NYK,8,away,JS,,24,miss3,0,W. Ellington,
142,2,7:24.0,46,40,UTA,NYK,3,home,DefReb,,,DefReb,,E. Mudiay,
143,2,7:18.0,46,40,UTA,NYK,6,home,LU,,2,miss2,0,E. Mudiay,
144,2,7:16.0,46,40,UTA,NYK,2,home,OffReb,,,OffReb,,E. Mudiay,
145,2,7:09.0,49,40,UTA,NYK,7,home,JS,,25,make3,3,J. Clarkson,
146,2,6:46.0,49,40,UTA,NYK,23,away,JS,,26,miss3,0,K. Knox,
147,2,6:43.0,49,40,UTA,NYK,3,home,DefReb,,,DefReb,,R. Gobert,
148,2,6:32.0,49,40,UTA,NYK,11,home,PersonalFoul,DrawnBy,,PersonalFoul,,K. Knox,R. Gobert
149,2,6:32.0,49,40,UTA,NYK,0,away,Sub,,,,,R. Bullock,W. Ellington
150,2,6:32.0,49,40,UTA,NYK,0,home,Sub,,,,,J. Ingles,J. Clarkson
151,2,6:24.0,52,40,UTA,NYK,8,home,JS,assist,25,make3,3,E. Mudiay,B. Bogdanović
152,2,6:10.0,52,40,UTA,NYK,14,away,JS,,21,miss2,0,B. Portis,
153,2,6:07.0,52,40,UTA,NYK,3,home,DefReb,,,DefReb,,R. Gobert,
154,2,5:58.0,52,40,UTA,NYK,9,home,ShootingFoul,DrawnBy,,ShootingFoul,,B. Portis,R. Gobert
155,2,5:58.0,52,40,UTA,NYK,0,home,FreeThrow,,,make1,0,R. Gobert,
156,2,5:58.0,52,40,UTA,NYK,0,home,OffReb,,,OffReb,,Team,
157,2,5:58.0,52,40,UTA,NYK,0,away,Sub,,,,,M. Robinson,B. Portis
158,2,5:58.0,53,40,UTA,NYK,0,home,FreeThrow,,,make1,1,R. Gobert,
159,2,5:47.0,53,42,UTA,NYK,11,away,LU,,2,make2,2,R. Bullock,
160,2,5:40.0,56,42,UTA,NYK,7,home,JS,assist,25,make3,3,J. Ingles,E. Mudiay
161,2,5:29.0,56,42,UTA,NYK,11,away,LU,block,2,miss2,0,E. Payton,E. Mudiay
162,2,5:27.0,56,42,UTA,NYK,2,home,DefReb,,,DefReb,,R. O'Neale,
163,2,5:22.0,56,42,UTA,NYK,5,home,ShootingFoul,DrawnBy,,ShootingFoul,,M. Robinson,R. Gobert
164,2,5:22.0,56,42,UTA,NYK,0,home,FreeThrow,,,make1,0,R. Gobert,
165,2,5:22.0,56,42,UTA,NYK,0,home,OffReb,,,OffReb,,Team,
166,2,5:22.0,56,42,UTA,NYK,0,away,Sub,,,,,R. Barrett,D. Dotson
167,2,5:22.0,56,42,UTA,NYK,0,away,Sub,,,,,T. Gibson,M. Robinson
168,2,5:22.0,57,42,UTA,NYK,0,home,FreeThrow,,,make1,1,R. Gobert,
169,2,5:08.0,57,42,UTA,NYK,14,away,JS,,17,miss2,0,T. Gibson,
170,2,5:04.0,57,42,UTA,NYK,4,away,OffReb,,,OffReb,,R. Bullock,
171,2,5:02.0,57,42,UTA,NYK,2,away,JS,,17,miss2,0,R. Bullock,
172,2,5:01.0,57,42,UTA,NYK,1,home,DefReb,,,DefReb,,R. Gobert,
173,2,4:53.0,59,42,UTA,NYK,8,home,LU,assist,3,make2,2,R. Gobert,J. Ingles
174,2,4:47.0,59,42,UTA,NYK,6,away,Timeout,,,,,,
175,2,4:38.0,59,42,UTA,NYK,9,away,ShootingFoul,DrawnBy,,ShootingFoul,,R. O'Neale,R. Barrett
176,2,4:38.0,59,43,UTA,NYK,0,away,FreeThrow,,,make1,1,R. Barrett,
177,2,4:38.0,59,44,UTA,NYK,0,away,FreeThrow,,,make1,1,R. Barrett,
178,2,4:30.0,61,44,UTA,NYK,8,home,LU,,2,make2,2,E. Mudiay,
179,2,4:30.0,61,44,UTA,NYK,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Gibson,E. Mudiay
180,2,4:30.0,62,44,UTA,NYK,0,home,FreeThrow,,,make1,1,E. Mudiay,
181,2,4:13.0,62,44,UTA,NYK,17,away,JS,,15,miss2,0,K. Knox,
182,2,4:09.0,62,44,UTA,NYK,4,home,DefReb,,,DefReb,,R. Gobert,
183,2,4:00.0,62,44,UTA,NYK,9,home,PersonalFoul,DrawnBy,,PersonalFoul,,K. Knox,R. Gobert
184,2,4:00.0,62,44,UTA,NYK,0,home,FreeThrow,,,make1,0,R. Gobert,
185,2,4:00.0,62,44,UTA,NYK,0,home,OffReb,,,OffReb,,Team,
186,2,4:00.0,62,44,UTA,NYK,0,away,Sub,,,,,D. Dotson,T. Gibson
187,2,4:00.0,62,44,UTA,NYK,0,away,Sub,,,,,B. Portis,K. Knox
188,2,4:00.0,62,44,UTA,NYK,0,home,FreeThrow,,,make1,0,R. Gobert,
189,2,3:59.0,62,44,UTA,NYK,1,away,DefReb,,,DefReb,,B. Portis,
190,2,3:51.0,62,44,UTA,NYK,8,away,LU,,7,miss2,0,R. Barrett,
191,2,3:49.0,62,44,UTA,NYK,2,home,DefReb,,,DefReb,,R. O'Neale,
192,2,3:37.0,64,44,UTA,NYK,12,home,DK,assist,1,make2,2,R. Gobert,J. Ingles
193,2,3:17.0,64,46,UTA,NYK,20,away,JS,assist,18,make2,2,D. Dotson,B. Portis
194,2,2:58.0,64,46,UTA,NYK,19,home,bad pass,steal,,turnover,,E. Mudiay,D. Dotson
195,2,2:53.0,64,48,UTA,NYK,5,away,DK,,1,make2,2,E. Payton,
196,2,2:44.0,64,48,UTA,NYK,9,home,Timeout,,,,,,
197,2,2:40.0,64,48,UTA,NYK,4,home,JS,,25,miss3,0,B. Bogdanović,
198,2,2:37.0,64,48,UTA,NYK,3,home,OffReb,,,OffReb,,J. Ingles,
199,2,2:31.0,64,48,UTA,NYK,6,home,ShootingFoul,DrawnBy,,ShootingFoul,,B. Portis,J. Ingles
200,2,2:31.0,64,48,UTA,NYK,0,home,FreeThrow,,,make1,0,J. Ingles,
201,2,2:31.0,64,48,UTA,NYK,0,home,OffReb,,,OffReb,,Team,
202,2,2:31.0,65,48,UTA,NYK,0,home,FreeThrow,,,make1,1,J. Ingles,
203,2,2:15.0,65,48,UTA,NYK,16,away,JS,,8,miss2,0,B. Portis,
204,2,2:13.0,65,48,UTA,NYK,2,home,DefReb,,,DefReb,,R. Gobert,
205,2,2:10.0,65,48,UTA,NYK,3,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,E. Mudiay,R. Bullock
206,2,2:10.0,65,48,UTA,NYK,0,home,OffensiveFoul,,,turnover,,E. Mudiay,
207,2,1:53.0,65,48,UTA,NYK,17,away,BadPass,,,turnover,,R. Barrett,
208,2,1:40.0,68,48,UTA,NYK,13,home,JS,,25,make3,3,J. Ingles,
209,2,1:19.0,68,48,UTA,NYK,21,away,LU,block,10,miss2,0,E. Payton,R. Gobert
210,2,1:17.0,68,48,UTA,NYK,2,home,DefReb,,,DefReb,,R. Gobert,
211,2,1:09.0,70,48,UTA,NYK,8,home,JS,,11,make2,2,B. Bogdanović,
212,2,0:52.0,70,51,UTA,NYK,17,away,JS,,25,make3,3,B. Portis,
213,2,0:35.0,72,51,UTA,NYK,17,home,JS,,11,make2,2,E. Mudiay,
214,2,0:19.0,72,53,UTA,NYK,16,away,JS,,17,make2,2,R. Barrett,
215,2,0:04.0,72,53,UTA,NYK,15,home,PersonalFoul,DrawnBy,,PersonalFoul,,B. Portis,E. Mudiay
216,2,0:04.0,72,53,UTA,NYK,0,home,FreeThrow,,,make1,0,E. Mudiay,
217,2,0:04.0,72,53,UTA,NYK,0,home,OffReb,,,OffReb,,Team,
218,2,0:04.0,72,53,UTA,NYK,0,home,FreeThrow,,,make1,0,E. Mudiay,
219,2,0:02.0,72,53,UTA,NYK,2,away,DefReb,,,DefReb,,B. Portis,
220,2,0:00.0,72,53,UTA,NYK,2,away,JS,,54,miss3,0,R. Barrett,
221,2,0:00.0,72,53,UTA,NYK,0,away,OffReb,,,OffReb,,Team,
222,3,11:38.0,72,53,UTA,NYK,22,home,JS,,25,miss3,0,B. Bogdanović,
223,3,11:34.0,72,53,UTA,NYK,4,away,DefReb,,,DefReb,,R. Barrett,
224,3,11:25.0,72,53,UTA,NYK,9,away,PersonalFoul,DrawnBy,,PersonalFoul,,R. O'Neale,T. Gibson
225,3,11:12.0,72,53,UTA,NYK,13,away,LU,,3,miss2,0,R. Barrett,
226,3,11:09.0,72,53,UTA,NYK,3,away,OffReb,,,OffReb,,B. Portis,
227,3,11:09.0,72,53,UTA,NYK,0,away,LU,,2,miss2,0,B. Portis,
228,3,11:07.0,72,53,UTA,NYK,2,home,DefReb,,,DefReb,,B. Bogdanović,
229,3,11:03.0,74,53,UTA,NYK,4,home,LU,assist,1,make2,2,R. Gobert,B. Bogdanović
230,3,10:43.0,74,53,UTA,NYK,20,away,JS,,19,miss2,0,R. Bullock,
231,3,10:40.0,74,53,UTA,NYK,3,home,DefReb,,,DefReb,,R. Gobert,
232,3,10:34.0,74,53,UTA,NYK,6,home,JS,,25,miss3,0,J. Ingles,
233,3,10:31.0,74,53,UTA,NYK,3,away,DefReb,,,DefReb,,B. Portis,
234,3,10:25.0,74,53,UTA,NYK,6,away,LU,,5,miss2,0,R. Bullock,
235,3,10:23.0,74,53,UTA,NYK,2,away,OffReb,,,OffReb,,R. Bullock,
236,3,10:22.0,74,53,UTA,NYK,1,away,LU,,2,miss2,0,R. Bullock,
237,3,10:21.0,74,53,UTA,NYK,1,home,DefReb,,,DefReb,,R. Gobert,
238,3,10:02.0,74,53,UTA,NYK,19,home,LU,,3,miss2,0,J. Ingles,
239,3,10:02.0,74,53,UTA,NYK,0,away,DefReb,,,DefReb,,Team,
240,3,10:02.0,74,53,UTA,NYK,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,R. Gobert,B. Portis
241,3,9:46.0,74,53,UTA,NYK,16,away,LU,,2,miss2,0,T. Gibson,
242,3,9:43.0,74,53,UTA,NYK,3,home,DefReb,,,DefReb,,D. Mitchell,
243,3,9:37.0,77,53,UTA,NYK,6,home,JS,assist,24,make3,3,R. O'Neale,D. Mitchell
244,3,9:22.0,77,53,UTA,NYK,15,away,JS,,18,miss2,0,R. Barrett,
245,3,9:18.0,77,53,UTA,NYK,4,home,DefReb,,,DefReb,,R. O'Neale,
246,3,9:09.0,77,53,UTA,NYK,9,home,JS,,25,miss3,0,D. Mitchell,
247,3,9:05.0,77,53,UTA,NYK,4,home,OffReb,,,OffReb,,R. Gobert,
248,3,9:04.0,80,53,UTA,NYK,1,home,JS,assist,25,make3,3,R. O'Neale,R. Gobert
249,3,8:51.0,80,53,UTA,NYK,13,away,JS,,6,miss2,0,E. Payton,
250,3,8:49.0,80,53,UTA,NYK,2,home,DefReb,,,DefReb,,R. Gobert,
251,3,8:43.0,82,53,UTA,NYK,6,home,DK,,1,make2,2,D. Mitchell,
252,3,8:42.0,82,53,UTA,NYK,1,away,Timeout,,,,,,
253,3,8:30.0,82,55,UTA,NYK,12,away,DK,assist,2,make2,2,T. Gibson,R. Bullock
254,3,8:09.0,82,55,UTA,NYK,21,home,JS,,25,miss3,0,D. Mitchell,
255,3,8:06.0,82,55,UTA,NYK,3,away,DefReb,,,DefReb,,R. Barrett,
256,3,7:51.0,82,55,UTA,NYK,15,away,lost ball,steal,,turnover,,T. Gibson,R. O'Neale
257,3,7:48.0,82,55,UTA,NYK,3,home,JS,,25,miss3,0,R. O'Neale,
258,3,7:45.0,82,55,UTA,NYK,3,away,DefReb,,,DefReb,,Team,
259,3,7:32.0,82,55,UTA,NYK,13,away,JS,,7,miss2,0,R. Barrett,
260,3,7:30.0,82,55,UTA,NYK,2,home,DefReb,,,DefReb,,R. Gobert,
261,3,7:15.0,82,55,UTA,NYK,15,home,JS,,19,miss2,0,D. Mitchell,
262,3,7:12.0,82,55,UTA,NYK,3,away,DefReb,,,DefReb,,B. Portis,
263,3,7:05.0,82,57,UTA,NYK,7,away,JS,,16,make2,2,E. Payton,
264,3,6:46.0,85,57,UTA,NYK,19,home,JS,assist,24,make3,3,B. Bogdanović,R. Gobert
265,3,6:29.0,85,57,UTA,NYK,17,away,LU,,3,miss2,0,E. Payton,
266,3,6:27.0,85,57,UTA,NYK,2,away,OffReb,,,OffReb,,B. Portis,
