,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:42.0,2,0,LAC,DEN,18,home,JS,assist,5,make2,2,I. Zubac,P. Beverley
1,1,11:24.0,2,2,LAC,DEN,18,away,LU,,5,make2,2,N. Jokić,
2,1,11:10.0,5,2,LAC,DEN,14,home,JS,assist,26,make3,3,P. George,K. Leonard
3,1,10:44.0,5,2,LAC,DEN,26,away,BadPass,,,turnover,,J. Murray,
4,1,10:31.0,7,2,LAC,DEN,13,home,JS,assist,15,make2,2,M. Morris,I. Zubac
5,1,10:17.0,7,2,LAC,DEN,14,away,LU,,5,miss2,0,W. Barton,
6,1,10:15.0,7,2,LAC,DEN,2,away,OffReb,,,OffReb,,W. Barton,
7,1,10:06.0,7,2,LAC,DEN,9,away,JS,,25,miss3,0,J. Murray,
8,1,10:02.0,7,2,LAC,DEN,4,home,DefReb,,,DefReb,,M. Morris,
9,1,9:54.0,9,2,LAC,DEN,8,home,JS,,18,make2,2,K. Leonard,
10,1,9:29.0,9,2,LAC,DEN,25,away,JS,,7,miss2,0,W. Barton,
11,1,9:27.0,9,2,LAC,DEN,2,home,DefReb,,,DefReb,,I. Zubac,
12,1,9:16.0,9,2,LAC,DEN,11,home,LU,,1,miss2,0,P. Beverley,
13,1,9:16.0,9,2,LAC,DEN,0,away,DefReb,,,DefReb,,Team,
14,1,9:06.0,9,2,LAC,DEN,10,away,bad pass,steal,,turnover,,N. Jokić,M. Morris
15,1,8:58.0,9,2,LAC,DEN,8,home,JS,,11,miss2,0,M. Morris,
16,1,8:56.0,9,2,LAC,DEN,2,away,DefReb,,,DefReb,,W. Barton,
17,1,8:47.0,9,2,LAC,DEN,9,away,JS,,7,miss2,0,G. Harris,
18,1,8:47.0,9,2,LAC,DEN,0,away,OffReb,,,OffReb,,Team,
19,1,8:38.0,9,2,LAC,DEN,9,away,LU,,3,miss2,0,J. Murray,
20,1,8:33.0,9,2,LAC,DEN,5,away,OffReb,,,OffReb,,N. Jokić,
21,1,8:33.0,9,2,LAC,DEN,0,away,LU,,0,miss2,0,N. Jokić,
22,1,8:33.0,9,2,LAC,DEN,0,away,OffReb,,,OffReb,,N. Jokić,
23,1,8:30.0,9,4,LAC,DEN,3,away,LU,,0,make2,2,N. Jokić,
24,1,8:21.0,9,4,LAC,DEN,9,home,PersonalFoul,DrawnBy,,PersonalFoul,,W. Barton,P. George
25,1,8:19.0,12,4,LAC,DEN,2,home,JS,assist,25,make3,3,P. George,P. Beverley
26,1,8:11.0,12,4,LAC,DEN,8,away,PersonalFoul,DrawnBy,,PersonalFoul,,I. Zubac,N. Jokić
27,1,8:07.0,12,4,LAC,DEN,4,away,PersonalFoul,DrawnBy,,PersonalFoul,,P. Beverley,N. Jokić
28,1,7:57.0,12,4,LAC,DEN,10,away,lost ball,steal,,turnover,,N. Jokić,K. Leonard
29,1,7:51.0,14,4,LAC,DEN,6,home,DK,assist,1,make2,2,K. Leonard,M. Morris
30,1,7:51.0,14,4,LAC,DEN,0,away,Timeout,,,,,,
31,1,7:38.0,14,4,LAC,DEN,13,away,LU,block,3,miss2,0,N. Jokić,M. Morris
32,1,7:35.0,14,4,LAC,DEN,3,home,DefReb,,,DefReb,,M. Morris,
33,1,7:33.0,17,4,LAC,DEN,2,home,JS,assist,23,make3,3,P. George,K. Leonard
34,1,7:11.0,17,6,LAC,DEN,22,away,JS,assist,5,make2,2,N. Jokić,P. Millsap
35,1,6:57.0,17,6,LAC,DEN,14,home,ShootingFoul,DrawnBy,,ShootingFoul,,G. Harris,I. Zubac
36,1,6:57.0,18,6,LAC,DEN,0,home,FreeThrow,,,make1,1,I. Zubac,
37,1,6:57.0,19,6,LAC,DEN,0,home,FreeThrow,,,make1,1,I. Zubac,
38,1,6:46.0,19,6,LAC,DEN,11,away,JS,,14,miss2,0,G. Harris,
39,1,6:44.0,19,6,LAC,DEN,2,home,DefReb,,,DefReb,,I. Zubac,
40,1,6:36.0,19,6,LAC,DEN,8,home,JS,,22,miss3,0,M. Morris,
41,1,6:31.0,19,6,LAC,DEN,5,away,DefReb,,,DefReb,,N. Jokić,
42,1,6:23.0,19,8,LAC,DEN,8,away,JS,,8,make2,2,J. Murray,
43,1,6:11.0,19,8,LAC,DEN,12,home,JS,,9,miss2,0,P. George,
44,1,6:08.0,19,8,LAC,DEN,3,away,DefReb,,,DefReb,,P. Millsap,
45,1,6:04.0,19,8,LAC,DEN,4,away,JS,,27,miss3,0,W. Barton,
46,1,5:59.0,19,8,LAC,DEN,5,home,DefReb,,,DefReb,,I. Zubac,
47,1,5:54.0,19,8,LAC,DEN,5,home,JS,,26,miss3,0,P. George,
48,1,5:50.0,19,8,LAC,DEN,4,away,DefReb,,,DefReb,,J. Murray,
49,1,5:39.0,19,10,LAC,DEN,11,away,HS,assist,5,make2,2,N. Jokić,J. Murray
50,1,5:23.0,19,10,LAC,DEN,16,home,JS,,17,miss2,0,K. Leonard,
51,1,5:19.0,19,10,LAC,DEN,4,away,DefReb,,,DefReb,,N. Jokić,
52,1,5:15.0,19,12,LAC,DEN,4,away,LU,,2,make2,2,N. Jokić,
53,1,5:14.0,19,12,LAC,DEN,1,home,Timeout,,,,,,
54,1,5:14.0,19,12,LAC,DEN,0,away,Sub,,,,,J. Grant,W. Barton
55,1,5:14.0,19,12,LAC,DEN,0,away,Sub,,,,,M. Morris,P. Millsap
56,1,5:14.0,19,12,LAC,DEN,0,home,Sub,,,,,L. Shamet,P. George
57,1,5:03.0,22,12,LAC,DEN,11,home,JS,assist,25,make3,3,K. Leonard,L. Shamet
58,1,4:35.0,22,12,LAC,DEN,28,away,JS,,28,miss3,0,J. Murray,
59,1,4:31.0,22,12,LAC,DEN,4,home,DefReb,,,DefReb,,P. Beverley,
60,1,4:24.0,22,12,LAC,DEN,7,home,JS,,26,miss3,0,K. Leonard,
61,1,4:20.0,22,12,LAC,DEN,4,away,DefReb,,,DefReb,,G. Harris,
62,1,4:09.0,22,12,LAC,DEN,11,away,bad pass,steal,,turnover,,G. Harris,M. Morris
63,1,4:05.0,22,12,LAC,DEN,4,home,lost ball,steal,,turnover,,M. Morris,M. Morris
64,1,4:01.0,22,12,LAC,DEN,4,away,JS,,19,miss2,0,J. Grant,
65,1,4:01.0,22,12,LAC,DEN,0,home,DefReb,,,DefReb,,Team,
66,1,4:01.0,22,12,LAC,DEN,0,away,Sub,,,,,M. Porter,G. Harris
67,1,4:01.0,22,12,LAC,DEN,0,home,Sub,,,,,M. Harrell,I. Zubac
68,1,3:44.0,22,12,LAC,DEN,17,home,JS,,27,miss3,0,L. Shamet,
69,1,3:41.0,22,12,LAC,DEN,3,away,DefReb,,,DefReb,,N. Jokić,
70,1,3:36.0,22,12,LAC,DEN,5,away,LU,,2,miss2,0,J. Grant,
71,1,3:34.0,22,12,LAC,DEN,2,home,DefReb,,,DefReb,,M. Harrell,
72,1,3:30.0,22,12,LAC,DEN,4,home,LU,block,2,miss2,0,M. Harrell,M. Porter
73,1,3:30.0,22,12,LAC,DEN,0,home,OffReb,,,OffReb,,P. Beverley,
74,1,3:27.0,22,12,LAC,DEN,3,home,PersonalFoul,DrawnBy,,PersonalFoul,,M. Morris,P. Beverley
75,1,3:27.0,22,12,LAC,DEN,0,away,Sub,,,,,M. Plumlee,N. Jokić
76,1,3:27.0,22,12,LAC,DEN,0,home,Sub,,,,,L. Williams,P. Beverley
77,1,3:22.0,22,12,LAC,DEN,5,home,JS,,25,miss3,0,M. Morris,
78,1,3:20.0,22,12,LAC,DEN,2,away,DefReb,,,DefReb,,M. Porter,
79,1,3:16.0,22,12,LAC,DEN,4,away,ShootingFoul,DrawnBy,,ShootingFoul,,K. Leonard,J. Grant
80,1,3:16.0,22,13,LAC,DEN,0,away,FreeThrow,,,make1,1,J. Grant,
81,1,3:16.0,22,13,LAC,DEN,0,home,Sub,,,,,J. Green,K. Leonard
82,1,3:16.0,22,13,LAC,DEN,0,home,Sub,,,,,R. Jackson,M. Morris
83,1,3:16.0,22,14,LAC,DEN,0,away,FreeThrow,,,make1,1,J. Grant,
84,1,3:06.0,22,14,LAC,DEN,10,home,JS,,23,miss3,0,R. Jackson,
85,1,3:02.0,22,14,LAC,DEN,4,home,OffReb,,,OffReb,,R. Jackson,
86,1,2:55.0,24,14,LAC,DEN,7,home,LU,assist,1,make2,2,M. Harrell,L. Williams
87,1,2:54.0,24,14,LAC,DEN,1,home,DelayOfGame,,,DelayOfGame,,Team,
88,1,2:44.0,24,17,LAC,DEN,10,away,JS,,25,make3,3,M. Morris,
89,1,2:18.0,24,17,LAC,DEN,26,home,ShootingFoul,DrawnBy,,ShootingFoul,,M. Plumlee,M. Harrell
90,1,2:18.0,25,17,LAC,DEN,0,home,FreeThrow,,,make1,1,M. Harrell,
91,1,2:18.0,25,17,LAC,DEN,0,away,Sub,,,,,W. Barton,J. Murray
92,1,2:18.0,26,17,LAC,DEN,0,home,FreeThrow,,,make1,1,M. Harrell,
93,1,2:03.0,26,20,LAC,DEN,15,away,JS,assist,25,make3,3,M. Porter,J. Grant
94,1,1:44.0,28,20,LAC,DEN,19,home,LU,assist,2,make2,2,M. Harrell,L. Williams
95,1,1:30.0,28,20,LAC,DEN,14,away,JS,,25,miss3,0,M. Morris,
96,1,1:30.0,28,20,LAC,DEN,0,home,DefReb,,,DefReb,,R. Jackson,
97,1,1:24.0,30,20,LAC,DEN,6,home,LU,,1,make2,2,R. Jackson,
98,1,1:13.0,30,20,LAC,DEN,11,away,bad pass,steal,,turnover,,W. Barton,R. Jackson
99,1,1:08.0,33,20,LAC,DEN,5,home,JS,assist,26,make3,3,R. Jackson,L. Williams
100,1,1:06.0,33,20,LAC,DEN,2,away,Timeout,,,,,,
101,1,0:48.0,33,22,LAC,DEN,18,away,JS,assist,10,make2,2,W. Barton,M. Porter
102,1,0:40.0,35,22,LAC,DEN,8,home,LU,,3,make2,2,L. Williams,
103,1,0:33.0,35,25,LAC,DEN,7,away,JS,assist,26,make3,3,J. Grant,W. Barton
104,1,0:17.0,37,25,LAC,DEN,16,home,HS,assist,6,make2,2,J. Green,R. Jackson
105,1,0:01.0,37,25,LAC,DEN,16,away,JS,,9,miss2,0,W. Barton,
106,1,0:01.0,37,25,LAC,DEN,0,away,OffReb,,,OffReb,,M. Porter,
107,1,0:01.0,37,27,LAC,DEN,0,away,LU,,2,make2,2,M. Porter,
108,1,0:00.0,37,27,LAC,DEN,1,away,InstantReplay,,,RulingStands,,Team,
109,2,11:46.0,37,29,LAC,DEN,14,away,JS,,20,make2,2,M. Morris,
110,2,11:30.0,37,29,LAC,DEN,16,home,JS,,25,miss3,0,L. Shamet,
111,2,11:28.0,37,29,LAC,DEN,2,away,DefReb,,,DefReb,,W. Barton,
112,2,11:19.0,37,31,LAC,DEN,9,away,JS,assist,21,make2,2,J. Grant,W. Barton
113,2,11:05.0,37,31,LAC,DEN,14,home,bad pass,steal,,turnover,,L. Williams,J. Grant
114,2,11:00.0,37,31,LAC,DEN,5,away,LU,block,3,miss2,0,W. Barton,J. Green
115,2,10:57.0,37,31,LAC,DEN,3,home,DefReb,,,DefReb,,R. Jackson,
116,2,10:55.0,37,31,LAC,DEN,2,home,JS,,27,miss3,0,L. Williams,
117,2,10:50.0,37,31,LAC,DEN,5,home,OffReb,,,OffReb,,M. Harrell,
118,2,10:49.0,39,31,LAC,DEN,1,home,LU,assist,1,make2,2,R. Jackson,M. Harrell
119,2,10:29.0,39,31,LAC,DEN,20,away,JS,,23,miss3,0,J. Grant,
120,2,10:25.0,39,31,LAC,DEN,4,home,DefReb,,,DefReb,,M. Harrell,
121,2,10:13.0,42,31,LAC,DEN,12,home,JS,assist,25,make3,3,R. Jackson,L. Williams
122,2,9:58.0,42,31,LAC,DEN,15,away,LU,,2,miss2,0,T. Craig,
123,2,9:56.0,42,31,LAC,DEN,2,home,DefReb,,,DefReb,,R. Jackson,
124,2,9:56.0,42,31,LAC,DEN,0,home,Sub,,,,,P. George,L. Shamet
