,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:41.0,2,0,MIA,DAL,19,home,JS,assist,16,make2,2,J. Butler,K. Nunn
1,1,11:15.0,2,0,MIA,DAL,26,away,JS,,26,miss3,0,K. Porziņģis,
2,1,11:10.0,2,0,MIA,DAL,5,home,DefReb,,,DefReb,,D. Robinson,
3,1,11:07.0,2,0,MIA,DAL,3,home,LU,,9,miss2,0,B. Adebayo,
4,1,11:06.0,2,0,MIA,DAL,1,away,DefReb,,,DefReb,,D. Finney-Smith,
5,1,11:06.0,2,0,MIA,DAL,0,away,PersonalFoul,DrawnBy,,PersonalFoul,,B. Adebayo,D. Finney-Smith
6,1,10:57.0,2,2,MIA,DAL,9,away,LU,assist,2,make2,2,T. Hardaway,L. Dončić
7,1,10:34.0,4,2,MIA,DAL,23,home,LU,,3,make2,2,J. Butler,
8,1,10:30.0,4,5,MIA,DAL,4,away,JS,assist,26,make3,3,T. Hardaway,L. Dončić
9,1,10:06.0,4,5,MIA,DAL,24,home,JS,,16,miss2,0,B. Adebayo,
10,1,10:04.0,4,5,MIA,DAL,2,away,DefReb,,,DefReb,,K. Porziņģis,
11,1,9:57.0,4,5,MIA,DAL,7,away,JS,,7,miss2,0,L. Dončić,
12,1,9:52.0,4,5,MIA,DAL,5,home,DefReb,,,DefReb,,K. Nunn,
13,1,9:45.0,4,5,MIA,DAL,7,home,LU,,3,miss2,0,B. Adebayo,
14,1,9:45.0,4,5,MIA,DAL,0,away,DefReb,,,DefReb,,Team,
15,1,9:35.0,4,8,MIA,DAL,10,away,JS,,27,make3,3,T. Hardaway,
16,1,9:20.0,4,8,MIA,DAL,15,home,JS,,10,miss2,0,J. Butler,
17,1,9:18.0,4,8,MIA,DAL,2,home,OffReb,,,OffReb,,D. Jones,
18,1,9:18.0,6,8,MIA,DAL,0,home,LU,,0,make2,2,D. Jones,
19,1,9:07.0,6,8,MIA,DAL,11,away,JS,,23,miss3,0,T. Hardaway,
20,1,9:05.0,6,8,MIA,DAL,2,home,DefReb,,,DefReb,,J. Butler,
21,1,8:56.0,6,8,MIA,DAL,9,home,JS,,15,miss2,0,D. Jones,
22,1,8:54.0,6,8,MIA,DAL,2,away,DefReb,,,DefReb,,L. Dončić,
23,1,8:44.0,6,11,MIA,DAL,10,away,JS,assist,28,make3,3,K. Porziņģis,T. Hardaway
24,1,8:27.0,8,11,MIA,DAL,17,home,JS,assist,7,make2,2,B. Adebayo,J. Butler
25,1,8:13.0,8,11,MIA,DAL,14,away,JS,,25,miss3,0,D. Finney-Smith,
26,1,8:09.0,8,11,MIA,DAL,4,home,DefReb,,,DefReb,,J. Butler,
27,1,8:05.0,10,11,MIA,DAL,4,home,LU,,3,make2,2,J. Butler,
28,1,7:37.0,10,11,MIA,DAL,28,away,LU,,6,miss2,0,L. Dončić,
29,1,7:36.0,10,11,MIA,DAL,1,away,OffReb,,,OffReb,,Team,
30,1,7:26.0,10,13,MIA,DAL,10,away,JS,,16,make2,2,S. Curry,
31,1,7:16.0,12,13,MIA,DAL,10,home,JS,assist,13,make2,2,B. Adebayo,K. Nunn
32,1,7:02.0,12,13,MIA,DAL,14,away,HS,,8,miss2,0,T. Hardaway,
33,1,6:59.0,12,13,MIA,DAL,3,home,DefReb,,,DefReb,,B. Adebayo,
34,1,6:50.0,15,13,MIA,DAL,9,home,JS,assist,26,make3,3,K. Nunn,B. Adebayo
35,1,6:34.0,15,13,MIA,DAL,16,away,JS,,26,miss3,0,L. Dončić,
36,1,6:32.0,15,13,MIA,DAL,2,home,DefReb,,,DefReb,,Team,
37,1,6:32.0,15,13,MIA,DAL,0,home,Timeout,,,,,,
38,1,6:32.0,15,13,MIA,DAL,0,away,Sub,,,,,M. Kidd-Gilchrist,T. Hardaway
39,1,6:12.0,17,13,MIA,DAL,20,home,LU,assist,3,make2,2,J. Butler,D. Jones
40,1,6:12.0,17,13,MIA,DAL,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,M. Kidd-Gilchrist,J. Butler
41,1,6:12.0,18,13,MIA,DAL,0,home,FreeThrow,,,make1,1,J. Butler,
42,1,5:47.0,18,16,MIA,DAL,25,away,JS,assist,27,make3,3,S. Curry,M. Kidd-Gilchrist
43,1,5:39.0,18,16,MIA,DAL,8,home,PersonalFoul,DrawnBy,,PersonalFoul,,S. Curry,D. Jones
44,1,5:39.0,18,16,MIA,DAL,0,home,Sub,,,,,G. Dragić,D. Robinson
45,1,5:31.0,21,16,MIA,DAL,8,home,JS,assist,26,make3,3,K. Nunn,B. Adebayo
46,1,5:13.0,21,16,MIA,DAL,18,away,bad pass,steal,,turnover,,S. Curry,D. Jones
47,1,5:07.0,21,16,MIA,DAL,6,home,JS,,10,miss2,0,B. Adebayo,
48,1,5:06.0,21,16,MIA,DAL,1,home,OffReb,,,OffReb,,B. Adebayo,
49,1,5:06.0,21,16,MIA,DAL,0,home,BadPass,,,turnover,,B. Adebayo,
50,1,4:53.0,21,18,MIA,DAL,13,away,JS,assist,20,make2,2,S. Curry,K. Porziņģis
51,1,4:41.0,21,18,MIA,DAL,12,home,JS,,26,miss3,0,D. Jones,
52,1,4:37.0,21,18,MIA,DAL,4,away,DefReb,,,DefReb,,M. Kidd-Gilchrist,
53,1,4:34.0,21,18,MIA,DAL,3,away,OffensiveFoul,DrawnBy,,OffensiveFoul,,L. Dončić,D. Jones
54,1,4:34.0,21,18,MIA,DAL,0,away,OffensiveFoul,,,turnover,,L. Dončić,
55,1,4:34.0,21,18,MIA,DAL,0,away,DelayOfGame,,,DelayOfGame,,Team,
56,1,4:34.0,21,18,MIA,DAL,0,away,Sub,,,,,M. Kleber,K. Porziņģis
57,1,4:34.0,21,18,MIA,DAL,0,home,Sub,,,,,J. Crowder,D. Jones
