,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:41.0,0,2,GSW,PHI,19,away,DK,assist,2,make2,2,A. Horford,M. Thybulle
1,1,11:23.0,0,2,GSW,PHI,18,home,bad pass,steal,,turnover,,A. Wiggins,S. Milton
2,1,11:18.0,0,2,GSW,PHI,5,home,KickBallViolation,,,KickBallViolation,,Team,
3,1,11:12.0,0,5,GSW,PHI,6,away,JS,assist,26,make3,3,A. Horford,S. Milton
4,1,10:59.0,0,5,GSW,PHI,13,home,JS,,19,miss2,0,A. Wiggins,
5,1,10:57.0,0,5,GSW,PHI,2,away,DefReb,,,DefReb,,A. Horford,
6,1,10:49.0,0,5,GSW,PHI,8,away,JS,,11,miss2,0,T. Harris,
7,1,10:46.0,0,5,GSW,PHI,3,away,OffReb,,,OffReb,,Team,
8,1,10:35.0,0,7,GSW,PHI,11,away,LU,assist,2,make2,2,A. Horford,T. Harris
9,1,10:27.0,0,7,GSW,PHI,8,home,JS,,29,miss3,0,D. Lee,
10,1,10:25.0,0,7,GSW,PHI,2,away,DefReb,,,DefReb,,M. Scott,
11,1,10:06.0,0,7,GSW,PHI,19,away,JS,,8,miss2,0,T. Harris,
12,1,10:05.0,0,7,GSW,PHI,1,home,DefReb,,,DefReb,,D. Lee,
13,1,9:53.0,2,7,GSW,PHI,12,home,JS,assist,10,make2,2,D. Lee,M. Chriss
14,1,9:34.0,2,7,GSW,PHI,19,away,lost ball,steal,,turnover,,A. Horford,A. Wiggins
15,1,9:27.0,2,7,GSW,PHI,7,home,ShootingFoul,DrawnBy,,ShootingFoul,,T. Harris,A. Wiggins
16,1,9:27.0,3,7,GSW,PHI,0,home,FreeThrow,,,make1,1,A. Wiggins,
17,1,9:27.0,4,7,GSW,PHI,0,home,FreeThrow,,,make1,1,A. Wiggins,
18,1,9:17.0,4,7,GSW,PHI,10,away,JS,,26,miss3,0,M. Thybulle,
19,1,9:16.0,4,7,GSW,PHI,1,home,DefReb,,,DefReb,,Team,
20,1,9:09.0,4,7,GSW,PHI,7,home,JS,,28,miss3,0,M. Mulder,
21,1,9:07.0,4,7,GSW,PHI,2,away,DefReb,,,DefReb,,S. Milton,
22,1,8:56.0,4,7,GSW,PHI,11,away,bad pass,steal,,turnover,,M. Scott,M. Chriss
23,1,8:50.0,4,7,GSW,PHI,6,home,JS,,23,miss3,0,D. Lee,
24,1,8:48.0,4,7,GSW,PHI,2,away,DefReb,,,DefReb,,A. Horford,
25,1,8:33.0,4,7,GSW,PHI,15,away,JS,,12,miss2,0,S. Milton,
26,1,8:32.0,4,7,GSW,PHI,1,away,OffReb,,,OffReb,,S. Milton,
27,1,8:32.0,4,9,GSW,PHI,0,away,LU,,3,make2,2,S. Milton,
28,1,8:10.0,6,9,GSW,PHI,22,home,LU,,5,make2,2,A. Wiggins,
29,1,8:10.0,6,9,GSW,PHI,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,S. Milton,A. Wiggins
30,1,8:10.0,6,9,GSW,PHI,0,home,FreeThrow,,,make1,0,A. Wiggins,
31,1,8:09.0,6,9,GSW,PHI,1,away,DefReb,,,DefReb,,A. Horford,
32,1,7:50.0,6,9,GSW,PHI,19,away,LU,,6,miss2,0,M. Scott,
33,1,7:49.0,6,9,GSW,PHI,1,away,OffReb,,,OffReb,,Team,
