,Date,Away Team,Home Team
0,2020-12-22,GSW,BRK
1,2020-12-22,LAC,LAL
2,2020-12-23,CHO,CLE
3,2020-12-23,NYK,IND
4,2020-12-23,MIA,ORL
5,2020-12-23,WAS,PHI
6,2020-12-23,NOP,TOR
7,2020-12-23,MIL,BOS
8,2020-12-23,ATL,CHI
9,2020-12-23,SAS,MEM
10,2020-12-23,DET,MIN
11,2020-12-23,SAC,DEN
12,2020-12-23,UTA,POR
13,2020-12-23,DAL,PHO
14,2020-12-25,NOP,MIA
15,2020-12-25,GSW,MIL
16,2020-12-25,BRK,BOS
17,2020-12-25,DAL,LAL
18,2020-12-25,LAC,DEN
19,2020-12-26,ATL,MEM
20,2020-12-26,OKC,CHO
21,2020-12-26,CLE,DET
22,2020-12-26,ORL,WAS
23,2020-12-26,PHI,NYK
24,2020-12-26,IND,CHI
25,2020-12-26,TOR,SAS
26,2020-12-26,MIN,UTA
27,2020-12-26,HOU,POR
28,2020-12-26,PHO,SAC
29,2020-12-27,DAL,LAC
30,2020-12-27,SAS,NOP
31,2020-12-27,ORL,WAS
32,2020-12-27,BRK,CHO
33,2020-12-27,PHI,CLE
34,2020-12-27,MIL,NYK
35,2020-12-27,BOS,IND
36,2020-12-27,GSW,CHI
37,2020-12-27,PHO,SAC
38,2020-12-27,MIN,LAL
39,2020-12-28,MEM,BRK
40,2020-12-28,DET,ATL
41,2020-12-28,UTA,OKC
42,2020-12-28,HOU,DEN
43,2020-12-28,POR,LAL
44,2020-12-29,NYK,CLE
45,2020-12-29,GSW,DET
46,2020-12-29,BOS,IND
47,2020-12-29,CHI,WAS
48,2020-12-29,TOR,PHI
49,2020-12-29,MIL,MIA
50,2020-12-29,ORL,OKC
51,2020-12-29,NOP,PHO
52,2020-12-29,DEN,SAC
53,2020-12-29,MIN,LAC
54,2020-12-30,MIL,MIA
55,2020-12-30,ATL,BRK
56,2020-12-30,MEM,BOS
57,2020-12-30,CHO,DAL
58,2020-12-30,LAL,SAS
59,2020-12-30,POR,LAC
60,2020-12-31,CLE,IND
61,2020-12-31,CHI,WAS
62,2020-12-31,PHI,ORL
63,2020-12-31,SAC,HOU
64,2020-12-31,NYK,TOR
65,2020-12-31,NOP,OKC
66,2020-12-31,PHO,UTA
67,2021-01-01,MEM,CHO
68,2021-01-01,MIA,DAL
69,2021-01-01,BOS,DET
70,2021-01-01,ATL,BRK
71,2021-01-01,CHI,MIL
72,2021-01-01,WAS,MIN
73,2021-01-01,LAL,SAS
74,2021-01-01,PHO,DEN
75,2021-01-01,LAC,UTA
76,2021-01-01,POR,GSW
77,2021-01-02,SAC,HOU
78,2021-01-02,NYK,IND
79,2021-01-02,OKC,ORL
80,2021-01-02,CHO,PHI
81,2021-01-02,CLE,ATL
82,2021-01-02,TOR,NOP
83,2021-01-03,BOS,DET
84,2021-01-03,WAS,BRK
85,2021-01-03,LAL,MEM
86,2021-01-03,DEN,MIN
87,2021-01-03,UTA,SAS
88,2021-01-03,DAL,CHI
89,2021-01-03,LAC,PHO
90,2021-01-03,POR,GSW
91,2021-01-04,CLE,ORL
92,2021-01-04,CHO,PHI
93,2021-01-04,NYK,ATL
94,2021-01-04,OKC,MIA
95,2021-01-04,BOS,TOR
96,2021-01-04,DAL,HOU
97,2021-01-04,DET,MIL
98,2021-01-04,IND,NOP
99,2021-01-04,SAC,GSW
100,2021-01-05,UTA,BRK
101,2021-01-05,LAL,MEM
102,2021-01-05,MIN,DEN
103,2021-01-05,SAS,LAC
104,2021-01-05,CHI,POR
105,2021-01-06,HOU,IND
106,2021-01-06,CLE,ORL
107,2021-01-06,WAS,PHI
108,2021-01-06,CHO,ATL
109,2021-01-06,BOS,MIA
110,2021-01-06,UTA,NYK
111,2021-01-06,DET,MIL
112,2021-01-06,OKC,NOP
113,2021-01-06,TOR,PHO
114,2021-01-06,LAC,GSW
115,2021-01-06,CHI,SAC
116,2021-01-07,PHI,BRK
117,2021-01-07,CLE,MEM
118,2021-01-07,DAL,DEN
119,2021-01-07,SAS,LAL
120,2021-01-07,MIN,POR
121,2021-01-08,PHO,DET
122,2021-01-08,WAS,BOS
123,2021-01-08,CHO,NOP
124,2021-01-08,OKC,NYK
125,2021-01-08,ORL,HOU
126,2021-01-08,BRK,MEM
127,2021-01-08,UTA,MIL
128,2021-01-08,LAC,GSW
129,2021-01-08,CHI,LAL
130,2021-01-08,TOR,SAC
131,2021-01-09,DEN,PHI
132,2021-01-09,ATL,CHO
133,2021-01-09,PHO,IND
134,2021-01-09,MIA,WAS
135,2021-01-09,CLE,MIL
136,2021-01-09,SAS,MIN
137,2021-01-09,ORL,DAL
138,2021-01-09,POR,SAC
139,2021-01-10,UTA,DET
140,2021-01-10,CHI,LAC
141,2021-01-10,OKC,BRK
142,2021-01-10,DEN,NYK
143,2021-01-10,LAL,HOU
144,2021-01-10,SAS,MIN
145,2021-01-10,TOR,GSW
146,2021-01-11,NYK,CHO
147,2021-01-11,MEM,CLE
148,2021-01-11,MIL,ORL
149,2021-01-11,PHO,WAS
150,2021-01-11,PHI,ATL
151,2021-01-11,TOR,POR
152,2021-01-11,IND,SAC
153,2021-01-12,MIA,PHI
154,2021-01-12,DEN,BRK
155,2021-01-12,UTA,CLE
156,2021-01-12,LAL,HOU
157,2021-01-12,SAS,OKC
158,2021-01-12,IND,GSW
159,2021-01-13,DAL,CHO
160,2021-01-13,MIL,DET
161,2021-01-13,BRK,NYK
162,2021-01-13,MEM,MIN
163,2021-01-13,LAL,OKC
164,2021-01-13,NOP,LAC
165,2021-01-13,POR,SAC
166,2021-01-14,MIA,PHI
167,2021-01-14,HOU,SAS
168,2021-01-14,CHO,TOR
169,2021-01-14,GSW,DEN
170,2021-01-14,IND,POR
171,2021-01-15,ORL,BOS
172,2021-01-15,NYK,CLE
173,2021-01-15,DAL,MIL
174,2021-01-15,CHI,OKC
175,2021-01-15,ATL,UTA
176,2021-01-15,NOP,LAL
177,2021-01-15,LAC,SAC
178,2021-01-16,HOU,SAS
179,2021-01-16,ORL,BRK
180,2021-01-16,CHO,TOR
181,2021-01-16,PHI,MEM
182,2021-01-16,DET,MIA
183,2021-01-16,ATL,POR
184,2021-01-17,NYK,BOS
185,2021-01-17,CHI,DAL
186,2021-01-17,UTA,DEN
187,2021-01-17,NOP,SAC
188,2021-01-17,IND,LAC
189,2021-01-18,ORL,NYK
190,2021-01-18,MIN,ATL
191,2021-01-18,SAS,POR
192,2021-01-18,PHO,MEM
193,2021-01-18,MIL,BRK
194,2021-01-18,DAL,TOR
195,2021-01-18,HOU,CHI
196,2021-01-18,DET,MIA
197,2021-01-18,GSW,LAL
198,2021-01-19,OKC,DEN
199,2021-01-19,NOP,UTA
200,2021-01-20,BRK,CLE
201,2021-01-20,DAL,IND
202,2021-01-20,BOS,PHI
203,2021-01-20,DET,ATL
204,2021-01-20,MIA,TOR
205,2021-01-20,ORL,MIN
206,2021-01-20,PHO,HOU
207,2021-01-20,SAS,GSW
208,2021-01-20,SAC,LAC
209,2021-01-21,LAL,MIL
210,2021-01-21,NYK,GSW
211,2021-01-21,NOP,UTA
212,2021-01-22,CHI,CHO
213,2021-01-22,HOU,DET
214,2021-01-22,ORL,IND
215,2021-01-22,BRK,CLE
216,2021-01-22,BOS,PHI
217,2021-01-22,MIA,TOR
218,2021-01-22,ATL,MIN
219,2021-01-22,DAL,SAS
220,2021-01-22,OKC,LAC
221,2021-01-22,DEN,PHO
222,2021-01-22,NYK,SAC
223,2021-01-23,MIA,BRK
224,2021-01-23,PHI,DET
225,2021-01-23,NOP,MIN
226,2021-01-23,LAL,CHI
227,2021-01-23,HOU,DAL
228,2021-01-23,DEN,PHO
229,2021-01-23,GSW,UTA
230,2021-01-24,TOR,IND
231,2021-01-24,OKC,LAC
232,2021-01-24,CLE,BOS
233,2021-01-24,CHO,ORL
234,2021-01-24,ATL,MIL
235,2021-01-24,WAS,SAS
236,2021-01-24,NYK,POR
237,2021-01-25,PHI,DET
238,2021-01-25,TOR,IND
239,2021-01-25,CHO,ORL
240,2021-01-25,MIA,BRK
241,2021-01-25,LAL,CLE
242,2021-01-25,DEN,DAL
243,2021-01-25,BOS,CHI
244,2021-01-25,MIN,GSW
245,2021-01-25,OKC,POR
246,2021-01-26,LAC,ATL
247,2021-01-26,WAS,HOU
248,2021-01-26,NYK,UTA
249,2021-01-27,IND,CHO
250,2021-01-27,DET,CLE
251,2021-01-27,SAC,ORL
252,2021-01-27,BRK,ATL
253,2021-01-27,DEN,MIA
254,2021-01-27,LAL,PHI
255,2021-01-27,MIL,TOR
256,2021-01-27,BOS,SAS
257,2021-01-27,WAS,NOP
258,2021-01-27,OKC,PHO
259,2021-01-27,DAL,UTA
260,2021-01-27,MIN,GSW
261,2021-01-28,POR,HOU
262,2021-01-28,LAL,DET
263,2021-01-28,LAC,MIA
264,2021-01-28,GSW,PHO
265,2021-01-29,IND,CHO
266,2021-01-29,ATL,WAS
267,2021-01-29,MIL,NOP
268,2021-01-29,CLE,NYK
269,2021-01-29,SAC,TOR
270,2021-01-29,PHI,MIN
271,2021-01-29,BRK,OKC
272,2021-01-29,LAC,ORL
273,2021-01-29,DEN,SAS
274,2021-01-29,DAL,UTA
275,2021-01-30,POR,CHI
276,2021-01-30,MIL,CHO
277,2021-01-30,SAC,MIA
278,2021-01-30,HOU,NOP
279,2021-01-30,LAL,BOS
280,2021-01-30,MEM,SAS
281,2021-01-30,PHO,DAL
282,2021-01-30,DET,GSW
283,2021-01-31,LAC,NYK
284,2021-01-31,UTA,DEN
285,2021-01-31,PHI,IND
286,2021-01-31,ORL,TOR
287,2021-01-31,BRK,WAS
288,2021-01-31,CLE,MIN
289,2021-02-01,LAL,ATL
290,2021-02-01,CHO,MIA
291,2021-02-01,NYK,CHI
292,2021-02-01,MIN,CLE
293,2021-02-01,POR,MIL
294,2021-02-01,SAC,NOP
295,2021-02-01,HOU,OKC
296,2021-02-01,PHO,DAL
297,2021-02-01,MEM,SAS
298,2021-02-02,TOR,ORL
299,2021-02-02,LAC,BRK
300,2021-02-02,MEM,IND
301,2021-02-02,POR,WAS
302,2021-02-02,BOS,GSW
303,2021-02-02,DET,UTA
304,2021-02-03,PHI,CHO
305,2021-02-03,IND,MIL
306,2021-02-03,DAL,ATL
307,2021-02-03,NYK,CHI
308,2021-02-03,LAC,CLE
309,2021-02-03,WAS,MIA
310,2021-02-03,HOU,OKC
311,2021-02-03,MIN,SAS
312,2021-02-03,PHO,NOP
313,2021-02-03,BOS,SAC
314,2021-02-04,UTA,ATL
315,2021-02-04,GSW,DAL
316,2021-02-04,POR,PHI
317,2021-02-04,HOU,MEM
318,2021-02-04,DEN,LAL
319,2021-02-05,NOP,IND
320,2021-02-05,CHI,ORL
321,2021-02-05,TOR,BRK
322,2021-02-05,MIL,CLE
323,2021-02-05,UTA,CHO
324,2021-02-05,WAS,MIA
325,2021-02-05,MIN,OKC
326,2021-02-05,DET,PHO
327,2021-02-05,BOS,LAC
328,2021-02-06,POR,NYK
329,2021-02-06,DEN,SAC
330,2021-02-06,CHI,ORL
331,2021-02-06,TOR,ATL
332,2021-02-06,MIL,CLE
333,2021-02-06,SAS,HOU
334,2021-02-06,MIN,OKC
335,2021-02-06,BRK,PHI
336,2021-02-06,GSW,DAL
337,2021-02-06,MEM,NOP
338,2021-02-06,DET,LAL
339,2021-02-07,WAS,CHO
340,2021-02-07,UTA,IND
341,2021-02-07,MIA,NYK
342,2021-02-07,BOS,PHO
343,2021-02-07,SAC,LAC
344,2021-02-08,HOU,CHO
345,2021-02-08,WAS,CHI
346,2021-02-08,TOR,MEM
347,2021-02-08,MIN,DAL
348,2021-02-08,GSW,SAS
349,2021-02-08,CLE,PHO
350,2021-02-08,MIL,DEN
351,2021-02-08,OKC,LAL
352,2021-02-09,BRK,DET
353,2021-02-09,NYK,MIA
354,2021-02-09,HOU,NOP
355,2021-02-09,GSW,SAS
356,2021-02-09,ORL,POR
357,2021-02-09,PHI,SAC
358,2021-02-09,BOS,UTA
359,2021-02-10,TOR,WAS
360,2021-02-10,ATL,DAL
361,2021-02-10,IND,BRK
362,2021-02-10,CHO,MEM
363,2021-02-10,LAC,MIN
364,2021-02-10,NOP,CHI
365,2021-02-10,CLE,DEN
366,2021-02-10,OKC,LAL
367,2021-02-10,MIL,PHO
368,2021-02-11,TOR,BOS
369,2021-02-11,MIA,HOU
370,2021-02-11,IND,DET
371,2021-02-11,ORL,GSW
372,2021-02-11,PHI,POR
373,2021-02-12,MIN,CHO
374,2021-02-12,NYK,WAS
375,2021-02-12,SAS,ATL
376,2021-02-12,NOP,DAL
377,2021-02-12,DET,BOS
378,2021-02-12,LAC,CHI
379,2021-02-12,OKC,DEN
380,2021-02-12,MIL,UTA
381,2021-02-12,MEM,LAL
382,2021-02-12,CLE,POR
383,2021-02-12,ORL,SAC
384,2021-02-13,PHI,PHO
385,2021-02-13,IND,ATL
386,2021-02-13,HOU,NYK
387,2021-02-13,BRK,GSW
388,2021-02-13,MIA,UTA
389,2021-02-14,BOS,WAS
390,2021-02-14,SAS,CHO
391,2021-02-14,NOP,DET
392,2021-02-14,MIN,TOR
393,2021-02-14,POR,DAL
394,2021-02-14,MIL,OKC
395,2021-02-14,ORL,PHO
396,2021-02-14,LAL,DEN
397,2021-02-14,CLE,LAC
398,2021-02-14,MEM,SAC
399,2021-02-15,CHI,IND
400,2021-02-15,HOU,WAS
401,2021-02-15,ATL,NYK
402,2021-02-15,PHI,UTA
403,2021-02-15,CLE,GSW
404,2021-02-15,MIA,LAC
405,2021-02-15,BRK,SAC
406,2021-02-16,DEN,BOS
407,2021-02-16,NOP,MEM
408,2021-02-16,TOR,MIL
409,2021-02-16,LAL,MIN
410,2021-02-16,POR,OKC
411,2021-02-16,BRK,PHO
412,2021-02-17,NYK,ORL
413,2021-02-17,ATL,BOS
414,2021-02-17,HOU,PHI
415,2021-02-17,DET,CHI
416,2021-02-17,IND,MIN
417,2021-02-17,DEN,WAS
418,2021-02-17,OKC,MEM
419,2021-02-17,POR,NOP
420,2021-02-17,MIA,GSW
421,2021-02-17,UTA,LAC
422,2021-02-18,TOR,MIL
423,2021-02-18,BRK,LAL
424,2021-02-18,MIA,SAC
425,2021-02-19,DEN,CLE
426,2021-02-19,GSW,ORL
427,2021-02-19,ATL,BOS
428,2021-02-19,CHI,PHI
429,2021-02-19,DET,MEM
430,2021-02-19,OKC,MIL
431,2021-02-19,PHO,NOP
432,2021-02-19,TOR,MIN
433,2021-02-19,UTA,LAC
434,2021-02-20,GSW,CHO
435,2021-02-20,MIA,LAL
436,2021-02-20,SAC,CHI
437,2021-02-20,PHO,MEM
438,2021-02-20,WAS,POR
439,2021-02-21,BOS,NOP
440,2021-02-21,OKC,CLE
441,2021-02-21,MIN,NYK
442,2021-02-21,DET,ORL
443,2021-02-21,PHI,TOR
444,2021-02-21,DEN,ATL
445,2021-02-21,BRK,LAC
446,2021-02-21,SAC,MIL
447,2021-02-22,CHI,HOU
448,2021-02-22,MEM,DAL
449,2021-02-22,MIA,OKC
450,2021-02-22,POR,PHO
451,2021-02-22,CHO,UTA
452,2021-02-22,WAS,LAL
453,2021-02-23,ATL,CLE
454,2021-02-23,DET,ORL
455,2021-02-23,SAC,BRK
456,2021-02-23,BOS,DAL
457,2021-02-23,GSW,NYK
458,2021-02-23,PHI,TOR
459,2021-02-23,MIN,MIL
460,2021-02-23,POR,DEN
461,2021-02-23,WAS,LAC
462,2021-02-24,BOS,ATL
463,2021-02-24,HOU,CLE
464,2021-02-24,GSW,IND
465,2021-02-24,MIN,CHI
466,2021-02-24,TOR,MIA
467,2021-02-24,DET,NOP
468,2021-02-24,SAS,OKC
469,2021-02-24,CHO,PHO
470,2021-02-24,LAL,UTA
471,2021-02-25,DAL,PHI
472,2021-02-25,ORL,BRK
473,2021-02-25,SAC,NYK
474,2021-02-25,LAC,MEM
475,2021-02-25,WAS,DEN
476,2021-02-25,NOP,MIL
477,2021-02-26,IND,BOS
478,2021-02-26,HOU,TOR
479,2021-02-26,PHO,CHI
480,2021-02-26,SAC,DET
481,2021-02-26,LAC,MEM
482,2021-02-26,UTA,MIA
483,2021-02-26,ATL,OKC
484,2021-02-26,CHO,GSW
485,2021-02-26,POR,LAL
486,2021-02-27,CLE,PHI
487,2021-02-27,MIN,WAS
488,2021-02-27,IND,NYK
489,2021-02-27,DEN,OKC
490,2021-02-27,UTA,ORL
491,2021-02-27,NOP,SAS
492,2021-02-27,DAL,BRK
493,2021-02-28,LAC,MIL
494,2021-02-28,WAS,BOS
495,2021-02-28,NYK,DET
496,2021-02-28,MEM,HOU
497,2021-02-28,GSW,LAL
498,2021-02-28,ATL,MIA
499,2021-02-28,PHO,MIN
500,2021-02-28,CHO,SAC
501,2021-03-01,DAL,ORL
502,2021-03-01,IND,PHI
503,2021-03-01,DEN,CHI
504,2021-03-01,UTA,NOP
505,2021-03-01,BRK,SAS
506,2021-03-01,CLE,HOU
507,2021-03-01,CHO,POR
508,2021-03-02,MEM,WAS
509,2021-03-02,LAC,BOS
510,2021-03-02,ATL,MIA
511,2021-03-02,NYK,SAS
512,2021-03-02,DEN,MIL
513,2021-03-02,PHO,LAL
514,2021-03-03,IND,CLE
515,2021-03-03,UTA,PHI
516,2021-03-03,DET,TOR
517,2021-03-03,BRK,HOU
518,2021-03-03,CHO,MIN
519,2021-03-03,CHI,NOP
520,2021-03-03,ATL,ORL
521,2021-03-03,OKC,DAL
522,2021-03-03,GSW,POR
523,2021-03-03,LAL,SAC
524,2021-03-04,TOR,BOS
525,2021-03-04,LAC,WAS
526,2021-03-04,DET,NYK
527,2021-03-04,DEN,IND
