,QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
0,1,11:40.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,,Defensive rebound by K. Faried,0,0
2,1,11:25.0,,T. Mozgov misses 3-pt jump shot from 24 ft,0,0
3,1,11:23.0,,Offensive rebound by K. Faried,0,0
4,1,11:23.0,,K. Faried makes 2-pt tip-in at rim,0,2
5,1,11:11.0,J. Smith makes 2-pt jump shot from 18 ft (assist by B. Jennings),,2,2
6,1,10:55.0,,K. Faried makes 2-pt hook shot from 2 ft (assist by D. Gallinari),2,4
7,1,10:44.0,J. Smith misses 3-pt jump shot from 24 ft,,2,4
8,1,10:41.0,,Defensive rebound by T. Mozgov,2,4
9,1,10:31.0,,T. Mozgov makes 2-pt dunk at rim (assist by T. Lawson),2,6
10,1,10:16.0,Shooting foul by K. Faried (drawn by J. Smith),,2,6
11,1,10:16.0,J. Smith makes free throw 1 of 2,,3,6
12,1,10:16.0,J. Smith makes free throw 2 of 2,,4,6
13,1,9:55.0,,D. Gallinari misses 2-pt jump shot from 19 ft,4,6
14,1,9:55.0,,Offensive rebound by A. Afflalo,4,6
15,1,9:55.0,,A. Afflalo misses 2-pt jump shot from 13 ft (block by K. Caldwell-Pope),4,6
16,1,9:55.0,,Offensive rebound by Team,4,6
17,1,9:51.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by D. Gallinari),4,8
18,1,9:39.0,B. Jennings makes 2-pt jump shot from 11 ft,,6,8
19,1,9:32.0,,Turnover by K. Faried (3 sec),6,8
20,1,9:13.0,J. Smith misses 2-pt jump shot from 18 ft,,6,8
21,1,9:11.0,,Defensive rebound by T. Mozgov,6,8
22,1,8:57.0,,T. Lawson misses 3-pt jump shot from 24 ft,6,8
23,1,8:54.0,Defensive rebound by Team,,6,8
24,1,8:32.0,A. Drummond makes 2-pt layup from 1 ft,,8,8
25,1,8:10.0,,K. Faried misses 2-pt hook shot from 3 ft,8,8
26,1,8:09.0,Defensive rebound by A. Drummond,,8,8
27,1,7:56.0,J. Smith makes 2-pt layup from 2 ft,,10,8
28,1,7:42.0,,T. Mozgov misses 2-pt jump shot from 17 ft,10,8
29,1,7:40.0,Defensive rebound by B. Jennings,,10,8
30,1,7:39.0,Personal foul by T. Lawson (drawn by B. Jennings),,10,8
31,1,7:31.0,Shooting foul by T. Mozgov (drawn by J. Smith),,10,8
32,1,7:31.0,,Denver full timeout,10,8
