,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
0,1,11:38.0,,Turnover by L. Scola (lost ball; steal by T. Allen),0,0
1,1,11:34.0,T. Allen misses 2-pt layup from 2 ft (block by C. Miles),,0,0
2,1,11:33.0,Offensive rebound by C. Lee,,0,0
3,1,11:32.0,Shooting foul by S. Hill (drawn by C. Lee),,0,0
4,1,11:32.0,C. Lee makes free throw 1 of 2,,1,0
5,1,11:32.0,C. Lee makes free throw 2 of 2,,2,0
6,1,11:13.0,,R. Hibbert misses 2-pt hook shot from 5 ft,2,0
7,1,11:12.0,Defensive rebound by M. Gasol,,2,0
8,1,10:59.0,M. Conley misses 2-pt jump shot from 11 ft,,2,0
9,1,10:58.0,,Defensive rebound by L. Scola,2,0
10,1,10:40.0,,C. Miles makes 2-pt jump shot from 17 ft,2,2
11,1,10:21.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by Z. Randolph),,4,2
12,1,10:02.0,,Turnover by L. Scola (bad pass),4,2
13,1,9:47.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by C. Lee),,6,2
14,1,9:30.0,,C. Miles makes 2-pt jump shot from 20 ft (assist by L. Scola),6,4
15,1,9:17.0,C. Lee makes 2-pt jump shot from 18 ft,,8,4
16,1,8:59.0,,Turnover by C. Miles (bad pass; steal by Z. Randolph),8,4
17,1,8:54.0,M. Conley misses 2-pt layup from 1 ft,,8,4
18,1,8:53.0,,Defensive rebound by S. Hill,8,4
19,1,8:46.0,,D. Sloan makes 3-pt jump shot from 23 ft (assist by C. Miles),8,7
20,1,8:27.0,Z. Randolph misses 2-pt jump shot from 17 ft,,8,7
21,1,8:26.0,,Defensive rebound by R. Hibbert,8,7
22,1,8:08.0,,Turnover by L. Scola (bad pass),8,7
23,1,7:48.0,Shooting foul by R. Hibbert (drawn by M. Gasol),,8,7
24,1,7:48.0,M. Gasol makes free throw 1 of 2,,9,7
25,1,7:48.0,M. Gasol misses free throw 2 of 2,,9,7
26,1,7:48.0,,Defensive rebound by R. Hibbert,9,7
27,1,7:32.0,,Turnover by L. Scola (bad pass; steal by T. Allen),9,7
28,1,7:19.0,Shooting foul by R. Hibbert (drawn by Z. Randolph),,9,7
29,1,7:19.0,Z. Randolph makes free throw 1 of 2,,10,7
30,1,7:19.0,,I. Mahinmi enters the game for R. Hibbert,10,7
31,1,7:19.0,K. Koufos enters the game for M. Gasol,,10,7
32,1,7:19.0,Z. Randolph misses free throw 2 of 2,,10,7
33,1,7:19.0,,Defensive rebound by I. Mahinmi,10,7
34,1,7:03.0,,Turnover by C. Miles (bad pass),10,7
35,1,6:48.0,M. Conley misses 3-pt jump shot from 26 ft,,10,7
36,1,6:47.0,Offensive rebound by K. Koufos,,10,7
37,1,6:33.0,K. Koufos misses 2-pt jump shot from 19 ft,,10,7
38,1,6:32.0,,Defensive rebound by C. Miles,10,7
39,1,6:25.0,,C. Miles misses 2-pt layup from 1 ft,10,7
40,1,6:24.0,Defensive rebound by Z. Randolph,,10,7
41,1,6:15.0,K. Koufos makes 2-pt layup from 2 ft (assist by M. Conley),,12,7
42,1,5:52.0,,D. Sloan misses 2-pt jump shot from 16 ft,12,7
43,1,5:51.0,Defensive rebound by Z. Randolph,,12,7
44,1,5:50.0,,Indiana full timeout,12,7
45,1,5:50.0,B. Udrih enters the game for M. Conley,,12,7
46,1,5:39.0,Turnover by B. Udrih (bad pass; steal by C. Miles),,12,7
47,1,5:19.0,,C. Miles misses 3-pt jump shot from 25 ft,12,7
48,1,5:17.0,Defensive rebound by C. Lee,,12,7
49,1,5:08.0,Def 3 sec tech foul by L. Scola,,12,7
50,1,5:08.0,C. Lee makes technical free throw,,13,7
51,1,5:08.0,,C. Copeland enters the game for S. Hill,13,7
52,1,5:08.0,Q. Pondexter enters the game for T. Allen,,13,7
53,1,4:56.0,Z. Randolph misses 2-pt jump shot from 15 ft,,13,7
54,1,4:55.0,,Defensive rebound by L. Scola,13,7
55,1,4:41.0,,C. Copeland makes 3-pt jump shot from 22 ft (assist by C. Miles),13,10
56,1,4:26.0,B. Udrih makes 2-pt jump shot from 20 ft,,15,10
57,1,4:14.0,,Personal foul by Q. Pondexter (drawn by C. Copeland),15,10
58,1,4:14.0,J. Leuer enters the game for Z. Randolph,,15,10
59,1,4:00.0,,D. Sloan misses 3-pt jump shot from 26 ft,15,10
60,1,3:59.0,,Offensive rebound by L. Scola,15,10
61,1,3:59.0,,Personal foul by J. Leuer (drawn by L. Scola),15,10
62,1,3:56.0,,Personal foul by C. Lee (drawn by C. Miles),15,10
63,1,3:48.0,,C. Copeland misses 3-pt jump shot from 26 ft,15,10
64,1,3:47.0,Defensive rebound by B. Udrih,,15,10
65,1,3:40.0,Q. Pondexter misses 3-pt jump shot from 26 ft,,15,10
66,1,3:39.0,Offensive rebound by J. Leuer,,15,10
67,1,3:25.0,Shooting foul by I. Mahinmi (drawn by K. Koufos),,15,10
