,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHILADELPHIA_ACTION,HOUSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,T. Jones makes 2-pt layup from 2 ft (assist by T. Ariza),,2,0
1,1,11:14.0,,Turnover by T. Wroten (lost ball; steal by T. Jones),2,0
2,1,11:10.0,Turnover by T. Jones (lost ball; steal by N. Noel),,2,0
3,1,11:08.0,,N. Noel makes 2-pt layup at rim,2,2
4,1,10:47.0,I. Canaan misses 2-pt jump shot from 8 ft,,2,2
5,1,10:46.0,Offensive rebound by D. Howard,,2,2
6,1,10:46.0,Personal foul by B. Davies (drawn by D. Howard),,2,2
7,1,10:30.0,D. Howard misses 2-pt layup from 2 ft,,2,2
8,1,10:28.0,Offensive rebound by D. Howard,,2,2
9,1,10:22.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),,5,2
10,1,10:03.0,,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by N. Noel),5,5
11,1,9:55.0,Offensive foul by D. Howard (drawn by L. Mbah a Moute),,5,5
12,1,9:55.0,Turnover by D. Howard (offensive foul),,5,5
13,1,9:39.0,,L. Mbah a Moute misses 2-pt jump shot from 13 ft (block by J. Harden),5,5
14,1,9:38.0,,Offensive rebound by Team,5,5
15,1,9:37.0,,Turnover by L. Mbah a Moute (step out of bounds),5,5
16,1,9:26.0,T. Ariza misses 2-pt jump shot from 19 ft,,5,5
17,1,9:24.0,Offensive rebound by D. Howard,,5,5
18,1,9:22.0,Shooting foul by L. Mbah a Moute (drawn by J. Harden),,5,5
19,1,9:22.0,J. Harden makes free throw 1 of 2,,6,5
20,1,9:22.0,J. Harden makes free throw 2 of 2,,7,5
21,1,9:05.0,,B. Davies misses 2-pt jump shot from 7 ft,7,5
22,1,9:04.0,Defensive rebound by J. Harden,,7,5
23,1,8:52.0,T. Jones misses 2-pt jump shot from 3 ft,,7,5
24,1,8:50.0,Offensive rebound by T. Jones,,7,5
