,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,TORONTO_ACTION,OKLAHOMA CITY_SCORE,TORONTO_SCORE
0,1,11:39.0,S. Adams makes 2-pt dunk at rim (assist by R. Jackson),,2,0
1,1,11:24.0,,Def 3 sec tech foul by S. Adams,2,0
2,1,11:24.0,,D. DeRozan makes technical free throw,2,1
3,1,11:15.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by J. Valančiūnas),2,3
4,1,10:53.0,L. Thomas makes 2-pt jump shot from 13 ft (assist by S. Adams),,4,3
5,1,10:35.0,,Turnover by D. DeRozan (bad pass; steal by S. Adams),4,3
6,1,10:16.0,S. Adams misses 2-pt hook shot from 9 ft,,4,3
7,1,10:04.0,,Defensive rebound by K. Lowry,4,3
8,1,10:04.0,,Shooting foul by R. Jackson (drawn by P. Patterson),4,3
9,1,10:04.0,,P. Patterson makes free throw 1 of 2,4,4
10,1,10:04.0,,P. Patterson makes free throw 2 of 2,4,5
11,1,9:45.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by R. Jackson),,6,5
12,1,9:27.0,,K. Lowry misses 3-pt jump shot from 26 ft,6,5
13,1,9:26.0,,Offensive rebound by J. Valančiūnas,6,5
14,1,9:23.0,,J. Valančiūnas misses 2-pt hook shot from 2 ft,6,5
15,1,9:22.0,Defensive rebound by S. Ibaka,,6,5
16,1,9:11.0,Shooting foul by J. Valančiūnas (drawn by L. Thomas),,6,5
17,1,9:11.0,L. Thomas makes free throw 1 of 2,,7,5
18,1,9:11.0,L. Thomas makes free throw 2 of 2,,8,5
19,1,8:54.0,,D. DeRozan makes 2-pt layup from 2 ft,8,7
20,1,8:35.0,P. Jones makes 2-pt jump shot from 13 ft (assist by R. Jackson),,10,7
21,1,8:19.0,,T. Ross misses 3-pt jump shot from 25 ft,10,7
22,1,8:18.0,Defensive rebound by R. Jackson,,10,7
23,1,8:02.0,Turnover by L. Thomas (traveling),,10,7
24,1,7:45.0,,J. Valančiūnas makes 2-pt hook shot from 3 ft,10,9
25,1,7:39.0,Personal foul by T. Ross (drawn by P. Jones),,10,9
26,1,7:35.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by L. Thomas),,13,9
27,1,7:18.0,,T. Ross misses 3-pt jump shot from 25 ft,13,9
28,1,7:18.0,,Offensive rebound by J. Valančiūnas,13,9
29,1,7:08.0,,Shooting foul by S. Ibaka (drawn by J. Valančiūnas),13,9
30,1,7:08.0,,J. Valančiūnas makes free throw 1 of 2,13,10
31,1,7:08.0,,J. Valančiūnas makes free throw 2 of 2,13,11
32,1,6:48.0,L. Thomas makes 2-pt jump shot from 11 ft (assist by R. Jackson),,15,11
33,1,6:33.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by T. Ross),15,13
34,1,6:15.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Jackson),,17,13
35,1,5:57.0,,P. Patterson makes 3-pt jump shot from 23 ft (assist by D. DeRozan),17,16
36,1,5:49.0,Oklahoma City full timeout,,17,16
37,1,5:42.0,S. Adams makes 2-pt hook shot from 5 ft,,19,16
38,1,5:21.0,,T. Ross misses 2-pt jump shot from 5 ft,19,16
39,1,5:19.0,Defensive rebound by S. Adams,,19,16
40,1,5:07.0,P. Jones misses 3-pt jump shot from 25 ft,,19,16
41,1,5:06.0,,Defensive rebound by P. Patterson,19,16
42,1,4:54.0,,J. Valančiūnas misses 2-pt jump shot from 20 ft,19,16
43,1,4:53.0,Defensive rebound by L. Thomas,,19,16
44,1,4:42.0,Shooting foul by J. Valančiūnas (drawn by S. Adams),,19,16
45,1,4:42.0,S. Adams makes free throw 1 of 2,,20,16
46,1,4:42.0,,C. Hayes enters the game for J. Valančiūnas,20,16
47,1,4:42.0,N. Collison enters the game for L. Thomas,,20,16
48,1,4:42.0,S. Adams misses free throw 2 of 2,,20,16
49,1,4:41.0,,Defensive rebound by D. DeRozan,20,16
50,1,4:24.0,,C. Hayes misses 2-pt layup from 2 ft (block by N. Collison),20,16
51,1,4:21.0,Defensive rebound by N. Collison,,20,16
52,1,4:18.0,Personal foul by T. Ross (drawn by S. Ibaka),,20,16
53,1,4:18.0,,J. Johnson enters the game for T. Ross,20,16
54,1,4:14.0,Personal block foul by C. Hayes (drawn by R. Jackson),,20,16
55,1,4:14.0,R. Jackson makes free throw 1 of 2,,21,16
56,1,4:14.0,R. Jackson misses free throw 2 of 2,,21,16
57,1,4:13.0,,Defensive rebound by J. Johnson,21,16
58,1,3:59.0,,Shooting foul by N. Collison (drawn by K. Lowry),21,16
59,1,3:59.0,,K. Lowry makes free throw 1 of 2,21,17
60,1,3:59.0,K. Perkins enters the game for S. Adams,,21,17
61,1,3:59.0,,K. Lowry makes free throw 2 of 2,21,18
62,1,3:37.0,N. Collison makes 2-pt jump shot from 21 ft (assist by R. Jackson),,23,18
63,1,3:17.0,,K. Lowry misses 3-pt jump shot from 25 ft,23,18
64,1,3:16.0,Defensive rebound by K. Perkins,,23,18
65,1,2:56.0,K. Perkins misses 2-pt jump shot from 4 ft,,23,18
66,1,2:55.0,,Defensive rebound by P. Patterson,23,18
67,1,2:44.0,,Def 3 sec tech foul by K. Perkins,23,18
68,1,2:44.0,,Toronto full timeout,23,18
69,1,2:44.0,,D. DeRozan makes technical free throw,23,19
70,1,2:34.0,,J. Johnson makes 2-pt dunk at rim (assist by K. Lowry),23,21
71,1,2:16.0,R. Jackson makes 2-pt layup from 4 ft,,25,21
72,1,2:06.0,,P. Patterson misses 2-pt jump shot from 6 ft,25,21
73,1,2:05.0,,Offensive rebound by J. Johnson,25,21
74,1,2:03.0,,J. Johnson misses 2-pt tip-in at rim,25,21
75,1,2:01.0,Defensive rebound by N. Collison,,25,21
76,1,1:49.0,N. Collison makes 3-pt jump shot from 24 ft (assist by R. Jackson),,28,21
77,1,1:26.0,,D. DeRozan misses 2-pt jump shot from 19 ft,28,21
78,1,1:25.0,,Offensive rebound by J. Johnson,28,21
79,1,1:18.0,,J. Johnson misses 2-pt layup from 2 ft,28,21
80,1,1:17.0,Defensive rebound by N. Collison,,28,21
81,1,1:09.0,R. Jackson makes 2-pt jump shot from 3 ft,,30,21
82,1,0:56.0,,J. Johnson misses 3-pt jump shot from 24 ft,30,21
83,1,0:55.0,,Offensive rebound by Team,30,21
84,1,0:54.0,,T. Hansbrough enters the game for P. Patterson,30,21
85,1,0:54.0,,L. Williams enters the game for K. Lowry,30,21
86,1,0:54.0,,G. Vásquez enters the game for D. DeRozan,30,21
87,1,0:48.0,,G. Vásquez misses 3-pt jump shot from 26 ft,30,21
88,1,0:47.0,Defensive rebound by P. Jones,,30,21
89,1,0:32.0,R. Jackson misses 3-pt jump shot from 24 ft,,30,21
90,1,0:31.0,,Defensive rebound by C. Hayes,30,21
91,1,0:21.0,,G. Vásquez makes 2-pt hook shot from 4 ft (assist by J. Johnson),30,23
