,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHOENIX_ACTION,MEMPHIS_SCORE,PHOENIX_SCORE
0,1,11:32.0,,Turnover by Team (shot clock),0,0
1,1,11:13.0,Turnover by M. Gasol (bad pass; steal by G. Dragić),,0,0
2,1,11:00.0,,M. Morris makes 2-pt jump shot from 14 ft,0,2
3,1,10:43.0,M. Gasol misses 2-pt jump shot from 15 ft,,0,2
4,1,10:41.0,,Defensive rebound by E. Bledsoe,0,2
5,1,10:26.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by E. Bledsoe),0,4
6,1,10:06.0,T. Allen misses 2-pt jump shot from 16 ft,,0,4
7,1,10:03.0,,Defensive rebound by E. Bledsoe,0,4
8,1,10:00.0,,M. Morris makes 2-pt dunk at rim (assist by E. Bledsoe),0,6
9,1,9:58.0,Memphis full timeout,,0,6
10,1,9:46.0,M. Conley makes 2-pt jump shot from 19 ft,,2,6
11,1,9:28.0,,Turnover by E. Bledsoe (back court),2,6
12,1,9:11.0,Turnover by T. Allen (bad pass; steal by M. Morris),,2,6
13,1,9:04.0,,G. Dragić misses 2-pt jump shot from 17 ft,2,6
14,1,9:01.0,Defensive rebound by Z. Randolph,,2,6
15,1,8:47.0,C. Lee makes 3-pt jump shot from 26 ft (assist by M. Gasol),,5,6
16,1,8:27.0,,M. Morris makes 2-pt layup from 1 ft,5,8
17,1,8:12.0,M. Gasol misses 2-pt jump shot from 12 ft,,5,8
18,1,8:10.0,,Defensive rebound by M. Morris,5,8
19,1,7:50.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by M. Morris),5,11
20,1,7:39.0,M. Conley makes 2-pt layup from 1 ft,,7,11
21,1,7:26.0,,Turnover by E. Bledsoe (lost ball; steal by M. Gasol),7,11
22,1,7:15.0,C. Lee makes 3-pt jump shot from 23 ft (assist by M. Conley),,10,11
23,1,6:50.0,,Shooting foul by M. Gasol (drawn by E. Bledsoe),10,11
24,1,6:50.0,,E. Bledsoe makes free throw 1 of 2,10,12
25,1,6:50.0,,E. Bledsoe misses free throw 2 of 2,10,12
26,1,6:49.0,Defensive rebound by M. Gasol,,10,12
27,1,6:28.0,M. Conley makes 2-pt jump shot from 18 ft (assist by C. Lee),,12,12
28,1,6:28.0,Away from play foul by M. Morris (drawn by Z. Randolph),,12,12
29,1,6:28.0,Z. Randolph makes free throw 1 of 1,,13,12
30,1,6:14.0,,M. Morris misses 2-pt jump shot from 14 ft,13,12
31,1,6:08.0,Defensive rebound by T. Allen,,13,12
32,1,6:04.0,Z. Randolph makes 2-pt layup from 1 ft,,15,12
33,1,6:04.0,Shooting foul by M. Plumlee (drawn by Z. Randolph),,15,12
34,1,6:04.0,Z. Randolph makes free throw 1 of 1,,16,12
35,1,5:52.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Dragić),16,15
36,1,5:30.0,T. Allen makes 2-pt layup from 1 ft (assist by M. Conley),,18,15
37,1,5:09.0,,Turnover by E. Bledsoe (bad pass; steal by M. Gasol),18,15
38,1,5:03.0,T. Allen misses 2-pt layup from 1 ft,,18,15
39,1,5:01.0,,Defensive rebound by M. Plumlee,18,15
40,1,4:55.0,,E. Bledsoe makes 2-pt layup at rim,18,17
41,1,4:36.0,T. Allen makes 2-pt layup from 1 ft,,20,17
42,1,4:22.0,,G. Dragić makes 2-pt jump shot from 18 ft,20,19
43,1,4:07.0,,Violation by M. Morris (kicked ball),20,19
44,1,4:07.0,V. Carter enters the game for T. Allen,,20,19
45,1,4:07.0,,A. Len enters the game for M. Plumlee,20,19
46,1,4:07.0,,P. Tucker enters the game for M. Morris,20,19
47,1,3:57.0,V. Carter makes 2-pt layup at rim (assist by M. Gasol),,22,19
48,1,3:42.0,,E. Bledsoe makes 2-pt layup from 1 ft,22,21
49,1,3:24.0,M. Conley misses 2-pt jump shot from 17 ft,,22,21
50,1,3:22.0,,Defensive rebound by E. Bledsoe,22,21
51,1,3:18.0,Offensive charge foul by G. Dragić (drawn by M. Conley),,22,21
52,1,3:18.0,,Turnover by G. Dragić (offensive foul),22,21
53,1,3:02.0,Turnover by M. Gasol (lost ball; steal by P. Tucker),,22,21
54,1,3:00.0,,Personal foul by M. Conley (drawn by P. Tucker),22,21
55,1,3:00.0,,Phoenix full timeout,22,21
56,1,3:00.0,Q. Pondexter enters the game for C. Lee,,22,21
57,1,2:41.0,,E. Bledsoe makes 2-pt layup from 1 ft,22,23
58,1,2:24.0,M. Conley misses 3-pt jump shot from 24 ft,,22,23
59,1,2:22.0,,Defensive rebound by G. Dragić,22,23
60,1,2:17.0,,Turnover by G. Dragić (bad pass; steal by M. Conley),22,23
61,1,2:09.0,Q. Pondexter misses 2-pt jump shot from 8 ft (block by P. Tucker),,22,23
62,1,2:09.0,Offensive rebound by Team,,22,23
63,1,2:09.0,,I. Thomas enters the game for G. Dragić,22,23
64,1,1:52.0,Z. Randolph misses 2-pt jump shot from 17 ft,,22,23
65,1,1:50.0,,Defensive rebound by P. Tucker,22,23
66,1,1:38.0,,I. Thomas misses 3-pt jump shot from 24 ft,22,23
67,1,1:36.0,Defensive rebound by V. Carter,,22,23
68,1,1:27.0,M. Gasol misses 2-pt jump shot from 18 ft,,22,23
69,1,1:25.0,,Defensive rebound by P. Tucker,22,23
70,1,1:23.0,,Personal foul by Q. Pondexter (drawn by P. Tucker),22,23
71,1,1:23.0,J. Leuer enters the game for Z. Randolph,,22,23
72,1,1:23.0,B. Udrih enters the game for M. Conley,,22,23
73,1,1:12.0,,E. Bledsoe makes 2-pt jump shot from 20 ft,22,25
74,1,1:00.0,,Violation by A. Len (kicked ball),22,25
75,1,1:00.0,,A. Tolliver enters the game for M. Morris,22,25
76,1,0:48.0,Turnover by J. Leuer (bad pass; steal by P. Tucker),,22,25
77,1,0:47.0,,Turnover by P. Tucker (bad pass),22,25
78,1,0:36.0,Personal foul by A. Len (drawn by M. Gasol),,22,25
79,1,0:31.0,Personal foul by A. Len (drawn by M. Gasol),,22,25
80,1,0:31.0,M. Gasol makes free throw 1 of 2,,23,25
81,1,0:31.0,M. Gasol makes free throw 2 of 2,,24,25
82,1,0:13.0,,Personal block foul by B. Udrih (drawn by E. Bledsoe),24,25
83,1,0:13.0,,E. Bledsoe makes free throw 1 of 2,24,26
