,QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Splitter),0,3
1,1,11:23.0,K. Korver makes 2-pt jump shot from 17 ft (assist by A. Horford),,2,3
2,1,11:11.0,,T. Splitter makes 2-pt layup from 1 ft (assist by T. Parker),2,5
3,1,10:57.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Teague),,5,5
4,1,10:42.0,,T. Splitter makes 2-pt layup from 1 ft (assist by D. Green),5,7
5,1,10:37.0,Turnover by J. Teague (bad pass; steal by T. Duncan),,5,7
6,1,10:26.0,,T. Duncan misses 2-pt jump shot from 19 ft,5,7
7,1,10:25.0,Defensive rebound by A. Horford,,5,7
8,1,10:13.0,A. Horford misses 2-pt jump shot from 7 ft,,5,7
9,1,10:12.0,,Defensive rebound by K. Leonard,5,7
10,1,10:01.0,,T. Parker makes 2-pt layup at rim (assist by T. Splitter),5,9
11,1,9:42.0,D. Carroll misses 2-pt layup from 2 ft (block by T. Duncan),,5,9
12,1,9:41.0,Offensive rebound by D. Carroll,,5,9
13,1,9:41.0,D. Carroll misses 2-pt tip-in from 2 ft,,5,9
14,1,9:40.0,Offensive rebound by Team,,5,9
15,1,9:37.0,D. Carroll misses 2-pt layup from 2 ft (block by T. Duncan),,5,9
16,1,9:35.0,,Defensive rebound by T. Duncan,5,9
17,1,9:30.0,,Shooting foul by P. Millsap (drawn by T. Splitter),5,9
18,1,9:30.0,,T. Splitter misses free throw 1 of 2,5,9
19,1,9:30.0,,Offensive rebound by Team,5,9
20,1,9:30.0,,T. Splitter makes free throw 2 of 2,5,10
21,1,9:14.0,J. Teague misses 2-pt jump shot from 14 ft,,5,10
22,1,9:13.0,,Defensive rebound by K. Leonard,5,10
23,1,9:00.0,,Turnover by T. Parker (bad pass; steal by A. Horford),5,10
24,1,8:55.0,D. Carroll makes 2-pt layup from 2 ft,,7,10
25,1,8:36.0,,T. Parker makes 2-pt jump shot from 16 ft (assist by K. Leonard),7,12
26,1,8:23.0,A. Horford misses 2-pt layup from 2 ft (block by D. Green),,7,12
27,1,8:22.0,Offensive rebound by Team,,7,12
28,1,8:12.0,P. Millsap misses 2-pt jump shot from 12 ft,,7,12
29,1,8:09.0,Offensive rebound by A. Horford,,7,12
30,1,8:06.0,A. Horford makes 2-pt jump shot from 9 ft,,9,12
31,1,7:41.0,,K. Leonard makes 3-pt jump shot from 22 ft (assist by T. Parker),9,15
32,1,7:41.0,Atlanta full timeout,,9,15
33,1,7:41.0,,B. Diaw enters the game for T. Splitter,9,15
34,1,7:19.0,Turnover by P. Millsap (lost ball; steal by K. Leonard),,9,15
35,1,7:08.0,,K. Leonard misses 3-pt jump shot from 23 ft,9,15
36,1,7:07.0,Defensive rebound by D. Carroll,,9,15
37,1,6:53.0,P. Millsap makes 2-pt layup from 2 ft (assist by A. Horford),,11,15
38,1,6:37.0,,T. Parker makes 2-pt jump shot from 14 ft (assist by K. Leonard),11,17
39,1,6:24.0,P. Millsap misses 2-pt layup from 1 ft (block by T. Duncan),,11,17
40,1,6:23.0,,Defensive rebound by B. Diaw,11,17
41,1,6:01.0,,T. Duncan makes 2-pt jump shot from 17 ft (assist by B. Diaw),11,19
42,1,5:46.0,A. Horford misses 2-pt jump shot from 19 ft,,11,19
43,1,5:46.0,Offensive rebound by Team,,11,19
44,1,5:46.0,,Loose ball foul by K. Leonard (drawn by D. Carroll),11,19
45,1,5:46.0,P. Antić enters the game for A. Horford,,11,19
46,1,5:46.0,,M. Ginóbili enters the game for D. Green,11,19
47,1,5:46.0,,M. Belinelli enters the game for K. Leonard,11,19
48,1,5:34.0,J. Teague misses 2-pt jump shot from 15 ft,,11,19
49,1,5:33.0,,Defensive rebound by T. Duncan,11,19
