,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:50.0,,Offensive foul by L. Scola (drawn by G. Temple),0,0
1,1,11:50.0,,Turnover by L. Scola (offensive foul),0,0
2,1,11:36.0,Shooting foul by C. Copeland (drawn by P. Pierce),,0,0
3,1,11:36.0,P. Pierce misses free throw 1 of 2,,0,0
4,1,11:36.0,Offensive rebound by Team,,0,0
5,1,11:36.0,P. Pierce makes free throw 2 of 2,,1,0
6,1,11:15.0,,R. Hibbert makes 2-pt hook shot from 7 ft,1,2
7,1,11:04.0,N. Hilário makes 2-pt jump shot from 7 ft,,3,2
8,1,10:43.0,,Personal foul by J. Wall (drawn by C. Copeland),3,2
9,1,10:40.0,,Offensive foul by R. Hibbert (drawn by G. Temple),3,2
10,1,10:40.0,,Turnover by R. Hibbert (offensive foul),3,2
11,1,10:27.0,N. Hilário misses 2-pt hook shot from 7 ft,,3,2
12,1,10:26.0,,Defensive rebound by R. Hibbert,3,2
13,1,10:12.0,,Turnover by S. Hill (bad pass; steal by M. Gortat),3,2
14,1,10:06.0,J. Wall misses 2-pt jump shot from 11 ft,,3,2
15,1,10:05.0,,Defensive rebound by L. Scola,3,2
16,1,9:47.0,,L. Scola makes 2-pt layup from 2 ft,3,4
17,1,9:37.0,Personal foul by S. Hill (drawn by G. Temple),,3,4
18,1,9:27.0,N. Hilário makes 2-pt layup from 2 ft (assist by P. Pierce),,5,4
19,1,9:17.0,,Personal foul by M. Gortat (drawn by R. Hibbert),5,4
20,1,9:11.0,,Turnover by L. Scola (bad pass; steal by J. Wall),5,4
21,1,8:56.0,N. Hilário makes 2-pt jump shot from 11 ft,,7,4
22,1,8:34.0,,L. Scola misses 2-pt jump shot from 20 ft,7,4
23,1,8:33.0,Defensive rebound by G. Temple,,7,4
24,1,8:26.0,P. Pierce misses 3-pt jump shot from 25 ft,,7,4
25,1,8:25.0,Offensive rebound by M. Gortat,,7,4
26,1,8:15.0,N. Hilário misses 2-pt jump shot from 16 ft,,7,4
27,1,8:14.0,,Defensive rebound by L. Scola,7,4
28,1,8:13.0,,Turnover by L. Scola (lost ball; steal by J. Wall),7,4
29,1,8:08.0,G. Temple misses 3-pt jump shot from 26 ft,,7,4
30,1,8:07.0,,Defensive rebound by D. Sloan,7,4
31,1,8:01.0,,S. Hill misses 2-pt layup from 1 ft,7,4
32,1,8:01.0,Defensive rebound by Team,,7,4
33,1,7:44.0,P. Pierce makes 2-pt layup at rim,,9,4
34,1,7:23.0,,L. Scola misses 2-pt jump shot from 20 ft,9,4
35,1,7:22.0,Defensive rebound by G. Temple,,9,4
36,1,7:13.0,G. Temple misses 3-pt jump shot from 22 ft,,9,4
37,1,7:12.0,Offensive rebound by M. Gortat,,9,4
38,1,7:03.0,J. Wall misses 2-pt jump shot from 10 ft,,9,4
39,1,7:02.0,Offensive rebound by G. Temple,,9,4
40,1,7:01.0,G. Temple misses 2-pt layup from 2 ft,,9,4
41,1,7:00.0,,Defensive rebound by L. Scola,9,4
42,1,6:48.0,,D. Sloan misses 2-pt jump shot from 16 ft,9,4
43,1,6:47.0,Defensive rebound by M. Gortat,,9,4
44,1,6:38.0,N. Hilário makes 2-pt jump shot from 17 ft (assist by J. Wall),,11,4
45,1,6:30.0,,Indiana full timeout,11,4
46,1,6:22.0,,Personal foul by G. Temple (drawn by S. Hill),11,4
47,1,6:10.0,,S. Hill makes 2-pt jump shot from 19 ft,11,6
48,1,5:49.0,N. Hilário misses 2-pt jump shot from 4 ft (block by R. Hibbert),,11,6
49,1,5:47.0,,Defensive rebound by C. Copeland,11,6
50,1,5:41.0,,S. Hill misses 2-pt jump shot from 16 ft,11,6
51,1,5:40.0,Defensive rebound by N. Hilário,,11,6
52,1,5:35.0,Shooting foul by D. Sloan (drawn by J. Wall),,11,6
53,1,5:35.0,J. Wall misses free throw 1 of 2,,11,6
54,1,5:35.0,Offensive rebound by Team,,11,6
55,1,5:35.0,J. Wall makes free throw 2 of 2,,12,6
56,1,5:20.0,,Turnover by L. Scola (bad pass; steal by J. Wall),12,6
57,1,5:17.0,J. Wall makes 2-pt dunk from 2 ft,,14,6
58,1,5:02.0,,D. Sloan misses 2-pt layup from 2 ft,14,6
59,1,5:00.0,Defensive rebound by M. Gortat,,14,6
60,1,4:54.0,N. Hilário makes 2-pt layup from 1 ft (assist by J. Wall),,16,6
61,1,4:39.0,,Turnover by C. Copeland (bad pass; steal by M. Gortat),16,6
62,1,4:30.0,N. Hilário misses 2-pt jump shot from 19 ft,,16,6
63,1,4:29.0,,Defensive rebound by D. Sloan,16,6
64,1,4:24.0,,D. Sloan misses 2-pt layup from 2 ft,16,6
65,1,4:23.0,,Offensive rebound by R. Hibbert,16,6
66,1,4:23.0,,R. Hibbert misses 2-pt tip-in from 2 ft,16,6
67,1,4:23.0,,Offensive rebound by R. Hibbert,16,6
68,1,4:23.0,Loose ball foul by M. Gortat (drawn by R. Hibbert),,16,6
69,1,4:23.0,Technical foul by M. Gortat,,16,6
70,1,4:23.0,,C. Copeland misses technical free throw,16,6
71,1,4:23.0,,Offensive rebound by Team,16,6
72,1,4:23.0,,L. Allen enters the game for L. Scola,16,6
73,1,4:23.0,O. Porter enters the game for M. Gortat,,16,6
74,1,4:23.0,K. Humphries enters the game for P. Pierce,,16,6
75,1,4:15.0,,Shooting foul by N. Hilário (drawn by R. Hibbert),16,6
76,1,4:15.0,,R. Hibbert makes free throw 1 of 2,16,7
77,1,4:15.0,,D. Rudež enters the game for C. Copeland,16,7
78,1,4:15.0,,R. Hibbert makes free throw 2 of 2,16,8
79,1,3:59.0,N. Hilário makes 2-pt jump shot from 17 ft (assist by K. Humphries),,18,8
80,1,3:40.0,,S. Hill makes 2-pt jump shot from 15 ft (assist by L. Allen),18,10
81,1,3:32.0,N. Hilário makes 2-pt jump shot from 3 ft (assist by K. Humphries),,20,10
82,1,3:32.0,Shooting foul by D. Rudež (drawn by N. Hilário),,20,10
83,1,3:32.0,N. Hilário makes free throw 1 of 1,,21,10
84,1,3:18.0,,Turnover by D. Rudež (lost ball),21,10
85,1,3:18.0,K. Séraphin enters the game for N. Hilário,,21,10
86,1,3:06.0,J. Wall makes 2-pt jump shot from 4 ft,,23,10
87,1,2:46.0,,S. Hill misses 2-pt layup from 1 ft,23,10
88,1,2:45.0,Defensive rebound by K. Humphries,,23,10
89,1,2:29.0,J. Wall makes 2-pt jump shot from 18 ft,,25,10
90,1,2:10.0,,R. Hibbert misses 2-pt layup from 2 ft (block by G. Temple),25,10
91,1,2:10.0,,Offensive rebound by Team,25,10
92,1,2:10.0,Washington full timeout,,25,10
93,1,2:08.0,,Turnover by D. Sloan (lost ball),25,10
94,1,1:56.0,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),,27,10
95,1,1:37.0,,R. Hibbert misses 2-pt jump shot from 15 ft,27,10
96,1,1:37.0,,Offensive rebound by L. Allen,27,10
97,1,1:37.0,,L. Allen makes 2-pt tip-in from 1 ft,27,12
98,1,1:15.0,J. Wall makes 2-pt jump shot from 10 ft,,29,12
99,1,0:57.0,,Turnover by D. Sloan (back court),29,12
100,1,0:57.0,,I. Mahinmi enters the game for R. Hibbert,29,12
101,1,0:57.0,,A. Price enters the game for D. Sloan,29,12
102,1,0:57.0,A. Miller enters the game for J. Wall,,29,12
103,1,0:43.0,O. Porter makes 2-pt jump shot from 16 ft (assist by G. Temple),,31,12
104,1,0:32.0,,A. Price makes 2-pt jump shot from 17 ft,31,14
105,1,0:20.0,Shooting foul by L. Allen (drawn by K. Humphries),,31,14
106,1,0:20.0,K. Humphries misses free throw 1 of 2,,31,14
107,1,0:20.0,Offensive rebound by Team,,31,14
108,1,0:20.0,K. Humphries makes free throw 2 of 2,,32,14
109,1,0:00.0,,A. Price misses 2-pt jump shot from 15 ft,32,14
110,1,0:00.0,Defensive rebound by K. Séraphin,,32,14
111,2,11:40.0,K. Séraphin makes 2-pt jump shot from 4 ft,,34,14
