,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHOENIX_ACTION,GOLDEN STATE_SCORE,PHOENIX_SCORE
0,1,11:39.0,,M. Morris makes 2-pt jump shot from 8 ft,0,2
1,1,11:18.0,D. Green makes 2-pt jump shot from 18 ft (assist by S. Curry),,2,2
2,1,10:56.0,,M. Morris misses 2-pt jump shot from 3 ft,2,2
3,1,10:55.0,Defensive rebound by Team,,2,2
4,1,10:43.0,Offensive foul by A. Bogut (drawn by M. Morris),,2,2
5,1,10:43.0,Turnover by A. Bogut (offensive foul),,2,2
6,1,10:31.0,,G. Dragić makes 2-pt jump shot from 15 ft,2,4
7,1,10:18.0,Shooting foul by M. Morris (drawn by H. Barnes),,2,4
8,1,10:18.0,H. Barnes makes free throw 1 of 2,,3,4
9,1,10:18.0,H. Barnes misses free throw 2 of 2,,3,4
10,1,10:18.0,,Defensive rebound by M. Plumlee,3,4
11,1,10:06.0,,G. Dragić misses 2-pt jump shot from 14 ft,3,4
12,1,10:05.0,Defensive rebound by H. Barnes,,3,4
13,1,9:54.0,D. Green misses 3-pt jump shot from 25 ft,,3,4
14,1,9:53.0,,Defensive rebound by M. Morris,3,4
15,1,9:43.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),3,6
16,1,9:27.0,S. Curry makes 3-pt jump shot from 27 ft (assist by A. Bogut),,6,6
17,1,9:18.0,,E. Bledsoe misses 2-pt jump shot from 10 ft,6,6
18,1,9:17.0,Defensive rebound by A. Bogut,,6,6
19,1,9:08.0,S. Curry makes 2-pt layup from 3 ft,,8,6
20,1,8:49.0,,M. Morris misses 2-pt jump shot from 20 ft,8,6
21,1,8:48.0,Defensive rebound by L. Barbosa,,8,6
22,1,8:42.0,S. Curry misses 3-pt jump shot from 26 ft,,8,6
23,1,8:41.0,,Defensive rebound by M. Plumlee,8,6
24,1,8:31.0,,G. Dragić misses 2-pt layup from 1 ft (block by A. Bogut),8,6
25,1,8:29.0,,Offensive rebound by M. Morris,8,6
26,1,8:27.0,,M. Morris makes 2-pt jump shot from 16 ft,8,8
27,1,8:27.0,,Technical foul by Team,8,8
28,1,8:27.0,S. Curry makes technical free throw,,9,8
29,1,8:17.0,D. Green misses 2-pt jump shot from 7 ft,,9,8
30,1,8:15.0,Offensive rebound by D. Green,,9,8
31,1,8:15.0,D. Green makes 2-pt layup at rim,,11,8
32,1,8:00.0,,M. Morris misses 2-pt jump shot from 20 ft,11,8
33,1,7:59.0,Defensive rebound by A. Bogut,,11,8
34,1,7:46.0,Turnover by D. Green (traveling),,11,8
35,1,7:30.0,,M. Morris misses 2-pt jump shot from 12 ft,11,8
36,1,7:29.0,Defensive rebound by D. Green,,11,8
37,1,7:20.0,L. Barbosa makes 3-pt jump shot from 23 ft (assist by S. Curry),,14,8
38,1,7:01.0,,M. Morris misses 3-pt jump shot from 23 ft,14,8
39,1,7:00.0,Defensive rebound by S. Curry,,14,8
40,1,6:49.0,S. Curry misses 2-pt jump shot from 21 ft,,14,8
41,1,6:48.0,,Defensive rebound by M. Morris,14,8
42,1,6:45.0,,Turnover by M. Morris (bad pass; steal by H. Barnes),14,8
43,1,6:39.0,D. Green misses 3-pt jump shot from 25 ft,,14,8
44,1,6:38.0,,Defensive rebound by M. Plumlee,14,8
45,1,6:36.0,,Turnover by M. Plumlee (lost ball; steal by S. Curry),14,8
46,1,6:34.0,S. Curry makes 3-pt jump shot from 23 ft,,17,8
47,1,6:34.0,,Phoenix full timeout,17,8
48,1,6:19.0,,M. Plumlee makes 2-pt hook shot from 6 ft (assist by E. Bledsoe),17,10
49,1,6:08.0,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),,19,10
50,1,5:53.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),19,13
51,1,5:41.0,Def 3 sec tech foul by M. Plumlee,,19,13
52,1,5:41.0,S. Curry makes technical free throw,,20,13
53,1,5:35.0,Turnover by S. Curry (bad pass),,20,13
54,1,5:11.0,,G. Dragić makes 3-pt jump shot from 25 ft,20,16
55,1,5:08.0,Turnover by A. Bogut (bad pass; steal by M. Plumlee),,20,16
56,1,5:03.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,20,16
57,1,5:02.0,Defensive rebound by H. Barnes,,20,16
58,1,4:57.0,S. Curry misses 3-pt jump shot from 25 ft,,20,16
59,1,4:55.0,,Defensive rebound by G. Dragić,20,16
60,1,4:46.0,,M. Morris misses 3-pt jump shot from 22 ft,20,16
61,1,4:46.0,Defensive rebound by H. Barnes,,20,16
62,1,4:27.0,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),,23,16
63,1,4:04.0,,G. Dragić makes 3-pt jump shot from 24 ft,23,19
64,1,3:51.0,Turnover by S. Curry (bad pass),,23,19
65,1,3:51.0,,I. Thomas enters the game for M. Morris,23,19
66,1,3:51.0,,P. Tucker enters the game for M. Plumlee,23,19
67,1,3:51.0,,A. Len enters the game for E. Bledsoe,23,19
68,1,3:51.0,A. Iguodala enters the game for H. Barnes,,23,19
69,1,3:51.0,S. Livingston enters the game for L. Barbosa,,23,19
70,1,3:37.0,,Turnover by M. Morris (bad pass; steal by A. Bogut),23,19
71,1,3:31.0,A. Iguodala misses 2-pt jump shot from 12 ft,,23,19
72,1,3:30.0,,Defensive rebound by M. Morris,23,19
73,1,3:20.0,,M. Morris misses 3-pt jump shot from 24 ft,23,19
74,1,3:19.0,Defensive rebound by A. Iguodala,,23,19
75,1,3:10.0,,Offensive charge foul by A. Bogut (drawn by M. Morris),23,19
76,1,3:10.0,Turnover by A. Bogut (offensive foul),,23,19
77,1,3:10.0,F. Ezeli enters the game for A. Bogut,,23,19
78,1,3:10.0,,A. Tolliver enters the game for M. Morris,23,19
79,1,3:02.0,,G. Dragić makes 2-pt layup from 2 ft (assist by I. Thomas),23,21
80,1,2:45.0,F. Ezeli makes 2-pt layup from 2 ft (assist by S. Curry),,25,21
81,1,2:34.0,,A. Len misses 2-pt layup from 1 ft (block by D. Green),25,21
82,1,2:32.0,Defensive rebound by D. Green,,25,21
83,1,2:28.0,Turnover by S. Curry (bad pass; steal by P. Tucker),,25,21
84,1,2:19.0,,A. Len makes 2-pt layup from 2 ft (assist by I. Thomas),25,23
85,1,2:03.0,Personal foul by A. Len (drawn by F. Ezeli),,25,23
86,1,2:03.0,Golden State full timeout,,25,23
87,1,2:03.0,L. Barbosa enters the game for S. Curry,,25,23
88,1,1:57.0,Turnover by A. Iguodala (bad pass; steal by G. Dragić),,25,23
89,1,1:39.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by I. Thomas),25,26
90,1,1:23.0,Shooting foul by A. Tolliver (drawn by D. Green),,25,26
91,1,1:23.0,D. Green makes free throw 1 of 3,,26,26
92,1,1:23.0,D. Green makes free throw 2 of 3,,27,26
93,1,1:23.0,D. Green makes free throw 3 of 3,,28,26
94,1,1:16.0,,Personal foul by F. Ezeli (drawn by A. Len),28,26
95,1,1:08.0,,I. Thomas makes 2-pt jump shot from 19 ft,28,28
96,1,0:48.0,L. Barbosa makes 2-pt jump shot from 4 ft,,30,28
97,1,0:44.0,,I. Thomas misses 3-pt jump shot from 24 ft,30,28
98,1,0:42.0,,Offensive rebound by A. Tolliver,30,28
99,1,0:38.0,,Turnover by I. Thomas (lost ball; steal by D. Green),30,28
100,1,0:34.0,Turnover by D. Green (bad pass),,30,28
101,1,0:15.0,,I. Thomas misses 2-pt layup from 2 ft (block by D. Green),30,28
102,1,0:14.0,Defensive rebound by D. Green,,30,28
103,1,0:12.0,Turnover by D. Green (bad pass; steal by G. Dragić),,30,28
104,1,0:09.0,,G. Dragić misses 2-pt jump shot from 20 ft,30,28
105,1,0:08.0,Defensive rebound by F. Ezeli,,30,28
106,1,0:00.0,S. Livingston misses 2-pt jump shot from 12 ft,,30,28
107,1,0:00.0,Offensive rebound by Team,,30,28
108,2,11:42.0,Turnover by S. Livingston (traveling),,30,28
109,2,11:32.0,,Turnover by G. Green (traveling),30,28
110,2,11:17.0,S. Livingston makes 2-pt jump shot from 16 ft,,32,28
111,2,11:04.0,,G. Green misses 2-pt jump shot from 5 ft,32,28
112,2,11:03.0,Defensive rebound by H. Barnes,,32,28
