,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,B. Lopez misses 2-pt layup from 1 ft (block by A. Bogut),,0,0
1,1,11:36.0,Offensive rebound by B. Lopez,,0,0
2,1,11:35.0,B. Lopez makes 2-pt layup from 2 ft,,2,0
3,1,11:21.0,,S. Curry makes 2-pt jump shot from 20 ft (assist by H. Barnes),2,2
4,1,11:10.0,D. Williams makes 2-pt jump shot from 22 ft (assist by J. Johnson),,4,2
5,1,10:58.0,,K. Thompson misses 3-pt jump shot from 24 ft,4,2
6,1,10:57.0,Defensive rebound by J. Johnson,,4,2
7,1,10:41.0,B. Lopez misses 2-pt hook shot from 8 ft,,4,2
8,1,10:40.0,,Defensive rebound by A. Bogut,4,2
9,1,10:27.0,,H. Barnes makes 2-pt layup from 1 ft (assist by A. Bogut),4,4
10,1,10:03.0,K. Garnett makes 2-pt jump shot from 21 ft (assist by B. Bogdanović),,6,4
11,1,9:50.0,,Shooting foul by B. Lopez (drawn by K. Thompson),6,4
12,1,9:50.0,,K. Thompson makes free throw 1 of 2,6,5
13,1,9:50.0,,K. Thompson makes free throw 2 of 2,6,6
14,1,9:30.0,K. Garnett makes 2-pt jump shot from 9 ft (assist by J. Johnson),,8,6
15,1,9:10.0,,A. Bogut makes 2-pt layup from 1 ft (assist by H. Barnes),8,8
16,1,9:10.0,,Shooting foul by D. Williams (drawn by A. Bogut),8,8
17,1,9:10.0,,A. Bogut makes free throw 1 of 1,8,9
18,1,9:00.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by D. Williams),,10,9
19,1,8:48.0,,A. Bogut misses 2-pt hook shot from 6 ft,10,9
20,1,8:47.0,Defensive rebound by K. Garnett,,10,9
21,1,8:37.0,Shooting foul by A. Bogut (drawn by B. Lopez),,10,9
22,1,8:37.0,B. Lopez makes free throw 1 of 2,,11,9
23,1,8:37.0,B. Lopez makes free throw 2 of 2,,12,9
24,1,8:29.0,,K. Thompson misses 2-pt jump shot from 18 ft,12,9
25,1,8:28.0,Defensive rebound by D. Williams,,12,9
26,1,8:19.0,B. Lopez makes 2-pt hook shot from 12 ft (assist by D. Williams),,14,9
27,1,8:12.0,,K. Thompson makes 2-pt jump shot from 18 ft,14,11
28,1,7:54.0,J. Johnson makes 2-pt jump shot from 14 ft,,16,11
29,1,7:43.0,,A. Bogut misses 2-pt jump shot from 10 ft,16,11
30,1,7:42.0,Defensive rebound by D. Williams,,16,11
31,1,7:40.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Williams),,18,11
32,1,7:33.0,,Golden State full timeout,18,11
33,1,7:20.0,,D. Green makes 3-pt jump shot from 27 ft (assist by H. Barnes),18,14
34,1,7:03.0,Shooting foul by D. Green (drawn by B. Lopez),,18,14
35,1,7:03.0,B. Lopez makes free throw 1 of 2,,19,14
36,1,7:03.0,A. Kirilenko enters the game for K. Garnett,,19,14
37,1,7:03.0,B. Lopez makes free throw 2 of 2,,20,14
38,1,6:50.0,,H. Barnes misses 2-pt hook shot from 6 ft,20,14
39,1,6:49.0,,Offensive rebound by K. Thompson,20,14
40,1,6:45.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Thompson),20,17
41,1,6:28.0,B. Lopez misses 2-pt jump shot from 20 ft,,20,17
42,1,6:27.0,,Defensive rebound by D. Green,20,17
43,1,6:21.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Green),20,20
44,1,6:03.0,B. Lopez misses 2-pt jump shot from 17 ft,,20,20
45,1,6:02.0,Offensive rebound by Team,,20,20
46,1,6:02.0,,A. Iguodala enters the game for H. Barnes,20,20
47,1,5:54.0,J. Johnson misses 2-pt jump shot from 1 ft,,20,20
48,1,5:53.0,Offensive rebound by J. Johnson,,20,20
49,1,5:53.0,J. Johnson misses 2-pt layup from 1 ft,,20,20
50,1,5:51.0,,Defensive rebound by A. Bogut,20,20
51,1,5:46.0,,K. Thompson misses 2-pt jump shot from 9 ft,20,20
52,1,5:45.0,Defensive rebound by B. Lopez,,20,20
53,1,5:37.0,B. Lopez makes 2-pt dunk at rim (assist by D. Williams),,22,20
54,1,5:24.0,,D. Green misses 3-pt jump shot from 26 ft,22,20
55,1,5:23.0,Defensive rebound by B. Bogdanović,,22,20
56,1,5:20.0,Turnover by B. Bogdanović (bad pass; steal by A. Iguodala),,22,20
57,1,5:13.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),22,23
58,1,4:50.0,Turnover by B. Lopez (bad pass),,22,23
59,1,4:39.0,,A. Iguodala misses 3-pt jump shot from 27 ft,22,23
60,1,4:38.0,Defensive rebound by B. Bogdanović,,22,23
61,1,4:19.0,D. Williams makes 2-pt jump shot from 14 ft (assist by J. Johnson),,24,23
62,1,4:09.0,,K. Thompson misses 2-pt jump shot from 10 ft,24,23
63,1,4:08.0,Defensive rebound by B. Bogdanović,,24,23
64,1,3:58.0,D. Williams makes 2-pt jump shot from 16 ft,,26,23
65,1,3:45.0,,A. Iguodala misses 3-pt jump shot from 26 ft,26,23
66,1,3:44.0,,Offensive rebound by S. Curry,26,23
67,1,3:34.0,,S. Curry misses 3-pt jump shot from 23 ft,26,23
68,1,3:33.0,,Offensive rebound by A. Bogut,26,23
69,1,3:21.0,,K. Thompson misses 2-pt layup from 1 ft,26,23
70,1,3:19.0,,Offensive rebound by A. Bogut,26,23
71,1,3:19.0,,A. Bogut makes 2-pt layup at rim,26,25
72,1,3:07.0,,Offensive charge foul by J. Johnson (drawn by S. Curry),26,25
73,1,3:07.0,Turnover by J. Johnson (offensive foul),,26,25
74,1,3:07.0,,L. Barbosa enters the game for K. Thompson,26,25
75,1,3:07.0,M. Teletović enters the game for B. Lopez,,26,25
76,1,3:07.0,J. Jack enters the game for D. Williams,,26,25
77,1,3:07.0,M. Plumlee enters the game for A. Kirilenko,,26,25
78,1,2:53.0,,D. Green misses 2-pt jump shot from 9 ft,26,25
79,1,2:52.0,Defensive rebound by M. Plumlee,,26,25
80,1,2:34.0,J. Johnson makes 2-pt jump shot from 7 ft,,28,25
81,1,2:21.0,,Turnover by L. Barbosa (traveling),28,25
82,1,2:21.0,Brooklyn full timeout,,28,25
83,1,2:21.0,,M. Speights enters the game for D. Green,28,25
84,1,2:21.0,,H. Barnes enters the game for A. Bogut,28,25
85,1,2:09.0,M. Plumlee makes 2-pt layup from 2 ft (assist by J. Jack),,30,25
86,1,2:09.0,Shooting foul by A. Iguodala (drawn by M. Plumlee),,30,25
87,1,2:09.0,M. Plumlee makes free throw 1 of 1,,31,25
88,1,1:55.0,,M. Speights makes 2-pt dunk at rim (assist by S. Curry),31,27
89,1,1:39.0,B. Bogdanović misses 2-pt jump shot from 6 ft (block by L. Barbosa),,31,27
90,1,1:39.0,Offensive rebound by Team,,31,27
91,1,1:39.0,,S. Livingston enters the game for S. Curry,31,27
92,1,1:39.0,A. Anderson enters the game for J. Johnson,,31,27
93,1,1:36.0,A. Anderson misses 2-pt jump shot from 16 ft,,31,27
94,1,1:35.0,,Defensive rebound by H. Barnes,31,27
95,1,1:26.0,,H. Barnes misses 2-pt jump shot from 8 ft (block by M. Plumlee),31,27
96,1,1:25.0,Defensive rebound by M. Plumlee,,31,27
97,1,1:20.0,Turnover by J. Jack (bad pass; steal by M. Speights),,31,27
98,1,1:07.0,,L. Barbosa misses 2-pt layup from 1 ft,31,27
99,1,1:05.0,,Offensive rebound by M. Speights,31,27
100,1,0:59.0,,H. Barnes makes 2-pt jump shot from 5 ft (assist by L. Barbosa),31,29
101,1,0:59.0,,Shooting foul by M. Teletović (drawn by H. Barnes),31,29
102,1,0:59.0,,H. Barnes makes free throw 1 of 1,31,30
103,1,0:50.0,Shooting foul by S. Livingston (drawn by J. Jack),,31,30
104,1,0:50.0,J. Jack makes free throw 1 of 2,,32,30
105,1,0:50.0,J. Jack misses free throw 2 of 2,,32,30
106,1,0:50.0,Offensive rebound by M. Teletović,,32,30
107,1,0:38.0,M. Plumlee misses 2-pt jump shot from 4 ft,,32,30
108,1,0:36.0,Offensive rebound by Team,,32,30
109,1,0:36.0,,Loose ball foul by S. Livingston (drawn by M. Plumlee),32,30
110,1,0:36.0,M. Plumlee makes free throw 1 of 2,,33,30
111,1,0:36.0,M. Plumlee makes free throw 2 of 2,,34,30
112,1,0:24.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by A. Iguodala),34,32
113,1,0:02.0,J. Jack makes 2-pt jump shot from 7 ft,,36,32
114,2,11:40.0,,M. Speights misses 2-pt jump shot from 10 ft,36,32
115,2,11:39.0,Defensive rebound by A. Anderson,,36,32
116,2,11:21.0,B. Bogdanović makes 2-pt layup from 2 ft,,38,32
117,2,11:01.0,,S. Livingston makes 2-pt jump shot from 13 ft,38,34
118,2,10:43.0,J. Jack makes 2-pt layup from 2 ft,,40,34
119,2,10:27.0,,Personal foul by J. Jack (drawn by S. Livingston),40,34
120,2,10:27.0,D. Williams enters the game for B. Bogdanović,,40,34
121,2,10:16.0,,A. Iguodala misses 2-pt jump shot from 17 ft,40,34
122,2,10:15.0,Defensive rebound by J. Jack,,40,34
123,2,10:09.0,A. Anderson misses 3-pt jump shot from 26 ft,,40,34
124,2,10:08.0,,Defensive rebound by M. Speights,40,34
125,2,10:00.0,,L. Barbosa makes 2-pt layup at rim,40,36
126,2,9:46.0,M. Teletović misses 3-pt jump shot from 26 ft,,40,36
127,2,9:45.0,,Defensive rebound by S. Livingston,40,36
128,2,9:30.0,,Shooting foul by A. Anderson (drawn by H. Barnes),40,36
129,2,9:30.0,,H. Barnes makes free throw 1 of 2,40,37
130,2,9:30.0,,H. Barnes makes free throw 2 of 2,40,38
131,2,9:16.0,A. Anderson misses 3-pt jump shot from 23 ft,,40,38
132,2,9:15.0,,Defensive rebound by Team,40,38
133,2,9:09.0,,L. Barbosa makes 2-pt layup from 1 ft (assist by S. Livingston),40,40
134,2,8:52.0,J. Jack makes 2-pt hook shot from 4 ft (assist by M. Plumlee),,42,40
135,2,8:33.0,,M. Speights makes 2-pt jump shot from 15 ft (assist by L. Barbosa),42,42
136,2,8:23.0,Turnover by D. Williams (bad pass; steal by L. Barbosa),,42,42
137,2,8:18.0,,H. Barnes makes 2-pt layup from 1 ft (assist by L. Barbosa),42,44
138,2,8:13.0,Brooklyn full timeout,,42,44
139,2,8:02.0,J. Jack makes 2-pt jump shot from 16 ft (assist by M. Teletović),,44,44
140,2,7:45.0,,A. Iguodala misses 2-pt jump shot from 12 ft,44,44
141,2,7:44.0,,Offensive rebound by M. Speights,44,44
142,2,7:30.0,,L. Barbosa misses 3-pt jump shot from 24 ft,44,44
143,2,7:28.0,,Offensive rebound by M. Speights,44,44
144,2,7:25.0,,L. Barbosa misses 2-pt layup from 1 ft (block by M. Teletović),44,44
