,QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,Z. Randolph misses 2-pt layup from 1 ft,0,0
1,1,11:38.0,Defensive rebound by G. Monroe,,0,0
2,1,11:14.0,Turnover by Team (shot clock),,0,0
3,1,11:01.0,,Turnover by M. Conley (bad pass),0,0
4,1,10:45.0,Personal foul by M. Conley (drawn by G. Monroe),,0,0
5,1,10:36.0,B. Jennings misses 2-pt jump shot from 16 ft,,0,0
6,1,10:34.0,,Defensive rebound by T. Allen,0,0
7,1,10:18.0,,M. Gasol misses 2-pt jump shot from 17 ft,0,0
8,1,10:17.0,Defensive rebound by B. Jennings,,0,0
9,1,9:58.0,K. Caldwell-Pope misses 2-pt jump shot from 14 ft,,0,0
10,1,9:57.0,,Defensive rebound by Z. Randolph,0,0
11,1,9:43.0,,T. Prince misses 2-pt jump shot from 18 ft,0,0
12,1,9:42.0,Defensive rebound by A. Drummond,,0,0
13,1,9:30.0,J. Smith makes 2-pt layup at rim,,2,0
14,1,9:21.0,,Shooting foul by G. Monroe (drawn by M. Gasol),2,0
15,1,9:21.0,,M. Gasol misses free throw 1 of 2,2,0
16,1,9:21.0,,Offensive rebound by Team,2,0
17,1,9:21.0,,M. Gasol makes free throw 2 of 2,2,1
18,1,9:06.0,G. Monroe misses 2-pt jump shot from 3 ft,,2,1
19,1,9:04.0,Offensive rebound by G. Monroe,,2,1
20,1,9:02.0,G. Monroe misses 2-pt layup from 2 ft,,2,1
21,1,9:00.0,Offensive rebound by A. Drummond,,2,1
22,1,9:00.0,A. Drummond makes 2-pt layup from 1 ft,,4,1
23,1,8:39.0,,Z. Randolph makes 2-pt layup at rim (assist by T. Allen),4,3
24,1,8:15.0,Shooting foul by Z. Randolph (drawn by G. Monroe),,4,3
25,1,8:15.0,G. Monroe misses free throw 1 of 2,,4,3
26,1,8:15.0,Offensive rebound by Team,,4,3
27,1,8:15.0,G. Monroe misses free throw 2 of 2,,4,3
28,1,8:14.0,,Defensive rebound by Team,4,3
29,1,7:55.0,,T. Prince misses 2-pt jump shot from 18 ft,4,3
30,1,7:54.0,Defensive rebound by A. Drummond,,4,3
31,1,7:46.0,Turnover by B. Jennings (bad pass; steal by T. Prince),,4,3
32,1,7:41.0,,M. Conley misses 2-pt jump shot from 16 ft,4,3
33,1,7:40.0,,Offensive rebound by T. Allen,4,3
34,1,7:40.0,,T. Allen makes 2-pt tip-in at rim,4,5
35,1,7:20.0,J. Smith makes 3-pt jump shot from 25 ft (assist by B. Jennings),,7,5
36,1,7:11.0,,Personal foul by A. Drummond (drawn by M. Conley),7,5
37,1,6:57.0,,M. Gasol makes 2-pt hook shot from 6 ft (assist by M. Conley),7,7
38,1,6:29.0,G. Monroe misses 2-pt jump shot from 17 ft,,7,7
39,1,6:26.0,,Defensive rebound by M. Gasol,7,7
40,1,6:19.0,,M. Gasol misses 2-pt layup at rim,7,7
41,1,6:17.0,Defensive rebound by A. Drummond,,7,7
42,1,6:12.0,G. Monroe makes 2-pt layup at rim (assist by B. Jennings),,9,7
43,1,5:52.0,,Shooting foul by A. Drummond (drawn by M. Gasol),9,7
44,1,5:52.0,,Memphis full timeout,9,7
45,1,5:52.0,,C. Lee enters the game for T. Prince,9,7
46,1,5:52.0,C. Butler enters the game for A. Drummond,,9,7
47,1,5:52.0,,M. Gasol makes free throw 1 of 2,9,8
48,1,5:52.0,,M. Gasol makes free throw 2 of 2,9,9
49,1,5:35.0,K. Caldwell-Pope misses 2-pt layup at rim,,9,9
50,1,5:34.0,Offensive rebound by K. Caldwell-Pope,,9,9
51,1,5:34.0,K. Caldwell-Pope misses 2-pt tip-in at rim,,9,9
52,1,5:32.0,,Defensive rebound by Z. Randolph,9,9
53,1,5:22.0,,M. Gasol makes 2-pt dunk at rim (assist by Z. Randolph),9,11
54,1,5:02.0,B. Jennings misses 3-pt jump shot from 26 ft,,9,11
55,1,4:59.0,,Defensive rebound by T. Allen,9,11
56,1,4:48.0,,M. Conley makes 2-pt layup from 1 ft,9,13
57,1,4:42.0,Detroit full timeout,,9,13
58,1,4:25.0,J. Smith misses 2-pt jump shot from 21 ft,,9,13
59,1,4:24.0,Offensive rebound by Team,,9,13
60,1,4:05.0,B. Jennings misses 3-pt jump shot from 25 ft,,9,13
61,1,4:03.0,Offensive rebound by J. Smith,,9,13
62,1,3:58.0,C. Butler misses 3-pt jump shot from 25 ft,,9,13
63,1,3:57.0,,Defensive rebound by T. Allen,9,13
64,1,3:46.0,,Shooting foul by C. Butler (drawn by Z. Randolph),9,13
65,1,3:46.0,,Z. Randolph makes free throw 1 of 2,9,14
66,1,3:46.0,,B. Udrih enters the game for M. Conley,9,14
67,1,3:46.0,,Z. Randolph makes free throw 2 of 2,9,15
68,1,3:28.0,G. Monroe makes 2-pt layup at rim,,11,15
