,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BROOKLYN_ACTION,MILWAUKEE_SCORE,BROOKLYN_SCORE
0,1,11:42.0,L. Sanders misses 2-pt jump shot from 15 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Johnson,0,0
2,1,11:17.0,,B. Lopez makes 2-pt jump shot from 14 ft,0,2
3,1,11:04.0,K. Middleton misses 3-pt jump shot from 25 ft,,0,2
4,1,11:03.0,Offensive rebound by J. Parker,,0,2
5,1,11:01.0,J. Parker makes 2-pt jump shot from 12 ft,,2,2
6,1,10:48.0,,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by D. Williams),2,5
7,1,10:31.0,L. Sanders makes 2-pt jump shot from 3 ft (assist by K. Middleton),,4,5
8,1,10:22.0,,Personal foul by B. Knight (drawn by D. Williams),4,5
9,1,10:16.0,,J. Johnson misses 2-pt jump shot from 17 ft,4,5
10,1,10:15.0,Defensive rebound by G. Antetokounmpo,,4,5
11,1,10:07.0,J. Parker misses 2-pt jump shot from 12 ft,,4,5
12,1,10:06.0,,Defensive rebound by K. Garnett,4,5
13,1,9:57.0,,Turnover by J. Johnson (bad pass; steal by G. Antetokounmpo),4,5
14,1,9:52.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,4,5
15,1,9:52.0,G. Antetokounmpo misses free throw 1 of 2,,4,5
16,1,9:52.0,Offensive rebound by Team,,4,5
17,1,9:52.0,G. Antetokounmpo misses free throw 2 of 2,,4,5
18,1,9:51.0,,Defensive rebound by K. Garnett,4,5
19,1,9:41.0,,B. Lopez misses 2-pt layup from 3 ft,4,5
20,1,9:40.0,Defensive rebound by J. Parker,,4,5
21,1,9:31.0,Turnover by B. Knight (lost ball; steal by K. Garnett),,4,5
22,1,9:27.0,,B. Bogdanović makes 2-pt dunk at rim (assist by D. Williams),4,7
23,1,9:09.0,B. Knight misses 3-pt jump shot from 24 ft,,4,7
24,1,9:09.0,Offensive rebound by Team,,4,7
25,1,9:03.0,J. Parker makes 2-pt jump shot from 21 ft,,6,7
26,1,8:48.0,,B. Lopez misses 2-pt jump shot from 18 ft,6,7
27,1,8:47.0,Defensive rebound by L. Sanders,,6,7
28,1,8:40.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,8,7
29,1,8:23.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Johnson),8,9
30,1,8:01.0,Turnover by L. Sanders (lost ball),,8,9
31,1,7:51.0,,Turnover by D. Williams (lost ball; steal by J. Parker),8,9
32,1,7:48.0,J. Parker makes 2-pt dunk at rim,,10,9
33,1,7:28.0,,Turnover by B. Lopez (lost ball),10,9
34,1,7:11.0,K. Middleton misses 2-pt jump shot from 17 ft,,10,9
35,1,7:10.0,,Defensive rebound by J. Johnson,10,9
36,1,7:01.0,,J. Johnson makes 2-pt jump shot from 9 ft,10,11
37,1,6:41.0,B. Knight misses 3-pt jump shot from 25 ft,,10,11
38,1,6:40.0,,Defensive rebound by K. Garnett,10,11
39,1,6:30.0,,J. Johnson misses 3-pt jump shot from 25 ft,10,11
40,1,6:29.0,Defensive rebound by B. Knight,,10,11
41,1,6:26.0,B. Knight misses 2-pt layup at rim,,10,11
42,1,6:25.0,Offensive rebound by J. Parker,,10,11
43,1,6:24.0,Shooting foul by D. Williams (drawn by J. Parker),,10,11
44,1,6:24.0,J. Parker makes free throw 1 of 2,,11,11
45,1,6:24.0,Z. Pachulia enters the game for L. Sanders,,11,11
46,1,6:24.0,,M. Teletović enters the game for K. Garnett,11,11
47,1,6:24.0,J. Parker makes free throw 2 of 2,,12,11
