,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:54.0,Turnover by K. Faried (lost ball; steal by E. Bledsoe),,0,0
1,1,11:43.0,,M. Morris makes 2-pt jump shot from 13 ft,0,2
2,1,11:21.0,T. Lawson misses 2-pt jump shot from 5 ft (block by M. Morris),,0,2
3,1,11:19.0,,Defensive rebound by M. Plumlee,0,2
4,1,11:00.0,,M. Morris misses 2-pt jump shot from 16 ft,0,2
5,1,10:57.0,,Offensive rebound by M. Plumlee,0,2
6,1,10:54.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Plumlee),0,5
7,1,10:37.0,Shooting foul by M. Morris (drawn by K. Faried),,0,5
8,1,10:37.0,K. Faried misses free throw 1 of 2,,0,5
9,1,10:37.0,Offensive rebound by Team,,0,5
10,1,10:37.0,K. Faried makes free throw 2 of 2,,1,5
11,1,10:21.0,,M. Plumlee misses 2-pt hook shot from 10 ft,1,5
12,1,10:19.0,Defensive rebound by A. Afflalo,,1,5
13,1,10:09.0,A. Afflalo misses 2-pt jump shot from 6 ft,,1,5
14,1,10:07.0,Offensive rebound by T. Mozgov,,1,5
15,1,10:01.0,A. Afflalo makes 2-pt jump shot from 7 ft,,3,5
16,1,9:43.0,,M. Morris misses 2-pt layup from 3 ft,3,5
17,1,9:43.0,,Offensive rebound by M. Plumlee,3,5
18,1,9:43.0,,M. Plumlee makes 2-pt layup from 2 ft,3,7
19,1,9:21.0,T. Mozgov makes 2-pt layup from 2 ft (assist by T. Lawson),,5,7
20,1,9:05.0,,M. Morris misses 2-pt jump shot from 6 ft,5,7
21,1,9:03.0,Defensive rebound by W. Chandler,,5,7
22,1,8:57.0,W. Chandler misses 2-pt jump shot from 10 ft,,5,7
23,1,8:54.0,Offensive rebound by W. Chandler,,5,7
24,1,8:54.0,W. Chandler makes 2-pt tip-in from 2 ft,,7,7
25,1,8:35.0,,G. Dragić makes 2-pt jump shot from 14 ft,7,9
26,1,8:13.0,A. Afflalo makes 3-pt jump shot from 25 ft (assist by T. Lawson),,10,9
27,1,8:00.0,,G. Dragić misses 2-pt jump shot from 5 ft,10,9
28,1,7:58.0,Defensive rebound by T. Mozgov,,10,9
29,1,7:55.0,K. Faried makes 2-pt dunk at rim (assist by W. Chandler),,12,9
30,1,7:55.0,Shooting foul by E. Bledsoe (drawn by K. Faried),,12,9
31,1,7:55.0,,Technical foul by M. Morris,12,9
32,1,7:55.0,A. Afflalo makes technical free throw,,13,9
33,1,7:55.0,K. Faried makes free throw 1 of 1,,14,9
