,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,Ö. Aşık makes 2-pt dunk at rim (assist by T. Evans),,2,0
1,1,11:29.0,,H. Barnes makes 2-pt jump shot from 14 ft (assist by S. Curry),2,2
2,1,11:08.0,Ö. Aşık misses 2-pt jump shot from 3 ft (block by A. Bogut),,2,2
3,1,11:06.0,,Defensive rebound by A. Bogut,2,2
4,1,11:02.0,,Turnover by A. Bogut (lost ball; steal by J. Holiday),2,2
5,1,10:59.0,J. Holiday makes 2-pt layup at rim,,4,2
6,1,10:36.0,,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),4,4
7,1,10:22.0,L. Babbitt makes 2-pt jump shot from 13 ft (assist by Ö. Aşık),,6,4
8,1,10:10.0,,S. Curry misses 2-pt jump shot from 9 ft,6,4
9,1,10:08.0,Defensive rebound by Ö. Aşık,,6,4
10,1,10:02.0,Turnover by T. Evans (lost ball; steal by K. Thompson),,6,4
11,1,9:55.0,,K. Thompson misses 3-pt jump shot from 23 ft,6,4
12,1,9:54.0,Defensive rebound by L. Babbitt,,6,4
13,1,9:40.0,J. Holiday makes 2-pt jump shot from 16 ft,,8,4
14,1,9:32.0,,S. Curry makes 3-pt jump shot from 26 ft,8,7
15,1,9:17.0,A. Davis misses 2-pt jump shot from 19 ft,,8,7
16,1,9:16.0,,Defensive rebound by K. Thompson,8,7
17,1,9:07.0,,K. Thompson misses 2-pt jump shot from 20 ft,8,7
18,1,9:05.0,Defensive rebound by A. Davis,,8,7
19,1,8:58.0,Shooting foul by A. Bogut (drawn by Ö. Aşık),,8,7
20,1,8:58.0,Ö. Aşık misses free throw 1 of 2,,8,7
21,1,8:58.0,Offensive rebound by Team,,8,7
22,1,8:58.0,Ö. Aşık makes free throw 2 of 2,,9,7
23,1,8:46.0,,K. Thompson misses 2-pt layup from 2 ft,9,7
24,1,8:45.0,,Offensive rebound by A. Bogut,9,7
25,1,8:45.0,,A. Bogut makes 2-pt dunk at rim,9,9
26,1,8:37.0,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),,11,9
27,1,8:37.0,Shooting foul by D. Green (drawn by A. Davis),,11,9
28,1,8:37.0,A. Davis makes free throw 1 of 1,,12,9
29,1,8:21.0,,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),12,11
30,1,8:00.0,J. Holiday makes 2-pt jump shot from 11 ft (assist by A. Davis),,14,11
31,1,8:00.0,,Golden State full timeout,14,11
32,1,7:50.0,,Turnover by K. Thompson (lost ball; steal by L. Babbitt),14,11
33,1,7:26.0,J. Holiday misses 2-pt layup at rim,,14,11
34,1,7:25.0,,Defensive rebound by A. Bogut,14,11
35,1,7:13.0,,H. Barnes misses 2-pt jump shot from 20 ft,14,11
36,1,7:11.0,Defensive rebound by J. Holiday,,14,11
37,1,7:04.0,T. Evans misses 2-pt layup from 2 ft,,14,11
