,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,M. Gortat misses 2-pt layup from 1 ft,0,0
1,1,11:41.0,,Offensive rebound by M. Gortat,0,0
2,1,11:36.0,,M. Gortat misses 2-pt layup from 2 ft,0,0
3,1,11:36.0,Defensive rebound by R. Rondo,,0,0
4,1,11:16.0,J. Sullinger misses 2-pt jump shot from 17 ft,,0,0
5,1,11:15.0,,Defensive rebound by P. Pierce,0,0
6,1,11:03.0,,M. Gortat misses 2-pt jump shot from 6 ft,0,0
7,1,11:02.0,Defensive rebound by T. Zeller,,0,0
8,1,10:53.0,A. Bradley makes 2-pt jump shot from 21 ft (assist by T. Zeller),,2,0
9,1,10:35.0,,J. Wall misses 2-pt jump shot from 20 ft,2,0
10,1,10:33.0,Defensive rebound by J. Sullinger,,2,0
11,1,10:26.0,J. Green makes 2-pt jump shot from 4 ft,,4,0
12,1,10:11.0,,P. Pierce misses 2-pt jump shot from 18 ft,4,0
13,1,10:10.0,Defensive rebound by A. Bradley,,4,0
14,1,9:53.0,A. Bradley makes 3-pt jump shot from 26 ft,,7,0
15,1,9:30.0,,P. Pierce makes 2-pt jump shot from 3 ft (assist by J. Wall),7,2
16,1,9:30.0,,Shooting foul by J. Green (drawn by P. Pierce),7,2
17,1,9:30.0,,P. Pierce makes free throw 1 of 1,7,3
18,1,9:17.0,Personal foul by P. Pierce (drawn by J. Green),,7,3
19,1,9:11.0,A. Bradley misses 3-pt jump shot from 25 ft,,7,3
20,1,9:10.0,,Defensive rebound by P. Pierce,7,3
21,1,9:01.0,,P. Pierce makes 2-pt jump shot from 15 ft,7,5
22,1,8:39.0,T. Zeller makes 2-pt layup from 2 ft (assist by R. Rondo),,9,5
23,1,8:29.0,,Shooting foul by J. Sullinger (drawn by M. Gortat),9,5
24,1,8:29.0,,M. Gortat makes free throw 1 of 2,9,6
25,1,8:29.0,,M. Gortat makes free throw 2 of 2,9,7
26,1,8:07.0,R. Rondo misses 2-pt jump shot from 16 ft,,9,7
27,1,8:06.0,,Defensive rebound by M. Gortat,9,7
28,1,7:58.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),9,10
29,1,7:38.0,J. Green makes 2-pt jump shot from 14 ft,,11,10
30,1,7:25.0,,B. Beal misses 2-pt jump shot from 15 ft,11,10
31,1,7:24.0,Defensive rebound by T. Zeller,,11,10
32,1,7:17.0,Turnover by R. Rondo (bad pass),,11,10
33,1,7:04.0,,B. Beal makes 2-pt jump shot from 17 ft (assist by J. Wall),11,12
34,1,6:50.0,J. Green makes 2-pt dunk at rim (assist by R. Rondo),,13,12
35,1,6:29.0,,J. Wall makes 2-pt jump shot from 17 ft (assist by B. Beal),13,14
36,1,6:16.0,R. Rondo misses 2-pt jump shot from 19 ft,,13,14
37,1,6:15.0,,Defensive rebound by K. Humphries,13,14
38,1,6:04.0,,K. Humphries makes 2-pt jump shot from 18 ft (assist by J. Wall),13,16
39,1,5:49.0,Personal foul by K. Humphries (drawn by J. Sullinger),,13,16
40,1,5:49.0,,Washington full timeout,13,16
41,1,5:49.0,K. Olynyk enters the game for T. Zeller,,13,16
42,1,5:38.0,J. Sullinger makes 2-pt layup from 1 ft (assist by K. Olynyk),,15,16
43,1,5:20.0,,K. Humphries makes 2-pt dunk at rim (assist by B. Beal),15,18
44,1,5:04.0,A. Bradley misses 2-pt jump shot from 20 ft,,15,18
45,1,5:02.0,,Defensive rebound by M. Gortat,15,18
46,1,4:53.0,,P. Pierce makes 2-pt layup at rim (assist by J. Wall),15,20
47,1,4:36.0,J. Green makes 3-pt jump shot from 25 ft (assist by R. Rondo),,18,20
48,1,4:20.0,,M. Gortat makes 2-pt layup at rim (assist by P. Pierce),18,22
49,1,4:01.0,J. Green misses 3-pt jump shot from 25 ft,,18,22
50,1,4:01.0,Offensive rebound by K. Olynyk,,18,22
51,1,4:01.0,Shooting foul by B. Beal (drawn by K. Olynyk),,18,22
52,1,4:01.0,K. Olynyk makes free throw 1 of 2,,19,22
53,1,4:01.0,E. Turner enters the game for J. Sullinger,,19,22
54,1,4:01.0,B. Bass enters the game for A. Bradley,,19,22
55,1,4:01.0,K. Olynyk makes free throw 2 of 2,,20,22
56,1,3:49.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),20,24
57,1,3:40.0,Turnover by R. Rondo (bad pass; steal by P. Pierce),,20,24
58,1,3:37.0,,Turnover by M. Gortat (bad pass; steal by B. Bass),20,24
59,1,3:27.0,B. Bass misses 2-pt jump shot from 18 ft,,20,24
60,1,3:26.0,Offensive rebound by K. Olynyk,,20,24
61,1,3:23.0,K. Olynyk makes 2-pt layup at rim,,22,24
62,1,3:07.0,,P. Pierce misses 3-pt jump shot from 25 ft,22,24
63,1,3:06.0,Defensive rebound by R. Rondo,,22,24
64,1,2:58.0,Shooting foul by B. Beal (drawn by J. Green),,22,24
65,1,2:58.0,Boston full timeout,,22,24
66,1,2:58.0,,O. Porter enters the game for P. Pierce,22,24
67,1,2:58.0,,R. Butler enters the game for B. Beal,22,24
68,1,2:58.0,M. Smart enters the game for R. Rondo,,22,24
