,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
0,1,11:40.0,,L. Deng misses 2-pt jump shot from 13 ft,0,0
1,1,11:39.0,Defensive rebound by T. Gibson,,0,0
2,1,11:23.0,T. Gibson makes 2-pt dunk from 1 ft (assist by P. Gasol),,2,0
3,1,11:04.0,,U. Haslem misses 2-pt jump shot from 5 ft (block by M. Dunleavy),2,0
4,1,11:02.0,Defensive rebound by P. Gasol,,2,0
5,1,10:53.0,J. Butler misses 3-pt jump shot from 25 ft,,2,0
6,1,10:52.0,Offensive rebound by T. Gibson,,2,0
7,1,10:47.0,T. Gibson makes 2-pt dunk at rim,,4,0
8,1,10:31.0,,L. Deng misses 2-pt layup from 2 ft,4,0
9,1,10:30.0,,Offensive rebound by J. Hamilton,4,0
10,1,10:28.0,,J. Hamilton makes 2-pt tip-in from 2 ft,4,2
11,1,10:14.0,J. Butler misses 2-pt jump shot from 17 ft,,4,2
12,1,10:13.0,,Defensive rebound by U. Haslem,4,2
13,1,10:04.0,,D. Wade misses 2-pt jump shot from 8 ft,4,2
14,1,10:03.0,Defensive rebound by P. Gasol,,4,2
15,1,9:50.0,T. Gibson misses 2-pt jump shot from 15 ft,,4,2
16,1,9:49.0,,Defensive rebound by D. Wade,4,2
17,1,9:39.0,,Turnover by D. Wade (bad pass; steal by D. Rose),4,2
18,1,9:37.0,Shooting foul by U. Haslem (drawn by J. Butler),,4,2
19,1,9:37.0,J. Butler makes free throw 1 of 2,,5,2
20,1,9:37.0,J. Butler makes free throw 2 of 2,,6,2
21,1,9:24.0,,Offensive foul by U. Haslem (drawn by P. Gasol),6,2
22,1,9:24.0,,Turnover by U. Haslem (offensive foul),6,2
23,1,9:17.0,P. Gasol makes 2-pt layup from 1 ft (assist by M. Dunleavy),,8,2
24,1,8:51.0,,L. Deng misses 2-pt jump shot from 6 ft,8,2
25,1,8:50.0,,Offensive rebound by U. Haslem,8,2
26,1,8:40.0,,D. Wade misses 2-pt hook shot from 4 ft,8,2
27,1,8:39.0,Defensive rebound by P. Gasol,,8,2
28,1,8:29.0,D. Rose misses 2-pt jump shot from 10 ft,,8,2
29,1,8:28.0,Offensive rebound by T. Gibson,,8,2
30,1,8:25.0,P. Gasol misses 2-pt jump shot from 12 ft (block by D. Wade),,8,2
31,1,8:24.0,,Defensive rebound by N. Cole,8,2
32,1,8:24.0,,Turnover by D. Wade (bad pass),8,2
33,1,8:07.0,P. Gasol makes 2-pt layup from 1 ft (assist by T. Gibson),,10,2
34,1,8:07.0,,Miami full timeout,10,2
35,1,8:07.0,,S. Williams enters the game for U. Haslem,10,2
36,1,7:48.0,,J. Hamilton makes 2-pt layup from 2 ft (assist by L. Deng),10,4
37,1,7:33.0,Turnover by P. Gasol (3 sec),,10,4
38,1,7:14.0,,L. Deng makes 2-pt layup from 1 ft (assist by N. Cole),10,6
39,1,6:49.0,Shooting foul by S. Williams (drawn by J. Butler),,10,6
40,1,6:49.0,J. Butler makes free throw 1 of 2,,11,6
41,1,6:49.0,J. Butler misses free throw 2 of 2,,11,6
42,1,6:48.0,,Defensive rebound by J. Hamilton,11,6
43,1,6:32.0,,J. Hamilton misses 3-pt jump shot from 24 ft,11,6
44,1,6:31.0,Defensive rebound by J. Butler,,11,6
45,1,6:16.0,P. Gasol misses 2-pt jump shot from 13 ft,,11,6
46,1,6:15.0,,Defensive rebound by N. Cole,11,6
47,1,6:11.0,,Shooting foul by D. Rose (drawn by N. Cole),11,6
48,1,6:11.0,,N. Cole makes free throw 1 of 2,11,7
49,1,6:11.0,,N. Cole makes free throw 2 of 2,11,8
50,1,5:53.0,D. Rose misses 2-pt jump shot from 11 ft,,11,8
51,1,5:52.0,,Defensive rebound by D. Wade,11,8
52,1,5:44.0,,S. Williams makes 3-pt jump shot from 25 ft (assist by N. Cole),11,11
53,1,5:30.0,Turnover by D. Rose (bad pass; steal by J. Hamilton),,11,11
54,1,5:19.0,,Personal foul by D. Rose (drawn by S. Williams),11,11
55,1,5:19.0,K. Hinrich enters the game for D. Rose,,11,11
56,1,5:07.0,,D. Wade makes 2-pt jump shot from 10 ft,11,13
57,1,4:41.0,M. Dunleavy misses 2-pt jump shot from 12 ft,,11,13
58,1,4:40.0,,Defensive rebound by S. Williams,11,13
59,1,4:34.0,,Shooting foul by K. Hinrich (drawn by D. Wade),11,13
60,1,4:34.0,,D. Wade makes free throw 1 of 2,11,14
61,1,4:34.0,N. Mirotić enters the game for T. Gibson,,11,14
62,1,4:34.0,,D. Wade makes free throw 2 of 2,11,15
63,1,4:24.0,Shooting foul by D. Wade (drawn by P. Gasol),,11,15
64,1,4:24.0,P. Gasol misses free throw 1 of 2,,11,15
65,1,4:24.0,Offensive rebound by Team,,11,15
66,1,4:24.0,P. Gasol makes free throw 2 of 2,,12,15
67,1,4:12.0,,Offensive foul by J. Hamilton (drawn by J. Butler),12,15
68,1,4:12.0,,Turnover by J. Hamilton (offensive foul),12,15
69,1,3:53.0,M. Dunleavy misses 3-pt jump shot from 25 ft,,12,15
70,1,3:52.0,Offensive rebound by Team,,12,15
71,1,3:35.0,N. Mirotić misses 2-pt layup from 1 ft,,12,15
72,1,3:34.0,,Defensive rebound by S. Williams,12,15
73,1,3:27.0,,L. Deng misses 3-pt jump shot from 24 ft,12,15
74,1,3:26.0,,Offensive rebound by D. Wade,12,15
75,1,3:21.0,,J. Hamilton misses 2-pt layup from 1 ft (block by P. Gasol),12,15
76,1,3:20.0,Defensive rebound by P. Gasol,,12,15
77,1,3:02.0,N. Mirotić misses 3-pt jump shot from 23 ft,,12,15
78,1,3:01.0,,Defensive rebound by S. Williams,12,15
79,1,2:45.0,,D. Wade misses 2-pt jump shot from 6 ft,12,15
80,1,2:44.0,Defensive rebound by J. Butler,,12,15
81,1,2:32.0,N. Mirotić makes 2-pt dunk at rim (assist by P. Gasol),,14,15
82,1,2:23.0,,Miami full timeout,14,15
83,1,2:23.0,Chicago full timeout,,14,15
84,1,2:23.0,,M. Chalmers enters the game for D. Wade,14,15
85,1,2:23.0,A. Brooks enters the game for J. Butler,,14,15
86,1,2:08.0,,N. Cole misses 2-pt jump shot from 16 ft,14,15
87,1,2:07.0,Defensive rebound by M. Dunleavy,,14,15
88,1,1:53.0,Turnover by K. Hinrich (bad pass; steal by M. Chalmers),,14,15
89,1,1:47.0,,M. Chalmers makes 2-pt layup from 3 ft,14,17
90,1,1:26.0,Turnover by P. Gasol (bad pass; steal by J. Hamilton),,14,17
91,1,1:09.0,,Shooting foul by A. Brooks (drawn by S. Williams),14,17
92,1,1:09.0,,S. Williams makes free throw 1 of 2,14,18
93,1,1:09.0,,D. Granger enters the game for L. Deng,14,18
94,1,1:09.0,,C. Andersen enters the game for J. Hamilton,14,18
95,1,1:09.0,,S. Williams misses free throw 2 of 2,14,18
96,1,1:08.0,Defensive rebound by P. Gasol,,14,18
97,1,0:48.0,Turnover by P. Gasol (bad pass; steal by S. Williams),,14,18
98,1,0:36.0,,Turnover by M. Chalmers (traveling),14,18
99,1,0:36.0,,J. Ennis enters the game for N. Cole,14,18
100,1,0:20.0,Turnover by P. Gasol (bad pass; steal by M. Chalmers),,14,18
101,1,0:02.0,,D. Granger misses 3-pt jump shot from 24 ft,14,18
102,1,0:00.0,,Offensive rebound by Team,14,18
103,2,11:46.0,Turnover by A. Brooks (lost ball),,14,18
104,2,11:27.0,,M. Chalmers makes 2-pt layup from 1 ft,14,20
105,2,11:07.0,Turnover by T. Gibson (lost ball; steal by M. Chalmers),,14,20
106,2,10:49.0,,D. Granger misses 2-pt layup from 2 ft (block by M. Dunleavy),14,20
107,2,10:45.0,Defensive rebound by N. Mirotić,,14,20
108,2,10:37.0,Turnover by K. Hinrich (bad pass; steal by D. Granger),,14,20
109,2,10:25.0,,J. Ennis misses 3-pt jump shot from 24 ft,14,20
110,2,10:24.0,,Offensive rebound by D. Granger,14,20
111,2,10:10.0,,J. Ennis misses 2-pt layup from 1 ft (block by A. Brooks),14,20
112,2,10:09.0,,Offensive rebound by J. Ennis,14,20
113,2,10:08.0,,J. Ennis misses 2-pt layup from 2 ft (block by T. Gibson),14,20
114,2,10:07.0,Defensive rebound by N. Mirotić,,14,20
115,2,9:55.0,A. Brooks makes 3-pt jump shot from 25 ft (assist by N. Mirotić),,17,20
116,2,9:44.0,,D. Granger misses 3-pt jump shot from 25 ft,17,20
117,2,9:43.0,,Offensive rebound by D. Granger,17,20
118,2,9:37.0,,D. Granger misses 2-pt layup from 2 ft,17,20
119,2,9:36.0,Defensive rebound by N. Mirotić,,17,20
120,2,9:28.0,A. Brooks makes 3-pt jump shot from 25 ft,,20,20
121,2,9:16.0,,Personal foul by A. Brooks (drawn by M. Chalmers),20,20
122,2,9:16.0,T. Snell enters the game for M. Dunleavy,,20,20
123,2,9:05.0,,S. Williams misses 3-pt jump shot from 25 ft,20,20
124,2,9:04.0,Defensive rebound by A. Brooks,,20,20
125,2,8:44.0,A. Brooks makes 2-pt jump shot from 14 ft,,22,20
126,2,8:21.0,,Turnover by M. Chalmers (bad pass; steal by T. Gibson),22,20
127,2,8:15.0,T. Snell misses 2-pt layup at rim (block by D. Granger),,22,20
128,2,8:14.0,Offensive rebound by T. Gibson,,22,20
129,2,8:11.0,Turnover by T. Gibson (bad pass; steal by D. Granger),,22,20
130,2,8:10.0,Official timeout,,22,20
