,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,B. Beal misses 2-pt jump shot from 20 ft,0,0
1,1,11:42.0,Defensive rebound by G. Dieng,,0,0
2,1,11:26.0,Personal foul by B. Beal (drawn by A. Wiggins),,0,0
3,1,11:13.0,T. Young makes 2-pt jump shot from 19 ft,,2,0
4,1,10:53.0,,M. Gortat misses 2-pt jump shot from 16 ft,2,0
5,1,10:52.0,Defensive rebound by C. Brewer,,2,0
6,1,10:49.0,Turnover by Z. LaVine (bad pass; steal by B. Beal),,2,0
7,1,10:43.0,,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),2,2
8,1,10:24.0,G. Dieng misses 2-pt jump shot from 16 ft,,2,2
9,1,10:23.0,,Defensive rebound by K. Humphries,2,2
10,1,10:17.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),2,4
11,1,9:54.0,C. Brewer misses 2-pt jump shot from 14 ft,,2,4
12,1,9:54.0,,Defensive rebound by K. Humphries,2,4
13,1,9:47.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),2,6
14,1,9:26.0,T. Young misses 2-pt jump shot from 18 ft,,2,6
15,1,9:25.0,,Defensive rebound by O. Porter,2,6
16,1,9:18.0,,K. Humphries misses 2-pt jump shot from 18 ft,2,6
17,1,9:17.0,Defensive rebound by Z. LaVine,,2,6
18,1,9:06.0,T. Young misses 2-pt jump shot from 5 ft,,2,6
19,1,9:05.0,,Defensive rebound by O. Porter,2,6
20,1,8:57.0,,J. Wall misses 2-pt jump shot from 7 ft,2,6
21,1,8:57.0,Defensive rebound by Team,,2,6
22,1,8:44.0,A. Wiggins misses 2-pt jump shot from 14 ft,,2,6
23,1,8:43.0,,Defensive rebound by O. Porter,2,6
24,1,8:36.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),2,9
25,1,8:34.0,Minnesota full timeout,,2,9
26,1,8:18.0,Z. LaVine misses 2-pt jump shot from 21 ft,,2,9
27,1,8:17.0,,Defensive rebound by K. Humphries,2,9
28,1,7:59.0,,J. Wall makes 3-pt jump shot from 25 ft,2,12
29,1,7:33.0,A. Wiggins misses 2-pt jump shot from 6 ft,,2,12
30,1,7:32.0,,Defensive rebound by K. Humphries,2,12
31,1,7:28.0,,Personal foul by A. Wiggins (drawn by O. Porter),2,12
32,1,7:25.0,,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),2,14
33,1,7:07.0,C. Brewer makes 2-pt layup at rim,,4,14
34,1,6:59.0,,Personal foul by C. Brewer (drawn by K. Humphries),4,14
35,1,6:49.0,,B. Beal misses 2-pt jump shot from 4 ft (block by G. Dieng),4,14
36,1,6:49.0,,Offensive rebound by Team,4,14
37,1,6:44.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),4,16
38,1,6:19.0,Shooting foul by M. Gortat (drawn by G. Dieng),,4,16
39,1,6:19.0,G. Dieng makes free throw 1 of 2,,5,16
40,1,6:19.0,G. Dieng misses free throw 2 of 2,,5,16
41,1,6:18.0,,Defensive rebound by M. Gortat,5,16
42,1,6:00.0,,M. Gortat misses 2-pt jump shot from 6 ft,5,16
43,1,5:59.0,Defensive rebound by C. Brewer,,5,16
44,1,5:50.0,A. Wiggins misses 2-pt jump shot from 5 ft,,5,16
45,1,5:49.0,,Defensive rebound by O. Porter,5,16
46,1,5:44.0,,Turnover by J. Wall (bad pass; steal by T. Young),5,16
47,1,5:41.0,Personal foul by O. Porter (drawn by T. Young),,5,16
48,1,5:41.0,S. Muhammad enters the game for A. Wiggins,,5,16
49,1,5:37.0,Personal foul by O. Porter (drawn by S. Muhammad),,5,16
50,1,5:29.0,C. Brewer misses 2-pt jump shot from 20 ft,,5,16
51,1,5:28.0,,Defensive rebound by M. Gortat,5,16
52,1,5:18.0,,J. Wall makes 2-pt jump shot from 17 ft,5,18
53,1,5:18.0,,Shooting foul by Z. LaVine (drawn by J. Wall),5,18
54,1,5:18.0,,R. Butler enters the game for O. Porter,5,18
55,1,5:18.0,,J. Wall misses free throw 1 of 1,5,18
56,1,5:17.0,Defensive rebound by G. Dieng,,5,18
57,1,4:55.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by T. Young),,8,18
58,1,4:38.0,,J. Wall misses 2-pt jump shot from 13 ft,8,18
59,1,4:36.0,Defensive rebound by T. Young,,8,18
60,1,4:22.0,T. Young misses 2-pt jump shot from 7 ft,,8,18
61,1,4:21.0,Offensive rebound by S. Muhammad,,8,18
62,1,4:18.0,S. Muhammad makes 2-pt jump shot from 6 ft,,10,18
63,1,3:56.0,,M. Gortat makes 2-pt jump shot from 4 ft,10,20
64,1,3:38.0,Z. LaVine misses 2-pt jump shot from 20 ft,,10,20
65,1,3:37.0,Offensive rebound by T. Young,,10,20
66,1,3:29.0,S. Muhammad misses 3-pt jump shot from 24 ft,,10,20
67,1,3:28.0,Offensive rebound by Team,,10,20
68,1,3:19.0,Personal foul by K. Humphries (drawn by T. Young),,10,20
69,1,3:19.0,T. Young misses free throw 1 of 2,,10,20
70,1,3:19.0,Offensive rebound by Team,,10,20
71,1,3:19.0,T. Young misses free throw 2 of 2,,10,20
72,1,3:18.0,Offensive rebound by Team,,10,20
73,1,3:16.0,S. Muhammad makes 2-pt layup from 2 ft (assist by C. Brewer),,12,20
74,1,3:04.0,,Washington full timeout,12,20
75,1,2:49.0,,B. Beal misses 2-pt jump shot from 18 ft,12,20
