,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PORTLAND_ACTION,MILWAUKEE_SCORE,PORTLAND_SCORE
0,1,11:44.0,,T. Robinson misses 2-pt layup from 2 ft,0,0
1,1,11:42.0,Defensive rebound by B. Knight,,0,0
2,1,11:28.0,O. Mayo misses 2-pt jump shot from 16 ft,,0,0
3,1,11:25.0,,Defensive rebound by T. Robinson,0,0
4,1,11:14.0,,W. Matthews misses 3-pt jump shot from 23 ft,0,0
5,1,11:13.0,Defensive rebound by G. Antetokounmpo,,0,0
6,1,10:58.0,B. Knight makes 2-pt jump shot from 22 ft (assist by J. Dudley),,2,0
7,1,10:44.0,,Turnover by N. Batum (lost ball; steal by L. Sanders),2,0
8,1,10:41.0,Turnover by J. Dudley (bad pass; steal by D. Lillard),,2,0
9,1,10:38.0,,D. Lillard makes 2-pt layup from 1 ft,2,2
10,1,10:16.0,O. Mayo makes 2-pt jump shot from 19 ft (assist by J. Dudley),,4,2
11,1,9:49.0,,N. Batum misses 2-pt jump shot from 21 ft,4,2
12,1,9:48.0,Defensive rebound by G. Antetokounmpo,,4,2
13,1,9:33.0,G. Antetokounmpo makes 2-pt jump shot from 7 ft,,6,2
14,1,9:17.0,,L. Aldridge misses 2-pt jump shot from 6 ft,6,2
15,1,9:16.0,Defensive rebound by G. Antetokounmpo,,6,2
16,1,9:07.0,L. Sanders makes 2-pt dunk at rim (assist by J. Dudley),,8,2
17,1,8:42.0,,N. Batum misses 2-pt jump shot from 21 ft,8,2
18,1,8:41.0,Defensive rebound by G. Antetokounmpo,,8,2
19,1,8:31.0,B. Knight misses 3-pt jump shot from 26 ft,,8,2
20,1,8:31.0,,Defensive rebound by D. Lillard,8,2
21,1,8:18.0,,N. Batum misses 3-pt jump shot from 24 ft,8,2
22,1,8:18.0,Defensive rebound by G. Antetokounmpo,,8,2
23,1,8:03.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,10,2
24,1,7:45.0,,N. Batum misses 2-pt jump shot from 9 ft,10,2
25,1,7:44.0,Defensive rebound by B. Knight,,10,2
26,1,7:38.0,O. Mayo misses 3-pt jump shot from 22 ft,,10,2
27,1,7:37.0,,Defensive rebound by W. Matthews,10,2
28,1,7:34.0,,Personal take foul by J. Dudley (drawn by W. Matthews),10,2
29,1,7:27.0,,D. Lillard makes 3-pt jump shot from 22 ft (assist by L. Aldridge),10,5
30,1,7:09.0,Turnover by B. Knight (lost ball),,10,5
31,1,6:48.0,,L. Aldridge misses 2-pt jump shot from 6 ft,10,5
32,1,6:47.0,,Offensive rebound by T. Robinson,10,5
33,1,6:47.0,,T. Robinson makes 2-pt dunk at rim,10,7
34,1,6:37.0,Offensive foul by L. Sanders (drawn by D. Lillard),,10,7
35,1,6:37.0,Turnover by L. Sanders (offensive foul),,10,7
36,1,6:37.0,Z. Pachulia enters the game for L. Sanders,,10,7
37,1,6:25.0,,T. Robinson misses 2-pt layup at rim,10,7
38,1,6:24.0,,Offensive rebound by T. Robinson,10,7
39,1,6:24.0,,T. Robinson misses 2-pt tip-in at rim,10,7
40,1,6:23.0,Defensive rebound by Z. Pachulia,,10,7
41,1,6:18.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by L. Aldridge),,10,7
42,1,6:18.0,Offensive rebound by Team,,10,7
43,1,6:08.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,12,7
44,1,5:44.0,,N. Batum misses 3-pt jump shot from 24 ft,12,7
45,1,5:42.0,,Offensive rebound by L. Aldridge,12,7
46,1,5:42.0,,L. Aldridge misses 2-pt tip-in from 2 ft,12,7
47,1,5:41.0,,Offensive rebound by L. Aldridge,12,7
48,1,5:40.0,,L. Aldridge makes 2-pt layup from 1 ft,12,9
49,1,5:18.0,Turnover by B. Knight (bad pass; steal by N. Batum),,12,9
50,1,5:11.0,,Turnover by T. Robinson (bad pass),12,9
51,1,5:11.0,,Portland full timeout,12,9
52,1,5:11.0,,S. Blake enters the game for W. Matthews,12,9
53,1,5:11.0,,C. Kaman enters the game for T. Robinson,12,9
54,1,5:11.0,K. Middleton enters the game for J. Dudley,,12,9
55,1,5:03.0,O. Mayo misses 2-pt layup from 1 ft,,12,9
56,1,5:02.0,,Defensive rebound by C. Kaman,12,9
57,1,4:49.0,,Turnover by D. Lillard (bad pass; steal by O. Mayo),12,9
58,1,4:44.0,K. Middleton makes 2-pt layup from 1 ft,,14,9
59,1,4:23.0,,L. Aldridge misses 2-pt jump shot from 8 ft,14,9
60,1,4:22.0,,Offensive rebound by L. Aldridge,14,9
61,1,4:04.0,,C. Kaman misses 2-pt hook shot from 5 ft,14,9
62,1,4:04.0,,Offensive rebound by C. Kaman,14,9
63,1,4:02.0,,Personal foul by K. Middleton (drawn by C. Kaman),14,9
64,1,3:54.0,,Turnover by D. Lillard (bad pass; steal by K. Middleton),14,9
65,1,3:48.0,B. Knight makes 2-pt layup from 1 ft (assist by O. Mayo),,16,9
66,1,3:33.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Lillard),16,11
67,1,3:24.0,,Violation by D. Lillard (kicked ball),16,11
68,1,3:24.0,J. Dudley enters the game for G. Antetokounmpo,,16,11
69,1,3:13.0,J. Dudley misses 3-pt jump shot from 25 ft,,16,11
70,1,3:13.0,,Defensive rebound by N. Batum,16,11
71,1,3:10.0,,D. Lillard makes 2-pt dunk at rim (assist by N. Batum),16,13
72,1,2:56.0,Shooting foul by C. Kaman (drawn by Z. Pachulia),,16,13
73,1,2:56.0,Milwaukee full timeout,,16,13
74,1,2:56.0,,W. Matthews enters the game for D. Lillard,16,13
75,1,2:56.0,,A. Crabbe enters the game for N. Batum,16,13
76,1,2:56.0,Z. Pachulia makes free throw 1 of 2,,17,13
77,1,2:56.0,Z. Pachulia misses free throw 2 of 2,,17,13
78,1,2:55.0,,Defensive rebound by L. Aldridge,17,13
79,1,2:32.0,,C. Kaman misses 2-pt hook shot from 5 ft,17,13
80,1,2:32.0,Defensive rebound by Z. Pachulia,,17,13
81,1,2:15.0,B. Knight makes 2-pt jump shot from 18 ft,,19,13
82,1,1:56.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by S. Blake),19,15
83,1,1:43.0,Shooting foul by C. Kaman (drawn by Z. Pachulia),,19,15
84,1,1:43.0,Z. Pachulia makes free throw 1 of 2,,20,15
85,1,1:43.0,Z. Pachulia makes free throw 2 of 2,,21,15
86,1,1:26.0,,S. Blake makes 3-pt jump shot from 24 ft (assist by A. Crabbe),21,18
87,1,1:12.0,B. Knight makes 2-pt layup from 1 ft,,23,18
88,1,0:57.0,,C. Kaman misses 2-pt jump shot from 12 ft,23,18
89,1,0:56.0,Defensive rebound by Z. Pachulia,,23,18
90,1,0:46.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,23,18
91,1,0:45.0,,Defensive rebound by L. Aldridge,23,18
92,1,0:30.0,,C. Kaman misses 2-pt jump shot from 9 ft,23,18
93,1,0:30.0,Defensive rebound by Z. Pachulia,,23,18
94,1,0:12.0,,Violation by C. Kaman (def goaltending),23,18
95,1,0:12.0,B. Knight makes 2-pt layup at rim,,25,18
96,1,0:03.0,,Personal foul by J. Dudley (drawn by C. Kaman),25,18
97,1,0:03.0,,D. Lillard enters the game for A. Crabbe,25,18
