,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BOSTON_ACTION,MINNESOTA_SCORE,BOSTON_SCORE
0,1,11:47.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by T. Zeller),0,2
1,1,11:29.0,A. Wiggins misses 2-pt jump shot from 13 ft,,0,2
2,1,11:28.0,Offensive rebound by G. Dieng,,0,2
3,1,11:27.0,G. Dieng misses 2-pt layup at rim (block by J. Sullinger),,0,2
4,1,11:26.0,,Defensive rebound by J. Sullinger,0,2
5,1,11:24.0,,Turnover by E. Turner (bad pass),0,2
6,1,11:04.0,G. Dieng makes 2-pt jump shot from 10 ft,,2,2
7,1,10:51.0,,T. Zeller makes 2-pt dunk at rim (assist by J. Sullinger),2,4
8,1,10:35.0,S. Muhammad misses 2-pt layup at rim (block by E. Turner),,2,4
9,1,10:34.0,Offensive rebound by Team,,2,4
10,1,10:24.0,T. Young misses 2-pt jump shot from 8 ft (block by J. Sullinger),,2,4
11,1,10:23.0,,Defensive rebound by J. Green,2,4
12,1,10:19.0,,A. Bradley makes 2-pt layup at rim (assist by J. Green),2,6
13,1,10:04.0,T. Young makes 2-pt jump shot from 15 ft (assist by Z. LaVine),,4,6
14,1,9:50.0,,A. Bradley misses 2-pt jump shot from 4 ft,4,6
15,1,9:49.0,Defensive rebound by Team,,4,6
16,1,9:35.0,S. Muhammad makes 2-pt jump shot from 9 ft,,6,6
17,1,9:14.0,,A. Bradley misses 2-pt jump shot from 20 ft,6,6
18,1,9:12.0,,Offensive rebound by A. Bradley,6,6
19,1,9:10.0,,A. Bradley misses 2-pt layup from 1 ft,6,6
20,1,9:09.0,Defensive rebound by Team,,6,6
21,1,9:00.0,Personal block foul by A. Bradley (drawn by Z. LaVine),,6,6
22,1,8:50.0,T. Young misses 2-pt jump shot from 19 ft,,6,6
23,1,8:49.0,Offensive rebound by G. Dieng,,6,6
24,1,8:47.0,S. Muhammad misses 2-pt jump shot from 6 ft (block by T. Zeller),,6,6
25,1,8:46.0,Offensive rebound by Team,,6,6
26,1,8:32.0,Turnover by Z. LaVine (bad pass; steal by E. Turner),,6,6
27,1,8:31.0,,Shooting foul by T. Young (drawn by J. Green),6,6
28,1,8:31.0,,J. Green makes free throw 1 of 2,6,7
29,1,8:31.0,,J. Green makes free throw 2 of 2,6,8
30,1,8:14.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by S. Muhammad),,9,8
31,1,8:08.0,,Personal foul by G. Dieng (drawn by T. Zeller),9,8
32,1,8:00.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),9,10
33,1,7:47.0,Personal foul by T. Zeller (drawn by G. Dieng),,9,10
34,1,7:40.0,S. Muhammad makes 2-pt jump shot from 9 ft,,11,10
35,1,7:30.0,,Offensive foul by T. Zeller (drawn by S. Muhammad),11,10
36,1,7:30.0,,Turnover by T. Zeller (offensive foul),11,10
37,1,7:17.0,A. Wiggins misses 2-pt jump shot from 16 ft,,11,10
38,1,7:16.0,,Defensive rebound by A. Bradley,11,10
39,1,7:07.0,,Turnover by J. Sullinger (bad pass; steal by A. Wiggins),11,10
40,1,6:54.0,T. Young makes 2-pt jump shot from 11 ft,,13,10
41,1,6:43.0,,Personal foul by T. Young (drawn by J. Sullinger),13,10
42,1,6:43.0,,K. Olynyk enters the game for T. Zeller,13,10
43,1,6:43.0,A. Bennett enters the game for T. Young,,13,10
44,1,6:37.0,,K. Olynyk makes 2-pt layup at rim (assist by A. Bradley),13,12
45,1,6:19.0,A. Wiggins misses 2-pt jump shot from 20 ft,,13,12
46,1,6:18.0,,Defensive rebound by A. Bradley,13,12
47,1,6:03.0,,A. Bradley misses 3-pt jump shot from 23 ft,13,12
48,1,6:01.0,Defensive rebound by S. Muhammad,,13,12
49,1,5:59.0,Turnover by S. Muhammad (discontinued dribble),,13,12
50,1,5:59.0,,Boston full timeout,13,12
51,1,5:59.0,,M. Smart enters the game for E. Turner,13,12
52,1,5:51.0,,K. Olynyk misses 2-pt layup from 2 ft,13,12
53,1,5:50.0,Defensive rebound by A. Bennett,,13,12
54,1,5:43.0,Personal foul by M. Smart (drawn by S. Muhammad),,13,12
55,1,5:32.0,A. Wiggins misses 2-pt jump shot from 11 ft,,13,12
56,1,5:31.0,,Defensive rebound by J. Sullinger,13,12
57,1,5:25.0,,J. Green misses 2-pt layup at rim (block by A. Wiggins),13,12
58,1,5:24.0,Defensive rebound by A. Bennett,,13,12
59,1,5:18.0,Z. LaVine misses 2-pt jump shot from 20 ft,,13,12
60,1,5:17.0,,Defensive rebound by K. Olynyk,13,12
61,1,5:03.0,,J. Green makes 2-pt layup at rim,13,14
62,1,4:51.0,A. Bennett misses 2-pt jump shot from 19 ft,,13,14
63,1,4:49.0,Offensive rebound by Team,,13,14
64,1,4:43.0,S. Muhammad makes 2-pt jump shot from 7 ft (assist by A. Wiggins),,15,14
65,1,4:21.0,,A. Bradley misses 3-pt jump shot from 25 ft,15,14
66,1,4:19.0,,Offensive rebound by K. Olynyk,15,14
67,1,4:14.0,,K. Olynyk makes 2-pt layup at rim,15,16
68,1,3:48.0,A. Wiggins misses 2-pt jump shot from 18 ft,,15,16
69,1,3:47.0,Offensive rebound by A. Bennett,,15,16
70,1,3:46.0,A. Bennett misses 2-pt layup from 2 ft (block by K. Olynyk),,15,16
71,1,3:45.0,Offensive rebound by A. Bennett,,15,16
72,1,3:44.0,A. Bennett misses 2-pt layup at rim,,15,16
73,1,3:43.0,Offensive rebound by G. Dieng,,15,16
74,1,3:42.0,G. Dieng makes 2-pt layup from 1 ft,,17,16
75,1,3:42.0,Shooting foul by K. Olynyk (drawn by G. Dieng),,17,16
76,1,3:42.0,,P. Pressey enters the game for A. Bradley,17,16
77,1,3:42.0,,B. Bass enters the game for J. Sullinger,17,16
78,1,3:42.0,M. Williams enters the game for Z. LaVine,,17,16
79,1,3:42.0,G. Dieng makes free throw 1 of 1,,18,16
80,1,3:17.0,,B. Bass misses 2-pt jump shot from 14 ft,18,16
81,1,3:17.0,Defensive rebound by M. Williams,,18,16
82,1,2:59.0,S. Muhammad misses 2-pt layup at rim,,18,16
83,1,2:58.0,,Defensive rebound by K. Olynyk,18,16
84,1,2:40.0,,K. Olynyk makes 2-pt layup at rim (assist by P. Pressey),18,18
85,1,2:31.0,Minnesota full timeout,,18,18
86,1,2:31.0,C. Budinger enters the game for S. Muhammad,,18,18
87,1,2:21.0,A. Bennett makes 2-pt layup from 1 ft,,20,18
88,1,2:11.0,,K. Olynyk misses 2-pt jump shot from 6 ft (block by G. Dieng),20,18
89,1,2:08.0,,Offensive rebound by P. Pressey,20,18
90,1,2:02.0,,B. Bass misses 2-pt layup from 2 ft (block by G. Dieng),20,18
91,1,1:59.0,,Offensive rebound by B. Bass,20,18
92,1,1:56.0,,B. Bass makes 2-pt layup at rim,20,20
93,1,1:41.0,G. Dieng makes 2-pt dunk at rim (assist by A. Wiggins),,22,20
94,1,1:36.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by M. Smart),22,23
95,1,1:17.0,A. Bennett misses 3-pt jump shot from 27 ft,,22,23
96,1,1:16.0,,Defensive rebound by Team,22,23
97,1,1:05.0,,B. Bass makes 2-pt dunk at rim (assist by K. Olynyk),22,25
98,1,0:45.0,G. Dieng misses 2-pt layup from 2 ft,,22,25
99,1,0:45.0,Offensive rebound by A. Bennett,,22,25
100,1,0:45.0,A. Bennett makes 2-pt tip-in from 2 ft,,24,25
101,1,0:35.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by M. Smart),24,27
102,1,0:26.0,M. Williams misses 2-pt jump shot from 14 ft,,24,27
103,1,0:25.0,,Defensive rebound by Team,24,27
104,1,0:25.0,Loose ball foul by A. Bennett (drawn by B. Bass),,24,27
105,1,0:00.0,,B. Bass misses 3-pt jump shot from 24 ft,24,27
106,1,0:00.0,,Offensive rebound by Team,24,27
107,2,11:42.0,Turnover by C. Budinger (bad pass; steal by B. Bass),,24,27
108,2,11:29.0,,P. Pressey misses 3-pt jump shot from 25 ft,24,27
109,2,11:28.0,Defensive rebound by A. Wiggins,,24,27
110,2,11:13.0,M. Williams misses 2-pt jump shot from 7 ft,,24,27
111,2,11:12.0,,Defensive rebound by K. Olynyk,24,27
