,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,Shooting foul by J. O'Bryant (drawn by A. Horford),,0,0
1,1,11:46.0,A. Horford misses free throw 1 of 2,,0,0
2,1,11:46.0,Offensive rebound by Team,,0,0
3,1,11:46.0,A. Horford makes free throw 2 of 2,,1,0
4,1,11:31.0,,G. Antetokounmpo misses 2-pt hook shot from 4 ft,1,0
5,1,11:29.0,Defensive rebound by K. Korver,,1,0
6,1,11:22.0,K. Korver misses 3-pt jump shot from 25 ft,,1,0
7,1,11:21.0,,Defensive rebound by G. Antetokounmpo,1,0
8,1,11:15.0,,Turnover by G. Antetokounmpo (lost ball),1,0
9,1,11:01.0,P. Millsap misses 2-pt jump shot from 6 ft,,1,0
10,1,11:00.0,,Defensive rebound by G. Antetokounmpo,1,0
11,1,10:46.0,,B. Knight misses 2-pt layup at rim,1,0
12,1,10:45.0,Defensive rebound by J. Teague,,1,0
13,1,10:38.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by J. Teague),,4,0
14,1,10:22.0,,J. O'Bryant misses 2-pt hook shot from 4 ft,4,0
15,1,10:20.0,Defensive rebound by K. Korver,,4,0
16,1,10:13.0,A. Horford misses 2-pt jump shot from 7 ft,,4,0
17,1,10:12.0,,Defensive rebound by Z. Pachulia,4,0
18,1,9:59.0,,J. O'Bryant misses 2-pt jump shot from 17 ft (block by A. Horford),4,0
19,1,9:57.0,Defensive rebound by P. Millsap,,4,0
20,1,9:51.0,A. Horford makes 2-pt layup at rim (assist by P. Millsap),,6,0
21,1,9:39.0,,Personal block foul by K. Korver (drawn by B. Knight),6,0
22,1,9:32.0,,B. Knight makes 3-pt jump shot from 24 ft,6,3
23,1,9:16.0,J. Teague misses 3-pt jump shot from 26 ft,,6,3
24,1,9:15.0,,Defensive rebound by Z. Pachulia,6,3
25,1,8:58.0,,B. Knight misses 2-pt jump shot from 17 ft,6,3
26,1,8:57.0,Defensive rebound by P. Millsap,,6,3
27,1,8:51.0,J. Teague makes 2-pt layup at rim (assist by A. Horford),,8,3
28,1,8:39.0,,Z. Pachulia misses 2-pt jump shot from 16 ft,8,3
29,1,8:37.0,,Offensive rebound by G. Antetokounmpo,8,3
30,1,8:37.0,,G. Antetokounmpo misses 2-pt tip-in at rim,8,3
31,1,8:35.0,,Offensive rebound by J. O'Bryant,8,3
32,1,8:34.0,,J. O'Bryant misses 2-pt layup at rim,8,3
33,1,8:32.0,,Offensive rebound by G. Antetokounmpo,8,3
34,1,8:12.0,,K. Marshall misses 3-pt jump shot from 25 ft,8,3
35,1,8:11.0,Defensive rebound by P. Millsap,,8,3
36,1,7:57.0,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Horford),,11,3
37,1,7:45.0,,Turnover by Z. Pachulia (lost ball),11,3
38,1,7:34.0,D. Carroll makes 2-pt layup from 1 ft,,13,3
39,1,7:34.0,,Milwaukee full timeout,13,3
40,1,7:34.0,,J. Dudley enters the game for J. O'Bryant,13,3
41,1,7:16.0,Violation by D. Carroll (kicked ball),,13,3
42,1,7:08.0,,Z. Pachulia misses 2-pt layup from 2 ft,13,3
43,1,7:06.0,,Offensive rebound by G. Antetokounmpo,13,3
44,1,7:06.0,,G. Antetokounmpo makes 2-pt dunk at rim,13,5
45,1,6:55.0,A. Horford misses 2-pt layup from 1 ft (block by Z. Pachulia),,13,5
46,1,6:52.0,,Defensive rebound by J. Dudley,13,5
47,1,6:49.0,,B. Knight makes 2-pt layup at rim,13,7
48,1,6:41.0,K. Korver misses 3-pt jump shot from 24 ft,,13,7
49,1,6:40.0,,Defensive rebound by B. Knight,13,7
50,1,6:26.0,,Z. Pachulia misses 2-pt layup from 1 ft,13,7
51,1,6:24.0,Defensive rebound by A. Horford,,13,7
52,1,6:07.0,K. Korver makes 3-pt jump shot from 26 ft (assist by A. Horford),,16,7
53,1,5:47.0,,K. Marshall misses 2-pt layup at rim,16,7
54,1,5:47.0,,Offensive rebound by Z. Pachulia,16,7
55,1,5:47.0,Loose ball foul by A. Horford (drawn by Z. Pachulia),,16,7
56,1,5:47.0,P. Antić enters the game for A. Horford,,16,7
57,1,5:41.0,Offensive charge foul by G. Antetokounmpo (drawn by P. Antić),,16,7
58,1,5:41.0,,Turnover by G. Antetokounmpo (offensive foul),16,7
59,1,5:41.0,,K. Middleton enters the game for G. Antetokounmpo,16,7
60,1,5:22.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by K. Korver),,18,7
61,1,4:59.0,,Z. Pachulia misses 2-pt layup from 1 ft (block by P. Antić),18,7
62,1,4:57.0,Defensive rebound by P. Antić,,18,7
63,1,4:51.0,P. Millsap misses 2-pt layup from 2 ft,,18,7
64,1,4:50.0,,Defensive rebound by Z. Pachulia,18,7
65,1,4:42.0,,B. Knight misses 3-pt jump shot from 25 ft,18,7
66,1,4:41.0,,Offensive rebound by J. Dudley,18,7
67,1,4:38.0,,J. Dudley misses 2-pt jump shot from 13 ft,18,7
68,1,4:36.0,Defensive rebound by J. Teague,,18,7
69,1,4:33.0,J. Teague misses 2-pt layup from 1 ft,,18,7
70,1,4:31.0,,Defensive rebound by Z. Pachulia,18,7
71,1,4:25.0,,Turnover by B. Knight (bad pass),18,7
72,1,4:25.0,T. Sefolosha enters the game for D. Carroll,,18,7
73,1,4:25.0,,J. Bayless enters the game for Z. Pachulia,18,7
74,1,4:25.0,,J. Henson enters the game for K. Marshall,18,7
75,1,4:00.0,Turnover by Team (shot clock),,18,7
76,1,3:37.0,,K. Middleton misses 3-pt jump shot from 25 ft,18,7
77,1,3:36.0,Defensive rebound by T. Sefolosha,,18,7
78,1,3:23.0,P. Millsap misses 2-pt jump shot from 10 ft,,18,7
79,1,3:22.0,,Defensive rebound by K. Middleton,18,7
80,1,3:18.0,,Personal foul by J. Teague (drawn by J. Bayless),18,7
81,1,3:18.0,D. Schröder enters the game for J. Teague,,18,7
82,1,2:59.0,,J. Bayless misses 2-pt jump shot from 16 ft,18,7
83,1,2:58.0,,Offensive rebound by J. Henson,18,7
84,1,2:42.0,,Shooting block foul by T. Sefolosha (drawn by J. Henson),18,7
85,1,2:42.0,Atlanta full timeout,,18,7
86,1,2:42.0,,J. Henson makes free throw 1 of 2,18,8
87,1,2:42.0,,J. Henson misses free throw 2 of 2,18,8
88,1,2:41.0,Defensive rebound by T. Sefolosha,,18,8
89,1,2:29.0,Offensive foul by P. Antić (drawn by J. Henson),,18,8
90,1,2:29.0,Turnover by P. Antić (offensive foul),,18,8
91,1,2:29.0,D. Carroll enters the game for K. Korver,,18,8
92,1,2:08.0,,K. Middleton misses 2-pt jump shot from 6 ft,18,8
93,1,2:05.0,Defensive rebound by D. Carroll,,18,8
94,1,1:52.0,D. Carroll misses 2-pt jump shot from 5 ft,,18,8
95,1,1:51.0,Offensive rebound by Team,,18,8
96,1,1:37.0,D. Carroll misses 3-pt jump shot from 24 ft,,18,8
97,1,1:36.0,Offensive rebound by P. Antić,,18,8
98,1,1:32.0,P. Antić misses 2-pt layup from 2 ft (block by J. Henson),,18,8
99,1,1:29.0,Offensive rebound by D. Schröder,,18,8
100,1,1:26.0,P. Antić misses 3-pt jump shot from 24 ft,,18,8
101,1,1:26.0,Offensive rebound by Team,,18,8
102,1,1:17.0,T. Sefolosha misses 3-pt jump shot from 27 ft,,18,8
103,1,1:16.0,Offensive rebound by P. Antić,,18,8
104,1,1:16.0,,Loose ball foul by K. Middleton (drawn by P. Antić),18,8
105,1,1:16.0,A. Horford enters the game for P. Millsap,,18,8
106,1,1:11.0,Turnover by D. Schröder (bad pass),,18,8
107,1,0:53.0,,K. Middleton makes 2-pt jump shot from 6 ft (assist by J. Bayless),18,10
108,1,0:33.0,T. Sefolosha makes 3-pt jump shot from 22 ft (assist by D. Carroll),,21,10
109,1,0:21.0,,B. Knight misses 2-pt jump shot from 18 ft,21,10
110,1,0:20.0,Defensive rebound by A. Horford,,21,10
111,1,0:00.0,D. Schröder misses 2-pt jump shot from 6 ft (block by J. Henson),,21,10
112,1,0:00.0,Offensive rebound by Team,,21,10
113,2,11:36.0,,J. Henson makes 2-pt hook shot at rim (assist by O. Mayo),21,12
114,2,11:11.0,M. Scott misses 2-pt layup from 1 ft (block by J. Henson),,21,12
115,2,11:11.0,Offensive rebound by Team,,21,12
116,2,11:10.0,Turnover by Team (shot clock),,21,12
117,2,10:50.0,,K. Middleton misses 2-pt jump shot from 17 ft,21,12
118,2,10:49.0,Defensive rebound by Team,,21,12
119,2,10:27.0,M. Scott misses 3-pt jump shot from 23 ft,,21,12
120,2,10:26.0,Offensive rebound by T. Sefolosha,,21,12
121,2,10:24.0,T. Sefolosha misses 2-pt layup at rim (block by J. Henson),,21,12
122,2,10:22.0,,Defensive rebound by J. Henson,21,12
123,2,10:13.0,,O. Mayo misses 3-pt jump shot from 25 ft,21,12
124,2,10:12.0,Defensive rebound by A. Horford,,21,12
125,2,10:04.0,D. Schröder misses 3-pt jump shot from 25 ft,,21,12
126,2,10:00.0,Offensive rebound by D. Carroll,,21,12
127,2,9:55.0,D. Schröder misses 2-pt jump shot from 17 ft,,21,12
128,2,9:54.0,,Defensive rebound by J. Henson,21,12
129,2,9:46.0,,J. Bayless makes 2-pt layup at rim,21,14
130,2,9:18.0,M. Scott misses 2-pt jump shot from 16 ft,,21,14
131,2,9:17.0,,Defensive rebound by J. Henson,21,14
132,2,9:09.0,,J. Henson misses 2-pt layup at rim,21,14
133,2,9:07.0,Defensive rebound by M. Scott,,21,14
134,2,8:55.0,A. Horford misses 2-pt jump shot from 7 ft,,21,14
135,2,8:54.0,,Defensive rebound by K. Middleton,21,14
136,2,8:50.0,Offensive charge foul by J. Bayless (drawn by D. Schröder),,21,14
137,2,8:50.0,,Turnover by J. Bayless (offensive foul),21,14
138,2,8:50.0,Official timeout,,21,14
139,2,8:50.0,J. Teague enters the game for D. Schröder,,21,14
140,2,8:40.0,Personal foul by J. Henson (drawn by A. Horford),,21,14
141,2,8:28.0,Turnover by D. Carroll (lost ball; steal by J. Dudley),,21,14
142,2,8:24.0,,Turnover by O. Mayo (lost ball; steal by D. Carroll),21,14
143,2,8:19.0,,Offensive charge foul by T. Sefolosha (drawn by J. Henson),21,14
144,2,8:19.0,Turnover by T. Sefolosha (offensive foul),,21,14
145,2,8:07.0,,O. Mayo makes 2-pt jump shot from 16 ft,21,16
146,2,7:47.0,A. Horford misses 2-pt layup from 2 ft,,21,16
147,2,7:46.0,,Defensive rebound by J. Bayless,21,16
148,2,7:29.0,,Turnover by O. Mayo (bad pass; steal by T. Sefolosha),21,16
149,2,7:22.0,M. Scott makes 2-pt layup at rim (assist by J. Teague),,23,16
150,2,7:08.0,K. Korver enters the game for D. Carroll,,23,16
151,2,7:08.0,,Z. Pachulia enters the game for J. Henson,23,16
152,2,7:05.0,,O. Mayo misses 2-pt jump shot from 16 ft,23,16
153,2,7:04.0,Defensive rebound by A. Horford,,23,16
154,2,6:51.0,K. Korver misses 3-pt jump shot from 23 ft,,23,16
155,2,6:50.0,,Defensive rebound by Z. Pachulia,23,16
156,2,6:41.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by O. Mayo),23,19
157,2,6:24.0,K. Korver misses 2-pt jump shot from 9 ft,,23,19
158,2,6:22.0,,Defensive rebound by Z. Pachulia,23,19
159,2,6:16.0,,O. Mayo makes 3-pt jump shot from 24 ft (assist by J. Dudley),23,22
160,2,6:16.0,Atlanta full timeout,,23,22
161,2,6:16.0,P. Antić enters the game for A. Horford,,23,22
