,QUARTER,TIME_REMAINING,MIAMI_ACTION,INDIANA_ACTION,MIAMI_SCORE,INDIANA_SCORE
0,1,11:34.0,,S. Hill misses 2-pt jump shot from 10 ft,0,0
1,1,11:34.0,,Offensive rebound by Team,0,0
2,1,11:34.0,,Turnover by Team (shot clock),0,0
3,1,11:13.0,D. Wade misses 3-pt jump shot from 26 ft,,0,0
4,1,11:13.0,Offensive rebound by C. Andersen,,0,0
5,1,11:13.0,,Loose ball foul by R. Hibbert (drawn by C. Andersen),0,0
6,1,11:03.0,D. Wade makes 2-pt layup from 1 ft (assist by M. Chalmers),,2,0
7,1,10:41.0,,D. West misses 2-pt layup from 1 ft,2,0
8,1,10:40.0,Defensive rebound by C. Bosh,,2,0
9,1,10:31.0,Personal foul by S. Hill (drawn by M. Chalmers),,2,0
10,1,10:23.0,L. Deng misses 2-pt jump shot from 17 ft,,2,0
11,1,10:21.0,Offensive rebound by C. Andersen,,2,0
12,1,10:21.0,C. Andersen misses 2-pt tip-in from 1 ft,,2,0
13,1,10:20.0,,Defensive rebound by D. West,2,0
14,1,10:05.0,,R. Hibbert makes 2-pt hook shot from 6 ft (assist by D. West),2,2
15,1,9:42.0,C. Andersen makes 2-pt layup at rim (assist by L. Deng),,4,2
16,1,9:22.0,,R. Stuckey misses 2-pt jump shot from 11 ft,4,2
17,1,9:20.0,,Offensive rebound by R. Stuckey,4,2
18,1,9:10.0,,D. West misses 2-pt jump shot from 19 ft,4,2
19,1,9:09.0,Defensive rebound by C. Bosh,,4,2
20,1,9:05.0,Shooting block foul by S. Hill (drawn by L. Deng),,4,2
21,1,9:05.0,L. Deng makes free throw 1 of 2,,5,2
22,1,9:05.0,,C. Miles enters the game for S. Hill,5,2
23,1,9:05.0,L. Deng misses free throw 2 of 2,,5,2
24,1,9:05.0,,Defensive rebound by R. Hibbert,5,2
25,1,8:52.0,,Turnover by D. West (bad pass),5,2
26,1,8:40.0,L. Deng makes 2-pt layup from 2 ft (assist by M. Chalmers),,7,2
27,1,8:18.0,,G. Hill misses 3-pt jump shot from 23 ft,7,2
28,1,8:17.0,Defensive rebound by C. Andersen,,7,2
29,1,8:02.0,C. Andersen misses 2-pt jump shot from 16 ft,,7,2
30,1,8:01.0,,Defensive rebound by G. Hill,7,2
31,1,7:38.0,,C. Miles misses 3-pt jump shot from 25 ft,7,2
32,1,7:37.0,Defensive rebound by D. Wade,,7,2
33,1,7:31.0,M. Chalmers misses 3-pt jump shot from 26 ft,,7,2
34,1,7:30.0,,Defensive rebound by G. Hill,7,2
35,1,7:24.0,,Shooting foul by M. Chalmers (drawn by C. Miles),7,2
36,1,7:24.0,,C. Miles makes free throw 1 of 2,7,3
37,1,7:24.0,,C. Miles makes free throw 2 of 2,7,4
38,1,7:17.0,Personal foul by G. Hill (drawn by M. Chalmers),,7,4
39,1,7:11.0,D. Wade makes 2-pt jump shot from 13 ft (assist by M. Chalmers),,9,4
40,1,6:48.0,,G. Hill makes 2-pt layup from 2 ft,9,6
41,1,6:47.0,,Technical foul by G. Hill,9,6
42,1,6:47.0,C. Bosh makes technical free throw,,10,6
43,1,6:30.0,C. Andersen misses 2-pt layup from 2 ft (block by G. Hill),,10,6
44,1,6:28.0,,Defensive rebound by R. Hibbert,10,6
45,1,6:25.0,,G. Hill makes 2-pt dunk at rim,10,8
46,1,6:25.0,,Shooting foul by C. Andersen (drawn by G. Hill),10,8
47,1,6:25.0,,G. Hill makes free throw 1 of 1,10,9
48,1,6:14.0,Turnover by M. Chalmers (lost ball),,10,9
49,1,5:59.0,,R. Hibbert misses 2-pt layup from 2 ft,10,9
50,1,5:58.0,Defensive rebound by C. Bosh,,10,9
51,1,5:44.0,,Indiana full timeout,10,9
52,1,5:44.0,N. Cole enters the game for M. Chalmers,,10,9
53,1,5:35.0,D. Wade misses 2-pt jump shot from 20 ft,,10,9
54,1,5:34.0,,Defensive rebound by C. Miles,10,9
55,1,5:20.0,,Personal foul by C. Bosh (drawn by G. Hill),10,9
56,1,5:06.0,,G. Hill makes 2-pt jump shot from 14 ft,10,11
57,1,4:50.0,L. Deng makes 2-pt jump shot from 21 ft (assist by N. Cole),,12,11
58,1,4:26.0,,Turnover by R. Hibbert (bad pass; steal by D. Wade),12,11
59,1,4:22.0,D. Wade makes 2-pt layup at rim,,14,11
60,1,4:16.0,,Turnover by G. Hill (bad pass; steal by N. Cole),14,11
61,1,4:06.0,C. Bosh misses 2-pt jump shot from 18 ft,,14,11
62,1,4:05.0,,Defensive rebound by R. Stuckey,14,11
63,1,3:58.0,,C. Miles makes 3-pt jump shot from 28 ft (assist by R. Stuckey),14,14
64,1,3:57.0,Miami full timeout,,14,14
65,1,3:57.0,S. Williams enters the game for C. Bosh,,14,14
66,1,3:57.0,M. Chalmers enters the game for D. Wade,,14,14
67,1,3:57.0,,L. Allen enters the game for R. Hibbert,14,14
68,1,3:35.0,L. Deng misses 2-pt jump shot from 15 ft,,14,14
69,1,3:34.0,,Defensive rebound by L. Allen,14,14
70,1,3:15.0,,R. Stuckey misses 2-pt jump shot from 16 ft,14,14
71,1,3:15.0,Defensive rebound by C. Andersen,,14,14
72,1,3:06.0,M. Chalmers misses 2-pt jump shot from 10 ft,,14,14
73,1,3:06.0,Offensive rebound by Team,,14,14
74,1,3:06.0,,Loose ball foul by L. Allen (drawn by C. Andersen),14,14
75,1,3:06.0,C. Andersen makes free throw 1 of 2,,15,14
76,1,3:06.0,,C. Watson enters the game for R. Stuckey,15,14
77,1,3:06.0,D. Granger enters the game for L. Deng,,15,14
78,1,3:06.0,C. Andersen makes free throw 2 of 2,,16,14
79,1,2:52.0,,D. West makes 2-pt jump shot from 17 ft (assist by C. Miles),16,16
80,1,2:35.0,C. Andersen makes 2-pt layup from 2 ft (assist by M. Chalmers),,18,16
81,1,2:21.0,,C. Miles misses 2-pt jump shot from 22 ft,18,16
82,1,2:20.0,Defensive rebound by C. Andersen,,18,16
83,1,2:07.0,C. Andersen makes 2-pt layup from 2 ft (assist by N. Cole),,20,16
84,1,1:53.0,,L. Allen misses 2-pt layup from 4 ft,20,16
85,1,1:52.0,Defensive rebound by C. Andersen,,20,16
86,1,1:34.0,Turnover by D. Granger (step out of bounds),,20,16
87,1,1:34.0,,L. Scola enters the game for D. West,20,16
88,1,1:34.0,H. Whiteside enters the game for C. Andersen,,20,16
89,1,1:17.0,,L. Allen makes 2-pt layup from 1 ft (assist by L. Scola),20,18
90,1,0:58.0,H. Whiteside makes 2-pt layup from 3 ft,,22,18
91,1,0:48.0,,Personal foul by N. Cole (drawn by G. Hill),22,18
92,1,0:41.0,,Shooting foul by D. Granger (drawn by C. Miles),22,18
93,1,0:41.0,,C. Miles makes free throw 1 of 2,22,19
94,1,0:41.0,,C. Miles makes free throw 2 of 2,22,20
95,1,0:30.0,M. Chalmers makes 2-pt jump shot from 19 ft,,24,20
96,1,0:10.0,,L. Scola misses 2-pt jump shot from 7 ft (block by H. Whiteside),24,20
97,1,0:08.0,Defensive rebound by M. Chalmers,,24,20
98,1,0:00.0,D. Granger misses 3-pt jump shot from 25 ft,,24,20
99,1,0:00.0,Offensive rebound by Team,,24,20
100,2,11:39.0,D. Granger makes 3-pt jump shot from 25 ft (assist by N. Cole),,27,20
101,2,11:18.0,,L. Scola misses 2-pt jump shot from 16 ft,27,20
102,2,11:17.0,Defensive rebound by D. Granger,,27,20
103,2,11:03.0,H. Whiteside misses 2-pt jump shot from 11 ft,,27,20
104,2,11:02.0,Offensive rebound by N. Cole,,27,20
105,2,10:42.0,D. Granger makes 2-pt jump shot from 15 ft,,29,20
106,2,10:28.0,,Turnover by C. Watson (bad pass),29,20
107,2,10:06.0,,C. Copeland misses 2-pt jump shot from 15 ft,29,20
108,2,10:04.0,Defensive rebound by H. Whiteside,,29,20
109,2,9:56.0,Turnover by M. Chalmers (bad pass; steal by L. Scola),,29,20
110,2,9:56.0,,Personal foul by M. Chalmers (drawn by L. Scola),29,20
111,2,9:39.0,,Shooting foul by S. Williams (drawn by L. Scola),29,20
112,2,9:39.0,,L. Scola misses free throw 1 of 2,29,20
113,2,9:39.0,,Offensive rebound by Team,29,20
114,2,9:39.0,,L. Scola makes free throw 2 of 2,29,21
115,2,9:32.0,Turnover by N. Cole (lost ball),,29,21
116,2,9:21.0,,C. Copeland makes 3-pt jump shot from 25 ft (assist by C. Watson),29,24
117,2,9:19.0,Miami full timeout,,29,24
118,2,9:19.0,D. Wade enters the game for M. Chalmers,,29,24
119,2,9:19.0,C. Bosh enters the game for S. Williams,,29,24
120,2,9:05.0,C. Bosh misses 2-pt layup from 2 ft,,29,24
121,2,9:05.0,,Defensive rebound by Team,29,24
122,2,9:05.0,Loose ball foul by H. Whiteside (drawn by L. Scola),,29,24
123,2,8:51.0,,Turnover by C. Miles (bad pass; steal by D. Wade),29,24
124,2,8:47.0,N. Cole makes 2-pt layup at rim (assist by D. Wade),,31,24
125,2,8:40.0,,C. Copeland makes 2-pt layup at rim,31,26
126,2,8:40.0,,Shooting foul by D. Granger (drawn by C. Copeland),31,26
127,2,8:40.0,,C. Copeland misses free throw 1 of 1,31,26
128,2,8:40.0,,Offensive rebound by C. Copeland,31,26
129,2,8:36.0,,C. Copeland misses 2-pt layup from 2 ft,31,26
130,2,8:34.0,Defensive rebound by C. Bosh,,31,26
131,2,8:21.0,Turnover by N. Cole (lost ball; steal by L. Scola),,31,26
132,2,8:18.0,,C. Watson makes 2-pt layup at rim (assist by L. Scola),31,28
133,2,8:00.0,Turnover by D. Granger (lost ball),,31,28
134,2,7:50.0,,L. Scola misses 2-pt jump shot from 16 ft,31,28
135,2,7:49.0,Defensive rebound by C. Bosh,,31,28
136,2,7:35.0,Turnover by D. Wade (bad pass; steal by C. Miles),,31,28
137,2,7:29.0,,Turnover by C. Watson (bad pass),31,28
138,2,7:29.0,,R. Hibbert enters the game for L. Allen,31,28
139,2,7:13.0,N. Cole makes 2-pt jump shot from 13 ft,,33,28
140,2,6:55.0,,L. Scola makes 2-pt jump shot from 18 ft (assist by C. Watson),33,30
141,2,6:39.0,D. Granger makes 2-pt jump shot from 20 ft (assist by D. Wade),,35,30
142,2,6:24.0,,Turnover by R. Hibbert (lost ball),35,30
143,2,6:08.0,D. Wade makes 2-pt jump shot from 15 ft,,37,30
144,2,5:53.0,,C. Watson makes 2-pt jump shot from 9 ft,37,32
145,2,5:30.0,C. Bosh makes 2-pt jump shot from 7 ft,,39,32
146,2,5:09.0,,C. Copeland misses 2-pt jump shot from 20 ft,39,32
147,2,5:07.0,,Offensive rebound by Team,39,32
148,2,5:07.0,Violation by H. Whiteside (kicked ball),,39,32
149,2,5:07.0,Official timeout,,39,32
150,2,5:07.0,,S. Hill enters the game for C. Copeland,39,32
151,2,5:07.0,L. Deng enters the game for D. Granger,,39,32
152,2,4:57.0,,C. Watson misses 2-pt jump shot from 19 ft,39,32
153,2,4:55.0,,Offensive rebound by L. Scola,39,32
154,2,4:53.0,,L. Scola misses 2-pt layup at rim (block by H. Whiteside),39,32
155,2,4:51.0,,Offensive rebound by R. Hibbert,39,32
156,2,4:50.0,,R. Hibbert misses 2-pt layup from 1 ft,39,32
157,2,4:49.0,,Offensive rebound by R. Hibbert,39,32
158,2,4:43.0,,C. Miles misses 2-pt jump shot from 18 ft,39,32
159,2,4:41.0,Defensive rebound by L. Deng,,39,32
160,2,4:24.0,C. Bosh misses 3-pt jump shot from 24 ft,,39,32
161,2,4:23.0,Offensive rebound by H. Whiteside,,39,32
162,2,4:21.0,H. Whiteside makes 2-pt dunk at rim,,41,32
163,2,4:03.0,,C. Miles makes 3-pt jump shot from 27 ft (assist by S. Hill),41,35
164,2,3:40.0,C. Bosh makes 2-pt jump shot from 14 ft,,43,35
165,2,3:24.0,,R. Hibbert misses 2-pt layup at rim (block by D. Wade),43,35
166,2,3:24.0,,Offensive rebound by Team,43,35
167,2,3:24.0,,D. West enters the game for L. Scola,43,35
168,2,3:24.0,M. Chalmers enters the game for N. Cole,,43,35
169,2,3:21.0,,C. Miles makes 2-pt jump shot from 16 ft (assist by S. Hill),43,37
170,2,3:08.0,,G. Hill enters the game for C. Watson,43,37
171,2,2:59.0,D. Wade makes 2-pt layup from 2 ft,,45,37
172,2,2:42.0,,Indiana full timeout,45,37
173,2,2:42.0,,R. Stuckey enters the game for C. Miles,45,37
174,2,2:39.0,,R. Hibbert makes 2-pt hook shot from 6 ft (assist by D. West),45,39
175,2,2:19.0,D. Wade misses 2-pt layup from 1 ft,,45,39
176,2,2:18.0,,Defensive rebound by R. Hibbert,45,39
177,2,2:03.0,,G. Hill misses 2-pt jump shot from 21 ft,45,39
178,2,2:02.0,Defensive rebound by L. Deng,,45,39
179,2,1:51.0,Shooting foul by R. Hibbert (drawn by D. Wade),,45,39
180,2,1:51.0,D. Wade makes free throw 1 of 2,,46,39
181,2,1:51.0,C. Andersen enters the game for H. Whiteside,,46,39
182,2,1:51.0,D. Wade makes free throw 2 of 2,,47,39
183,2,1:32.0,,Shooting foul by C. Andersen (drawn by R. Hibbert),47,39
184,2,1:32.0,,R. Hibbert makes free throw 1 of 2,47,40
185,2,1:32.0,H. Whiteside enters the game for C. Andersen,,47,40
186,2,1:32.0,,R. Hibbert makes free throw 2 of 2,47,41
187,2,1:17.0,Turnover by M. Chalmers (lost ball; steal by D. West),,47,41
188,2,0:56.0,,D. West misses 2-pt layup from 2 ft,47,41
189,2,0:55.0,Defensive rebound by H. Whiteside,,47,41
190,2,0:48.0,D. Wade misses 2-pt jump shot from 20 ft,,47,41
191,2,0:47.0,Offensive rebound by H. Whiteside,,47,41
192,2,0:46.0,N. Cole enters the game for M. Chalmers,,47,41
193,2,0:46.0,,L. Allen enters the game for R. Hibbert,47,41
194,2,0:46.0,Technical foul by H. Whiteside,,47,41
195,2,0:46.0,,G. Hill makes technical free throw,47,42
196,2,0:31.0,H. Whiteside makes 2-pt dunk at rim (assist by C. Bosh),,49,42
197,2,0:24.0,,Indiana full timeout,49,42
198,2,0:24.0,,C. Miles enters the game for S. Hill,49,42
199,2,0:08.0,,G. Hill misses 2-pt jump shot from 6 ft (block by H. Whiteside),49,42
200,2,0:07.0,,Offensive rebound by Team,49,42
201,2,0:07.0,,L. Allen misses 2-pt tip-in at rim,49,42
202,2,0:07.0,,Offensive rebound by Team,49,42
203,2,0:07.0,,Turnover by Team (shot clock),49,42
204,2,0:07.0,Miami full timeout,,49,42
205,2,0:07.0,D. Granger enters the game for N. Cole,,49,42
206,2,0:07.0,M. Chalmers enters the game for H. Whiteside,,49,42
207,2,0:00.0,C. Bosh makes 2-pt layup from 4 ft (assist by D. Wade),,51,42
208,3,11:45.0,D. Wade makes 2-pt jump shot from 20 ft (assist by L. Deng),,53,42
209,3,11:20.0,,R. Hibbert makes 2-pt jump shot from 10 ft,53,44
210,3,11:03.0,Personal foul by S. Hill (drawn by L. Deng),,53,44
211,3,10:55.0,L. Deng makes 2-pt jump shot from 21 ft (assist by D. Wade),,55,44
212,3,10:39.0,,R. Stuckey makes 2-pt jump shot from 16 ft (assist by D. West),55,46
213,3,10:21.0,Shooting foul by R. Stuckey (drawn by C. Andersen),,55,46
214,3,10:21.0,C. Andersen misses free throw 1 of 2,,55,46
215,3,10:21.0,Offensive rebound by Team,,55,46
216,3,10:21.0,C. Andersen makes free throw 2 of 2,,56,46
217,3,10:08.0,,D. West makes 2-pt jump shot from 3 ft (assist by R. Hibbert),56,48
218,3,10:08.0,,Shooting foul by C. Bosh (drawn by D. West),56,48
219,3,10:08.0,,D. West makes free throw 1 of 1,56,49
220,3,9:51.0,C. Bosh misses 2-pt jump shot from 18 ft,,56,49
221,3,9:51.0,,Defensive rebound by R. Hibbert,56,49
222,3,9:40.0,,G. Hill makes 2-pt layup from 3 ft (assist by R. Hibbert),56,51
223,3,9:27.0,Turnover by M. Chalmers (lost ball),,56,51
224,3,9:10.0,,R. Hibbert makes 2-pt hook shot from 9 ft (assist by R. Stuckey),56,53
225,3,9:07.0,Miami full timeout,,56,53
226,3,8:54.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by D. Wade),,58,53
227,3,8:31.0,,G. Hill misses 2-pt jump shot from 11 ft,58,53
228,3,8:29.0,Defensive rebound by C. Bosh,,58,53
229,3,8:20.0,D. Wade misses 2-pt jump shot from 6 ft,,58,53
230,3,8:20.0,,Defensive rebound by R. Hibbert,58,53
231,3,8:15.0,,Offensive foul by D. West (drawn by M. Chalmers),58,53
232,3,8:15.0,,Turnover by D. West (offensive foul),58,53
233,3,7:56.0,C. Andersen misses 2-pt jump shot from 18 ft,,58,53
234,3,7:54.0,,Defensive rebound by S. Hill,58,53
235,3,7:41.0,,R. Stuckey makes 2-pt jump shot from 17 ft (assist by G. Hill),58,55
236,3,7:21.0,Shooting foul by G. Hill (drawn by C. Andersen),,58,55
237,3,7:21.0,C. Andersen makes free throw 1 of 2,,59,55
238,3,7:21.0,C. Andersen makes free throw 2 of 2,,60,55
239,3,7:00.0,,G. Hill misses 2-pt jump shot from 19 ft,60,55
240,3,6:59.0,Defensive rebound by L. Deng,,60,55
241,3,6:41.0,M. Chalmers makes 3-pt jump shot from 23 ft (assist by D. Wade),,63,55
242,3,6:24.0,,R. Stuckey makes 2-pt jump shot from 14 ft,63,57
243,3,5:58.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by L. Deng),,65,57
244,3,5:41.0,,Personal foul by M. Chalmers (drawn by G. Hill),65,57
245,3,5:31.0,,S. Hill makes 2-pt layup from 2 ft (assist by R. Hibbert),65,59
246,3,5:12.0,L. Deng makes 2-pt jump shot from 11 ft,,67,59
247,3,4:53.0,,S. Hill misses 2-pt jump shot from 3 ft (block by D. Wade),67,59
248,3,4:52.0,,Offensive rebound by G. Hill,67,59
249,3,4:49.0,,G. Hill makes 2-pt layup at rim,67,61
250,3,4:30.0,Personal foul by G. Hill (drawn by M. Chalmers),,67,61
251,3,4:30.0,,C. Miles enters the game for R. Stuckey,67,61
252,3,4:30.0,N. Cole enters the game for D. Wade,,67,61
253,3,4:21.0,C. Bosh misses 2-pt jump shot from 15 ft,,67,61
254,3,4:20.0,Offensive rebound by C. Andersen,,67,61
255,3,4:10.0,Shooting foul by C. Miles (drawn by L. Deng),,67,61
256,3,4:10.0,L. Deng makes free throw 1 of 2,,68,61
257,3,4:10.0,L. Deng misses free throw 2 of 2,,68,61
258,3,4:10.0,,Defensive rebound by R. Hibbert,68,61
259,3,3:49.0,,C. Miles makes 3-pt jump shot from 27 ft (assist by S. Hill),68,64
260,3,3:24.0,C. Bosh misses 3-pt jump shot from 27 ft,,68,64
261,3,3:23.0,,Defensive rebound by C. Miles,68,64
262,3,3:14.0,,Shooting foul by M. Chalmers (drawn by S. Hill),68,64
263,3,3:14.0,,S. Hill makes free throw 1 of 2,68,65
264,3,3:14.0,D. Granger enters the game for M. Chalmers,,68,65
265,3,3:14.0,,S. Hill makes free throw 2 of 2,68,66
266,3,2:51.0,L. Deng misses 3-pt jump shot from 26 ft,,68,66
267,3,2:50.0,,Defensive rebound by D. West,68,66
268,3,2:31.0,,S. Hill misses 2-pt layup at rim (block by C. Andersen),68,66
269,3,2:29.0,,Offensive rebound by R. Hibbert,68,66
270,3,2:28.0,,R. Hibbert misses 2-pt layup from 1 ft (block by C. Andersen),68,66
271,3,2:26.0,Defensive rebound by N. Cole,,68,66
272,3,2:09.0,D. Granger makes 2-pt jump shot from 16 ft,,70,66
273,3,2:09.0,,Indiana full timeout,70,66
274,3,2:09.0,,C. Copeland enters the game for S. Hill,70,66
275,3,2:09.0,,C. Watson enters the game for R. Hibbert,70,66
276,3,2:09.0,,L. Allen enters the game for G. Hill,70,66
277,3,2:09.0,H. Whiteside enters the game for C. Andersen,,70,66
278,3,1:54.0,,C. Miles makes 3-pt jump shot from 27 ft (assist by C. Watson),70,69
279,3,1:33.0,N. Cole misses 2-pt jump shot from 21 ft,,70,69
280,3,1:32.0,,Defensive rebound by D. West,70,69
281,3,1:29.0,,Shooting foul by N. Cole (drawn by C. Watson),70,69
282,3,1:29.0,,C. Watson makes free throw 1 of 2,70,70
283,3,1:29.0,,C. Watson makes free throw 2 of 2,70,71
284,3,1:11.0,L. Deng misses 2-pt layup from 2 ft (block by C. Miles),,70,71
285,3,1:09.0,,Defensive rebound by C. Watson,70,71
286,3,1:09.0,,Personal take foul by D. Granger (drawn by C. Watson),70,71
287,3,1:09.0,,C. Watson makes free throw 1 of 2,70,72
288,3,1:09.0,D. Wade enters the game for L. Deng,,70,72
289,3,1:09.0,,C. Watson makes free throw 2 of 2,70,73
290,3,0:59.0,H. Whiteside misses 2-pt jump shot from 10 ft,,70,73
291,3,0:58.0,,Defensive rebound by D. West,70,73
292,3,0:52.0,,C. Miles misses 2-pt dunk at rim,70,73
293,3,0:51.0,Defensive rebound by H. Whiteside,,70,73
294,3,0:45.0,D. Wade misses 2-pt jump shot from 16 ft,,70,73
295,3,0:44.0,,Defensive rebound by D. West,70,73
296,3,0:33.0,,D. West makes 2-pt jump shot from 17 ft (assist by C. Watson),70,75
297,3,0:09.0,D. Wade misses 3-pt jump shot from 25 ft,,70,75
298,3,0:08.0,,Defensive rebound by C. Miles,70,75
299,3,0:00.0,,D. West makes 3-pt jump shot from 25 ft (assist by C. Miles),70,78
300,4,11:44.0,,C. Miles misses 2-pt jump shot from 7 ft (block by D. Wade),70,78
301,4,11:43.0,Defensive rebound by N. Cole,,70,78
302,4,11:39.0,D. Wade misses 2-pt layup from 1 ft,,70,78
303,4,11:38.0,,Defensive rebound by C. Miles,70,78
