,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,11:47.0,M. Morris misses 2-pt jump shot from 13 ft,,0,0
1,1,11:45.0,Offensive rebound by M. Morris,,0,0
2,1,11:35.0,G. Dragić makes 2-pt jump shot from 14 ft,,2,0
3,1,11:11.0,,T. Young misses 3-pt jump shot from 23 ft,2,0
4,1,11:10.0,,Offensive rebound by G. Dieng,2,0
5,1,11:05.0,,M. Williams misses 3-pt jump shot from 25 ft,2,0
6,1,11:04.0,Defensive rebound by A. Len,,2,0
7,1,10:55.0,M. Morris makes 2-pt jump shot from 20 ft (assist by G. Dragić),,4,0
8,1,10:36.0,,G. Dieng makes 2-pt jump shot from 14 ft (assist by S. Muhammad),4,2
9,1,10:17.0,E. Bledsoe misses 3-pt jump shot from 22 ft,,4,2
10,1,10:16.0,,Defensive rebound by M. Williams,4,2
11,1,10:11.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by M. Williams),4,5
12,1,9:59.0,A. Len makes 2-pt jump shot from 20 ft (assist by G. Dragić),,6,5
13,1,9:45.0,,G. Dieng misses 2-pt jump shot from 17 ft,6,5
14,1,9:44.0,Defensive rebound by E. Bledsoe,,6,5
15,1,9:36.0,M. Morris misses 3-pt jump shot from 24 ft,,6,5
16,1,9:35.0,,Defensive rebound by S. Muhammad,6,5
17,1,9:19.0,,Turnover by M. Williams (bad pass; steal by E. Bledsoe),6,5
18,1,9:16.0,Turnover by E. Bledsoe (bad pass),,6,5
19,1,9:06.0,,T. Young misses 2-pt jump shot from 17 ft,6,5
20,1,9:05.0,Defensive rebound by E. Bledsoe,,6,5
21,1,8:56.0,E. Bledsoe misses 2-pt jump shot from 20 ft,,6,5
22,1,8:55.0,,Defensive rebound by G. Dieng,6,5
23,1,8:46.0,,M. Williams makes 2-pt layup from 2 ft,6,7
24,1,8:29.0,Turnover by A. Len (lost ball; steal by G. Dieng),,6,7
25,1,8:20.0,,A. Wiggins misses 2-pt jump shot from 3 ft,6,7
26,1,8:20.0,,Offensive rebound by Team,6,7
27,1,8:20.0,,Personal foul by M. Morris (drawn by A. Wiggins),6,7
28,1,8:15.0,,M. Williams misses 2-pt jump shot from 9 ft,6,7
29,1,8:14.0,Defensive rebound by A. Len,,6,7
