,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),,2,0
1,1,11:26.0,,H. Sims misses 2-pt jump shot from 21 ft,2,0
2,1,11:25.0,Defensive rebound by G. Antetokounmpo,,2,0
3,1,11:16.0,B. Knight makes 2-pt layup at rim,,4,0
4,1,11:00.0,,Turnover by H. Sims (lost ball),4,0
5,1,10:49.0,J. O'Bryant misses 2-pt jump shot from 19 ft,,4,0
6,1,10:48.0,Offensive rebound by Z. Pachulia,,4,0
7,1,10:27.0,Turnover by J. O'Bryant (lost ball),,4,0
8,1,10:01.0,,H. Sims misses 2-pt jump shot from 7 ft,4,0
9,1,9:59.0,,Offensive rebound by N. Noel,4,0
10,1,9:59.0,,N. Noel makes 2-pt tip-in at rim,4,2
11,1,9:40.0,Turnover by J. O'Bryant (bad pass; steal by K. McDaniels),,4,2
12,1,9:29.0,,Turnover by K. McDaniels (lost ball; steal by K. Middleton),4,2
13,1,9:25.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),,6,2
14,1,9:03.0,,M. Carter-Williams misses 3-pt jump shot from 23 ft,6,2
15,1,9:01.0,,Offensive rebound by K. McDaniels,6,2
16,1,8:58.0,,K. McDaniels makes 2-pt hook shot from 3 ft,6,4
17,1,8:43.0,K. Middleton makes 2-pt jump shot from 9 ft,,8,4
18,1,8:23.0,,R. Covington misses 3-pt jump shot from 26 ft,8,4
19,1,8:22.0,Defensive rebound by J. O'Bryant,,8,4
20,1,8:10.0,B. Knight misses 3-pt jump shot from 25 ft,,8,4
21,1,8:07.0,,Defensive rebound by H. Sims,8,4
22,1,7:55.0,Offensive charge foul by N. Noel (drawn by J. O'Bryant),,8,4
23,1,7:55.0,,Turnover by N. Noel (offensive foul),8,4
24,1,7:44.0,B. Knight misses 2-pt jump shot from 14 ft,,8,4
25,1,7:43.0,,Defensive rebound by R. Covington,8,4
26,1,7:24.0,,Shooting foul by K. Middleton (drawn by M. Carter-Williams),8,4
27,1,7:24.0,,M. Carter-Williams makes free throw 1 of 2,8,5
28,1,7:24.0,,M. Carter-Williams misses free throw 2 of 2,8,5
29,1,7:23.0,,Offensive rebound by M. Carter-Williams,8,5
30,1,7:21.0,,M. Carter-Williams misses 2-pt jump shot from 3 ft,8,5
31,1,7:20.0,Defensive rebound by B. Knight,,8,5
32,1,7:05.0,J. O'Bryant misses 2-pt jump shot from 4 ft (block by N. Noel),,8,5
33,1,7:03.0,,Defensive rebound by K. McDaniels,8,5
34,1,6:51.0,,H. Sims misses 2-pt jump shot from 7 ft,8,5
35,1,6:51.0,,Offensive rebound by N. Noel,8,5
36,1,6:51.0,,N. Noel makes 2-pt dunk at rim,8,7
37,1,6:51.0,,Shooting foul by J. O'Bryant (drawn by N. Noel),8,7
38,1,6:51.0,J. Dudley enters the game for J. O'Bryant,,8,7
39,1,6:51.0,,N. Noel misses free throw 1 of 1,8,7
40,1,6:50.0,Defensive rebound by G. Antetokounmpo,,8,7
