,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:40.0,T. Duncan makes 2-pt layup from 1 ft (assist by D. Green),,2,0
1,1,11:26.0,Offensive charge foul by A. Wiggins (drawn by A. Daye),,2,0
2,1,11:26.0,,Turnover by A. Wiggins (offensive foul),2,0
3,1,11:13.0,Turnover by T. Duncan (lost ball; steal by G. Dieng),,2,0
4,1,11:03.0,,A. Wiggins makes 2-pt layup at rim (assist by G. Dieng),2,2
5,1,10:48.0,B. Diaw misses 2-pt layup from 1 ft,,2,2
6,1,10:47.0,,Defensive rebound by C. Budinger,2,2
7,1,10:37.0,,T. Young misses 3-pt jump shot from 24 ft,2,2
8,1,10:36.0,Defensive rebound by T. Parker,,2,2
9,1,10:31.0,T. Parker makes 2-pt jump shot from 7 ft,,4,2
10,1,10:06.0,,C. Budinger misses 3-pt jump shot from 25 ft,4,2
11,1,10:05.0,Defensive rebound by T. Parker,,4,2
12,1,9:55.0,T. Parker misses 2-pt jump shot from 19 ft,,4,2
13,1,9:54.0,,Defensive rebound by G. Dieng,4,2
14,1,9:40.0,,G. Dieng makes 2-pt hook shot from 5 ft (assist by T. Young),4,4
15,1,9:20.0,D. Green misses 3-pt jump shot from 26 ft,,4,4
16,1,9:19.0,Offensive rebound by B. Diaw,,4,4
17,1,9:16.0,B. Diaw misses 2-pt layup from 1 ft,,4,4
18,1,9:15.0,,Defensive rebound by A. Wiggins,4,4
19,1,9:10.0,,C. Budinger misses 2-pt layup at rim,4,4
20,1,9:09.0,,Offensive rebound by C. Budinger,4,4
21,1,9:09.0,,C. Budinger makes 2-pt tip-in at rim,4,6
22,1,8:49.0,D. Green makes 2-pt layup from 1 ft (assist by T. Duncan),,6,6
23,1,8:27.0,,C. Budinger misses 2-pt jump shot from 17 ft,6,6
24,1,8:26.0,Defensive rebound by B. Diaw,,6,6
25,1,8:11.0,Shooting foul by C. Budinger (drawn by T. Duncan),,6,6
26,1,8:11.0,T. Duncan makes free throw 1 of 2,,7,6
27,1,8:11.0,T. Duncan makes free throw 2 of 2,,8,6
28,1,8:03.0,,A. Wiggins misses 2-pt layup from 1 ft (block by T. Duncan),8,6
29,1,8:01.0,Defensive rebound by T. Parker,,8,6
30,1,7:57.0,Turnover by T. Parker (lost ball; steal by C. Budinger),,8,6
31,1,7:54.0,,Personal foul by D. Green (drawn by M. Williams),8,6
32,1,7:34.0,,G. Dieng misses 2-pt layup from 1 ft,8,6
33,1,7:33.0,Defensive rebound by T. Duncan,,8,6
34,1,7:29.0,Turnover by T. Duncan (bad pass; steal by T. Young),,8,6
35,1,7:25.0,,G. Dieng makes 2-pt dunk at rim (assist by T. Young),8,8
36,1,7:24.0,San Antonio full timeout,,8,8
37,1,7:11.0,B. Diaw makes 2-pt layup from 1 ft,,10,8
38,1,6:46.0,,G. Dieng makes 2-pt layup at rim (assist by M. Williams),10,10
39,1,6:29.0,T. Parker makes 2-pt layup from 1 ft,,12,10
40,1,6:18.0,,A. Wiggins makes 2-pt dunk at rim (assist by M. Williams),12,12
41,1,6:01.0,T. Parker misses 2-pt jump shot from 19 ft,,12,12
42,1,6:00.0,,Defensive rebound by T. Young,12,12
43,1,5:52.0,,M. Williams makes 2-pt jump shot from 17 ft,12,14
44,1,5:37.0,B. Diaw misses 2-pt jump shot from 9 ft,,12,14
45,1,5:36.0,,Defensive rebound by C. Budinger,12,14
46,1,5:27.0,,T. Young misses 2-pt jump shot from 16 ft,12,14
47,1,5:26.0,Defensive rebound by T. Duncan,,12,14
48,1,5:20.0,T. Parker makes 2-pt layup from 1 ft,,14,14
49,1,5:11.0,,M. Williams misses 3-pt jump shot from 24 ft,14,14
50,1,5:10.0,Defensive rebound by T. Parker,,14,14
51,1,5:00.0,A. Daye misses 2-pt jump shot from 13 ft,,14,14
52,1,4:58.0,,Defensive rebound by C. Budinger,14,14
53,1,4:51.0,,Personal foul by A. Daye (drawn by C. Budinger),14,14
54,1,4:51.0,M. Bonner enters the game for B. Diaw,,14,14
55,1,4:51.0,P. Mills enters the game for T. Parker,,14,14
56,1,4:51.0,C. Joseph enters the game for D. Green,,14,14
57,1,4:51.0,,A. Bennett enters the game for T. Young,14,14
58,1,4:36.0,,M. Williams misses 3-pt jump shot from 24 ft,14,14
59,1,4:35.0,Defensive rebound by T. Duncan,,14,14
60,1,4:22.0,C. Joseph makes 2-pt jump shot from 17 ft,,16,14
61,1,4:11.0,,Turnover by M. Williams (bad pass; steal by A. Daye),16,14
62,1,4:01.0,T. Duncan makes 2-pt jump shot from 19 ft (assist by P. Mills),,18,14
63,1,3:43.0,,A. Wiggins misses 2-pt jump shot from 13 ft,18,14
64,1,3:42.0,Defensive rebound by T. Duncan,,18,14
65,1,3:34.0,M. Bonner misses 3-pt jump shot from 24 ft,,18,14
66,1,3:32.0,,Defensive rebound by C. Budinger,18,14
67,1,3:21.0,,C. Budinger misses 2-pt jump shot from 11 ft,18,14
68,1,3:19.0,Defensive rebound by M. Bonner,,18,14
69,1,3:05.0,T. Duncan misses 2-pt jump shot from 14 ft,,18,14
70,1,3:04.0,,Defensive rebound by M. Williams,18,14
71,1,2:54.0,,G. Dieng misses 2-pt jump shot from 17 ft,18,14
72,1,2:52.0,Defensive rebound by A. Daye,,18,14
73,1,2:42.0,A. Daye makes 2-pt jump shot from 14 ft (assist by T. Duncan),,20,14
74,1,2:42.0,,Minnesota full timeout,20,14
75,1,2:42.0,T. Splitter enters the game for T. Duncan,,20,14
76,1,2:42.0,,Z. LaVine enters the game for M. Williams,20,14
77,1,2:24.0,,A. Bennett misses 2-pt jump shot from 20 ft,20,14
78,1,2:23.0,Defensive rebound by C. Joseph,,20,14
79,1,2:07.0,A. Daye makes 3-pt jump shot from 24 ft (assist by C. Joseph),,23,14
80,1,1:43.0,,A. Bennett makes 2-pt layup at rim (assist by A. Wiggins),23,16
81,1,1:23.0,M. Bonner misses 3-pt jump shot from 25 ft,,23,16
82,1,1:21.0,Offensive rebound by A. Daye,,23,16
83,1,1:06.0,P. Mills makes 2-pt jump shot from 19 ft,,25,16
84,1,0:53.0,,Personal foul by A. Daye (drawn by C. Budinger),25,16
85,1,0:53.0,,R. Hummel enters the game for C. Budinger,25,16
86,1,0:42.0,,A. Bennett misses 2-pt jump shot from 18 ft,25,16
87,1,0:39.0,,Offensive rebound by G. Dieng,25,16
88,1,0:38.0,,Personal foul by P. Mills (drawn by G. Dieng),25,16
89,1,0:38.0,,G. Dieng makes free throw 1 of 2,25,17
90,1,0:38.0,,G. Dieng makes free throw 2 of 2,25,18
91,1,0:31.0,P. Mills misses 3-pt jump shot from 24 ft,,25,18
92,1,0:29.0,,Defensive rebound by G. Dieng,25,18
93,1,0:06.0,,R. Hummel misses 2-pt jump shot from 19 ft,25,18
94,1,0:05.0,Defensive rebound by T. Splitter,,25,18
95,1,0:01.0,Shooting foul by A. Bennett (drawn by C. Joseph),,25,18
96,1,0:01.0,C. Joseph makes free throw 1 of 2,,26,18
97,1,0:01.0,C. Joseph makes free throw 2 of 2,,27,18
98,2,11:47.0,,M. Raduljica makes 2-pt jump shot from 5 ft (assist by Z. LaVine),27,20
99,2,11:34.0,T. Splitter makes 2-pt layup at rim (assist by C. Joseph),,29,20
100,2,11:19.0,,M. Raduljica misses 2-pt jump shot from 6 ft,29,20
101,2,11:18.0,Defensive rebound by D. Green,,29,20
102,2,11:13.0,D. Green misses 3-pt jump shot from 23 ft,,29,20
103,2,11:12.0,,Defensive rebound by A. Bennett,29,20
104,2,11:04.0,,M. Williams misses 2-pt jump shot from 19 ft,29,20
105,2,11:03.0,Defensive rebound by C. Joseph,,29,20
106,2,10:41.0,Shooting foul by M. Raduljica (drawn by T. Splitter),,29,20
107,2,10:41.0,T. Splitter makes free throw 1 of 2,,30,20
108,2,10:41.0,T. Parker enters the game for P. Mills,,30,20
109,2,10:41.0,T. Splitter misses free throw 2 of 2,,30,20
110,2,10:41.0,,Defensive rebound by A. Bennett,30,20
111,2,10:29.0,,Z. LaVine misses 2-pt layup from 2 ft (block by T. Splitter),30,20
112,2,10:28.0,Defensive rebound by D. Green,,30,20
113,2,10:19.0,T. Parker misses 3-pt jump shot from 22 ft,,30,20
114,2,10:18.0,Offensive rebound by M. Bonner,,30,20
115,2,10:18.0,M. Bonner makes 2-pt tip-in at rim,,32,20
116,2,9:55.0,,Offensive foul by M. Raduljica (drawn by T. Parker),32,20
117,2,9:55.0,,Turnover by M. Raduljica (offensive foul),32,20
118,2,9:55.0,,T. Young enters the game for A. Bennett,32,20
119,2,9:45.0,Personal foul by Z. LaVine (drawn by T. Parker),,32,20
120,2,9:32.0,T. Splitter misses 2-pt hook shot from 6 ft,,32,20
121,2,9:31.0,,Defensive rebound by M. Williams,32,20
122,2,9:20.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by M. Williams),32,23
123,2,9:04.0,T. Parker makes 2-pt layup from 2 ft (assist by D. Green),,34,23
124,2,8:47.0,,Z. LaVine makes 2-pt jump shot from 21 ft,34,25
125,2,8:47.0,,Shooting foul by T. Parker (drawn by Z. LaVine),34,25
126,2,8:47.0,,Minnesota full timeout,34,25
127,2,8:47.0,B. Diaw enters the game for M. Bonner,,34,25
128,2,8:47.0,,Z. LaVine makes free throw 1 of 1,34,26
129,2,8:32.0,T. Splitter misses 2-pt jump shot from 6 ft,,34,26
130,2,8:31.0,,Defensive rebound by M. Raduljica,34,26
131,2,8:24.0,,Shooting foul by T. Splitter (drawn by M. Raduljica),34,26
132,2,8:24.0,,M. Raduljica makes free throw 1 of 2,34,27
133,2,8:24.0,T. Duncan enters the game for T. Splitter,,34,27
134,2,8:24.0,,M. Raduljica makes free throw 2 of 2,34,28
135,2,8:10.0,Turnover by T. Parker (bad pass; steal by M. Williams),,34,28
136,2,8:06.0,,Z. LaVine makes 2-pt dunk at rim (assist by M. Williams),34,30
137,2,8:05.0,San Antonio full timeout,,34,30
138,2,8:05.0,A. Daye enters the game for C. Joseph,,34,30
139,2,7:45.0,A. Daye makes 2-pt jump shot from 19 ft,,36,30
140,2,7:33.0,,Z. LaVine misses 2-pt jump shot from 18 ft,36,30
141,2,7:32.0,Defensive rebound by D. Green,,36,30
142,2,7:23.0,T. Duncan makes 2-pt jump shot from 4 ft (assist by A. Daye),,38,30
143,2,7:06.0,,M. Williams misses 2-pt jump shot from 6 ft,38,30
144,2,7:05.0,Defensive rebound by A. Daye,,38,30
145,2,6:52.0,A. Daye makes 2-pt dunk at rim,,40,30
146,2,6:50.0,Violation by Team (delay of game),,40,30
147,2,6:37.0,,T. Young misses 2-pt jump shot from 19 ft,40,30
148,2,6:35.0,Defensive rebound by A. Daye,,40,30
149,2,6:14.0,A. Daye makes 3-pt jump shot from 24 ft (assist by B. Diaw),,43,30
150,2,6:14.0,,Minnesota full timeout,43,30
151,2,6:14.0,,G. Dieng enters the game for M. Raduljica,43,30
152,2,6:14.0,,A. Wiggins enters the game for R. Hummel,43,30
153,2,6:00.0,,Turnover by Z. LaVine (step out of bounds),43,30
154,2,5:40.0,T. Parker makes 2-pt jump shot from 11 ft,,45,30
155,2,5:15.0,,Z. LaVine misses 3-pt jump shot from 25 ft,45,30
156,2,5:14.0,Defensive rebound by A. Daye,,45,30
157,2,5:05.0,B. Diaw makes 2-pt jump shot from 20 ft (assist by D. Green),,47,30
158,2,5:04.0,,Minnesota full timeout,47,30
159,2,5:04.0,,C. Budinger enters the game for Z. LaVine,47,30
160,2,5:04.0,P. Mills enters the game for T. Parker,,47,30
161,2,5:04.0,C. Joseph enters the game for D. Green,,47,30
162,2,4:54.0,,T. Young misses 2-pt layup from 2 ft,47,30
163,2,4:53.0,,Offensive rebound by G. Dieng,47,30
164,2,4:51.0,,G. Dieng makes 2-pt layup from 2 ft,47,32
165,2,4:35.0,A. Daye misses 3-pt jump shot from 24 ft,,47,32
166,2,4:34.0,,Defensive rebound by G. Dieng,47,32
167,2,4:19.0,,A. Wiggins misses 2-pt jump shot from 14 ft,47,32
168,2,4:18.0,Defensive rebound by T. Duncan,,47,32
169,2,4:02.0,Shooting foul by G. Dieng (drawn by T. Duncan),,47,32
170,2,4:02.0,T. Duncan makes free throw 1 of 2,,48,32
171,2,4:02.0,T. Duncan misses free throw 2 of 2,,48,32
172,2,4:02.0,,Defensive rebound by T. Young,48,32
173,2,3:47.0,,Turnover by A. Wiggins (lost ball; steal by C. Joseph),48,32
174,2,3:41.0,P. Mills makes 2-pt layup at rim (assist by C. Joseph),,50,32
175,2,3:25.0,,C. Budinger misses 2-pt jump shot from 13 ft,50,32
176,2,3:24.0,Defensive rebound by B. Diaw,,50,32
177,2,3:15.0,C. Joseph misses 2-pt layup at rim (block by G. Dieng),,50,32
178,2,3:14.0,,Defensive rebound by G. Dieng,50,32
179,2,3:09.0,,Shooting foul by B. Diaw (drawn by A. Wiggins),50,32
180,2,3:09.0,,A. Wiggins makes free throw 1 of 2,50,33
181,2,3:09.0,T. Splitter enters the game for T. Duncan,,50,33
182,2,3:09.0,,T. Daniels enters the game for C. Budinger,50,33
183,2,3:09.0,,A. Wiggins makes free throw 2 of 2,50,34
184,2,3:00.0,P. Mills makes 2-pt jump shot from 19 ft (assist by C. Joseph),,52,34
185,2,2:44.0,,Turnover by M. Williams (bad pass; steal by C. Joseph),52,34
186,2,2:40.0,,Violation by T. Young (def goaltending),52,34
187,2,2:40.0,P. Mills makes 2-pt layup from 1 ft,,54,34
188,2,2:22.0,,T. Young makes 2-pt hook shot from 3 ft (assist by T. Daniels),54,36
189,2,2:10.0,B. Diaw misses 3-pt jump shot from 24 ft,,54,36
190,2,2:09.0,,Defensive rebound by M. Williams,54,36
191,2,1:56.0,,G. Dieng makes 2-pt dunk at rim (assist by M. Williams),54,38
192,2,1:42.0,C. Joseph makes 2-pt layup from 1 ft,,56,38
193,2,1:19.0,,Shooting foul by P. Mills (drawn by M. Williams),56,38
194,2,1:19.0,,M. Williams makes free throw 1 of 3,56,39
195,2,1:19.0,,M. Williams makes free throw 2 of 3,56,40
196,2,1:19.0,D. Green enters the game for A. Daye,,56,40
197,2,1:19.0,,M. Williams makes free throw 3 of 3,56,41
198,2,1:10.0,B. Diaw misses 2-pt jump shot from 7 ft,,56,41
199,2,1:09.0,,Defensive rebound by T. Young,56,41
200,2,1:06.0,,Personal block foul by P. Mills (drawn by M. Williams),56,41
201,2,1:06.0,,M. Williams makes free throw 1 of 2,56,42
202,2,1:06.0,A. Daye enters the game for P. Mills,,56,42
203,2,1:06.0,,M. Williams makes free throw 2 of 2,56,43
204,2,0:49.0,T. Splitter misses 2-pt layup from 1 ft (block by G. Dieng),,56,43
205,2,0:47.0,Offensive rebound by T. Splitter,,56,43
206,2,0:45.0,T. Splitter misses 2-pt layup from 1 ft (block by G. Dieng),,56,43
207,2,0:43.0,,Defensive rebound by T. Young,56,43
208,2,0:40.0,,M. Williams misses 3-pt jump shot from 24 ft,56,43
209,2,0:39.0,Defensive rebound by D. Green,,56,43
210,2,0:28.0,C. Joseph makes 2-pt jump shot from 13 ft,,58,43
211,2,0:11.0,,Minnesota full timeout,58,43
212,2,0:06.0,,M. Williams misses 2-pt jump shot from 20 ft,58,43
213,2,0:05.0,,Offensive rebound by Team,58,43
214,2,0:02.0,,T. Daniels misses 3-pt jump shot from 28 ft,58,43
215,2,0:00.0,Defensive rebound by A. Daye,,58,43
216,3,11:43.0,,A. Wiggins makes 2-pt dunk at rim,58,45
217,3,11:21.0,Personal foul by T. Young (drawn by T. Parker),,58,45
218,3,11:11.0,D. Green misses 2-pt jump shot from 17 ft,,58,45
219,3,11:09.0,,Defensive rebound by A. Wiggins,58,45
220,3,10:47.0,,T. Young misses 2-pt layup from 2 ft,58,45
221,3,10:46.0,Defensive rebound by T. Duncan,,58,45
222,3,10:33.0,Personal foul by T. Young (drawn by B. Diaw),,58,45
223,3,10:25.0,B. Diaw makes 3-pt jump shot from 24 ft (assist by T. Parker),,61,45
224,3,10:08.0,,T. Young makes 2-pt jump shot from 5 ft,61,47
225,3,9:53.0,A. Daye makes 3-pt jump shot from 23 ft (assist by B. Diaw),,64,47
226,3,9:40.0,,T. Young misses 2-pt dunk at rim,64,47
227,3,9:39.0,,Offensive rebound by G. Dieng,64,47
228,3,9:38.0,,G. Dieng makes 2-pt layup from 2 ft,64,49
229,3,9:23.0,A. Daye misses 3-pt jump shot from 24 ft,,64,49
230,3,9:22.0,,Defensive rebound by A. Wiggins,64,49
231,3,9:12.0,,M. Williams misses 2-pt jump shot from 16 ft,64,49
232,3,9:11.0,,Offensive rebound by G. Dieng,64,49
233,3,9:08.0,,G. Dieng misses 2-pt layup from 2 ft,64,49
234,3,9:06.0,Defensive rebound by A. Daye,,64,49
235,3,9:01.0,D. Green makes 3-pt jump shot from 25 ft,,67,49
236,3,8:38.0,,Shooting foul by T. Duncan (drawn by A. Wiggins),67,49
237,3,8:38.0,,A. Wiggins makes free throw 1 of 2,67,50
238,3,8:38.0,,A. Wiggins makes free throw 2 of 2,67,51
239,3,8:24.0,T. Duncan makes 2-pt layup from 1 ft (assist by D. Green),,69,51
240,3,8:20.0,,Minnesota full timeout,69,51
241,3,8:06.0,,G. Dieng makes 2-pt dunk at rim (assist by A. Wiggins),69,53
242,3,7:54.0,Personal foul by M. Williams (drawn by T. Parker),,69,53
243,3,7:44.0,T. Duncan makes 2-pt jump shot from 4 ft (assist by B. Diaw),,71,53
244,3,7:21.0,,A. Wiggins misses 2-pt jump shot from 18 ft,71,53
245,3,7:20.0,Defensive rebound by Team,,71,53
246,3,6:56.0,B. Diaw misses 2-pt jump shot from 18 ft,,71,53
247,3,6:55.0,,Defensive rebound by M. Williams,71,53
248,3,6:42.0,,Turnover by A. Wiggins (lost ball; steal by D. Green),71,53
249,3,6:37.0,,Violation by T. Young (kicked ball),71,53
250,3,6:37.0,,R. Hummel enters the game for C. Budinger,71,53
251,3,6:29.0,T. Parker misses 2-pt jump shot from 8 ft (block by G. Dieng),,71,53
252,3,6:27.0,Offensive rebound by A. Daye,,71,53
253,3,6:18.0,A. Daye misses 3-pt jump shot from 25 ft,,71,53
254,3,6:18.0,Offensive rebound by Team,,71,53
255,3,6:18.0,Turnover by Team (shot clock),,71,53
256,3,6:03.0,,R. Hummel makes 2-pt jump shot from 20 ft (assist by M. Williams),71,55
257,3,5:47.0,B. Diaw misses 2-pt layup from 1 ft,,71,55
258,3,5:46.0,Offensive rebound by B. Diaw,,71,55
259,3,5:44.0,B. Diaw misses 2-pt layup from 1 ft,,71,55
260,3,5:42.0,,Defensive rebound by T. Young,71,55
261,3,5:35.0,,R. Hummel misses 2-pt jump shot from 22 ft,71,55
262,3,5:34.0,Defensive rebound by Team,,71,55
263,3,5:34.0,,A. Bennett enters the game for T. Young,71,55
264,3,5:34.0,T. Splitter enters the game for A. Daye,,71,55
265,3,5:34.0,C. Joseph enters the game for T. Duncan,,71,55
266,3,5:15.0,B. Diaw makes 2-pt hook shot from 10 ft,,73,55
267,3,5:02.0,,M. Williams makes 3-pt jump shot from 25 ft,73,58
268,3,4:47.0,B. Diaw misses 3-pt jump shot from 23 ft,,73,58
269,3,4:46.0,,Defensive rebound by G. Dieng,73,58
270,3,4:38.0,,Turnover by M. Williams (lost ball; steal by C. Joseph),73,58
271,3,4:35.0,Personal foul by M. Williams (drawn by C. Joseph),,73,58
272,3,4:35.0,,Z. LaVine enters the game for A. Wiggins,73,58
273,3,4:25.0,T. Splitter makes 2-pt hook shot from 3 ft,,75,58
274,3,4:05.0,,M. Williams misses 2-pt jump shot from 17 ft,75,58
275,3,4:04.0,,Offensive rebound by R. Hummel,75,58
276,3,4:04.0,,R. Hummel makes 2-pt dunk at rim,75,60
277,3,4:02.0,San Antonio full timeout,,75,60
278,3,4:02.0,M. Bonner enters the game for B. Diaw,,75,60
279,3,4:02.0,P. Mills enters the game for T. Parker,,75,60
280,3,3:43.0,D. Green misses 3-pt jump shot from 25 ft,,75,60
281,3,3:42.0,,Defensive rebound by A. Bennett,75,60
282,3,3:22.0,,Shooting foul by D. Green (drawn by G. Dieng),75,60
283,3,3:22.0,,G. Dieng makes free throw 1 of 2,75,61
284,3,3:22.0,,G. Dieng makes free throw 2 of 2,75,62
285,3,3:01.0,M. Bonner misses 2-pt jump shot from 4 ft,,75,62
286,3,2:59.0,,Defensive rebound by G. Dieng,75,62
287,3,2:39.0,,A. Bennett misses 3-pt jump shot from 25 ft,75,62
288,3,2:38.0,Defensive rebound by T. Splitter,,75,62
289,3,2:21.0,C. Joseph makes 2-pt layup from 1 ft,,77,62
290,3,2:10.0,,Z. LaVine makes 2-pt jump shot from 5 ft,77,64
291,3,1:56.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Bonner),,80,64
292,3,1:33.0,,Z. LaVine misses 2-pt jump shot from 19 ft,80,64
293,3,1:32.0,Defensive rebound by D. Green,,80,64
294,3,1:26.0,Shooting foul by R. Hummel (drawn by T. Splitter),,80,64
295,3,1:26.0,T. Splitter makes free throw 1 of 2,,81,64
296,3,1:26.0,A. Daye enters the game for D. Green,,81,64
297,3,1:26.0,,T. Daniels enters the game for M. Williams,81,64
298,3,1:26.0,T. Splitter makes free throw 2 of 2,,82,64
299,3,1:10.0,,Turnover by R. Hummel (bad pass; steal by M. Bonner),82,64
300,3,1:00.0,M. Bonner misses 3-pt jump shot from 26 ft,,82,64
301,3,0:59.0,Offensive rebound by P. Mills,,82,64
302,3,0:52.0,,Offensive charge foul by T. Splitter (drawn by T. Daniels),82,64
303,3,0:52.0,Turnover by T. Splitter (offensive foul),,82,64
304,3,0:32.0,,G. Dieng misses 2-pt jump shot from 18 ft,82,64
305,3,0:30.0,Defensive rebound by A. Daye,,82,64
306,3,0:11.0,C. Joseph makes 2-pt layup at rim (assist by T. Splitter),,84,64
307,3,0:01.0,,Z. LaVine misses 2-pt jump shot from 14 ft,84,64
308,3,0:00.0,,Offensive rebound by G. Dieng,84,64
309,4,11:44.0,P. Mills misses 2-pt jump shot from 11 ft,,84,64
310,4,11:43.0,,Defensive rebound by G. Dieng,84,64
311,4,11:37.0,,Shooting foul by A. Daye (drawn by Z. LaVine),84,64
312,4,11:37.0,,Z. LaVine makes free throw 1 of 2,84,65
313,4,11:37.0,T. Parker enters the game for C. Joseph,,84,65
314,4,11:37.0,,Z. LaVine makes free throw 2 of 2,84,66
315,4,11:20.0,Shooting foul by T. Daniels (drawn by P. Mills),,84,66
316,4,11:20.0,P. Mills makes free throw 1 of 2,,85,66
317,4,11:20.0,,A. Wiggins enters the game for G. Dieng,85,66
318,4,11:20.0,P. Mills misses free throw 2 of 2,,85,66
319,4,11:20.0,,Defensive rebound by A. Bennett,85,66
320,4,11:09.0,,R. Hummel makes 2-pt jump shot from 19 ft (assist by Z. LaVine),85,68
321,4,10:48.0,T. Parker misses 2-pt layup at rim,,85,68
