,QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
0,1,11:35.0,T. Zeller makes 2-pt hook shot from 8 ft,,2,0
1,1,11:16.0,,J. Johnson makes 2-pt layup from 3 ft,2,2
2,1,11:01.0,E. Turner misses 2-pt jump shot from 5 ft,,2,2
3,1,11:00.0,Offensive rebound by E. Turner,,2,2
4,1,10:59.0,E. Turner misses 2-pt layup from 2 ft,,2,2
5,1,10:57.0,,Defensive rebound by J. Valančiūnas,2,2
6,1,10:52.0,,J. Johnson misses 2-pt layup from 1 ft,2,2
7,1,10:49.0,Defensive rebound by T. Zeller,,2,2
8,1,10:44.0,J. Crowder makes 2-pt jump shot from 15 ft,,4,2
9,1,10:20.0,,J. Valančiūnas misses 2-pt hook shot from 5 ft,4,2
10,1,10:19.0,Defensive rebound by J. Sullinger,,4,2
11,1,10:03.0,T. Zeller misses 2-pt jump shot from 7 ft,,4,2
12,1,10:02.0,,Defensive rebound by K. Lowry,4,2
13,1,9:53.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by K. Lowry),4,4
14,1,9:53.0,,Shooting foul by T. Zeller (drawn by J. Valančiūnas),4,4
15,1,9:53.0,,J. Valančiūnas makes free throw 1 of 1,4,5
16,1,9:39.0,J. Sullinger misses 2-pt jump shot from 16 ft,,4,5
17,1,9:38.0,Offensive rebound by Team,,4,5
18,1,9:31.0,E. Turner misses 2-pt jump shot from 19 ft,,4,5
19,1,9:30.0,,Defensive rebound by A. Johnson,4,5
20,1,9:13.0,,A. Johnson misses 2-pt jump shot from 6 ft,4,5
21,1,9:12.0,,Offensive rebound by J. Johnson,4,5
22,1,9:10.0,,J. Johnson misses 2-pt layup from 2 ft,4,5
23,1,9:09.0,,Offensive rebound by J. Johnson,4,5
24,1,9:07.0,,J. Johnson misses 2-pt tip-in from 2 ft,4,5
25,1,9:06.0,,Offensive rebound by J. Valančiūnas,4,5
26,1,9:04.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft,4,7
27,1,8:52.0,A. Bradley makes 3-pt jump shot from 25 ft,,7,7
28,1,8:33.0,,T. Ross misses 2-pt hook shot from 5 ft,7,7
29,1,8:32.0,Defensive rebound by E. Turner,,7,7
30,1,8:16.0,T. Zeller makes 2-pt hook shot from 7 ft (assist by A. Bradley),,9,7
31,1,7:46.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,9,7
32,1,7:45.0,Defensive rebound by J. Sullinger,,9,7
33,1,7:38.0,Shooting foul by J. Valančiūnas (drawn by J. Crowder),,9,7
34,1,7:38.0,J. Crowder misses free throw 1 of 2,,9,7
35,1,7:38.0,Offensive rebound by Team,,9,7
36,1,7:38.0,J. Crowder misses free throw 2 of 2,,9,7
37,1,7:36.0,,Defensive rebound by J. Johnson,9,7
38,1,7:29.0,,Personal foul by A. Bradley (drawn by J. Johnson),9,7
39,1,7:20.0,,Turnover by J. Johnson (lost ball; steal by J. Sullinger),9,7
