,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:42.0,B. Beal misses 2-pt jump shot from 21 ft,,0,0
1,1,11:41.0,Offensive rebound by M. Gortat,,0,0
2,1,11:31.0,B. Beal misses 3-pt jump shot from 24 ft,,0,0
3,1,11:30.0,Offensive rebound by Team,,0,0
4,1,11:30.0,,Loose ball foul by M. Plumlee (drawn by M. Gortat),0,0
5,1,11:17.0,N. Hilário misses 2-pt layup from 1 ft,,0,0
6,1,11:16.0,Offensive rebound by M. Gortat,,0,0
7,1,11:14.0,M. Gortat makes 2-pt tip-in from 2 ft,,2,0
8,1,10:48.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by J. Jack),2,2
9,1,10:36.0,Turnover by P. Pierce (bad pass),,2,2
10,1,10:19.0,,J. Johnson misses 2-pt jump shot from 13 ft,2,2
11,1,10:18.0,Defensive rebound by M. Gortat,,2,2
12,1,10:08.0,P. Pierce misses 3-pt jump shot from 23 ft,,2,2
13,1,10:07.0,Offensive rebound by N. Hilário,,2,2
14,1,10:05.0,B. Beal makes 3-pt jump shot from 23 ft (assist by N. Hilário),,5,2
15,1,9:50.0,,Turnover by M. Plumlee (traveling),5,2
16,1,9:32.0,M. Gortat misses 2-pt jump shot from 15 ft,,5,2
17,1,9:31.0,,Defensive rebound by K. Garnett,5,2
18,1,9:25.0,,M. Plumlee misses 2-pt dunk at rim,5,2
19,1,9:24.0,,Offensive rebound by B. Bogdanović,5,2
20,1,9:12.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,5,4
21,1,9:12.0,,Shooting foul by N. Hilário (drawn by B. Bogdanović),5,4
22,1,9:12.0,,B. Bogdanović makes free throw 1 of 1,5,5
23,1,8:58.0,J. Wall misses 2-pt jump shot from 17 ft,,5,5
24,1,8:57.0,,Defensive rebound by M. Plumlee,5,5
25,1,8:43.0,,K. Garnett misses 2-pt jump shot from 17 ft,5,5
26,1,8:42.0,Defensive rebound by B. Beal,,5,5
27,1,8:36.0,Turnover by P. Pierce (lost ball; steal by J. Johnson),,5,5
28,1,8:19.0,,M. Plumlee misses 2-pt hook shot from 7 ft,5,5
29,1,8:18.0,Defensive rebound by M. Gortat,,5,5
30,1,8:13.0,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),,7,5
31,1,8:11.0,,Brooklyn full timeout,7,5
32,1,7:48.0,,K. Garnett makes 2-pt jump shot from 16 ft (assist by J. Johnson),7,7
33,1,7:28.0,P. Pierce misses 2-pt jump shot from 14 ft,,7,7
34,1,7:26.0,,Defensive rebound by B. Bogdanović,7,7
35,1,7:18.0,,J. Jack makes 2-pt jump shot from 13 ft,7,9
36,1,6:58.0,P. Pierce misses 2-pt layup from 1 ft,,7,9
37,1,6:57.0,,Defensive rebound by Team,7,9
38,1,6:42.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by J. Jack),7,11
39,1,6:23.0,B. Beal makes 3-pt jump shot from 24 ft (assist by M. Gortat),,10,11
40,1,6:04.0,,Turnover by J. Jack (bad pass; steal by J. Wall),10,11
41,1,5:52.0,Turnover by N. Hilário (bad pass; steal by J. Johnson),,10,11
42,1,5:52.0,,Personal foul by P. Pierce (drawn by J. Johnson),10,11
43,1,5:52.0,,Brooklyn full timeout,10,11
44,1,5:40.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Jack),10,13
45,1,5:22.0,Shooting foul by K. Garnett (drawn by N. Hilário),,10,13
46,1,5:22.0,N. Hilário makes free throw 1 of 2,,11,13
47,1,5:22.0,,B. Lopez enters the game for M. Plumlee,11,13
48,1,5:22.0,N. Hilário misses free throw 2 of 2,,11,13
49,1,5:21.0,,Defensive rebound by K. Garnett,11,13
50,1,5:08.0,,J. Johnson misses 2-pt jump shot from 19 ft,11,13
51,1,5:07.0,,Offensive rebound by Team,11,13
52,1,5:04.0,,Turnover by K. Garnett (bad pass; steal by J. Wall),11,13
53,1,5:01.0,Turnover by J. Wall (lost ball),,11,13
54,1,4:47.0,,J. Johnson makes 2-pt jump shot from 19 ft (assist by B. Lopez),11,15
55,1,4:28.0,B. Beal misses 3-pt jump shot from 24 ft,,11,15
56,1,4:27.0,,Defensive rebound by K. Garnett,11,15
57,1,4:09.0,,B. Lopez misses 2-pt jump shot from 16 ft,11,15
58,1,4:08.0,Defensive rebound by P. Pierce,,11,15
59,1,4:05.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,13,15
60,1,3:45.0,,J. Jack misses 2-pt jump shot from 18 ft,13,15
61,1,3:43.0,Defensive rebound by M. Gortat,,13,15
62,1,3:31.0,J. Wall misses 2-pt jump shot from 8 ft,,13,15
63,1,3:29.0,,Defensive rebound by J. Jack,13,15
64,1,3:15.0,,B. Lopez misses 2-pt hook shot from 9 ft (block by M. Gortat),13,15
65,1,3:14.0,Defensive rebound by P. Pierce,,13,15
66,1,3:09.0,P. Pierce misses 3-pt jump shot from 25 ft,,13,15
67,1,3:08.0,,Defensive rebound by K. Garnett,13,15
68,1,3:01.0,,Turnover by J. Johnson (bad pass; steal by B. Beal),13,15
69,1,2:54.0,N. Hilário makes 2-pt layup from 2 ft (assist by B. Beal),,15,15
70,1,2:28.0,,J. Johnson makes 3-pt jump shot from 25 ft,15,18
71,1,2:23.0,Washington full timeout,,15,18
72,1,2:23.0,,M. Plumlee enters the game for K. Garnett,15,18
73,1,2:23.0,R. Butler enters the game for B. Beal,,15,18
74,1,2:23.0,K. Humphries enters the game for N. Hilário,,15,18
75,1,2:23.0,,A. Anderson enters the game for J. Johnson,15,18
76,1,2:16.0,Shooting foul by B. Lopez (drawn by M. Gortat),,15,18
77,1,2:16.0,M. Gortat misses free throw 1 of 2,,15,18
78,1,2:16.0,Offensive rebound by Team,,15,18
79,1,2:16.0,O. Porter enters the game for P. Pierce,,15,18
80,1,2:16.0,M. Gortat misses free throw 2 of 2,,15,18
81,1,2:15.0,Offensive rebound by K. Humphries,,15,18
82,1,2:14.0,K. Humphries makes 2-pt tip-in from 2 ft,,17,18
83,1,1:54.0,,B. Lopez makes 2-pt jump shot from 10 ft (assist by J. Jack),17,20
84,1,1:54.0,,Shooting foul by K. Humphries (drawn by B. Lopez),17,20
85,1,1:54.0,,B. Lopez makes free throw 1 of 1,17,21
86,1,1:34.0,R. Butler misses 2-pt jump shot from 15 ft,,17,21
87,1,1:33.0,Offensive rebound by O. Porter,,17,21
88,1,1:31.0,O. Porter misses 2-pt jump shot from 5 ft,,17,21
89,1,1:30.0,,Defensive rebound by M. Plumlee,17,21
90,1,1:19.0,,A. Anderson misses 3-pt jump shot from 22 ft,17,21
91,1,1:18.0,Defensive rebound by J. Wall,,17,21
92,1,1:15.0,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),,19,21
93,1,1:00.0,,J. Jack makes 2-pt jump shot from 20 ft,19,23
94,1,0:56.0,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),,21,23
95,1,0:39.0,,Shooting foul by K. Humphries (drawn by M. Plumlee),21,23
96,1,0:39.0,,M. Plumlee makes free throw 1 of 2,21,24
97,1,0:39.0,,M. Plumlee misses free throw 2 of 2,21,24
98,1,0:39.0,,Offensive rebound by B. Lopez,21,24
99,1,0:39.0,,B. Lopez makes 2-pt tip-in from 2 ft,21,26
100,1,0:33.0,J. Wall misses 2-pt jump shot from 18 ft,,21,26
101,1,0:32.0,,Defensive rebound by A. Anderson,21,26
102,1,0:14.0,,J. Jack misses 2-pt layup at rim,21,26
103,1,0:13.0,Defensive rebound by M. Gortat,,21,26
104,1,0:06.0,Personal foul by A. Anderson (drawn by J. Wall),,21,26
105,1,0:06.0,,D. Morris enters the game for J. Jack,21,26
106,1,0:02.0,J. Wall makes 2-pt jump shot from 17 ft,,23,26
107,2,11:39.0,,J. Johnson makes 2-pt jump shot from 20 ft,23,28
108,2,11:15.0,R. Butler makes 2-pt jump shot from 17 ft (assist by A. Miller),,25,28
109,2,11:01.0,,M. Teletović misses 3-pt jump shot from 23 ft,25,28
110,2,11:00.0,Defensive rebound by A. Miller,,25,28
111,2,10:48.0,K. Séraphin misses 2-pt hook shot from 7 ft,,25,28
112,2,10:46.0,,Defensive rebound by M. Teletović,25,28
113,2,10:41.0,,B. Lopez makes 2-pt jump shot from 5 ft (assist by J. Johnson),25,30
114,2,10:41.0,,Shooting foul by K. Séraphin (drawn by B. Lopez),25,30
115,2,10:41.0,B. Beal enters the game for O. Porter,,25,30
116,2,10:41.0,,B. Lopez misses free throw 1 of 1,25,30
117,2,10:40.0,Defensive rebound by R. Butler,,25,30
118,2,10:18.0,K. Humphries makes 2-pt jump shot from 18 ft (assist by A. Miller),,27,30
119,2,9:56.0,,Shooting foul by R. Butler (drawn by J. Johnson),27,30
120,2,9:56.0,,J. Johnson makes free throw 1 of 2,27,31
121,2,9:56.0,,J. Johnson makes free throw 2 of 2,27,32
122,2,9:38.0,B. Beal makes 2-pt jump shot from 17 ft,,29,32
