,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:42.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by B. Knight),,3,0
1,1,11:26.0,,Turnover by D. Wade (bad pass; steal by B. Knight),3,0
2,1,11:24.0,B. Knight misses 2-pt layup from 1 ft (block by M. Chalmers),,3,0
3,1,11:23.0,Offensive rebound by Team,,3,0
4,1,11:21.0,Turnover by Z. Pachulia (bad pass; steal by D. Wade),,3,0
5,1,11:10.0,,Def 3 sec tech foul by Z. Pachulia,3,0
6,1,11:10.0,,C. Bosh makes technical free throw,3,1
7,1,10:56.0,,D. Wade makes 2-pt layup from 4 ft (assist by M. Chalmers),3,3
8,1,10:33.0,Turnover by K. Middleton (bad pass; steal by D. Wade),,3,3
9,1,10:28.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),3,5
10,1,10:13.0,B. Knight misses 2-pt jump shot from 20 ft,,3,5
11,1,10:12.0,,Defensive rebound by H. Whiteside,3,5
12,1,9:56.0,,H. Whiteside misses 2-pt hook shot from 7 ft,3,5
13,1,9:55.0,Defensive rebound by G. Antetokounmpo,,3,5
14,1,9:36.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,6,5
15,1,9:15.0,,C. Bosh makes 2-pt jump shot from 20 ft (assist by D. Wade),6,7
16,1,8:55.0,B. Knight makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,9,7
17,1,8:28.0,,C. Bosh makes 2-pt jump shot from 9 ft,9,9
18,1,8:11.0,E. İlyasova misses 2-pt layup from 1 ft,,9,9
19,1,8:10.0,Offensive rebound by Z. Pachulia,,9,9
20,1,8:09.0,Z. Pachulia misses 2-pt tip-in at rim,,9,9
21,1,8:08.0,Offensive rebound by Z. Pachulia,,9,9
22,1,8:06.0,Z. Pachulia makes 2-pt layup from 1 ft,,11,9
23,1,7:48.0,,Shooting foul by K. Middleton (drawn by D. Wade),11,9
24,1,7:48.0,,D. Wade makes free throw 1 of 2,11,10
25,1,7:48.0,,D. Wade misses free throw 2 of 2,11,10
26,1,7:47.0,Defensive rebound by G. Antetokounmpo,,11,10
27,1,7:36.0,E. İlyasova makes 2-pt jump shot from 20 ft (assist by B. Knight),,13,10
28,1,7:31.0,,Miami full timeout,13,10
29,1,7:20.0,,D. Granger makes 3-pt jump shot from 24 ft (assist by M. Chalmers),13,13
30,1,6:59.0,E. İlyasova makes 2-pt layup from 3 ft,,15,13
31,1,6:35.0,,C. Bosh makes 2-pt jump shot from 13 ft,15,15
32,1,6:22.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by B. Knight),,17,15
33,1,6:10.0,,Turnover by D. Wade (traveling),17,15
34,1,6:10.0,,S. Napier enters the game for M. Chalmers,17,15
35,1,5:50.0,Z. Pachulia misses 2-pt jump shot from 11 ft,,17,15
36,1,5:49.0,,Defensive rebound by C. Bosh,17,15
37,1,5:35.0,,D. Granger makes 3-pt jump shot from 22 ft (assist by D. Wade),17,18
38,1,5:16.0,B. Knight makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,20,18
39,1,5:00.0,,Turnover by S. Napier (bad pass; steal by Z. Pachulia),20,18
40,1,4:56.0,B. Knight makes 2-pt dunk at rim (assist by G. Antetokounmpo),,22,18
41,1,4:37.0,,D. Wade misses 2-pt jump shot from 18 ft,22,18
42,1,4:36.0,,Offensive rebound by Team,22,18
43,1,4:15.0,,Turnover by C. Bosh (bad pass; steal by B. Knight),22,18
44,1,4:08.0,K. Middleton misses 3-pt jump shot from 25 ft,,22,18
45,1,4:07.0,,Defensive rebound by H. Whiteside,22,18
46,1,3:59.0,,D. Wade makes 2-pt jump shot from 16 ft (assist by S. Napier),22,20
47,1,3:41.0,,Offensive charge foul by E. İlyasova (drawn by C. Bosh),22,20
48,1,3:41.0,Turnover by E. İlyasova (offensive foul),,22,20
49,1,3:41.0,,U. Haslem enters the game for H. Whiteside,22,20
50,1,3:41.0,,M. Chalmers enters the game for D. Wade,22,20
51,1,3:33.0,,Turnover by S. Napier (bad pass; steal by B. Knight),22,20
52,1,3:12.0,K. Middleton makes 2-pt jump shot from 14 ft,,24,20
