,QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
0,1,11:42.0,Personal foul by A. Bradley (drawn by M. Chalmers),,0,0
1,1,11:27.0,H. Whiteside makes 2-pt hook shot from 6 ft (assist by D. Granger),,2,0
2,1,11:07.0,,E. Turner misses 3-pt jump shot from 25 ft,2,0
3,1,11:06.0,Defensive rebound by H. Whiteside,,2,0
4,1,10:54.0,Turnover by S. Napier (bad pass; steal by E. Turner),,2,0
5,1,10:48.0,,T. Zeller makes 2-pt layup at rim (assist by E. Turner),2,2
6,1,10:25.0,S. Napier misses 3-pt jump shot from 25 ft,,2,2
7,1,10:23.0,Offensive rebound by C. Bosh,,2,2
8,1,10:15.0,H. Whiteside misses 2-pt hook shot from 6 ft,,2,2
9,1,10:13.0,,Defensive rebound by E. Turner,2,2
10,1,10:07.0,,Turnover by E. Turner (bad pass; steal by M. Chalmers),2,2
11,1,9:48.0,Shooting foul by E. Turner (drawn by M. Chalmers),,2,2
12,1,9:48.0,M. Chalmers makes free throw 1 of 2,,3,2
13,1,9:48.0,M. Chalmers makes free throw 2 of 2,,4,2
14,1,9:30.0,,T. Zeller misses 2-pt hook shot from 5 ft,4,2
15,1,9:29.0,Defensive rebound by D. Granger,,4,2
16,1,9:12.0,C. Bosh misses 2-pt jump shot from 18 ft,,4,2
17,1,9:11.0,Offensive rebound by H. Whiteside,,4,2
18,1,9:07.0,H. Whiteside makes 2-pt hook shot from 3 ft,,6,2
19,1,8:58.0,,T. Zeller misses 2-pt jump shot from 18 ft,6,2
20,1,8:56.0,Defensive rebound by H. Whiteside,,6,2
21,1,8:44.0,C. Bosh makes 2-pt jump shot from 8 ft,,8,2
22,1,8:29.0,,E. Turner misses 2-pt jump shot from 15 ft,8,2
23,1,8:27.0,Defensive rebound by M. Chalmers,,8,2
24,1,8:05.0,C. Bosh misses 2-pt jump shot from 7 ft,,8,2
25,1,8:03.0,,Defensive rebound by A. Bradley,8,2
26,1,7:52.0,,B. Bass misses 2-pt jump shot from 11 ft,8,2
27,1,7:51.0,Defensive rebound by D. Granger,,8,2
28,1,7:42.0,M. Chalmers misses 2-pt layup from 2 ft,,8,2
29,1,7:41.0,,Defensive rebound by T. Zeller,8,2
30,1,7:35.0,,E. Turner misses 2-pt layup from 1 ft (block by M. Chalmers),8,2
31,1,7:34.0,Defensive rebound by M. Chalmers,,8,2
32,1,7:27.0,D. Granger misses 3-pt jump shot from 25 ft,,8,2
33,1,7:26.0,,Defensive rebound by A. Bradley,8,2
34,1,7:08.0,,B. Bass makes 2-pt dunk at rim (assist by J. Crowder),8,4
35,1,6:52.0,C. Bosh makes 2-pt jump shot from 18 ft (assist by S. Napier),,10,4
36,1,6:48.0,,Shooting foul by H. Whiteside (drawn by T. Zeller),10,4
37,1,6:48.0,,T. Zeller makes free throw 1 of 2,10,5
38,1,6:48.0,S. Williams enters the game for C. Bosh,,10,5
39,1,6:48.0,,M. Thornton enters the game for J. Crowder,10,5
40,1,6:48.0,,T. Zeller makes free throw 2 of 2,10,6
41,1,6:38.0,S. Napier misses 3-pt jump shot from 23 ft,,10,6
42,1,6:37.0,,Defensive rebound by M. Thornton,10,6
43,1,6:21.0,,Shooting foul by S. Williams (drawn by T. Zeller),10,6
44,1,6:21.0,,T. Zeller misses free throw 1 of 2,10,6
45,1,6:21.0,,Offensive rebound by Team,10,6
46,1,6:21.0,,T. Zeller makes free throw 2 of 2,10,7
47,1,6:03.0,S. Napier makes 3-pt jump shot from 25 ft (assist by D. Granger),,13,7
48,1,5:52.0,,Personal foul by H. Whiteside (drawn by T. Zeller),13,7
49,1,5:52.0,,Boston full timeout,13,7
50,1,5:52.0,,J. Sullinger enters the game for T. Zeller,13,7
51,1,5:52.0,C. Andersen enters the game for H. Whiteside,,13,7
52,1,5:47.0,,A. Bradley misses 2-pt layup from 2 ft (block by C. Andersen),13,7
53,1,5:46.0,,Offensive rebound by Team,13,7
54,1,5:39.0,,E. Turner misses 2-pt jump shot from 14 ft,13,7
55,1,5:37.0,Defensive rebound by C. Andersen,,13,7
56,1,5:20.0,Turnover by S. Williams (bad pass; steal by M. Thornton),,13,7
57,1,5:11.0,,M. Thornton misses 3-pt jump shot from 25 ft,13,7
58,1,5:09.0,Defensive rebound by S. Napier,,13,7
59,1,5:05.0,Personal foul by A. Bradley (drawn by S. Napier),,13,7
60,1,4:50.0,S. Williams misses 3-pt jump shot from 23 ft,,13,7
61,1,4:49.0,,Defensive rebound by E. Turner,13,7
62,1,4:40.0,,B. Bass misses 2-pt jump shot from 7 ft,13,7
63,1,4:38.0,,Offensive rebound by A. Bradley,13,7
64,1,4:35.0,,A. Bradley makes 2-pt layup at rim,13,9
65,1,4:03.0,M. Chalmers misses 3-pt jump shot from 22 ft,,13,9
66,1,4:02.0,Offensive rebound by D. Granger,,13,9
67,1,4:01.0,D. Granger makes 2-pt layup at rim,,15,9
68,1,3:48.0,,E. Turner misses 3-pt jump shot from 25 ft,15,9
69,1,3:47.0,Defensive rebound by S. Napier,,15,9
70,1,3:47.0,Personal foul by M. Thornton (drawn by S. Napier),,15,9
71,1,3:47.0,,M. Smart enters the game for A. Bradley,15,9
72,1,3:26.0,Shooting foul by J. Sullinger (drawn by D. Granger),,15,9
73,1,3:26.0,D. Granger makes free throw 1 of 2,,16,9
74,1,3:26.0,T. Johnson enters the game for M. Chalmers,,16,9
75,1,3:26.0,N. Cole enters the game for S. Napier,,16,9
76,1,3:26.0,D. Granger makes free throw 2 of 2,,17,9
77,1,3:15.0,,Shooting foul by S. Williams (drawn by B. Bass),17,9
78,1,3:15.0,,B. Bass misses free throw 1 of 2,17,9
79,1,3:15.0,,Offensive rebound by Team,17,9
80,1,3:15.0,C. Bosh enters the game for S. Williams,,17,9
81,1,3:15.0,,B. Bass makes free throw 2 of 2,17,10
82,1,2:58.0,D. Granger misses 3-pt jump shot from 26 ft,,17,10
83,1,2:58.0,Offensive rebound by Team,,17,10
84,1,2:58.0,Personal foul by M. Smart (drawn by T. Johnson),,17,10
85,1,2:58.0,Miami full timeout,,17,10
86,1,2:58.0,T. Johnson makes free throw 1 of 2,,18,10
87,1,2:58.0,T. Johnson misses free throw 2 of 2,,18,10
88,1,2:57.0,,Defensive rebound by E. Turner,18,10
89,1,2:35.0,,B. Bass misses 2-pt layup at rim,18,10
90,1,2:34.0,,Offensive rebound by M. Smart,18,10
91,1,2:31.0,,M. Thornton makes 3-pt jump shot from 24 ft (assist by M. Smart),18,13
92,1,2:05.0,C. Bosh makes 2-pt jump shot from 17 ft,,20,13
93,1,1:42.0,,J. Sullinger misses 2-pt jump shot from 10 ft,20,13
94,1,1:41.0,Defensive rebound by C. Andersen,,20,13
95,1,1:35.0,N. Cole misses 2-pt layup from 2 ft,,20,13
