,QUARTER,TIME_REMAINING,CHICAGO_ACTION,HOUSTON_ACTION,CHICAGO_SCORE,HOUSTON_SCORE
0,1,11:40.0,J. Butler misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,,Defensive rebound by P. Beverley,0,0
2,1,11:18.0,,D. Motiejūnas makes 2-pt hook shot from 11 ft (assist by P. Beverley),0,2
3,1,10:53.0,P. Gasol makes 2-pt jump shot from 12 ft (assist by K. Hinrich),,2,2
4,1,10:37.0,,Turnover by P. Beverley (lost ball),2,2
5,1,10:25.0,Turnover by J. Noah (traveling),,2,2
6,1,10:03.0,,T. Ariza misses 3-pt jump shot from 24 ft,2,2
7,1,10:01.0,Defensive rebound by J. Noah,,2,2
8,1,9:55.0,Shooting foul by P. Beverley (drawn by D. Rose),,2,2
9,1,9:55.0,D. Rose makes free throw 1 of 2,,3,2
10,1,9:55.0,D. Rose misses free throw 2 of 2,,3,2
11,1,9:55.0,Offensive rebound by P. Gasol,,3,2
12,1,9:46.0,Turnover by J. Noah (bad pass; steal by T. Ariza),,3,2
13,1,9:32.0,,D. Motiejūnas makes 2-pt jump shot from 6 ft (assist by P. Beverley),3,4
14,1,9:19.0,K. Hinrich makes 3-pt jump shot from 24 ft,,6,4
15,1,9:04.0,,J. Dorsey makes 2-pt dunk at rim (assist by J. Harden),6,6
16,1,8:53.0,J. Butler misses 3-pt jump shot from 24 ft,,6,6
17,1,8:52.0,,Defensive rebound by J. Dorsey,6,6
18,1,8:32.0,,J. Harden makes 2-pt jump shot from 15 ft,6,8
19,1,8:23.0,Personal foul by D. Motiejūnas (drawn by D. Rose),,6,8
20,1,8:15.0,Shooting foul by J. Dorsey (drawn by P. Gasol),,6,8
21,1,8:15.0,P. Gasol makes free throw 1 of 2,,7,8
22,1,8:15.0,P. Gasol makes free throw 2 of 2,,8,8
23,1,7:57.0,,D. Motiejūnas misses 3-pt jump shot from 23 ft,8,8
24,1,7:55.0,Defensive rebound by J. Noah,,8,8
25,1,7:44.0,J. Noah misses 2-pt jump shot from 19 ft,,8,8
26,1,7:43.0,,Defensive rebound by D. Motiejūnas,8,8
27,1,7:32.0,,D. Motiejūnas misses 3-pt jump shot from 24 ft,8,8
28,1,7:31.0,Defensive rebound by P. Gasol,,8,8
29,1,7:25.0,D. Rose misses 2-pt layup from 1 ft,,8,8
30,1,7:24.0,,Defensive rebound by D. Motiejūnas,8,8
31,1,7:19.0,,P. Beverley misses 3-pt jump shot from 25 ft,8,8
32,1,7:18.0,,Offensive rebound by Team,8,8
33,1,7:11.0,,J. Dorsey misses 2-pt layup at rim (block by P. Gasol),8,8
34,1,7:10.0,,Offensive rebound by P. Beverley,8,8
35,1,7:07.0,,Shooting foul by D. Rose (drawn by T. Ariza),8,8
36,1,7:07.0,,T. Ariza makes free throw 1 of 3,8,9
37,1,7:07.0,,T. Ariza makes free throw 2 of 3,8,10
38,1,7:07.0,,T. Ariza makes free throw 3 of 3,8,11
39,1,6:45.0,Turnover by P. Gasol (bad pass),,8,11
40,1,6:29.0,,J. Dorsey makes 2-pt hook shot from 4 ft (assist by D. Motiejūnas),8,13
41,1,6:10.0,J. Butler makes 3-pt jump shot from 23 ft (assist by P. Gasol),,11,13
42,1,5:57.0,,J. Harden misses 2-pt jump shot from 10 ft,11,13
43,1,5:56.0,Defensive rebound by J. Noah,,11,13
44,1,5:51.0,J. Butler misses 2-pt jump shot from 16 ft,,11,13
45,1,5:50.0,,Defensive rebound by P. Beverley,11,13
46,1,5:33.0,,D. Motiejūnas misses 2-pt jump shot from 18 ft,11,13
47,1,5:32.0,Defensive rebound by J. Butler,,11,13
48,1,5:28.0,D. Rose makes 2-pt dunk at rim (assist by K. Hinrich),,13,13
49,1,5:21.0,,P. Beverley misses 2-pt layup at rim,13,13
50,1,5:20.0,Defensive rebound by J. Noah,,13,13
51,1,5:12.0,J. Butler makes 2-pt dunk at rim (assist by K. Hinrich),,15,13
52,1,5:12.0,,Houston full timeout,15,13
53,1,5:12.0,,J. Smith enters the game for J. Dorsey,15,13
54,1,5:03.0,,J. Harden misses 3-pt jump shot from 25 ft,15,13
55,1,5:01.0,Defensive rebound by D. Rose,,15,13
56,1,4:51.0,D. Rose misses 3-pt jump shot from 25 ft,,15,13
57,1,4:50.0,Offensive rebound by J. Noah,,15,13
58,1,4:44.0,D. Rose makes 2-pt jump shot from 20 ft (assist by J. Noah),,17,13
59,1,4:32.0,,J. Harden misses 2-pt layup from 1 ft,17,13
60,1,4:30.0,Defensive rebound by Team,,17,13
61,1,4:30.0,T. Gibson enters the game for J. Noah,,17,13
62,1,4:12.0,T. Gibson misses 2-pt jump shot from 8 ft (block by J. Harden),,17,13
63,1,4:10.0,Offensive rebound by Team,,17,13
64,1,4:10.0,,C. Brewer enters the game for T. Ariza,17,13
65,1,4:06.0,D. Rose makes 3-pt jump shot from 25 ft (assist by K. Hinrich),,20,13
66,1,3:46.0,,J. Harden misses 2-pt layup at rim,20,13
67,1,3:44.0,,Offensive rebound by D. Motiejūnas,20,13
68,1,3:44.0,,D. Motiejūnas makes 2-pt tip-in at rim,20,15
69,1,3:37.0,K. Hinrich misses 2-pt jump shot from 22 ft,,20,15
70,1,3:36.0,,Defensive rebound by D. Motiejūnas,20,15
71,1,3:29.0,,J. Smith misses 2-pt hook shot from 5 ft,20,15
72,1,3:28.0,Defensive rebound by T. Gibson,,20,15
73,1,3:17.0,Shooting foul by D. Motiejūnas (drawn by P. Gasol),,20,15
74,1,3:17.0,P. Gasol makes free throw 1 of 2,,21,15
75,1,3:17.0,N. Mirotić enters the game for K. Hinrich,,21,15
76,1,3:17.0,,J. Terry enters the game for P. Beverley,21,15
77,1,3:17.0,,T. Jones enters the game for D. Motiejūnas,21,15
78,1,3:17.0,A. Brooks enters the game for D. Rose,,21,15
79,1,3:17.0,P. Gasol makes free throw 2 of 2,,22,15
80,1,3:02.0,,J. Terry makes 3-pt jump shot from 24 ft (assist by J. Smith),22,18
81,1,2:47.0,J. Butler makes 2-pt layup from 1 ft,,24,18
82,1,2:35.0,,J. Harden makes 2-pt layup from 1 ft,24,20
83,1,2:22.0,J. Butler misses 2-pt jump shot from 15 ft,,24,20
84,1,2:21.0,,Defensive rebound by J. Harden,24,20
85,1,2:19.0,,C. Brewer makes 2-pt layup from 4 ft (assist by J. Harden),24,22
86,1,2:19.0,,Shooting foul by A. Brooks (drawn by C. Brewer),24,22
87,1,2:19.0,Chicago full timeout,,24,22
88,1,2:19.0,,C. Brewer makes free throw 1 of 1,24,23
89,1,1:55.0,P. Gasol misses 2-pt jump shot from 11 ft (block by J. Smith),,24,23
90,1,1:54.0,,Defensive rebound by J. Harden,24,23
91,1,1:37.0,,Shooting foul by P. Gasol (drawn by J. Smith),24,23
92,1,1:37.0,,J. Smith makes free throw 1 of 2,24,24
93,1,1:37.0,,J. Smith misses free throw 2 of 2,24,24
94,1,1:37.0,Defensive rebound by T. Gibson,,24,24
95,1,1:19.0,N. Mirotić misses 3-pt jump shot from 23 ft,,24,24
96,1,1:18.0,,Defensive rebound by J. Smith,24,24
97,1,1:12.0,,J. Harden makes 3-pt jump shot from 25 ft,24,27
98,1,0:47.0,A. Brooks misses 2-pt jump shot from 20 ft,,24,27
99,1,0:46.0,,Defensive rebound by J. Smith,24,27
100,1,0:40.0,,C. Brewer misses 3-pt jump shot from 23 ft,24,27
101,1,0:38.0,Defensive rebound by A. Brooks,,24,27
102,1,0:23.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by T. Gibson),,27,27
103,1,0:01.0,,J. Harden misses 2-pt jump shot from 21 ft,27,27
104,1,0:00.0,Defensive rebound by N. Mirotić,,27,27
105,2,11:42.0,,T. Jones misses 2-pt jump shot from 6 ft (block by T. Gibson),27,27
106,2,11:41.0,Defensive rebound by A. Brooks,,27,27
107,2,11:24.0,T. Gibson makes 2-pt jump shot from 12 ft (assist by J. Noah),,29,27
108,2,11:07.0,,T. Jones misses 2-pt jump shot from 15 ft,29,27
109,2,11:06.0,Defensive rebound by J. Noah,,29,27
110,2,10:47.0,T. Gibson misses 2-pt jump shot from 5 ft,,29,27
111,2,10:45.0,Offensive rebound by J. Noah,,29,27
112,2,10:44.0,J. Noah misses 2-pt tip-in from 1 ft,,29,27
113,2,10:43.0,,Defensive rebound by J. Smith,29,27
114,2,10:38.0,,J. Smith makes 2-pt layup from 2 ft,29,29
115,2,10:19.0,N. Mirotić misses 2-pt jump shot from 17 ft,,29,29
116,2,10:17.0,Offensive rebound by J. Noah,,29,29
117,2,10:14.0,,Violation by T. Ariza (kicked ball),29,29
118,2,10:05.0,Turnover by T. Gibson (step out of bounds),,29,29
119,2,9:48.0,,T. Jones misses 2-pt hook shot from 7 ft,29,29
120,2,9:47.0,Defensive rebound by J. Noah,,29,29
121,2,9:34.0,T. Gibson makes 2-pt jump shot from 8 ft (assist by A. Brooks),,31,29
122,2,9:14.0,,J. Terry makes 2-pt jump shot from 5 ft,31,31
123,2,8:56.0,J. Noah misses 2-pt jump shot from 20 ft,,31,31
124,2,8:53.0,,Defensive rebound by J. Smith,31,31
125,2,8:46.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by C. Brewer),31,34
126,2,8:35.0,Personal foul by J. Smith (drawn by N. Mirotić),,31,34
127,2,8:35.0,Official timeout,,31,34
128,2,8:35.0,D. Rose enters the game for A. Brooks,,31,34
129,2,8:35.0,,D. Motiejūnas enters the game for T. Jones,31,34
130,2,8:21.0,N. Mirotić misses 2-pt jump shot from 5 ft,,31,34
131,2,8:20.0,,Defensive rebound by D. Motiejūnas,31,34
132,2,8:19.0,,Personal foul by J. Noah (drawn by D. Motiejūnas),31,34
133,2,8:05.0,,J. Smith misses 2-pt jump shot from 7 ft,31,34
134,2,8:04.0,Defensive rebound by J. Noah,,31,34
135,2,7:50.0,D. Rose makes 3-pt jump shot from 25 ft (assist by N. Mirotić),,34,34
136,2,7:50.0,,Loose ball foul by T. Ariza (drawn by J. Noah),34,34
137,2,7:50.0,J. Noah makes free throw 1 of 1,,35,34
138,2,7:32.0,,D. Motiejūnas makes 2-pt hook shot from 5 ft,35,36
139,2,7:08.0,N. Mirotić misses 2-pt jump shot from 10 ft,,35,36
140,2,7:07.0,Offensive rebound by N. Mirotić,,35,36
141,2,7:05.0,N. Mirotić misses 2-pt layup at rim (block by J. Smith),,35,36
142,2,7:03.0,,Defensive rebound by J. Smith,35,36
143,2,6:54.0,,J. Terry misses 3-pt jump shot from 25 ft,35,36
144,2,6:52.0,,Offensive rebound by Team,35,36
145,2,6:52.0,,Houston full timeout,35,36
146,2,6:52.0,J. Butler enters the game for N. Mirotić,,35,36
147,2,6:52.0,K. Hinrich enters the game for E. Moore,,35,36
148,2,6:52.0,,J. Harden enters the game for C. Brewer,35,36
