,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHARLOTTE_ACTION,DETROIT_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,,C. Zeller makes 2-pt layup from 1 ft (assist by A. Jefferson),0,2
1,1,11:26.0,A. Drummond misses 2-pt jump shot from 5 ft (block by A. Jefferson),,0,2
2,1,11:26.0,Offensive rebound by Team,,0,2
3,1,11:26.0,,Loose ball foul by C. Zeller (drawn by G. Monroe),0,2
4,1,11:08.0,G. Monroe misses 2-pt jump shot from 3 ft,,0,2
5,1,11:07.0,,Defensive rebound by G. Henderson,0,2
6,1,11:01.0,,A. Jefferson makes 2-pt jump shot from 9 ft (assist by G. Henderson),0,4
7,1,10:33.0,D. Augustin misses 2-pt jump shot from 21 ft,,0,4
8,1,10:32.0,,Defensive rebound by C. Zeller,0,4
9,1,10:12.0,,A. Jefferson misses 2-pt hook shot from 11 ft,0,4
10,1,10:10.0,Defensive rebound by G. Monroe,,0,4
11,1,10:03.0,A. Drummond misses 2-pt jump shot from 10 ft,,0,4
12,1,10:01.0,,Defensive rebound by G. Henderson,0,4
13,1,9:57.0,,Turnover by G. Henderson (bad pass),0,4
14,1,9:36.0,G. Monroe makes 2-pt hook shot from 4 ft (assist by D. Augustin),,2,4
15,1,9:26.0,,Shooting foul by A. Drummond (drawn by C. Zeller),2,4
16,1,9:26.0,,C. Zeller makes free throw 1 of 2,2,5
17,1,9:26.0,,C. Zeller makes free throw 2 of 2,2,6
18,1,9:06.0,G. Monroe misses 2-pt layup from 1 ft,,2,6
19,1,9:03.0,,Defensive rebound by C. Zeller,2,6
20,1,8:56.0,,G. Henderson misses 2-pt jump shot from 4 ft (block by K. Caldwell-Pope),2,6
21,1,8:55.0,Defensive rebound by K. Caldwell-Pope,,2,6
22,1,8:54.0,Turnover by K. Caldwell-Pope (offensive foul),,2,6
23,1,8:54.0,,Offensive charge foul by K. Caldwell-Pope (drawn by B. Roberts),2,6
24,1,8:40.0,,B. Roberts makes 2-pt layup from 1 ft,2,8
25,1,8:34.0,Detroit full timeout,,2,8
26,1,8:20.0,A. Drummond misses 2-pt jump shot from 7 ft,,2,8
27,1,8:19.0,,Defensive rebound by A. Jefferson,2,8
28,1,8:08.0,,C. Zeller misses 2-pt jump shot from 18 ft,2,8
29,1,8:07.0,Defensive rebound by K. Singler,,2,8
30,1,7:52.0,D. Augustin makes 2-pt layup from 1 ft,,4,8
