,QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
0,1,11:46.0,,J. Clarkson misses 2-pt jump shot from 10 ft,0,0
1,1,11:43.0,,Offensive rebound by T. Black,0,0
2,1,11:42.0,,Shooting foul by J. Nurkić (drawn by T. Black),0,0
3,1,11:42.0,,T. Black misses free throw 1 of 2,0,0
4,1,11:42.0,,Offensive rebound by Team,0,0
5,1,11:42.0,,T. Black misses free throw 2 of 2,0,0
6,1,11:40.0,Defensive rebound by K. Faried,,0,0
7,1,11:28.0,K. Faried misses 2-pt hook shot from 8 ft,,0,0
8,1,11:27.0,,Defensive rebound by W. Ellington,0,0
9,1,11:20.0,,W. Ellington makes 2-pt jump shot from 18 ft,0,2
10,1,11:09.0,K. Faried misses 2-pt jump shot from 5 ft,,0,2
11,1,11:07.0,,Defensive rebound by R. Sacre,0,2
12,1,11:03.0,,J. Clarkson misses 2-pt layup from 2 ft,0,2
13,1,11:03.0,,Offensive rebound by Team,0,2
14,1,11:03.0,Loose ball foul by J. Nurkić (drawn by T. Black),,0,2
15,1,10:50.0,,R. Sacre makes 2-pt jump shot from 6 ft (assist by J. Clarkson),0,4
16,1,10:35.0,A. Afflalo misses 2-pt jump shot from 10 ft,,0,4
17,1,10:34.0,,Defensive rebound by R. Kelly,0,4
18,1,10:25.0,,R. Kelly makes 3-pt jump shot from 26 ft (assist by J. Clarkson),0,7
19,1,10:20.0,Denver full timeout,,0,7
20,1,10:15.0,J. Nurkić makes 2-pt layup from 2 ft (assist by T. Lawson),,2,7
21,1,9:50.0,,Turnover by Team (shot clock),2,7
22,1,9:37.0,J. Nurkić makes 2-pt layup from 1 ft (assist by A. Afflalo),,4,7
23,1,9:26.0,,J. Clarkson makes 2-pt layup from 1 ft,4,9
24,1,9:05.0,A. Afflalo misses 3-pt jump shot from 24 ft,,4,9
25,1,9:04.0,Offensive rebound by Team,,4,9
26,1,9:04.0,,Loose ball foul by T. Black (drawn by K. Faried),4,9
27,1,8:57.0,W. Chandler misses 2-pt layup from 2 ft,,4,9
28,1,8:54.0,Offensive rebound by W. Chandler,,4,9
29,1,8:54.0,W. Chandler makes 2-pt tip-in from 1 ft,,6,9
30,1,8:41.0,,W. Ellington makes 2-pt jump shot from 18 ft (assist by R. Kelly),6,11
31,1,8:32.0,Personal foul by W. Ellington (drawn by A. Afflalo),,6,11
32,1,8:19.0,T. Lawson misses 3-pt jump shot from 24 ft,,6,11
33,1,8:16.0,,Defensive rebound by T. Black,6,11
34,1,8:10.0,,Turnover by J. Clarkson (bad pass; steal by T. Lawson),6,11
35,1,8:08.0,Personal foul by R. Sacre (drawn by T. Lawson),,6,11
36,1,8:03.0,A. Afflalo misses 2-pt jump shot from 11 ft,,6,11
37,1,8:02.0,,Defensive rebound by R. Sacre,6,11
38,1,7:41.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Clarkson),6,14
39,1,7:18.0,W. Chandler misses 2-pt dunk from 2 ft (block by T. Black),,6,14
40,1,7:16.0,,Defensive rebound by T. Black,6,14
41,1,7:12.0,,W. Ellington makes 2-pt layup at rim (assist by J. Clarkson),6,16
42,1,6:56.0,W. Chandler misses 3-pt jump shot from 24 ft,,6,16
43,1,6:53.0,,Defensive rebound by R. Sacre,6,16
44,1,6:39.0,,R. Kelly misses 2-pt jump shot from 14 ft,6,16
45,1,6:37.0,,Offensive rebound by R. Sacre,6,16
46,1,6:34.0,,R. Kelly misses 3-pt jump shot from 25 ft,6,16
47,1,6:33.0,,Offensive rebound by R. Sacre,6,16
48,1,6:14.0,,J. Clarkson misses 2-pt jump shot from 3 ft,6,16
49,1,6:13.0,Defensive rebound by W. Chandler,,6,16
50,1,6:09.0,W. Chandler makes 2-pt dunk at rim,,8,16
51,1,5:47.0,,W. Ellington makes 2-pt jump shot from 20 ft (assist by T. Black),8,18
52,1,5:35.0,W. Chandler misses 2-pt jump shot from 5 ft,,8,18
53,1,5:34.0,Offensive rebound by J. Nurkić,,8,18
54,1,5:30.0,Personal foul by R. Kelly (drawn by T. Lawson),,8,18
55,1,5:30.0,,LA Lakers full timeout,8,18
56,1,5:30.0,D. Arthur enters the game for K. Faried,,8,18
57,1,5:30.0,J. Hickson enters the game for J. Nurkić,,8,18
58,1,5:30.0,,E. Davis enters the game for R. Sacre,8,18
59,1,5:12.0,T. Lawson misses 2-pt jump shot from 5 ft,,8,18
60,1,5:11.0,,Defensive rebound by R. Kelly,8,18
61,1,4:49.0,,E. Davis misses 2-pt jump shot from 3 ft,8,18
62,1,4:49.0,Defensive rebound by Team,,8,18
63,1,4:36.0,D. Arthur makes 2-pt jump shot from 18 ft (assist by T. Lawson),,10,18
64,1,4:15.0,,W. Ellington misses 3-pt jump shot from 24 ft,10,18
65,1,4:13.0,Defensive rebound by T. Lawson,,10,18
66,1,4:08.0,W. Chandler makes 2-pt layup from 1 ft (assist by T. Lawson),,12,18
67,1,4:06.0,,W. Johnson enters the game for R. Kelly,12,18
68,1,4:06.0,,C. Boozer enters the game for T. Black,12,18
69,1,3:48.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by E. Davis),12,21
70,1,3:38.0,T. Lawson makes 2-pt layup from 1 ft,,14,21
71,1,3:24.0,,C. Boozer makes 2-pt jump shot from 17 ft (assist by E. Davis),14,23
72,1,3:12.0,Turnover by T. Lawson (bad pass; steal by E. Davis),,14,23
73,1,3:08.0,,N. Young enters the game for W. Ellington,14,23
74,1,3:08.0,R. Foye enters the game for T. Lawson,,14,23
75,1,2:50.0,,J. Clarkson misses 2-pt layup from 2 ft (block by D. Arthur),14,23
76,1,2:48.0,Defensive rebound by D. Arthur,,14,23
77,1,2:38.0,D. Arthur misses 2-pt jump shot from 15 ft,,14,23
78,1,2:37.0,Offensive rebound by J. Hickson,,14,23
79,1,2:36.0,J. Hickson makes 2-pt layup at rim,,16,23
80,1,2:36.0,Shooting foul by E. Davis (drawn by J. Hickson),,16,23
81,1,2:36.0,Denver full timeout,,16,23
82,1,2:36.0,,J. Lin enters the game for J. Clarkson,16,23
83,1,2:36.0,J. Hickson makes free throw 1 of 1,,17,23
84,1,2:14.0,,C. Boozer misses 2-pt jump shot from 15 ft,17,23
85,1,2:12.0,,Offensive rebound by C. Boozer,17,23
86,1,2:06.0,,J. Lin makes 2-pt jump shot from 18 ft (assist by C. Boozer),17,25
87,1,1:48.0,A. Afflalo makes 2-pt layup from 1 ft (assist by D. Arthur),,19,25
88,1,1:36.0,,W. Johnson makes 2-pt layup from 1 ft,19,27
89,1,1:20.0,R. Foye makes 3-pt jump shot from 23 ft (assist by A. Afflalo),,22,27
90,1,1:11.0,D. Gallinari enters the game for W. Chandler,,22,27
91,1,1:08.0,,N. Young makes 2-pt jump shot from 13 ft (assist by W. Johnson),22,29
92,1,0:57.0,R. Foye makes 2-pt layup from 1 ft,,24,29
93,1,0:44.0,,C. Boozer misses 2-pt layup from 2 ft (block by D. Arthur),24,29
94,1,0:42.0,Defensive rebound by D. Arthur,,24,29
95,1,0:35.0,D. Arthur misses 2-pt jump shot from 20 ft,,24,29
96,1,0:33.0,,Defensive rebound by E. Davis,24,29
97,1,0:10.0,,N. Young misses 2-pt jump shot from 9 ft,24,29
98,1,0:09.0,Defensive rebound by D. Gallinari,,24,29
99,1,0:01.0,D. Gallinari misses 3-pt jump shot from 24 ft,,24,29
100,1,0:00.0,Offensive rebound by Team,,24,29
101,2,11:41.0,D. Arthur makes 2-pt layup from 2 ft,,26,29
102,2,11:23.0,,E. Davis misses 2-pt hook shot from 4 ft,26,29
103,2,11:21.0,Defensive rebound by D. Gallinari,,26,29
104,2,11:01.0,D. Arthur makes 2-pt jump shot from 16 ft (assist by R. Foye),,28,29
105,2,10:42.0,,N. Young misses 2-pt jump shot from 10 ft,28,29
106,2,10:41.0,Defensive rebound by J. Hickson,,28,29
107,2,10:28.0,R. Foye makes 2-pt jump shot from 14 ft,,30,29
108,2,10:19.0,,Personal foul by T. Lawson (drawn by J. Lin),30,29
109,2,10:07.0,,J. Lin makes 2-pt layup from 1 ft (assist by E. Davis),30,31
110,2,9:51.0,D. Gallinari misses 2-pt layup from 2 ft,,30,31
111,2,9:50.0,,Defensive rebound by C. Boozer,30,31
112,2,9:46.0,,Shooting foul by D. Arthur (drawn by W. Johnson),30,31
113,2,9:46.0,,W. Johnson makes free throw 1 of 2,30,32
114,2,9:46.0,K. Faried enters the game for D. Arthur,,30,32
115,2,9:46.0,,W. Johnson makes free throw 2 of 2,30,33
116,2,9:35.0,Turnover by J. Hickson (lost ball),,30,33
117,2,9:24.0,,E. Davis misses 2-pt layup from 2 ft,30,33
118,2,9:23.0,Defensive rebound by R. Foye,,30,33
119,2,9:18.0,R. Foye misses 3-pt jump shot from 25 ft (block by E. Davis),,30,33
120,2,9:15.0,,Defensive rebound by N. Young,30,33
121,2,9:09.0,,C. Boozer misses 2-pt jump shot from 16 ft,30,33
122,2,9:06.0,Defensive rebound by K. Faried,,30,33
123,2,8:56.0,Turnover by J. Hickson (lost ball; steal by C. Boozer),,30,33
124,2,8:50.0,,C. Boozer misses 2-pt jump shot from 3 ft (block by D. Gallinari),30,33
125,2,8:47.0,,Offensive rebound by E. Davis,30,33
126,2,8:44.0,,E. Davis makes 2-pt dunk at rim,30,35
127,2,8:41.0,Denver full timeout,,30,35
128,2,8:41.0,W. Chandler enters the game for J. Hickson,,30,35
129,2,8:41.0,J. Nurkić enters the game for R. Foye,,30,35
130,2,8:35.0,D. Gallinari misses 2-pt jump shot from 19 ft,,30,35
131,2,8:34.0,,Defensive rebound by J. Lin,30,35
132,2,8:28.0,,Personal foul by W. Chandler (drawn by N. Young),30,35
133,2,8:15.0,,W. Johnson misses 2-pt jump shot from 14 ft,30,35
134,2,8:14.0,,Offensive rebound by C. Boozer,30,35
135,2,8:08.0,,J. Lin makes 2-pt jump shot from 9 ft (assist by C. Boozer),30,37
136,2,7:57.0,Turnover by T. Lawson (lost ball; steal by J. Lin),,30,37
137,2,7:56.0,,Clear path foul by T. Lawson,30,37
138,2,7:56.0,,J. Lin misses clear path free throw 1 of 2,30,37
139,2,7:56.0,,Offensive rebound by Team,30,37
140,2,7:56.0,A. Afflalo enters the game for D. Gallinari,,30,37
141,2,7:56.0,,J. Lin makes clear path free throw 2 of 2,30,38
142,2,7:43.0,,Personal foul by W. Chandler (drawn by W. Johnson),30,38
143,2,7:43.0,,W. Johnson makes free throw 1 of 2,30,39
144,2,7:43.0,,W. Johnson makes free throw 2 of 2,30,40
145,2,7:20.0,A. Afflalo makes 2-pt jump shot from 16 ft (assist by T. Lawson),,32,40
146,2,7:00.0,,E. Davis misses 2-pt jump shot from 4 ft,32,40
147,2,6:58.0,Defensive rebound by J. Nurkić,,32,40
148,2,6:46.0,W. Chandler misses 3-pt jump shot from 25 ft,,32,40
149,2,6:45.0,,Defensive rebound by E. Davis,32,40
150,2,6:32.0,,C. Boozer misses 2-pt layup from 1 ft (block by J. Nurkić),32,40
151,2,6:31.0,,Offensive rebound by C. Boozer,32,40
152,2,6:28.0,,C. Boozer makes 2-pt layup from 1 ft,32,42
153,2,6:03.0,T. Lawson misses 2-pt jump shot from 14 ft,,32,42
154,2,6:02.0,,Defensive rebound by W. Johnson,32,42
155,2,5:49.0,,N. Young misses 3-pt jump shot from 25 ft,32,42
156,2,5:48.0,Defensive rebound by J. Nurkić,,32,42
157,2,5:37.0,Personal foul by N. Young (drawn by A. Afflalo),,32,42
158,2,5:37.0,Official timeout,,32,42
159,2,5:37.0,,W. Ellington enters the game for E. Davis,32,42
160,2,5:37.0,,R. Sacre enters the game for W. Johnson,32,42
161,2,5:27.0,A. Afflalo misses 3-pt jump shot from 24 ft,,32,42
162,2,5:27.0,Offensive rebound by Team,,32,42
163,2,5:27.0,,Loose ball foul by R. Sacre (drawn by J. Nurkić),32,42
164,2,5:14.0,K. Faried misses 2-pt jump shot from 5 ft,,32,42
165,2,5:13.0,,Defensive rebound by C. Boozer,32,42
166,2,4:57.0,,W. Ellington makes 2-pt jump shot from 21 ft (assist by C. Boozer),32,44
167,2,4:39.0,T. Lawson makes 2-pt layup from 1 ft,,34,44
168,2,4:31.0,,N. Young misses 3-pt jump shot from 22 ft,34,44
169,2,4:30.0,,Offensive rebound by J. Lin,34,44
170,2,4:30.0,,T. Black enters the game for C. Boozer,34,44
171,2,4:30.0,D. Arthur enters the game for K. Faried,,34,44
172,2,4:27.0,,Turnover by J. Lin (lost ball; steal by J. Nurkić),34,44
173,2,4:23.0,Personal foul by N. Young (drawn by W. Chandler),,34,44
174,2,4:10.0,Offensive foul by J. Nurkić (drawn by W. Ellington),,34,44
175,2,4:10.0,Turnover by J. Nurkić (offensive foul),,34,44
176,2,4:10.0,,J. Clarkson enters the game for J. Lin,34,44
177,2,4:10.0,,R. Kelly enters the game for N. Young,34,44
178,2,4:10.0,J. Hickson enters the game for J. Nurkić,,34,44
179,2,3:49.0,,R. Sacre misses 2-pt jump shot from 5 ft,34,44
180,2,3:48.0,,Offensive rebound by R. Sacre,34,44
181,2,3:37.0,,Personal foul by J. Hickson (drawn by R. Sacre),34,44
182,2,3:37.0,,R. Sacre misses free throw 1 of 2,34,44
183,2,3:37.0,,Offensive rebound by Team,34,44
184,2,3:37.0,,R. Sacre misses free throw 2 of 2,34,44
185,2,3:35.0,Defensive rebound by D. Arthur,,34,44
186,2,3:19.0,W. Chandler makes 2-pt jump shot from 6 ft (assist by D. Arthur),,36,44
187,2,3:01.0,,T. Black misses 2-pt hook shot from 6 ft,36,44
188,2,2:59.0,Defensive rebound by J. Hickson,,36,44
189,2,2:55.0,Personal foul by T. Black (drawn by T. Lawson),,36,44
190,2,2:55.0,,LA Lakers full timeout,36,44
191,2,2:40.0,T. Lawson misses 2-pt jump shot from 12 ft,,36,44
192,2,2:38.0,,Defensive rebound by W. Ellington,36,44
