,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,J. Redick makes 2-pt jump shot from 20 ft (assist by C. Paul),,2,0
1,1,11:25.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Thompson),2,3
2,1,11:01.0,J. Redick makes 3-pt jump shot from 27 ft (assist by S. Hawes),,5,3
3,1,10:38.0,,H. Barnes makes 2-pt jump shot from 19 ft (assist by D. Green),5,5
4,1,10:16.0,C. Paul misses 2-pt jump shot from 20 ft,,5,5
5,1,10:15.0,,Defensive rebound by H. Barnes,5,5
6,1,9:54.0,,K. Thompson makes 2-pt jump shot from 13 ft,5,7
7,1,9:49.0,Shooting foul by H. Barnes (drawn by M. Barnes),,5,7
8,1,9:49.0,M. Barnes misses free throw 1 of 2,,5,7
9,1,9:49.0,Offensive rebound by Team,,5,7
10,1,9:49.0,M. Barnes makes free throw 2 of 2,,6,7
11,1,9:43.0,,D. Green misses 3-pt jump shot from 27 ft,6,7
12,1,9:40.0,Defensive rebound by S. Hawes,,6,7
13,1,9:32.0,C. Paul makes 2-pt jump shot from 17 ft,,8,7
14,1,9:14.0,,Shooting foul by S. Hawes (drawn by H. Barnes),8,7
15,1,9:14.0,,H. Barnes makes free throw 1 of 2,8,8
16,1,9:14.0,,H. Barnes makes free throw 2 of 2,8,9
17,1,8:49.0,C. Paul misses 3-pt jump shot from 27 ft,,8,9
18,1,8:48.0,,Defensive rebound by H. Barnes,8,9
19,1,8:41.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Curry),8,11
20,1,8:29.0,S. Hawes makes 2-pt jump shot from 20 ft (assist by J. Redick),,10,11
21,1,8:21.0,,S. Curry misses 2-pt jump shot from 4 ft (block by S. Hawes),10,11
22,1,8:19.0,Defensive rebound by C. Paul,,10,11
23,1,8:13.0,M. Barnes makes 2-pt hook shot from 3 ft (assist by J. Redick),,12,11
24,1,7:57.0,,A. Bogut misses 2-pt hook shot from 10 ft,12,11
25,1,7:56.0,Defensive rebound by D. Jordan,,12,11
26,1,7:49.0,C. Paul makes 2-pt jump shot from 9 ft,,14,11
27,1,7:32.0,,H. Barnes makes 2-pt jump shot from 10 ft,14,13
28,1,7:10.0,S. Hawes makes 2-pt jump shot from 12 ft (assist by C. Paul),,16,13
29,1,6:51.0,,S. Curry misses 2-pt jump shot from 19 ft,16,13
30,1,6:50.0,Defensive rebound by D. Jordan,,16,13
31,1,6:35.0,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),,18,13
32,1,6:23.0,,K. Thompson misses 3-pt jump shot from 27 ft,18,13
33,1,6:22.0,Defensive rebound by D. Jordan,,18,13
34,1,6:06.0,C. Paul misses 2-pt jump shot from 7 ft,,18,13
35,1,6:05.0,Offensive rebound by S. Hawes,,18,13
36,1,6:04.0,S. Hawes misses 2-pt layup from 3 ft,,18,13
37,1,6:02.0,,Defensive rebound by D. Green,18,13
38,1,5:50.0,,Turnover by K. Thompson (bad pass),18,13
39,1,5:50.0,,Golden State full timeout,18,13
40,1,5:42.0,Turnover by C. Paul (bad pass; steal by A. Bogut),,18,13
41,1,5:19.0,,H. Barnes misses 3-pt jump shot from 23 ft,18,13
42,1,5:18.0,Defensive rebound by J. Redick,,18,13
43,1,5:00.0,Turnover by J. Redick (bad pass; steal by H. Barnes),,18,13
44,1,4:54.0,,D. Green makes 2-pt layup from 1 ft,18,15
45,1,4:37.0,C. Paul misses 2-pt jump shot from 20 ft,,18,15
46,1,4:36.0,,Defensive rebound by K. Thompson,18,15
47,1,4:23.0,,Turnover by K. Thompson (step out of bounds),18,15
48,1,4:21.0,J. Redick makes 2-pt jump shot from 21 ft (assist by M. Barnes),,20,15
49,1,3:57.0,,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),20,18
50,1,3:43.0,Personal foul by K. Thompson (drawn by D. Jordan),,20,18
51,1,3:43.0,,A. Iguodala enters the game for H. Barnes,20,18
52,1,3:43.0,A. Rivers enters the game for J. Redick,,20,18
53,1,3:43.0,G. Davis enters the game for S. Hawes,,20,18
54,1,3:34.0,M. Barnes misses 3-pt jump shot from 23 ft,,20,18
55,1,3:33.0,,Defensive rebound by A. Bogut,20,18
56,1,3:25.0,,S. Curry misses 2-pt jump shot from 16 ft,20,18
57,1,3:24.0,Defensive rebound by D. Jordan,,20,18
58,1,3:14.0,M. Barnes misses 3-pt jump shot from 25 ft,,20,18
59,1,3:13.0,Offensive rebound by C. Paul,,20,18
60,1,3:03.0,C. Paul makes 2-pt jump shot from 17 ft,,22,18
61,1,2:50.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),22,21
62,1,2:32.0,M. Barnes makes 2-pt layup from 1 ft (assist by C. Paul),,24,21
63,1,2:18.0,,S. Curry misses 2-pt jump shot from 11 ft,24,21
64,1,2:17.0,Defensive rebound by D. Jordan,,24,21
65,1,1:59.0,M. Barnes makes 2-pt jump shot from 8 ft,,26,21
66,1,1:43.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by A. Iguodala),26,23
67,1,1:40.0,LA Clippers full timeout,,26,23
68,1,1:40.0,,L. Barbosa enters the game for A. Bogut,26,23
69,1,1:40.0,,M. Speights enters the game for S. Curry,26,23
70,1,1:40.0,H. Türkoğlu enters the game for M. Barnes,,26,23
71,1,1:27.0,G. Davis misses 2-pt jump shot from 13 ft,,26,23
72,1,1:26.0,Offensive rebound by C. Paul,,26,23
73,1,1:19.0,G. Davis makes 2-pt hook shot from 5 ft (assist by C. Paul),,28,23
74,1,0:56.0,,D. Green makes 3-pt jump shot from 22 ft (assist by L. Barbosa),28,26
75,1,0:40.0,H. Türkoğlu misses 3-pt jump shot from 26 ft,,28,26
76,1,0:39.0,Offensive rebound by Team,,28,26
77,1,0:39.0,N. Robinson enters the game for C. Paul,,28,26
78,1,0:31.0,A. Rivers misses 2-pt jump shot from 13 ft,,28,26
79,1,0:29.0,Offensive rebound by G. Davis,,28,26
80,1,0:29.0,G. Davis misses 2-pt tip-in at rim,,28,26
81,1,0:27.0,Offensive rebound by G. Davis,,28,26
82,1,0:26.0,G. Davis misses 2-pt layup from 2 ft,,28,26
83,1,0:24.0,,Defensive rebound by D. Green,28,26
84,1,0:05.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by A. Iguodala),28,29
85,1,0:01.0,N. Robinson misses 2-pt jump shot from 12 ft,,28,29
86,1,0:00.0,Offensive rebound by Team,,28,29
87,2,11:43.0,,L. Barbosa misses 2-pt layup from 2 ft,28,29
88,2,11:42.0,Defensive rebound by D. Jordan,,28,29
89,2,11:36.0,H. Türkoğlu misses 3-pt jump shot from 26 ft,,28,29
90,2,11:35.0,,Defensive rebound by A. Iguodala,28,29
91,2,11:25.0,,L. Barbosa makes 2-pt jump shot from 18 ft (assist by D. Lee),28,31
92,2,11:09.0,A. Rivers makes 2-pt jump shot from 6 ft,,30,31
93,2,11:09.0,Shooting foul by M. Speights (drawn by A. Rivers),,30,31
94,2,11:09.0,,F. Ezeli enters the game for M. Speights,30,31
95,2,11:09.0,S. Hawes enters the game for D. Jordan,,30,31
96,2,11:09.0,A. Rivers makes free throw 1 of 1,,31,31
97,2,10:49.0,,Personal foul by A. Rivers (drawn by A. Iguodala),31,31
98,2,10:44.0,,Turnover by L. Barbosa (bad pass; steal by H. Türkoğlu),31,31
99,2,10:27.0,G. Davis makes 2-pt layup from 1 ft,,33,31
100,2,10:03.0,,S. Livingston makes 2-pt dunk at rim (assist by A. Iguodala),33,33
101,2,9:40.0,Shooting foul by D. Lee (drawn by N. Robinson),,33,33
102,2,9:40.0,N. Robinson makes free throw 1 of 2,,34,33
103,2,9:40.0,N. Robinson makes free throw 2 of 2,,35,33
104,2,9:25.0,,S. Livingston misses 2-pt jump shot from 15 ft,35,33
105,2,9:25.0,Defensive rebound by G. Davis,,35,33
106,2,9:18.0,S. Hawes misses 2-pt hook shot from 4 ft,,35,33
107,2,9:17.0,,Defensive rebound by D. Lee,35,33
108,2,9:08.0,,S. Livingston misses 2-pt jump shot from 7 ft,35,33
109,2,9:07.0,,Offensive rebound by A. Iguodala,35,33
110,2,9:07.0,,A. Iguodala makes 2-pt layup from 1 ft,35,35
111,2,8:47.0,A. Rivers makes 2-pt jump shot from 7 ft (assist by S. Hawes),,37,35
112,2,8:22.0,,L. Barbosa misses 2-pt jump shot from 9 ft,37,35
113,2,8:21.0,,Offensive rebound by D. Lee,37,35
114,2,8:21.0,,Shooting foul by S. Hawes (drawn by D. Lee),37,35
115,2,8:21.0,Official timeout,,37,35
116,2,8:21.0,,S. Curry enters the game for L. Barbosa,37,35
117,2,8:21.0,,D. Lee misses free throw 1 of 2,37,35
118,2,8:21.0,,Offensive rebound by Team,37,35
119,2,8:21.0,,D. Lee misses free throw 2 of 2,37,35
120,2,8:21.0,Defensive rebound by S. Hawes,,37,35
121,2,8:07.0,G. Davis misses 2-pt hook shot from 7 ft,,37,35
122,2,8:06.0,,Defensive rebound by S. Livingston,37,35
123,2,7:46.0,,A. Iguodala misses 3-pt jump shot from 23 ft,37,35
124,2,7:45.0,,Offensive rebound by D. Lee,37,35
125,2,7:45.0,,D. Lee makes 2-pt layup from 1 ft,37,37
126,2,7:25.0,N. Robinson misses 3-pt jump shot from 25 ft,,37,37
127,2,7:24.0,,Defensive rebound by F. Ezeli,37,37
128,2,7:03.0,,A. Iguodala misses 3-pt jump shot from 25 ft,37,37
129,2,7:02.0,Defensive rebound by G. Davis,,37,37
130,2,6:56.0,LA Clippers full timeout,,37,37
131,2,6:56.0,C. Paul enters the game for S. Hawes,,37,37
132,2,6:56.0,J. Redick enters the game for H. Türkoğlu,,37,37
133,2,6:56.0,D. Jordan enters the game for N. Robinson,,37,37
134,2,6:56.0,,A. Bogut enters the game for F. Ezeli,37,37
135,2,6:48.0,C. Paul misses 2-pt jump shot from 13 ft,,37,37
136,2,6:47.0,Offensive rebound by C. Paul,,37,37
137,2,6:39.0,Shooting foul by A. Bogut (drawn by D. Jordan),,37,37
138,2,6:39.0,D. Jordan misses free throw 1 of 2,,37,37
139,2,6:39.0,Offensive rebound by Team,,37,37
140,2,6:39.0,D. Jordan makes free throw 2 of 2,,38,37
141,2,6:30.0,,Turnover by D. Lee (bad pass; steal by J. Redick),38,37
142,2,6:18.0,A. Rivers misses 3-pt jump shot from 27 ft,,38,37
143,2,6:18.0,,Defensive rebound by Team,38,37
144,2,6:09.0,,Personal foul by C. Paul (drawn by S. Livingston),38,37
145,2,6:03.0,,Turnover by A. Bogut (lost ball),38,37
146,2,5:49.0,G. Davis misses 2-pt layup from 2 ft,,38,37
147,2,5:48.0,,Defensive rebound by S. Livingston,38,37
148,2,5:40.0,,Turnover by S. Curry (lost ball; steal by J. Redick),38,37
149,2,5:38.0,Personal foul by A. Bogut (drawn by C. Paul),,38,37
150,2,5:38.0,M. Barnes enters the game for A. Rivers,,38,37
151,2,5:38.0,,K. Thompson enters the game for A. Iguodala,38,37
152,2,5:25.0,J. Redick misses 3-pt jump shot from 26 ft,,38,37
