,QUARTER,TIME_REMAINING,BOSTON_ACTION,MIAMI_ACTION,BOSTON_SCORE,MIAMI_SCORE
0,1,11:40.0,,H. Whiteside makes 2-pt layup from 1 ft,0,2
1,1,11:22.0,M. Smart makes 3-pt jump shot from 23 ft (assist by B. Bass),,3,2
2,1,10:56.0,,H. Whiteside misses 2-pt jump shot from 14 ft,3,2
3,1,10:55.0,Defensive rebound by M. Smart,,3,2
4,1,10:50.0,T. Zeller makes 2-pt layup at rim (assist by M. Smart),,5,2
5,1,10:29.0,,D. Wade misses 2-pt jump shot from 9 ft,5,2
6,1,10:28.0,Defensive rebound by E. Turner,,5,2
7,1,10:12.0,J. Crowder misses 2-pt jump shot from 21 ft,,5,2
8,1,10:11.0,Offensive rebound by T. Zeller,,5,2
9,1,10:08.0,M. Smart misses 3-pt jump shot from 25 ft,,5,2
10,1,10:07.0,,Defensive rebound by H. Whiteside,5,2
11,1,9:49.0,,H. Walker misses 3-pt jump shot from 23 ft,5,2
12,1,9:48.0,Defensive rebound by M. Smart,,5,2
13,1,9:33.0,T. Zeller makes 2-pt jump shot from 17 ft (assist by E. Turner),,7,2
14,1,9:19.0,,Turnover by M. Chalmers (bad pass; steal by J. Crowder),7,2
15,1,9:16.0,Turnover by J. Crowder (offensive foul),,7,2
16,1,9:16.0,,Offensive charge foul by J. Crowder (drawn by H. Walker),7,2
17,1,9:01.0,,D. Wade makes 2-pt jump shot from 17 ft (assist by M. Chalmers),7,4
18,1,8:42.0,E. Turner makes 2-pt jump shot from 8 ft,,9,4
19,1,8:30.0,,D. Wade makes 2-pt jump shot from 15 ft,9,6
20,1,8:17.0,T. Zeller misses 2-pt jump shot from 19 ft,,9,6
21,1,8:16.0,,Defensive rebound by H. Walker,9,6
22,1,8:03.0,,D. Wade misses 2-pt jump shot from 20 ft,9,6
23,1,8:02.0,Defensive rebound by J. Crowder,,9,6
24,1,7:55.0,Shooting foul by H. Whiteside (drawn by J. Crowder),,9,6
25,1,7:55.0,J. Crowder makes free throw 1 of 2,,10,6
26,1,7:55.0,J. Crowder makes free throw 2 of 2,,11,6
27,1,7:38.0,,H. Whiteside misses 2-pt hook shot from 9 ft,11,6
28,1,7:37.0,Defensive rebound by M. Smart,,11,6
29,1,7:31.0,J. Crowder misses 3-pt jump shot from 23 ft,,11,6
30,1,7:30.0,Offensive rebound by T. Zeller,,11,6
31,1,7:27.0,T. Zeller makes 2-pt hook shot from 8 ft,,13,6
32,1,7:27.0,,Miami full timeout,13,6
33,1,7:07.0,,L. Deng misses 2-pt jump shot from 10 ft,13,6
34,1,7:06.0,,Offensive rebound by L. Deng,13,6
35,1,6:58.0,,H. Whiteside makes 2-pt dunk at rim (assist by L. Deng),13,8
36,1,6:41.0,B. Bass makes 2-pt jump shot from 10 ft,,15,8
37,1,6:29.0,,D. Wade misses 2-pt layup from 1 ft (block by T. Zeller),15,8
38,1,6:28.0,,Offensive rebound by Team,15,8
39,1,6:28.0,,T. Johnson enters the game for M. Chalmers,15,8
40,1,6:28.0,,M. Beasley enters the game for H. Walker,15,8
41,1,6:15.0,,L. Deng makes 2-pt jump shot from 20 ft (assist by M. Beasley),15,10
42,1,5:52.0,E. Turner makes 2-pt jump shot from 18 ft,,17,10
43,1,5:35.0,,Personal foul by B. Bass (drawn by M. Beasley),17,10
44,1,5:35.0,I. Thomas enters the game for J. Crowder,,17,10
45,1,5:18.0,,M. Beasley misses 3-pt jump shot from 23 ft,17,10
46,1,5:17.0,,Offensive rebound by L. Deng,17,10
47,1,5:12.0,,D. Wade makes 3-pt jump shot from 24 ft (assist by L. Deng),17,13
48,1,4:55.0,E. Turner misses 3-pt jump shot from 24 ft,,17,13
49,1,4:54.0,Offensive rebound by M. Smart,,17,13
50,1,4:51.0,Turnover by M. Smart (bad pass; steal by M. Beasley),,17,13
51,1,4:47.0,,Turnover by M. Beasley (lost ball; steal by B. Bass),17,13
52,1,4:31.0,B. Bass misses 2-pt jump shot from 16 ft,,17,13
53,1,4:30.0,,Defensive rebound by H. Whiteside,17,13
54,1,4:19.0,,T. Johnson misses 2-pt jump shot from 19 ft,17,13
55,1,4:18.0,Defensive rebound by T. Zeller,,17,13
56,1,3:58.0,M. Smart misses 3-pt jump shot from 23 ft,,17,13
57,1,3:57.0,,Defensive rebound by Team,17,13
58,1,3:57.0,,M. Chalmers enters the game for D. Wade,17,13
59,1,3:43.0,,M. Beasley misses 2-pt jump shot from 16 ft,17,13
60,1,3:42.0,Defensive rebound by Team,,17,13
61,1,3:42.0,,Loose ball foul by H. Whiteside (drawn by T. Zeller),17,13
62,1,3:42.0,K. Olynyk enters the game for T. Zeller,,17,13
63,1,3:42.0,,C. Andersen enters the game for H. Whiteside,17,13
64,1,3:26.0,I. Thomas makes 3-pt jump shot from 24 ft,,20,13
65,1,3:04.0,,M. Beasley makes 2-pt layup from 1 ft,20,15
66,1,2:48.0,Turnover by E. Turner (lost ball),,20,15
67,1,2:48.0,Boston full timeout,,20,15
68,1,2:48.0,J. Jerebko enters the game for B. Bass,,20,15
69,1,2:48.0,G. Wallace enters the game for E. Turner,,20,15
70,1,2:35.0,,L. Deng misses 2-pt layup from 1 ft,20,15
71,1,2:34.0,Defensive rebound by G. Wallace,,20,15
72,1,2:11.0,K. Olynyk makes 2-pt jump shot from 4 ft,,22,15
73,1,1:58.0,,Turnover by T. Johnson (step out of bounds),22,15
74,1,1:58.0,,H. Walker enters the game for L. Deng,22,15
75,1,1:40.0,I. Thomas misses 3-pt jump shot from 24 ft,,22,15
76,1,1:39.0,Offensive rebound by G. Wallace,,22,15
77,1,1:37.0,Personal foul by M. Chalmers (drawn by G. Wallace),,22,15
78,1,1:26.0,K. Olynyk misses 3-pt jump shot from 24 ft,,22,15
79,1,1:25.0,,Defensive rebound by H. Walker,22,15
80,1,1:09.0,,M. Beasley misses 2-pt jump shot from 18 ft,22,15
81,1,1:08.0,Defensive rebound by G. Wallace,,22,15
82,1,0:55.0,K. Olynyk makes 2-pt jump shot from 15 ft,,24,15
83,1,0:36.0,,T. Johnson makes 2-pt jump shot from 21 ft (assist by M. Chalmers),24,17
84,1,0:31.0,M. Smart misses 2-pt hook shot from 6 ft,,24,17
85,1,0:30.0,,Defensive rebound by C. Andersen,24,17
86,1,0:11.0,,M. Chalmers makes 2-pt jump shot from 21 ft (assist by C. Andersen),24,19
87,1,0:01.0,K. Olynyk misses 3-pt jump shot from 24 ft,,24,19
88,1,0:00.0,,Defensive rebound by T. Johnson,24,19
89,2,11:38.0,J. Jerebko makes 2-pt jump shot from 18 ft (assist by I. Thomas),,26,19
90,2,11:09.0,,M. Beasley misses 3-pt jump shot from 24 ft,26,19
91,2,11:08.0,Defensive rebound by K. Olynyk,,26,19
92,2,10:53.0,Turnover by I. Thomas (lost ball; steal by M. Chalmers),,26,19
93,2,10:44.0,,M. Beasley makes 2-pt layup at rim (assist by T. Johnson),26,21
94,2,10:29.0,L. Datome misses 3-pt jump shot from 25 ft,,26,21
95,2,10:28.0,,Defensive rebound by C. Andersen,26,21
96,2,10:19.0,,M. Chalmers makes 3-pt jump shot from 24 ft (assist by T. Johnson),26,24
97,2,9:53.0,I. Thomas misses 3-pt jump shot from 23 ft,,26,24
98,2,9:52.0,,Defensive rebound by C. Andersen,26,24
99,2,9:48.0,,T. Johnson misses 2-pt layup from 1 ft (block by G. Wallace),26,24
100,2,9:47.0,,Offensive rebound by Team,26,24
101,2,9:47.0,,D. Wade enters the game for C. Andersen,26,24
102,2,9:47.0,B. Bass enters the game for K. Olynyk,,26,24
103,2,9:35.0,,D. Wade misses 2-pt jump shot from 19 ft,26,24
104,2,9:34.0,Defensive rebound by Team,,26,24
105,2,9:22.0,L. Datome makes 2-pt jump shot from 3 ft (assist by G. Wallace),,28,24
106,2,9:02.0,,M. Beasley misses 2-pt jump shot from 8 ft,28,24
107,2,9:01.0,Defensive rebound by J. Jerebko,,28,24
108,2,8:48.0,Turnover by I. Thomas (bad pass),,28,24
109,2,8:47.0,Loose ball foul by L. Datome (drawn by M. Chalmers),,28,24
110,2,8:47.0,Official timeout,,28,24
111,2,8:32.0,Offensive charge foul by H. Walker (drawn by L. Datome),,28,24
112,2,8:32.0,,Turnover by H. Walker (offensive foul),28,24
113,2,8:08.0,B. Bass misses 2-pt hook shot from 9 ft,,28,24
114,2,8:07.0,,Defensive rebound by D. Wade,28,24
115,2,7:53.0,,M. Beasley misses 2-pt jump shot from 13 ft,28,24
116,2,7:52.0,Defensive rebound by L. Datome,,28,24
117,2,7:44.0,Offensive foul by J. Jerebko (drawn by T. Johnson),,28,24
118,2,7:44.0,Turnover by J. Jerebko (offensive foul),,28,24
119,2,7:37.0,,Turnover by M. Chalmers (bad pass; steal by G. Wallace),28,24
120,2,7:28.0,J. Jerebko misses 3-pt jump shot from 24 ft,,28,24
121,2,7:27.0,Offensive rebound by L. Datome,,28,24
122,2,7:24.0,L. Datome misses 2-pt layup at rim,,28,24
123,2,7:23.0,Offensive rebound by Team,,28,24
124,2,7:23.0,,Violation by M. Beasley (kicked ball),28,24
125,2,7:23.0,,L. Deng enters the game for M. Chalmers,28,24
126,2,7:23.0,,H. Whiteside enters the game for H. Walker,28,24
127,2,7:14.0,G. Wallace misses 2-pt layup from 1 ft,,28,24
128,2,7:13.0,,Defensive rebound by H. Whiteside,28,24
129,2,7:01.0,,M. Beasley makes 2-pt jump shot from 8 ft (assist by D. Wade),28,26
130,2,6:46.0,I. Thomas makes 2-pt jump shot from 19 ft,,30,26
131,2,6:28.0,,T. Johnson misses 2-pt layup from 2 ft,30,26
132,2,6:27.0,Defensive rebound by J. Jerebko,,30,26
133,2,6:18.0,Turnover by I. Thomas (bad pass; steal by L. Deng),,30,26
134,2,6:14.0,,D. Wade makes 2-pt dunk at rim (assist by L. Deng),30,28
135,2,6:00.0,B. Bass makes 2-pt jump shot from 17 ft,,32,28
136,2,5:45.0,,Turnover by D. Wade (bad pass; steal by B. Bass),32,28
137,2,5:40.0,L. Datome makes 2-pt dunk at rim (assist by I. Thomas),,34,28
138,2,5:40.0,,Miami full timeout,34,28
139,2,5:40.0,J. Crowder enters the game for G. Wallace,,34,28
140,2,5:26.0,,M. Beasley makes 2-pt jump shot from 9 ft,34,30
141,2,5:05.0,J. Jerebko misses 2-pt jump shot from 20 ft,,34,30
142,2,5:04.0,,Defensive rebound by H. Whiteside,34,30
143,2,4:58.0,,M. Beasley misses 2-pt jump shot from 11 ft,34,30
144,2,4:57.0,Defensive rebound by J. Crowder,,34,30
145,2,4:41.0,L. Datome makes 2-pt jump shot from 18 ft,,36,30
146,2,4:19.0,E. Turner enters the game for J. Jerebko,,36,30
147,2,4:19.0,M. Smart enters the game for I. Thomas,,36,30
148,2,4:19.0,,Turnover by L. Deng (lost ball),36,30
149,2,4:04.0,L. Datome makes 3-pt jump shot from 25 ft (assist by B. Bass),,39,30
150,2,3:39.0,,D. Wade makes 2-pt layup from 2 ft,39,32
151,2,3:08.0,Shooting foul by H. Whiteside (drawn by M. Smart),,39,32
152,2,3:08.0,M. Smart makes free throw 1 of 2,,40,32
153,2,3:08.0,,C. Andersen enters the game for H. Whiteside,40,32
154,2,3:08.0,,M. Chalmers enters the game for D. Wade,40,32
155,2,3:08.0,,H. Walker enters the game for M. Beasley,40,32
156,2,3:08.0,M. Smart makes free throw 2 of 2,,41,32
157,2,2:54.0,,L. Deng misses 3-pt jump shot from 23 ft,41,32
158,2,2:53.0,,Offensive rebound by Team,41,32
159,2,2:53.0,Boston full timeout,,41,32
160,2,2:35.0,,T. Johnson misses 2-pt jump shot from 21 ft,41,32
161,2,2:34.0,Defensive rebound by Team,,41,32
162,2,2:10.0,E. Turner misses 2-pt jump shot from 14 ft,,41,32
163,2,2:09.0,Offensive rebound by B. Bass,,41,32
164,2,2:00.0,Turnover by M. Smart (lost ball; steal by T. Johnson),,41,32
165,2,1:54.0,,L. Deng misses 2-pt jump shot from 14 ft,41,32
166,2,1:53.0,Defensive rebound by E. Turner,,41,32
