,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:41.0,S. Hill misses 2-pt jump shot from 12 ft,,0,0
1,1,11:39.0,,Defensive rebound by K. Love,0,0
2,1,11:27.0,,K. Love makes 2-pt layup at rim (assist by K. Irving),0,2
3,1,11:15.0,R. Hibbert makes 2-pt hook shot from 9 ft (assist by D. West),,2,2
4,1,10:55.0,,Shooting foul by R. Hibbert (drawn by T. Mozgov),2,2
5,1,10:55.0,,T. Mozgov misses free throw 1 of 2,2,2
6,1,10:55.0,,Offensive rebound by Team,2,2
7,1,10:55.0,,T. Mozgov misses free throw 2 of 2,2,2
8,1,10:54.0,Defensive rebound by D. West,,2,2
9,1,10:37.0,D. West misses 2-pt jump shot from 7 ft,,2,2
10,1,10:36.0,,Defensive rebound by K. Love,2,2
11,1,10:25.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Irving),2,5
12,1,10:13.0,S. Hill makes 2-pt dunk at rim (assist by D. West),,4,5
13,1,9:56.0,,K. Love misses 2-pt layup from 2 ft,4,5
14,1,9:53.0,,Offensive rebound by T. Mozgov,4,5
15,1,9:53.0,,T. Mozgov misses 2-pt tip-in at rim,4,5
16,1,9:52.0,,Offensive rebound by K. Love,4,5
17,1,9:51.0,,K. Love misses 2-pt layup from 2 ft (block by D. West),4,5
18,1,9:50.0,Defensive rebound by S. Hill,,4,5
19,1,9:39.0,S. Hill misses 2-pt layup at rim,,4,5
20,1,9:38.0,,Defensive rebound by T. Mozgov,4,5
21,1,9:27.0,,K. Irving misses 2-pt layup from 1 ft,4,5
22,1,9:25.0,Defensive rebound by D. West,,4,5
23,1,9:15.0,G. Hill makes 3-pt jump shot from 28 ft,,7,5
24,1,8:56.0,,Turnover by J. Smith (bad pass),7,5
25,1,8:42.0,S. Hill misses 3-pt jump shot from 22 ft,,7,5
26,1,8:41.0,,Defensive rebound by L. James,7,5
27,1,8:34.0,,K. Love misses 3-pt jump shot from 25 ft,7,5
28,1,8:33.0,Defensive rebound by R. Hibbert,,7,5
29,1,8:17.0,R. Hibbert makes 2-pt hook shot from 7 ft,,9,5
30,1,7:59.0,,J. Smith misses 2-pt jump shot from 16 ft,9,5
31,1,7:58.0,Defensive rebound by S. Hill,,9,5
32,1,7:49.0,Personal foul by T. Mozgov (drawn by R. Hibbert),,9,5
33,1,7:44.0,R. Hibbert misses 2-pt jump shot from 17 ft,,9,5
34,1,7:43.0,,Defensive rebound by J. Smith,9,5
35,1,7:33.0,,K. Irving misses 3-pt jump shot from 24 ft,9,5
36,1,7:32.0,,Offensive rebound by K. Love,9,5
37,1,7:25.0,,T. Mozgov makes 2-pt hook shot from 5 ft (assist by L. James),9,7
38,1,7:01.0,S. Hill misses 2-pt layup from 3 ft,,9,7
39,1,6:59.0,,Defensive rebound by T. Mozgov,9,7
40,1,6:46.0,,K. Irving misses 2-pt jump shot at rim,9,7
41,1,6:45.0,,Offensive rebound by K. Irving,9,7
42,1,6:45.0,,K. Irving makes 2-pt layup at rim,9,9
43,1,6:26.0,C. Miles misses 3-pt jump shot from 23 ft (block by J. Smith),,9,9
44,1,6:25.0,,Defensive rebound by J. Smith,9,9
45,1,6:19.0,,J. Smith makes 2-pt layup at rim,9,11
46,1,6:10.0,Indiana full timeout,,9,11
47,1,6:10.0,R. Stuckey enters the game for C. Miles,,9,11
48,1,5:55.0,R. Stuckey misses 3-pt jump shot from 25 ft,,9,11
49,1,5:54.0,,Defensive rebound by K. Irving,9,11
50,1,5:43.0,,L. James makes 2-pt jump shot from 10 ft,9,13
51,1,5:25.0,Turnover by R. Hibbert (bad pass; steal by T. Mozgov),,9,13
52,1,5:08.0,,T. Mozgov makes 2-pt layup at rim,9,15
53,1,4:49.0,R. Hibbert misses 2-pt hook shot from 6 ft,,9,15
54,1,4:48.0,,Defensive rebound by K. Love,9,15
55,1,4:40.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Smith),9,18
56,1,4:16.0,R. Hibbert misses 2-pt jump shot from 6 ft,,9,18
57,1,4:15.0,Offensive rebound by D. West,,9,18
58,1,4:08.0,D. West misses 2-pt jump shot from 12 ft,,9,18
59,1,4:07.0,,Defensive rebound by T. Mozgov,9,18
60,1,3:54.0,,T. Mozgov misses 2-pt hook shot from 6 ft,9,18
61,1,3:51.0,Defensive rebound by R. Stuckey,,9,18
62,1,3:38.0,D. West makes 2-pt jump shot from 18 ft (assist by R. Stuckey),,11,18
63,1,3:19.0,,Turnover by T. Mozgov (lost ball; steal by D. West),11,18
64,1,3:06.0,D. West misses 2-pt jump shot from 18 ft,,11,18
65,1,3:05.0,,Defensive rebound by L. James,11,18
66,1,3:00.0,,Shooting foul by D. West (drawn by T. Mozgov),11,18
67,1,3:00.0,,T. Mozgov makes free throw 1 of 2,11,19
68,1,3:00.0,I. Mahinmi enters the game for R. Hibbert,,11,19
69,1,3:00.0,,I. Shumpert enters the game for L. James,11,19
70,1,3:00.0,D. Rudež enters the game for S. Hill,,11,19
71,1,3:00.0,,T. Mozgov makes free throw 2 of 2,11,20
72,1,2:40.0,D. West misses 2-pt jump shot from 4 ft,,11,20
73,1,2:38.0,Offensive rebound by D. West,,11,20
74,1,2:38.0,D. West misses 2-pt tip-in at rim,,11,20
75,1,2:35.0,,Defensive rebound by T. Mozgov,11,20
76,1,2:32.0,,Personal foul by D. West (drawn by K. Love),11,20
77,1,2:32.0,,Cleveland full timeout,11,20
78,1,2:32.0,L. Scola enters the game for D. West,,11,20
79,1,2:32.0,,T. Thompson enters the game for T. Mozgov,11,20
80,1,2:25.0,,Personal foul by G. Hill (drawn by K. Irving),11,20
81,1,2:16.0,,Shooting foul by I. Mahinmi (drawn by K. Irving),11,20
82,1,2:16.0,,K. Irving makes free throw 1 of 2,11,21
83,1,2:16.0,,K. Irving makes free throw 2 of 2,11,22
84,1,1:59.0,R. Stuckey misses 2-pt jump shot from 18 ft,,11,22
85,1,1:58.0,,Defensive rebound by Team,11,22
86,1,1:44.0,,Offensive foul by T. Thompson (drawn by G. Hill),11,22
