,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA CLIPPERS_ACTION,WASHINGTON_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,J. Redick misses 2-pt jump shot from 17 ft,0,0
1,1,11:36.0,Defensive rebound by P. Pierce,,0,0
2,1,11:17.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by J. Wall),,3,0
3,1,11:00.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by J. Redick),3,3
4,1,10:49.0,P. Pierce misses 3-pt jump shot from 24 ft,,3,3
5,1,10:47.0,,Defensive rebound by B. Griffin,3,3
6,1,10:38.0,,C. Paul misses 3-pt jump shot from 24 ft,3,3
7,1,10:37.0,Defensive rebound by N. Hilário,,3,3
8,1,10:28.0,M. Gortat makes 2-pt jump shot from 14 ft (assist by J. Wall),,5,3
9,1,10:08.0,,M. Barnes misses 3-pt jump shot from 24 ft,5,3
10,1,10:06.0,Defensive rebound by M. Gortat,,5,3
11,1,10:01.0,Turnover by M. Gortat (lost ball; steal by B. Griffin),,5,3
12,1,9:55.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),5,6
13,1,9:39.0,J. Wall misses 2-pt jump shot from 21 ft,,5,6
14,1,9:37.0,,Defensive rebound by M. Barnes,5,6
15,1,9:32.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),5,9
16,1,9:13.0,J. Wall makes 2-pt jump shot from 15 ft (assist by M. Gortat),,7,9
17,1,8:54.0,,B. Griffin misses 2-pt jump shot from 12 ft,7,9
18,1,8:52.0,,Offensive rebound by Team,7,9
19,1,8:42.0,,M. Barnes misses 3-pt jump shot from 23 ft,7,9
20,1,8:41.0,,Offensive rebound by D. Jordan,7,9
21,1,8:36.0,,B. Griffin makes 2-pt layup from 1 ft (assist by D. Jordan),7,11
22,1,8:28.0,P. Pierce misses 2-pt layup from 1 ft (block by B. Griffin),,7,11
23,1,8:26.0,,Defensive rebound by C. Paul,7,11
