,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW YORK_ACTION,LA CLIPPERS_SCORE,NEW YORK_SCORE
0,1,11:44.0,J. Redick makes 2-pt jump shot from 23 ft (assist by D. Jordan),,2,0
1,1,11:21.0,,L. Thomas misses 2-pt jump shot from 5 ft,2,0
2,1,11:20.0,Defensive rebound by M. Barnes,,2,0
3,1,11:14.0,M. Barnes misses 2-pt jump shot from 22 ft,,2,0
4,1,11:13.0,Offensive rebound by J. Redick,,2,0
5,1,10:57.0,M. Barnes misses 2-pt layup from 2 ft,,2,0
6,1,10:56.0,,Defensive rebound by S. Larkin,2,0
7,1,10:38.0,,L. Amundson misses 2-pt jump shot from 16 ft,2,0
8,1,10:37.0,Defensive rebound by B. Griffin,,2,0
9,1,10:31.0,D. Jordan makes 2-pt layup from 1 ft (assist by C. Paul),,4,0
10,1,10:31.0,Shooting foul by L. Amundson (drawn by D. Jordan),,4,0
11,1,10:31.0,D. Jordan misses free throw 1 of 1,,4,0
12,1,10:31.0,,Defensive rebound by Team,4,0
13,1,10:14.0,,Turnover by S. Larkin (lost ball; steal by D. Jordan),4,0
14,1,9:59.0,Turnover by B. Griffin (3 sec),,4,0
15,1,9:45.0,,L. Amundson misses 2-pt jump shot from 14 ft,4,0
16,1,9:44.0,Defensive rebound by B. Griffin,,4,0
17,1,9:33.0,B. Griffin misses 2-pt jump shot from 17 ft,,4,0
18,1,9:32.0,,Defensive rebound by L. Amundson,4,0
19,1,9:14.0,,L. Thomas makes 2-pt jump shot from 20 ft,4,2
20,1,9:00.0,J. Redick makes 2-pt jump shot from 16 ft (assist by C. Paul),,6,2
21,1,8:38.0,,A. Bargnani makes 2-pt jump shot from 12 ft,6,4
22,1,8:19.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,8,4
23,1,8:08.0,,A. Bargnani misses 3-pt jump shot from 26 ft,8,4
24,1,8:07.0,Defensive rebound by D. Jordan,,8,4
25,1,7:59.0,C. Paul misses 2-pt jump shot from 6 ft,,8,4
26,1,7:57.0,Offensive rebound by C. Paul,,8,4
27,1,7:57.0,C. Paul misses 2-pt layup at rim,,8,4
