,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
0,1,11:41.0,T. Harris misses 3-pt jump shot from 25 ft,,0,0
1,1,11:39.0,Offensive rebound by T. Harris,,0,0
2,1,11:23.0,T. Harris makes 3-pt jump shot from 22 ft (assist by E. Payton),,3,0
3,1,11:03.0,,K. Martin misses 3-pt jump shot from 24 ft,3,0
4,1,11:02.0,Defensive rebound by N. Vučević,,3,0
5,1,10:45.0,Shooting foul by J. Hamilton (drawn by D. Dedmon),,3,0
6,1,10:45.0,D. Dedmon makes free throw 1 of 2,,4,0
7,1,10:45.0,D. Dedmon makes free throw 2 of 2,,5,0
8,1,10:34.0,,Personal foul by D. Dedmon (drawn by J. Hamilton),5,0
9,1,10:27.0,,Shooting foul by T. Harris (drawn by A. Wiggins),5,0
10,1,10:27.0,,A. Wiggins makes free throw 1 of 2,5,1
11,1,10:27.0,,A. Wiggins makes free throw 2 of 2,5,2
12,1,10:10.0,T. Harris misses 2-pt jump shot from 13 ft,,5,2
13,1,10:09.0,,Defensive rebound by J. Hamilton,5,2
14,1,10:02.0,,A. Wiggins misses 2-pt jump shot from 17 ft,5,2
15,1,10:01.0,,Offensive rebound by J. Hamilton,5,2
16,1,9:58.0,,K. Martin misses 3-pt jump shot from 24 ft,5,2
17,1,9:57.0,Defensive rebound by D. Dedmon,,5,2
18,1,9:47.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,7,2
19,1,9:30.0,,J. Hamilton makes 2-pt layup from 2 ft (assist by A. Wiggins),7,4
20,1,9:14.0,V. Oladipo makes 2-pt jump shot from 20 ft,,9,4
21,1,8:55.0,,Z. LaVine misses 3-pt jump shot from 22 ft,9,4
22,1,8:54.0,Defensive rebound by N. Vučević,,9,4
23,1,8:44.0,N. Vučević makes 2-pt dunk at rim (assist by V. Oladipo),,11,4
24,1,8:29.0,,Personal foul by D. Dedmon (drawn by J. Hamilton),11,4
25,1,8:21.0,,A. Payne misses 2-pt hook shot from 9 ft,11,4
26,1,8:20.0,Defensive rebound by N. Vučević,,11,4
27,1,8:08.0,V. Oladipo makes 2-pt jump shot from 20 ft,,13,4
28,1,8:06.0,,Minnesota full timeout,13,4
29,1,7:51.0,,A. Wiggins makes 2-pt jump shot from 7 ft,13,6
30,1,7:30.0,N. Vučević makes 2-pt layup from 1 ft (assist by V. Oladipo),,15,6
31,1,7:11.0,,A. Payne misses 2-pt jump shot from 19 ft,15,6
32,1,7:09.0,Defensive rebound by E. Payton,,15,6
33,1,7:05.0,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Payton),,17,6
34,1,6:49.0,,Shooting foul by V. Oladipo (drawn by J. Hamilton),17,6
35,1,6:49.0,,J. Hamilton makes free throw 1 of 2,17,7
36,1,6:49.0,,J. Hamilton makes free throw 2 of 2,17,8
37,1,6:40.0,V. Oladipo misses 2-pt jump shot from 17 ft,,17,8
38,1,6:39.0,,Defensive rebound by Z. LaVine,17,8
39,1,6:34.0,,Turnover by Z. LaVine (lost ball; steal by E. Payton),17,8
40,1,6:30.0,Turnover by T. Harris (lost ball; steal by A. Wiggins),,17,8
41,1,6:25.0,,Z. LaVine misses 2-pt layup at rim,17,8
42,1,6:24.0,Defensive rebound by Team,,17,8
43,1,6:24.0,,C. Budinger enters the game for A. Payne,17,8
44,1,5:59.0,V. Oladipo misses 3-pt jump shot from 24 ft,,17,8
45,1,5:57.0,Offensive rebound by N. Vučević,,17,8
46,1,5:56.0,Shooting foul by C. Budinger (drawn by D. Dedmon),,17,8
47,1,5:56.0,D. Dedmon misses free throw 1 of 2,,17,8
48,1,5:56.0,Offensive rebound by Team,,17,8
49,1,5:56.0,A. Gordon enters the game for T. Harris,,17,8
50,1,5:56.0,D. Dedmon makes free throw 2 of 2,,18,8
51,1,5:44.0,,Def 3 sec tech foul by D. Dedmon,18,8
52,1,5:44.0,,K. Martin makes technical free throw,18,9
53,1,5:33.0,,A. Wiggins makes 2-pt jump shot from 9 ft,18,11
54,1,5:23.0,E. Payton makes 2-pt dunk at rim,,20,11
55,1,5:05.0,,J. Hamilton makes 2-pt hook shot from 6 ft (assist by A. Wiggins),20,13
56,1,4:42.0,Turnover by E. Payton (traveling),,20,13
57,1,4:42.0,,R. Hummel enters the game for K. Martin,20,13
58,1,4:29.0,,Shooting foul by V. Oladipo (drawn by C. Budinger),20,13
59,1,4:29.0,,C. Budinger makes free throw 1 of 3,20,14
60,1,4:29.0,,C. Budinger makes free throw 2 of 3,20,15
61,1,4:29.0,M. Harkless enters the game for D. Dedmon,,20,15
62,1,4:29.0,,C. Budinger makes free throw 3 of 3,20,16
63,1,4:08.0,A. Gordon misses 2-pt hook shot from 10 ft,,20,16
64,1,4:07.0,,Defensive rebound by J. Hamilton,20,16
65,1,4:00.0,,Z. LaVine misses 2-pt layup from 1 ft,20,16
66,1,3:59.0,Defensive rebound by N. Vučević,,20,16
67,1,3:54.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,22,16
68,1,3:33.0,,C. Budinger makes 2-pt jump shot from 19 ft,22,18
69,1,3:28.0,Orlando full timeout,,22,18
70,1,3:28.0,W. Green enters the game for V. Oladipo,,22,18
71,1,3:20.0,Turnover by W. Green (bad pass; steal by J. Hamilton),,22,18
72,1,3:14.0,,Turnover by R. Hummel (bad pass; steal by E. Payton),22,18
73,1,3:10.0,E. Payton makes 2-pt dunk at rim,,24,18
74,1,2:51.0,,Def 3 sec tech foul by N. Vučević,24,18
75,1,2:51.0,,Z. LaVine misses technical free throw,24,18
76,1,2:51.0,,Offensive rebound by Team,24,18
77,1,2:43.0,,A. Wiggins misses 2-pt jump shot from 16 ft,24,18
78,1,2:42.0,Defensive rebound by M. Harkless,,24,18
79,1,2:27.0,N. Vučević misses 2-pt hook shot from 4 ft,,24,18
80,1,2:26.0,,Defensive rebound by R. Hummel,24,18
81,1,2:15.0,,Personal foul by A. Gordon (drawn by A. Wiggins),24,18
82,1,2:15.0,,A. Wiggins misses free throw 1 of 2,24,18
83,1,2:15.0,,Offensive rebound by Team,24,18
84,1,2:15.0,,A. Wiggins makes free throw 2 of 2,24,19
85,1,1:55.0,N. Vučević makes 2-pt jump shot from 13 ft,,26,19
