,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by E. İlyasova),0,2
1,1,11:23.0,Turnover by L. Datome (lost ball; steal by Z. Pachulia),,0,2
2,1,11:02.0,,M. Carter-Williams misses 3-pt jump shot from 25 ft,0,2
3,1,11:00.0,,Offensive rebound by Z. Pachulia,0,2
4,1,10:55.0,,E. İlyasova misses 3-pt jump shot from 25 ft,0,2
5,1,10:54.0,Defensive rebound by B. Bass,,0,2
6,1,10:41.0,M. Smart misses 3-pt jump shot from 27 ft,,0,2
7,1,10:39.0,,Defensive rebound by Z. Pachulia,0,2
8,1,10:28.0,,Z. Pachulia misses 2-pt jump shot from 16 ft,0,2
9,1,10:27.0,Defensive rebound by M. Smart,,0,2
10,1,10:09.0,L. Datome misses 2-pt jump shot from 15 ft,,0,2
11,1,10:08.0,,Defensive rebound by M. Carter-Williams,0,2
12,1,9:57.0,,Shooting foul by T. Zeller (drawn by G. Antetokounmpo),0,2
13,1,9:57.0,,G. Antetokounmpo misses free throw 1 of 2,0,2
14,1,9:57.0,,Offensive rebound by Team,0,2
15,1,9:57.0,,G. Antetokounmpo makes free throw 2 of 2,0,3
16,1,9:44.0,L. Datome makes 3-pt jump shot from 25 ft (assist by E. Turner),,3,3
17,1,9:23.0,,Z. Pachulia misses 2-pt jump shot from 13 ft,3,3
18,1,9:23.0,Defensive rebound by B. Bass,,3,3
19,1,9:13.0,T. Zeller misses 2-pt jump shot from 16 ft,,3,3
20,1,9:12.0,,Defensive rebound by K. Middleton,3,3
21,1,9:01.0,,Z. Pachulia makes 2-pt jump shot from 12 ft (assist by K. Middleton),3,5
22,1,8:51.0,Turnover by E. Turner (lost ball; steal by Z. Pachulia),,3,5
23,1,8:45.0,,E. İlyasova makes 2-pt layup at rim (assist by K. Middleton),3,7
24,1,8:20.0,M. Smart misses 3-pt jump shot from 26 ft,,3,7
25,1,8:18.0,Offensive rebound by T. Zeller,,3,7
26,1,8:18.0,T. Zeller misses 2-pt tip-in from 1 ft,,3,7
27,1,8:16.0,,Defensive rebound by E. İlyasova,3,7
28,1,8:05.0,,Z. Pachulia misses 2-pt jump shot from 13 ft,3,7
29,1,8:03.0,Defensive rebound by E. Turner,,3,7
30,1,7:56.0,E. Turner misses 2-pt layup from 2 ft,,3,7
31,1,7:55.0,Offensive rebound by B. Bass,,3,7
32,1,7:55.0,B. Bass misses 2-pt tip-in from 1 ft,,3,7
33,1,7:55.0,,Defensive rebound by Team,3,7
34,1,7:39.0,,K. Middleton makes 2-pt jump shot from 6 ft (assist by Z. Pachulia),3,9
35,1,7:24.0,T. Zeller makes 2-pt layup at rim (assist by E. Turner),,5,9
36,1,7:10.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),5,12
