,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:37.0,,D. Rose misses 2-pt jump shot from 16 ft,0,0
1,1,11:35.0,,Offensive rebound by J. Noah,0,0
2,1,11:35.0,,J. Noah misses 2-pt tip-in from 1 ft,0,0
3,1,11:34.0,Defensive rebound by G. Antetokounmpo,,0,0
4,1,11:21.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,0,0
5,1,11:20.0,,Defensive rebound by J. Noah,0,0
6,1,11:06.0,,Shooting foul by M. Carter-Williams (drawn by J. Butler),0,0
7,1,11:06.0,,J. Butler makes 2-pt jump shot from 20 ft (assist by D. Rose),0,2
8,1,11:06.0,,J. Butler misses free throw 1 of 1,0,2
9,1,11:03.0,Defensive rebound by M. Carter-Williams,,0,2
10,1,10:41.0,Z. Pachulia misses 2-pt layup from 2 ft (block by D. Rose),,0,2
11,1,10:41.0,,Defensive rebound by D. Rose,0,2
12,1,10:37.0,,D. Rose misses 2-pt layup from 1 ft,0,2
13,1,10:36.0,Defensive rebound by Z. Pachulia,,0,2
14,1,10:30.0,K. Middleton misses 3-pt jump shot from 26 ft,,0,2
15,1,10:29.0,,Defensive rebound by J. Noah,0,2
16,1,10:18.0,,Turnover by P. Gasol (lost ball; steal by K. Middleton),0,2
17,1,10:14.0,Turnover by K. Middleton (bad pass; steal by D. Rose),,0,2
18,1,10:07.0,,P. Gasol makes 2-pt dunk at rim (assist by J. Noah),0,4
19,1,9:54.0,E. İlyasova misses 3-pt jump shot from 26 ft,,0,4
20,1,9:53.0,,Defensive rebound by M. Dunleavy,0,4
21,1,9:35.0,,J. Butler misses 3-pt jump shot from 25 ft,0,4
22,1,9:34.0,Defensive rebound by G. Antetokounmpo,,0,4
23,1,9:20.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,0,4
24,1,9:18.0,,Defensive rebound by J. Butler,0,4
25,1,9:02.0,,Turnover by J. Noah (bad pass; steal by Z. Pachulia),0,4
26,1,8:56.0,K. Middleton makes 2-pt layup from 1 ft,,2,4
27,1,8:31.0,,P. Gasol misses 2-pt jump shot from 17 ft,2,4
28,1,8:30.0,Defensive rebound by Z. Pachulia,,2,4
29,1,8:22.0,K. Middleton misses 2-pt jump shot from 10 ft,,2,4
30,1,8:21.0,,Defensive rebound by P. Gasol,2,4
31,1,8:05.0,,D. Rose misses 3-pt jump shot from 27 ft,2,4
32,1,8:01.0,Defensive rebound by K. Middleton,,2,4
33,1,7:46.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),,5,4
34,1,7:20.0,,Turnover by Team (shot clock),5,4
35,1,7:08.0,E. İlyasova misses 2-pt jump shot from 14 ft,,5,4
36,1,7:07.0,,Defensive rebound by J. Butler,5,4
37,1,6:56.0,,P. Gasol misses 2-pt layup from 3 ft (block by G. Antetokounmpo),5,4
38,1,6:55.0,Defensive rebound by G. Antetokounmpo,,5,4
39,1,6:55.0,Personal foul by J. Butler (drawn by G. Antetokounmpo),,5,4
40,1,6:42.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by Z. Pachulia),,7,4
41,1,6:16.0,,M. Dunleavy misses 2-pt jump shot from 21 ft,7,4
42,1,6:14.0,Defensive rebound by Z. Pachulia,,7,4
43,1,5:57.0,K. Middleton misses 3-pt jump shot from 26 ft,,7,4
44,1,5:55.0,,Defensive rebound by J. Butler,7,4
45,1,5:50.0,,Turnover by P. Gasol (lost ball; steal by G. Antetokounmpo),7,4
46,1,5:45.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,7,4
47,1,5:43.0,,Defensive rebound by D. Rose,7,4
48,1,5:31.0,,D. Rose misses 3-pt jump shot from 25 ft,7,4
49,1,5:29.0,Defensive rebound by E. İlyasova,,7,4
50,1,5:28.0,Milwaukee full timeout,,7,4
51,1,5:28.0,J. Henson enters the game for Z. Pachulia,,7,4
52,1,5:18.0,K. Middleton misses 2-pt layup from 2 ft,,7,4
53,1,5:17.0,,Defensive rebound by P. Gasol,7,4
54,1,5:12.0,,Turnover by D. Rose (lost ball; steal by M. Carter-Williams),7,4
55,1,4:56.0,E. İlyasova misses 2-pt layup from 2 ft,,7,4
56,1,4:55.0,,Defensive rebound by D. Rose,7,4
57,1,4:36.0,,J. Noah makes 2-pt jump shot from 6 ft (assist by M. Dunleavy),7,6
58,1,4:20.0,Shooting foul by P. Gasol (drawn by J. Henson),,7,6
59,1,4:20.0,J. Henson makes 2-pt layup from 3 ft (assist by M. Carter-Williams),,9,6
60,1,4:20.0,J. Dudley enters the game for E. İlyasova,,9,6
61,1,4:20.0,,T. Gibson enters the game for J. Noah,9,6
62,1,4:20.0,J. Henson misses free throw 1 of 1,,9,6
63,1,4:16.0,Offensive rebound by J. Dudley,,9,6
64,1,4:13.0,Shooting foul by T. Gibson (drawn by G. Antetokounmpo),,9,6
65,1,4:13.0,G. Antetokounmpo makes free throw 1 of 2,,10,6
66,1,4:13.0,G. Antetokounmpo makes free throw 2 of 2,,11,6
67,1,3:58.0,,Turnover by T. Gibson (lost ball; steal by J. Dudley),11,6
68,1,3:48.0,J. Henson makes 2-pt hook shot from 1 ft (assist by G. Antetokounmpo),,13,6
69,1,3:29.0,,J. Butler misses 3-pt jump shot from 27 ft,13,6
70,1,3:28.0,,Offensive rebound by D. Rose,13,6
71,1,3:24.0,,M. Dunleavy makes 3-pt jump shot from 26 ft (assist by D. Rose),13,9
72,1,3:06.0,J. Henson misses 2-pt hook shot from 11 ft,,13,9
73,1,3:05.0,,Defensive rebound by P. Gasol,13,9
74,1,2:46.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,13,9
75,1,2:44.0,,Offensive rebound by T. Gibson,13,9
76,1,2:41.0,,M. Dunleavy misses 3-pt jump shot from 26 ft,13,9
77,1,2:40.0,Defensive rebound by K. Middleton,,13,9
78,1,2:31.0,G. Antetokounmpo misses 2-pt layup from 3 ft (block by T. Gibson),,13,9
79,1,2:29.0,,Defensive rebound by P. Gasol,13,9
80,1,2:25.0,,M. Dunleavy misses 2-pt layup from 2 ft,13,9
81,1,2:24.0,Defensive rebound by J. Dudley,,13,9
82,1,2:07.0,M. Carter-Williams misses 3-pt jump shot from 23 ft,,13,9
83,1,2:05.0,Offensive rebound by J. Henson,,13,9
84,1,1:43.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,13,9
85,1,1:41.0,,Defensive rebound by P. Gasol,13,9
86,1,1:28.0,,J. Butler misses 3-pt jump shot from 23 ft,13,9
87,1,1:26.0,,Offensive rebound by D. Rose,13,9
88,1,1:24.0,,D. Rose misses 2-pt jump shot from 13 ft,13,9
89,1,1:23.0,,Offensive rebound by P. Gasol,13,9
90,1,1:20.0,,P. Gasol misses 2-pt layup from 1 ft,13,9
91,1,1:20.0,,Offensive rebound by P. Gasol,13,9
