,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,,K. Middleton misses 3-pt jump shot from 26 ft,0,0
1,1,11:35.0,Defensive rebound by P. Gasol,,0,0
2,1,11:21.0,J. Butler makes 2-pt dunk at rim (assist by M. Dunleavy),,2,0
3,1,11:05.0,,E. İlyasova misses 2-pt jump shot from 4 ft (block by P. Gasol),2,0
4,1,11:03.0,Defensive rebound by P. Gasol,,2,0
5,1,10:54.0,D. Rose makes 3-pt jump shot from 26 ft,,5,0
6,1,10:41.0,,M. Carter-Williams makes 2-pt jump shot from 10 ft,5,2
7,1,10:28.0,Turnover by D. Rose (bad pass),,5,2
8,1,10:12.0,,Z. Pachulia misses 2-pt jump shot from 14 ft,5,2
9,1,10:11.0,Defensive rebound by J. Noah,,5,2
10,1,9:49.0,J. Butler makes 2-pt jump shot from 14 ft (assist by J. Noah),,7,2
11,1,9:32.0,,Z. Pachulia misses 2-pt layup at rim,7,2
12,1,9:31.0,,Offensive rebound by Z. Pachulia,7,2
13,1,9:25.0,,Turnover by M. Carter-Williams (bad pass; steal by D. Rose),7,2
14,1,9:11.0,Turnover by J. Noah (bad pass; steal by M. Carter-Williams),,7,2
15,1,9:07.0,,Shooting foul by J. Butler (drawn by G. Antetokounmpo),7,2
16,1,9:07.0,,G. Antetokounmpo makes free throw 1 of 2,7,3
17,1,9:07.0,,G. Antetokounmpo makes free throw 2 of 2,7,4
18,1,8:52.0,J. Butler misses 3-pt jump shot from 25 ft,,7,4
19,1,8:50.0,,Defensive rebound by M. Carter-Williams,7,4
20,1,8:38.0,,Turnover by E. İlyasova (bad pass; steal by J. Butler),7,4
21,1,8:30.0,D. Rose makes 3-pt jump shot from 26 ft,,10,4
22,1,8:12.0,,M. Carter-Williams misses 2-pt jump shot from 12 ft,10,4
23,1,8:11.0,,Offensive rebound by Z. Pachulia,10,4
24,1,8:11.0,,Z. Pachulia misses 2-pt tip-in at rim,10,4
25,1,8:10.0,Defensive rebound by P. Gasol,,10,4
26,1,8:02.0,D. Rose misses 3-pt jump shot from 26 ft,,10,4
27,1,8:02.0,,Defensive rebound by Team,10,4
28,1,7:50.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),10,7
29,1,7:38.0,J. Butler misses 2-pt jump shot from 19 ft,,10,7
30,1,7:37.0,,Defensive rebound by Z. Pachulia,10,7
31,1,7:27.0,,K. Middleton makes 2-pt jump shot from 9 ft (assist by M. Carter-Williams),10,9
32,1,7:01.0,M. Dunleavy misses 2-pt jump shot from 5 ft (block by E. İlyasova),,10,9
33,1,6:59.0,,Defensive rebound by E. İlyasova,10,9
34,1,6:56.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by K. Middleton),10,11
35,1,6:30.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by D. Rose),,12,11
36,1,6:13.0,,Z. Pachulia misses 2-pt layup at rim (block by J. Noah),12,11
37,1,6:10.0,Defensive rebound by M. Dunleavy,,12,11
38,1,5:47.0,Shooting foul by E. İlyasova (drawn by J. Butler),,12,11
39,1,5:47.0,,Milwaukee full timeout,12,11
40,1,5:47.0,,J. Henson enters the game for Z. Pachulia,12,11
41,1,5:47.0,J. Butler makes free throw 1 of 3,,13,11
42,1,5:47.0,J. Butler makes free throw 2 of 3,,14,11
43,1,5:47.0,J. Butler makes free throw 3 of 3,,15,11
44,1,5:28.0,,J. Henson makes 2-pt dunk at rim (assist by G. Antetokounmpo),15,13
45,1,5:01.0,Turnover by Team (shot clock),,15,13
46,1,4:41.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),15,16
47,1,4:16.0,J. Noah misses 2-pt jump shot from 6 ft,,15,16
48,1,4:14.0,,Defensive rebound by E. İlyasova,15,16
49,1,4:06.0,,M. Carter-Williams makes 2-pt layup from 1 ft,15,18
50,1,3:51.0,M. Dunleavy misses 3-pt jump shot from 28 ft,,15,18
51,1,3:50.0,Offensive rebound by J. Noah,,15,18
52,1,3:46.0,P. Gasol makes 2-pt jump shot from 13 ft (assist by J. Noah),,17,18
53,1,3:31.0,,E. İlyasova misses 2-pt jump shot from 20 ft,17,18
54,1,3:30.0,Defensive rebound by J. Noah,,17,18
55,1,3:21.0,Shooting foul by G. Antetokounmpo (drawn by P. Gasol),,17,18
56,1,3:21.0,P. Gasol misses free throw 1 of 2,,17,18
57,1,3:21.0,Offensive rebound by Team,,17,18
58,1,3:21.0,T. Snell enters the game for J. Butler,,17,18
59,1,3:21.0,T. Gibson enters the game for J. Noah,,17,18
60,1,3:21.0,P. Gasol makes free throw 2 of 2,,18,18
61,1,3:02.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,18,18
62,1,2:59.0,,Offensive rebound by J. Henson,18,18
