,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:41.0,A. Drummond misses 2-pt layup from 1 ft (block by A. Horford),,0,0
1,1,11:39.0,,Defensive rebound by K. Bazemore,0,0
2,1,11:37.0,,Turnover by K. Bazemore (bad pass),0,0
3,1,11:21.0,M. Morris makes 2-pt jump shot from 13 ft (assist by A. Drummond),,2,0
4,1,11:00.0,,P. Millsap makes 2-pt jump shot from 12 ft (assist by K. Korver),2,2
5,1,10:44.0,K. Caldwell-Pope makes 2-pt jump shot from 8 ft (assist by E. İlyasova),,4,2
6,1,10:27.0,,A. Horford misses 2-pt jump shot from 20 ft,4,2
7,1,10:25.0,Defensive rebound by R. Jackson,,4,2
8,1,10:13.0,A. Drummond misses 2-pt hook shot from 8 ft,,4,2
9,1,10:11.0,,Defensive rebound by K. Bazemore,4,2
10,1,10:01.0,,P. Millsap makes 2-pt jump shot from 12 ft (assist by A. Horford),4,4
11,1,9:42.0,Shooting foul by K. Bazemore (drawn by M. Morris),,4,4
12,1,9:42.0,M. Morris makes free throw 1 of 2,,5,4
13,1,9:42.0,M. Morris misses free throw 2 of 2,,5,4
14,1,9:41.0,,Defensive rebound by P. Millsap,5,4
15,1,9:29.0,,J. Teague misses 2-pt jump shot from 15 ft,5,4
16,1,9:28.0,Defensive rebound by A. Drummond,,5,4
17,1,9:22.0,R. Jackson makes 3-pt jump shot from 24 ft,,8,4
18,1,9:12.0,,J. Teague misses 2-pt layup from 1 ft,8,4
19,1,9:11.0,Defensive rebound by A. Drummond,,8,4
20,1,9:08.0,Turnover by E. İlyasova (lost ball),,8,4
21,1,8:50.0,,A. Horford misses 2-pt jump shot from 18 ft,8,4
22,1,8:49.0,Defensive rebound by M. Morris,,8,4
23,1,8:41.0,A. Drummond misses 2-pt hook shot from 6 ft,,8,4
24,1,8:40.0,,Defensive rebound by K. Bazemore,8,4
25,1,8:34.0,,J. Teague makes 2-pt layup from 1 ft,8,6
26,1,8:11.0,A. Drummond makes 2-pt dunk at rim (assist by E. İlyasova),,10,6
27,1,7:56.0,,A. Horford misses 2-pt jump shot from 18 ft,10,6
28,1,7:55.0,Defensive rebound by R. Jackson,,10,6
29,1,7:41.0,Shooting foul by P. Millsap (drawn by A. Drummond),,10,6
30,1,7:41.0,A. Drummond misses free throw 1 of 2,,10,6
