,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SAN ANTONIO_ACTION,BROOKLYN_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,T. Young makes 3-pt jump shot from 24 ft (assist by J. Jack),,3,0
1,1,11:27.0,,L. Aldridge makes 2-pt jump shot from 12 ft,3,2
2,1,11:09.0,J. Jack misses 2-pt jump shot from 9 ft,,3,2
3,1,11:08.0,,Defensive rebound by Team,3,2
4,1,10:51.0,,K. Leonard misses 2-pt jump shot from 16 ft,3,2
5,1,10:50.0,Defensive rebound by J. Jack,,3,2
6,1,10:27.0,J. Jack misses 3-pt jump shot from 25 ft,,3,2
7,1,10:26.0,,Defensive rebound by T. Duncan,3,2
8,1,10:16.0,,T. Parker makes 2-pt jump shot from 16 ft,3,4
9,1,10:02.0,B. Lopez makes 2-pt jump shot from 12 ft,,5,4
10,1,9:44.0,,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker),5,6
11,1,9:31.0,T. Young misses 2-pt jump shot from 18 ft,,5,6
12,1,9:30.0,,Defensive rebound by T. Parker,5,6
13,1,9:22.0,,T. Parker misses 2-pt layup from 2 ft,5,6
14,1,9:21.0,,Offensive rebound by L. Aldridge,5,6
15,1,9:19.0,,D. Green makes 3-pt jump shot from 25 ft (assist by L. Aldridge),5,9
16,1,9:00.0,W. Ellington misses 3-pt jump shot from 22 ft,,5,9
17,1,8:59.0,,Defensive rebound by K. Leonard,5,9
18,1,8:49.0,,Shooting foul by B. Lopez (drawn by T. Duncan),5,9
19,1,8:49.0,,T. Duncan makes free throw 1 of 2,5,10
20,1,8:49.0,,T. Duncan makes free throw 2 of 2,5,11
21,1,8:37.0,Personal foul by T. Duncan (drawn by B. Lopez),,5,11
22,1,8:31.0,T. Young misses 2-pt jump shot from 4 ft,,5,11
23,1,8:30.0,,Defensive rebound by T. Duncan,5,11
24,1,8:22.0,,T. Parker misses 2-pt jump shot from 18 ft,5,11
25,1,8:21.0,Defensive rebound by J. Johnson,,5,11
26,1,8:08.0,J. Johnson misses 2-pt jump shot from 4 ft,,5,11
27,1,8:07.0,,Defensive rebound by T. Duncan,5,11
28,1,7:54.0,,L. Aldridge misses 2-pt jump shot from 11 ft,5,11
29,1,7:53.0,Defensive rebound by J. Jack,,5,11
